,note_name,start_time,duration,velocity,tempo
0,C#5,0.0,667/1000,79,118.0
1,F#4,0.0,667/1000,79,118.0
2,E4,0.0,667/1000,79,118.0
3,A3,0.0,667/1000,79,118.0
4,C#5,1.0,667/1000,79,118.0
5,G4,1.0,667/1000,79,118.0
6,E4,1.0,667/1000,79,118.0
7,B-3,1.0,667/1000,79,118.0
8,D5,2.0,667/1000,79,118.0
9,G#4,2.0,667/1000,79,118.0
10,F#4,2.0,667/1000,79,118.0
11,B3,2.0,667/1000,79,118.0
12,E-5,3.0,667/1000,79,118.0
13,A4,3.0,667/1000,79,118.0
14,F#4,3.0,667/1000,79,118.0
15,C4,3.0,667/1000,79,118.0
16,E5,4.0,667/1000,79,118.0
17,A4,4.0,667/1000,79,118.0
18,E4,4.0,667/1000,79,118.0
19,C#4,4.0,667/1000,79,118.0
20,E5,5.0,667/1000,79,118.0
21,B-4,5.0,667/1000,79,118.0
22,G4,5.0,667/1000,79,118.0
23,C#4,5.0,667/1000,79,118.0
24,E5,6.0,2.0,79,118.0
25,B3,6.0,2.0,79,118.0
26,F#4,6.0,2.0,79,118.0
27,D4,6.0,2.0,79,118.0
28,E4,9.0,667/1000,95,118.0
29,E-4,10.0,667/1000,95,118.0
30,D4,11.0,667/1000,95,118.0
31,C#4,12.0,1.0,95,118.0
32,A2,12.0,1.0,95,118.0
33,A3,13.0,1.0,95,118.0
34,F#4,14.0,667/1000,95,118.0
35,B-2,14.0,667/1000,95,118.0
36,E4,14.667,333/1000,70,118.0
37,C#4,15.0,667/1000,95,118.0
38,G3,15.0,667/1000,95,118.0
39,D4,15.667,333/1000,95,118.0
40,B2,16.0,1.0,95,118.0
41,G#3,17.0,1.0,95,118.0
42,G#4,18.0,667/1000,95,118.0
43,C3,18.0,667/1000,95,118.0
44,F#4,18.667,333/1000,70,118.0
45,E-4,19.0,667/1000,95,118.0
46,A3,19.0,667/1000,95,118.0
47,E4,19.667,333/1000,95,118.0
48,C#3,20.0,1.0,95,118.0
49,C#4,21.0,1.0,95,118.0
50,A4,22.0,667/1000,95,118.0
51,C#3,22.0,667/1000,95,118.0
52,G#4,22.667,333/1000,70,118.0
53,F4,23.0,667/1000,95,118.0
54,G#3,23.0,667/1000,95,118.0
55,F#4,23.667,333/1000,95,118.0
56,D3,24.0,2.0,95,118.0
57,F#4,24.0,2.0,95,118.0
58,B4,26.0,667/1000,71,118.0
59,F#4,26.0,667/1000,71,118.0
60,E-4,26.0,667/1000,71,118.0
61,B3,26.0,667/1000,71,118.0
62,A4,27.0,667/1000,95,118.0
63,F#4,27.0,667/1000,95,118.0
64,G#4,28.0,667/1000,95,118.0
65,G#2,28.0,667/1000,95,118.0
