,note_name,start_time,duration,velocity,tempo
0,E3,4.0,373/250,127,96.0
1,B3,4.5,123/250,127,96.0
2,C4,5.0,0.5,127,96.0
3,G4,5.0,1/10,127,96.0
4,D4,5.0,1/10,127,96.0
5,B2,5.5,0.75,127,96.0
6,D4,5.5,1.25,127,96.0
7,A3,5.5,1.25,127,96.0
8,B2,6.5,0.75,127,96.0
9,A3,7.0,1/10,127,96.0
10,D4,7.0,1/10,127,96.0
11,D3,7.5,0.5,127,96.0
12,F#4,7.5,0.5,127,96.0
13,D4,7.5,0.5,127,96.0
14,D3,8.0,0.25,127,96.0
15,F#4,8.0,667/1000,127,96.0
16,D4,8.0,667/1000,127,96.0
17,D3,8.5,0.75,127,96.0
18,F#4,9.0,1/10,127,96.0
19,D4,9.0,1/10,127,96.0
20,A2,9.5,0.75,127,96.0
21,E4,9.5,1167/1000,127,96.0
22,C4,9.5,1167/1000,127,96.0
23,G3,9.5,1167/1000,127,96.0
24,A2,10.5,0.75,127,96.0
25,C4,11.0,0.75,127,96.0
26,E4,11.0,0.75,127,96.0
27,G3,11.0,0.75,127,96.0
28,A2,11.5,0.25,127,96.0
29,E2,12.0,373/250,127,96.0
30,E3,12.0,373/250,127,96.0
31,B3,12.5,123/250,127,96.0
32,C4,13.0,0.5,127,96.0
33,G4,13.0,1/10,127,96.0
34,D4,13.0,1/10,127,96.0
35,B2,13.5,0.75,127,96.0
36,D4,13.5,1.25,127,96.0
37,A3,13.5,1.25,127,96.0
38,B2,14.5,0.75,127,96.0
39,A3,15.0,1/10,127,96.0
40,D4,15.0,1/10,127,96.0
41,D3,15.5,0.5,127,96.0
42,F#4,15.5,0.5,127,96.0
43,D4,15.5,0.5,127,96.0
44,D3,16.0,0.25,127,96.0
45,F#4,16.0,667/1000,127,96.0
46,D4,16.0,667/1000,127,96.0
47,D3,16.5,0.75,127,96.0
48,F#4,17.0,1/10,127,96.0
49,D4,17.0,1/10,127,96.0
50,A2,17.5,0.75,127,96.0
51,E4,17.5,1167/1000,127,96.0
52,C4,17.5,1167/1000,127,96.0
53,G3,17.5,1167/1000,127,96.0
54,A2,18.5,0.75,127,96.0
55,C4,19.0,0.75,127,96.0
56,E4,19.0,0.75,127,96.0
57,G3,19.0,0.75,127,96.0
58,A2,19.5,0.25,127,96.0
59,B-2,19.5,0.5,127,96.0
60,E2,20.0,1.25,127,96.0
61,E3,20.0,373/250,127,96.0
62,C2,20.0,0.25,127,96.0
63,G#2,20.0,0.125,127,96.0
64,G3,20.0,1.25,127,96.0
65,E4,20.0,1.25,127,96.0
66,E2,20.0,1.25,127,96.0
67,B3,20.0,1.25,127,96.0
68,B3,20.5,123/250,127,96.0
69,F#2,20.5,0.125,60,96.0
70,B3,20.508,121/500,127,96.0
71,B3,20.975,11/20,127,96.0
72,C4,21.0,0.5,127,96.0
73,C#2,21.0,0.25,127,96.0
74,F#2,21.0,0.125,127,96.0
75,G4,21.0,1/10,127,96.0
76,D4,21.0,1/10,127,96.0
77,D4,21.467,24/125,127,96.0
78,B1,21.5,1.75,127,96.0
79,B2,21.5,0.75,127,96.0
80,C2,21.5,0.25,127,96.0
81,F#2,21.5,0.125,60,96.0
82,D4,21.5,1.25,127,96.0
83,A3,21.5,1.25,127,96.0
84,B3,21.5,1.75,127,96.0
85,F#3,21.5,1.75,127,96.0
86,B1,21.5,1.75,127,96.0
87,D4,21.5,1.75,127,96.0
88,D4,21.933,1.125,127,96.0
89,C2,22.0,0.25,127,96.0
90,F#2,22.0,0.125,127,96.0
91,B2,22.5,0.75,127,96.0
92,F#2,22.5,0.125,60,96.0
93,C#2,23.0,0.25,127,96.0
94,F#2,23.0,0.125,127,96.0
95,A3,23.0,1/10,127,96.0
96,D4,23.0,1/10,127,96.0
97,A3,23.008,183/1000,127,96.0
98,A3,23.467,533/1000,127,96.0
99,D2,23.5,0.5,127,96.0
100,D3,23.5,0.5,127,96.0
101,C2,23.5,0.25,127,96.0
102,F#2,23.5,0.125,60,96.0
103,F#4,23.5,0.5,127,96.0
104,D4,23.5,0.5,127,96.0
105,D2,23.5,0.5,127,96.0
106,A3,23.5,0.5,127,96.0
107,F#3,23.5,0.5,127,96.0
108,D4,23.5,0.5,127,96.0
109,D2,24.0,1.25,127,96.0
110,D3,24.0,0.25,127,96.0
111,A3,24.0,533/1000,127,96.0
112,F#2,24.0,0.125,127,96.0
113,F#4,24.0,667/1000,127,96.0
114,D4,24.0,667/1000,127,96.0
115,D2,24.0,1.25,127,96.0
116,A3,24.0,1.25,127,96.0
117,F#3,24.0,1.25,127,96.0
118,D4,24.0,1.25,127,96.0
119,D3,24.5,0.75,127,96.0
120,F#2,24.5,0.125,60,96.0
121,C4,24.508,617/1000,127,96.0
122,C#2,25.0,0.25,127,96.0
123,F#2,25.0,0.125,127,96.0
124,F#4,25.0,1/10,127,96.0
125,D4,25.0,1/10,127,96.0
126,A1,25.5,2033/1000,127,96.0
127,A2,25.5,0.75,127,96.0
128,C2,25.5,0.25,127,96.0
129,F#2,25.5,0.125,60,96.0
130,E4,25.5,1167/1000,127,96.0
131,C4,25.5,1167/1000,127,96.0
132,G3,25.5,1167/1000,127,96.0
133,C4,25.5,249/125,127,96.0
134,E3,25.5,249/125,127,96.0
135,A1,25.5,249/125,127,96.0
136,G3,25.5,249/125,127,96.0
137,C4,25.508,1067/1000,127,96.0
138,C2,26.0,0.25,127,96.0
139,F#2,26.0,0.125,127,96.0
140,A2,26.5,0.75,127,96.0
141,B3,26.5,1/5,127,96.0
142,F#2,26.5,0.125,60,96.0
143,B3,26.975,41/40,127,96.0
144,C#2,27.0,0.25,127,96.0
145,F#2,27.0,0.125,127,96.0
146,C4,27.0,0.75,127,96.0
147,E4,27.0,0.75,127,96.0
148,G3,27.0,0.75,127,96.0
149,A2,27.5,0.25,127,96.0
150,B-2,27.5,0.5,127,96.0
151,E2,28.0,1.25,127,96.0
152,B3,28.0,3/20,127,96.0
153,C2,28.0,0.25,127,96.0
154,G#2,28.0,0.125,127,96.0
155,E2,28.0,373/250,127,96.0
156,E3,28.0,373/250,127,96.0
157,E4,28.0,1.25,127,96.0
158,G3,28.0,1.25,127,96.0
159,E2,28.0,1.25,127,96.0
160,B3,28.0,1.25,127,96.0
161,B3,28.5,123/250,127,96.0
162,F#2,28.5,0.125,60,96.0
163,B3,28.517,121/500,127,96.0
164,B3,28.992,483/1000,127,96.0
165,C4,29.0,0.5,127,96.0
166,C#2,29.0,0.25,127,96.0
167,F#2,29.0,0.125,127,96.0
168,G4,29.0,1/10,127,96.0
169,D4,29.0,1/10,127,96.0
170,D4,29.433,24/125,127,96.0
171,B1,29.5,1.75,127,96.0
172,B2,29.5,0.75,127,96.0
173,C2,29.5,0.25,127,96.0
174,F#2,29.5,0.125,60,96.0
175,D4,29.5,1.25,127,96.0
176,A3,29.5,1.25,127,96.0
177,F#3,29.5,1.75,127,96.0
178,D4,29.5,1.75,127,96.0
179,B1,29.5,1.75,127,96.0
180,B3,29.5,1.75,127,96.0
181,D4,29.95,21/20,127,96.0
182,C2,30.0,0.25,127,96.0
183,F#2,30.0,0.125,127,96.0
184,B2,30.5,0.75,127,96.0
185,F#2,30.5,0.125,60,96.0
186,A3,30.942,333/1000,127,96.0
187,C#2,31.0,0.25,127,96.0
188,F#2,31.0,0.125,127,96.0
189,A3,31.0,1/10,127,96.0
190,D4,31.0,1/10,127,96.0
191,D2,31.5,0.5,127,96.0
192,D3,31.5,0.5,127,96.0
193,C2,31.5,0.25,127,96.0
194,F#2,31.5,0.125,60,96.0
195,F#4,31.5,0.5,127,96.0
196,D4,31.5,0.5,127,96.0
197,D4,31.5,0.5,127,96.0
198,A3,31.5,0.5,127,96.0
199,D2,31.5,0.5,127,96.0
200,F#3,31.5,0.5,127,96.0
201,A3,31.508,0.25,127,96.0
202,D2,32.0,1.25,127,96.0
203,D3,32.0,0.25,127,96.0
204,F#2,32.0,0.125,127,96.0
205,F#4,32.0,667/1000,127,96.0
206,D4,32.0,667/1000,127,96.0
207,D4,32.0,1.25,127,96.0
208,A3,32.0,1.25,127,96.0
209,D2,32.0,1.25,127,96.0
210,F#3,32.0,1.25,127,96.0
211,D3,32.5,0.75,127,96.0
212,F#2,32.5,0.125,60,96.0
213,C4,32.542,333/1000,127,96.0
214,C#2,33.0,0.25,127,96.0
215,F#2,33.0,0.125,127,96.0
216,F#4,33.0,1/10,127,96.0
217,D4,33.0,1/10,127,96.0
218,A1,33.5,427/250,127,96.0
219,A2,33.5,0.75,127,96.0
220,C4,33.5,2.375,127,96.0
221,C2,33.5,0.25,127,96.0
222,F#2,33.5,0.125,60,96.0
223,E4,33.5,1167/1000,127,96.0
224,C4,33.5,1167/1000,127,96.0
225,G3,33.5,1167/1000,127,96.0
226,E3,33.5,249/125,127,96.0
227,G3,33.5,249/125,127,96.0
228,A1,33.5,249/125,127,96.0
229,C4,33.5,249/125,127,96.0
230,C2,34.0,0.25,127,96.0
231,F#2,34.0,0.125,127,96.0
232,A2,34.5,0.75,127,96.0
233,F#2,34.5,0.125,60,96.0
234,C#2,35.0,0.25,127,96.0
235,F#2,35.0,0.125,127,96.0
236,C4,35.0,0.75,127,96.0
237,E4,35.0,0.75,127,96.0
238,G3,35.0,0.75,127,96.0
239,A1,35.5,123/250,127,96.0
240,A2,35.5,0.25,127,96.0
241,B-2,35.5,0.5,127,96.0
242,G1,36.0,1.25,127,96.0
243,G2,36.0,1167/1000,127,96.0
244,C2,36.0,0.25,127,96.0
245,G#2,36.0,0.125,127,96.0
246,G2,36.0,1.25,127,96.0
247,B3,36.0,1.25,127,96.0
248,G3,36.0,1.25,127,96.0
249,D4,36.0,1.25,127,96.0
250,F#2,36.5,0.125,60,96.0
251,B3,36.525,26/125,127,96.0
252,B3,36.75,167/1000,127,96.0
