,note_name,start_time,duration,velocity,tempo
0,B-2,0.0,0.75,95,120.0
1,B-2,0.75,0.25,95,120.0
2,G2,1.0,0.75,95,120.0
3,F2,1.75,0.25,95,120.0
4,F2,2.0,0.5,95,120.0
5,F2,2.5,0.5,95,120.0
6,F2,3.25,0.25,95,120.0
7,G2,3.5,0.25,95,120.0
8,F2,3.75,0.25,95,120.0
9,B-2,4.0,0.75,95,120.0
10,B-2,4.75,0.25,95,120.0
11,G2,5.0,0.75,95,120.0
12,F2,5.75,0.25,95,120.0
13,F2,6.0,0.5,95,120.0
14,F2,6.5,0.5,95,120.0
15,F2,7.25,0.25,95,120.0
16,G2,7.5,0.25,95,120.0
17,F2,7.75,0.25,95,120.0
18,B-2,8.0,0.75,95,120.0
19,B-2,8.75,0.25,95,120.0
20,G2,9.0,0.75,95,120.0
21,F#2,9.0,1.0,95,120.0
22,F2,9.75,0.25,95,120.0
23,F2,10.0,0.5,95,120.0
24,F#2,10.0,1.0,95,120.0
25,F2,10.5,0.5,95,120.0
26,F#2,11.0,0.5,95,120.0
27,F2,11.25,0.25,95,120.0
28,G2,11.5,0.25,95,120.0
29,F#2,11.5,0.5,95,120.0
30,F2,11.75,0.25,95,120.0
31,D5,12.0,0.5,95,120.0
32,B-1,12.0,0.75,95,120.0
33,C#4,12.0,0.75,95,120.0
34,C#2,12.0,0.25,79,120.0
35,F#2,12.0,0.25,79,120.0
36,F5,12.5,0.25,95,120.0
37,B-2,12.5,0.375,79,120.0
38,D5,12.75,0.25,95,120.0
39,B-1,12.75,0.25,95,120.0
40,D4,12.75,0.25,95,120.0
41,C5,13.0,0.5,95,120.0
42,G1,13.0,0.75,95,120.0
43,C#4,13.0,0.75,95,120.0
44,C#2,13.0,0.25,71,120.0
45,F#2,13.0,0.25,71,120.0
46,B-4,13.5,0.25,95,120.0
47,B-2,13.5,0.375,79,120.0
48,G4,13.75,0.25,95,120.0
49,F1,13.75,0.25,95,120.0
50,D4,13.75,0.25,95,120.0
51,F4,14.0,0.25,95,120.0
52,F1,14.0,0.5,95,120.0
53,C#4,14.0,0.5,95,120.0
54,C#2,14.0,0.25,71,120.0
55,F#2,14.0,0.25,71,120.0
56,B-4,14.25,0.25,95,120.0
57,G4,14.5,0.25,95,120.0
58,F1,14.5,0.5,95,120.0
59,E4,14.5,1.5,95,120.0
60,B-2,14.5,0.25,63,120.0
61,D4,14.75,0.5,95,120.0
62,C#2,15.0,0.25,71,120.0
63,F#2,15.0,0.25,71,120.0
64,F4,15.25,0.25,95,120.0
65,F1,15.25,0.25,95,120.0
66,G4,15.5,0.25,95,120.0
67,G1,15.5,0.25,95,120.0
68,B-2,15.5,0.5,95,120.0
69,D4,15.75,0.25,95,120.0
70,F1,15.75,0.25,95,120.0
71,F4,16.0,0.5,95,120.0
72,B-1,16.0,0.75,95,120.0
73,C#4,16.0,0.75,95,120.0
74,C#2,16.0,0.25,79,120.0
75,F#2,16.0,0.25,79,120.0
76,G4,16.5,0.25,95,120.0
77,B-2,16.5,0.375,79,120.0
78,B-4,16.75,0.25,95,120.0
79,B-1,16.75,0.25,95,120.0
80,D4,16.75,0.25,95,120.0
81,C5,17.0,0.25,95,120.0
82,G1,17.0,0.75,95,120.0
83,C#4,17.0,0.75,95,120.0
84,C#2,17.0,0.25,71,120.0
85,F#2,17.0,0.25,71,120.0
86,G4,17.25,0.25,95,120.0
87,B-4,17.5,0.25,95,120.0
88,B-2,17.5,0.375,79,120.0
89,D5,17.75,0.25,95,120.0
90,F1,17.75,0.25,95,120.0
91,D4,17.75,0.25,95,120.0
92,F1,18.0,0.5,95,120.0
93,C#4,18.0,0.5,95,120.0
94,C#2,18.0,0.25,71,120.0
95,F#2,18.0,0.25,71,120.0
96,C5,18.25,0.25,95,120.0
97,D5,18.5,1.5,95,120.0
98,F1,18.5,0.5,95,120.0
99,E4,18.5,0.5,95,120.0
100,B-2,18.5,0.25,63,120.0
101,C#2,19.0,0.25,71,120.0
102,F#2,19.0,0.25,71,120.0
103,F1,19.25,0.25,95,120.0
104,C#4,19.25,0.25,95,120.0
105,G1,19.5,0.25,95,120.0
106,E4,19.5,0.25,95,120.0
107,B-2,19.5,0.5,95,120.0
108,F1,19.75,0.25,95,120.0
109,C#4,19.75,0.25,95,120.0
110,B-1,20.0,0.75,95,120.0
111,C#4,20.0,0.75,95,120.0
112,C#2,20.0,0.25,79,120.0
113,F#2,20.0,0.25,79,120.0
114,B-2,20.5,0.375,79,120.0
115,B-1,20.75,0.25,95,120.0
116,D4,20.75,0.25,95,120.0
117,G1,21.0,0.75,95,120.0
118,C#4,21.0,0.75,95,120.0
119,C#2,21.0,0.25,71,120.0
120,F#2,21.0,0.25,71,120.0
121,B-2,21.5,0.375,79,120.0
122,F1,21.75,0.25,95,120.0
123,D4,21.75,0.25,95,120.0
124,F1,22.0,0.5,95,120.0
125,C#4,22.0,0.5,95,120.0
126,C#2,22.0,0.25,71,120.0
127,F#2,22.0,0.25,71,120.0
128,A5,22.5,0.25,95,120.0
129,F1,22.5,0.5,95,120.0
130,E4,22.5,1.5,95,120.0
131,B-2,22.5,0.25,63,120.0
132,G5,22.75,0.25,95,120.0
133,F5,23.0,0.5,95,120.0
134,C#2,23.0,0.25,71,120.0
135,F#2,23.0,0.25,71,120.0
136,F1,23.25,0.25,95,120.0
137,G5,23.5,0.5,95,120.0
138,G1,23.5,0.25,95,120.0
139,B-2,23.5,0.5,95,120.0
140,F1,23.75,0.25,95,120.0
141,D5,24.0,4.0,95,120.0
142,B-1,24.0,0.75,95,120.0
143,C#4,24.0,0.75,95,120.0
144,C#2,24.0,0.25,79,120.0
145,F#2,24.0,0.25,79,120.0
146,B-2,24.5,0.375,79,120.0
147,B-1,24.75,0.25,95,120.0
148,D4,24.75,0.25,95,120.0
149,G1,25.0,0.75,95,120.0
150,C#4,25.0,0.75,95,120.0
151,C#2,25.0,0.25,71,120.0
152,F#2,25.0,0.25,71,120.0
153,B-2,25.5,0.375,79,120.0
154,F1,25.75,0.25,95,120.0
155,D4,25.75,0.25,95,120.0
156,F1,26.0,0.5,95,120.0
157,C#4,26.0,0.5,95,120.0
158,C#2,26.0,0.25,71,120.0
159,F#2,26.0,0.25,71,120.0
160,F1,26.5,0.5,95,120.0
161,E4,26.5,0.5,95,120.0
162,B-2,26.5,0.25,63,120.0
163,C#2,27.0,0.25,71,120.0
164,F#2,27.0,0.25,71,120.0
165,F1,27.25,0.25,95,120.0
166,C#4,27.25,0.25,95,120.0
167,G1,27.5,0.25,95,120.0
168,E4,27.5,0.25,95,120.0
169,B-2,27.5,0.5,95,120.0
170,F1,27.75,0.25,95,120.0
171,C#4,27.75,0.25,95,120.0
172,D5,28.0,0.5,95,120.0
173,B-1,28.0,0.75,95,120.0
174,C#4,28.0,0.75,95,120.0
175,C#2,28.0,0.25,79,120.0
176,F#2,28.0,0.25,79,120.0
177,F5,28.5,0.25,95,120.0
178,B-2,28.5,0.375,79,120.0
179,D5,28.75,0.25,95,120.0
180,B-1,28.75,0.25,95,120.0
181,D4,28.75,0.25,95,120.0
182,C5,29.0,0.5,95,120.0
183,G1,29.0,0.75,95,120.0
184,C#4,29.0,0.75,95,120.0
185,C#2,29.0,0.25,71,120.0
186,F#2,29.0,0.25,71,120.0
187,B-4,29.5,0.25,95,120.0
188,B-2,29.5,0.375,79,120.0
189,G4,29.75,0.25,95,120.0
190,F1,29.75,0.25,95,120.0
191,D4,29.75,0.25,95,120.0
192,F4,30.0,0.25,95,120.0
193,F1,30.0,0.5,95,120.0
194,C#4,30.0,0.5,95,120.0
195,C#2,30.0,0.25,71,120.0
196,F#2,30.0,0.25,71,120.0
197,B-4,30.25,0.25,95,120.0
198,G4,30.5,0.25,95,120.0
199,F1,30.5,0.5,95,120.0
200,E4,30.5,1.5,95,120.0
201,B-2,30.5,0.25,63,120.0
202,D4,30.75,0.25,95,120.0
203,F4,31.0,0.75,95,120.0
204,C#2,31.0,0.25,71,120.0
205,F#2,31.0,0.25,71,120.0
206,F1,31.25,0.25,95,120.0
207,G1,31.5,0.25,95,120.0
208,B-2,31.5,0.5,95,120.0
209,G4,31.75,0.25,95,120.0
210,F1,31.75,0.25,95,120.0
211,B-1,32.0,0.75,95,120.0
212,C#4,32.0,0.75,95,120.0
213,C#2,32.0,0.25,79,120.0
214,F#2,32.0,0.25,79,120.0
215,D4,32.25,0.25,95,120.0
216,G4,32.5,0.25,95,120.0
217,B-2,32.5,0.375,79,120.0
218,F4,32.75,0.25,95,120.0
219,B-1,32.75,0.25,95,120.0
220,D4,32.75,0.25,95,120.0
221,B-4,33.0,0.5,95,120.0
222,G1,33.0,0.75,95,120.0
223,C#4,33.0,0.75,95,120.0
224,C#2,33.0,0.25,71,120.0
225,F#2,33.0,0.25,71,120.0
226,G4,33.5,0.25,95,120.0
227,B-2,33.5,0.375,79,120.0
228,D4,33.75,0.25,95,120.0
229,F1,33.75,0.25,95,120.0
230,D4,33.75,0.25,95,120.0
231,G4,34.0,0.25,95,120.0
232,F1,34.0,0.5,95,120.0
