,note_name,start_time,duration,velocity,tempo
0,G2,0.0,1.0,95,240.0
1,D4,1.0,1.0,95,240.0
2,B3,1.0,1.0,95,240.0
3,G3,1.0,1.0,95,240.0
4,D3,1.0,1.0,95,240.0
5,D2,2.0,667/1000,95,240.0
6,D4,2.667,333/1000,95,240.0
7,B3,2.667,333/1000,95,240.0
8,G3,2.667,333/1000,95,240.0
9,D3,3.0,1.0,95,240.0
10,D4,4.0,1.0,95,240.0
11,B3,4.0,1.0,95,240.0
12,G3,4.0,1.0,95,240.0
13,G2,4.0,1.0,95,240.0
14,D3,5.0,667/1000,95,240.0
15,D4,5.667,333/1000,95,240.0
16,B3,5.667,333/1000,95,240.0
17,G3,5.667,333/1000,95,240.0
18,D2,6.0,1.0,95,240.0
19,D4,7.0,1.0,95,240.0
20,B3,7.0,1.0,95,240.0
21,G3,7.0,1.0,95,240.0
22,D3,7.0,1.0,95,240.0
23,G2,8.0,1.0,95,240.0
24,D4,9.0,1.0,95,240.0
25,B3,9.0,1.0,95,240.0
26,G3,9.0,1.0,95,240.0
27,D3,9.0,1.0,95,240.0
28,D2,10.0,667/1000,95,240.0
29,D4,10.667,333/1000,95,240.0
30,B3,10.667,333/1000,95,240.0
31,G3,10.667,333/1000,95,240.0
32,D3,11.0,1.0,95,240.0
33,D4,12.0,1.0,95,240.0
34,B3,12.0,1.0,95,240.0
35,G3,12.0,1.0,95,240.0
36,G2,12.0,1.0,95,240.0
37,D3,13.0,667/1000,95,240.0
38,D4,13.667,333/1000,95,240.0
39,B3,13.667,333/1000,95,240.0
40,G3,13.667,333/1000,95,240.0
41,D2,14.0,1.0,95,240.0
42,D4,15.0,1.0,95,240.0
43,B3,15.0,1.0,95,240.0
44,G3,15.0,1.0,95,240.0
45,D3,15.0,1.0,95,240.0
46,D4,16.0,1.0,95,240.0
47,B3,16.0,1.0,95,240.0
48,G3,16.0,1.0,95,240.0
49,G2,16.0,1.0,95,240.0
50,D3,17.0,667/1000,95,240.0
51,D4,17.667,333/1000,95,240.0
52,B3,17.667,333/1000,95,240.0
53,G3,17.667,333/1000,95,240.0
54,D2,18.0,1.0,95,240.0
55,D4,19.0,667/1000,95,240.0
56,B3,19.0,667/1000,95,240.0
57,G3,19.0,667/1000,95,240.0
58,D3,19.0,667/1000,95,240.0
59,B-3,19.667,333/1000,95,240.0
60,B3,20.0,1.0,95,240.0
61,G2,20.0,1.0,95,240.0
62,E4,21.0,1.0,95,240.0
63,D3,21.0,1.0,95,240.0
64,D4,22.0,667/1000,95,240.0
65,D2,22.0,667/1000,95,240.0
66,E4,22.667,333/1000,95,240.0
67,D4,23.0,667/1000,95,240.0
68,D3,23.0,667/1000,95,240.0
69,B-3,23.667,333/1000,95,240.0
70,B3,24.0,1.0,95,240.0
71,G2,24.0,1.0,95,240.0
72,E4,25.0,1.0,95,240.0
73,D3,25.0,1.0,95,240.0
74,D4,26.0,667/1000,95,240.0
75,D2,26.0,667/1000,95,240.0
76,E4,26.667,333/1000,95,240.0
77,D4,27.0,667/1000,95,240.0
78,D3,27.0,667/1000,95,240.0
79,B-3,27.667,333/1000,95,240.0
80,B3,28.0,1.0,95,240.0
81,G2,28.0,1.0,95,240.0
82,E4,29.0,1.0,95,240.0
83,D3,29.0,1.0,95,240.0
84,D4,30.0,667/1000,95,240.0
85,D2,30.0,667/1000,95,240.0
86,E4,30.667,333/1000,95,240.0
87,D4,31.0,667/1000,95,240.0
88,D3,31.0,667/1000,95,240.0
89,B-3,31.667,333/1000,95,240.0
90,B3,32.0,1.0,95,240.0
91,G2,32.0,1.0,95,240.0
92,G3,33.0,1.0,95,240.0
93,D3,33.0,1.0,95,240.0
94,E3,34.0,1.0,95,240.0
95,D2,34.0,1.0,95,240.0
96,D3,35.0,667/1000,95,240.0
97,B-3,35.667,333/1000,95,240.0
98,B3,36.0,1.0,95,240.0
99,G2,36.0,1.0,95,240.0
100,E4,37.0,1.0,95,240.0
101,D3,37.0,1.0,95,240.0
102,D4,38.0,667/1000,95,240.0
103,D2,38.0,667/1000,95,240.0
104,E4,38.667,333/1000,95,240.0
105,D4,39.0,667/1000,95,240.0
106,D3,39.0,667/1000,95,240.0
107,B-3,39.667,333/1000,95,240.0
108,B3,40.0,1.0,95,240.0
109,G2,40.0,1.0,95,240.0
110,E4,41.0,1.0,95,240.0
111,D3,41.0,1.0,95,240.0
112,D4,42.0,667/1000,95,240.0
113,D2,42.0,667/1000,95,240.0
114,E4,42.667,333/1000,95,240.0
115,D4,43.0,667/1000,95,240.0
116,D3,43.0,667/1000,95,240.0
117,B-3,43.667,333/1000,95,240.0
118,B3,44.0,1.0,95,240.0
119,G2,44.0,1.0,95,240.0
120,E4,45.0,1.0,95,240.0
121,D3,45.0,1.0,95,240.0
122,D4,46.0,667/1000,95,240.0
123,D2,46.0,667/1000,95,240.0
124,E4,46.667,333/1000,95,240.0
125,D4,47.0,667/1000,95,240.0
126,D3,47.0,667/1000,95,240.0
127,B-3,47.667,333/1000,95,240.0
128,B3,48.0,1.0,95,240.0
129,G2,48.0,1.0,95,240.0
130,B-3,49.0,667/1000,95,240.0
131,D3,49.0,667/1000,95,240.0
132,B3,49.667,333/1000,95,240.0
133,G3,50.0,1.0,95,240.0
134,D2,50.0,1.0,95,240.0
135,D3,51.0,1.0,95,240.0
136,B3,52.0,1.0,95,240.0
137,G2,52.0,1.0,95,240.0
138,E4,53.0,1.0,95,240.0
139,D3,53.0,1.0,95,240.0
140,D4,54.0,667/1000,95,240.0
141,D2,54.0,667/1000,95,240.0
142,E4,54.667,333/1000,95,240.0
143,D4,55.0,667/1000,95,240.0
144,D3,55.0,667/1000,95,240.0
145,B-3,55.667,333/1000,95,240.0
146,B3,56.0,1.0,95,240.0
147,G2,56.0,1.0,95,240.0
148,E4,57.0,1.0,95,240.0
149,D3,57.0,1.0,95,240.0
150,D4,58.0,667/1000,95,240.0
151,D2,58.0,667/1000,95,240.0
152,E4,58.667,333/1000,95,240.0
153,D4,59.0,667/1000,95,240.0
154,D3,59.0,667/1000,95,240.0
155,B-3,59.667,333/1000,95,240.0
156,B3,60.0,1.0,95,240.0
157,G2,60.0,1.0,95,240.0
158,E4,61.0,1.0,95,240.0
159,D3,61.0,1.0,95,240.0
160,D4,62.0,667/1000,95,240.0
161,D2,62.0,667/1000,95,240.0
162,E4,62.667,333/1000,95,240.0
163,D4,63.0,667/1000,95,240.0
164,D3,63.0,667/1000,95,240.0
165,B-3,63.667,333/1000,95,240.0
166,B3,64.0,1.0,95,240.0
167,G2,64.0,1.0,95,240.0
168,G3,65.0,1.0,95,240.0
169,D3,65.0,1.0,95,240.0
170,E3,66.0,1.0,95,240.0
171,D2,66.0,1.0,95,240.0
172,D3,67.0,667/1000,95,240.0
173,B-3,67.667,333/1000,95,240.0
174,B3,68.0,1.0,95,240.0
175,G2,68.0,1.0,95,240.0
176,E4,69.0,1.0,95,240.0
177,D3,69.0,1.0,95,240.0
178,D4,70.0,667/1000,95,240.0
179,D2,70.0,667/1000,95,240.0
180,E4,70.667,333/1000,95,240.0
181,D4,71.0,667/1000,95,240.0
182,D3,71.0,667/1000,95,240.0
183,B-3,71.667,333/1000,95,240.0
184,B3,72.0,1.0,95,240.0
185,G2,72.0,1.0,95,240.0
186,E4,73.0,1.0,95,240.0
187,D3,73.0,1.0,95,240.0
188,D4,74.0,667/1000,95,240.0
189,D2,74.0,667/1000,95,240.0
190,E4,74.667,333/1000,95,240.0
191,D4,75.0,667/1000,95,240.0
192,D3,75.0,667/1000,95,240.0
193,B-3,75.667,333/1000,95,240.0
194,G4,76.0,667/1000,95,240.0
195,E4,76.0,667/1000,95,240.0
196,D2,76.0,667/1000,95,240.0
197,F4,76.667,333/1000,95,240.0
198,D4,76.667,333/1000,95,240.0
199,D4,77.0,1.0,95,240.0
200,B3,77.0,1.0,95,240.0
201,D3,77.0,1.0,95,240.0
202,D4,78.0,667/1000,95,240.0
203,B3,78.0,667/1000,95,240.0
204,D2,78.0,667/1000,95,240.0
205,C4,78.667,333/1000,95,240.0
206,A3,78.667,333/1000,95,240.0
207,B3,79.0,1.0,95,240.0
208,G3,79.0,1.0,95,240.0
209,D2,79.0,1.0,95,240.0
210,C#4,80.0,667/1000,95,240.0
211,B-3,80.0,667/1000,95,240.0
212,G2,80.0,667/1000,95,240.0
213,D4,80.667,333/1000,95,240.0
214,B3,80.667,333/1000,95,240.0
215,C#4,81.0,667/1000,95,240.0
216,B-3,81.0,667/1000,95,240.0
217,D3,81.0,667/1000,95,240.0
218,D4,81.667,333/1000,95,240.0
219,B3,81.667,333/1000,95,240.0
220,B3,82.0,1.0,95,240.0
221,G3,82.0,1.0,95,240.0
222,D2,82.0,1.0,95,240.0
223,D3,83.0,1.0,95,240.0
224,B3,84.0,1.0,95,240.0
225,G2,84.0,1.0,95,240.0
226,F3,85.0,1.0,95,240.0
227,D2,86.0,667/1000,95,240.0
228,C4,86.667,333/1000,95,240.0
229,B3,87.0,1.0,95,240.0
230,D3,87.0,1.0,95,240.0
231,G3,88.0,1.0,95,240.0
232,G2,88.0,1.0,95,240.0
233,F3,89.0,667/1000,95,240.0
234,A3,89.667,333/1000,95,240.0
235,D2,90.0,667/1000,95,240.0
236,B3,90.667,333/1000,95,240.0
237,F3,91.0,1.0,95,240.0
238,C4,92.0,1.0,95,240.0
239,E2,92.0,1.0,95,240.0
240,E3,93.0,1.0,95,240.0
241,E2,94.0,667/1000,95,240.0
242,D4,94.667,333/1000,95,240.0
243,E3,95.0,1.0,95,240.0
244,E4,96.0,1.0,95,240.0
245,E2,96.0,1.0,95,240.0
246,E3,97.0,667/1000,95,240.0
247,E4,97.667,333/1000,95,240.0
248,D4,98.0,667/1000,95,240.0
249,E2,98.0,667/1000,95,240.0
250,C4,98.667,333/1000,95,240.0
251,E3,99.0,1.0,95,240.0
252,B3,100.0,1.0,95,240.0
253,G2,100.0,1.0,95,240.0
254,D3,101.0,1.0,95,240.0
255,D2,102.0,667/1000,95,240.0
256,C4,102.667,333/1000,95,240.0
257,B3,103.0,1.0,95,240.0
258,D3,103.0,1.0,95,240.0
259,G3,104.0,1.0,95,240.0
260,G2,104.0,1.0,95,240.0
261,D3,105.0,667/1000,95,240.0
262,A3,105.667,333/1000,95,240.0
263,D2,106.0,667/1000,95,240.0
264,B3,106.667,333/1000,95,240.0
265,D3,107.0,1.0,95,240.0
266,A3,108.0,1.0,95,240.0
267,A2,108.0,1.0,95,240.0
268,D3,109.0,667/1000,95,240.0
269,C4,109.667,333/1000,95,240.0
270,D2,110.0,667/1000,95,240.0
271,D4,110.667,333/1000,95,240.0
272,D3,111.0,1.0,95,240.0
273,B-3,112.0,1.0,95,240.0
274,B-2,112.0,1.0,95,240.0
275,D3,113.0,667/1000,95,240.0
276,C4,113.667,333/1000,95,240.0
277,D2,114.0,667/1000,95,240.0
278,D4,114.667,333/1000,95,240.0
279,D3,115.0,1.0,95,240.0
280,B3,116.0,1.0,95,240.0
281,G2,116.0,1.0,95,240.0
282,F3,117.0,1.0,95,240.0
283,D2,118.0,667/1000,95,240.0
284,C4,118.667,333/1000,95,240.0
285,B3,119.0,1.0,95,240.0
286,D3,119.0,1.0,95,240.0
287,G3,120.0,1.0,95,240.0
288,G2,120.0,1.0,95,240.0
289,F3,121.0,667/1000,95,240.0
