,note_name,start_time,duration,velocity,tempo
0,B4,0.0,4.0,45,140.0
1,G2,0.0,0.25,55,140.0
2,B4,0.0,4.0,50,140.0
3,B4,0.0,0.125,50,140.0
4,B-2,0.0,1.0,64,140.0
5,C2,0.0,0.25,110,140.0
6,B4,0.125,0.125,50,140.0
7,G2,0.25,0.25,55,140.0
8,B4,0.25,0.125,50,140.0
9,C2,0.25,0.25,110,140.0
10,B4,0.375,0.125,50,140.0
11,B4,0.5,0.125,50,140.0
12,B4,0.625,0.125,50,140.0
13,B4,0.75,0.125,50,140.0
14,B4,0.875,0.125,50,140.0
15,B4,1.0,0.125,50,140.0
16,B-2,1.0,1.0,64,140.0
17,B4,1.125,0.125,50,140.0
18,B4,1.25,0.125,50,140.0
19,B4,1.375,0.125,50,140.0
20,G2,1.5,0.25,55,140.0
21,B4,1.5,0.125,50,140.0
22,C2,1.5,0.25,110,140.0
23,B4,1.625,0.125,50,140.0
24,G2,1.75,0.25,55,140.0
25,B4,1.75,0.125,50,140.0
26,C2,1.75,0.25,110,140.0
27,B4,1.875,0.125,50,140.0
28,B4,2.0,0.125,50,140.0
29,B-2,2.0,1.0,64,140.0
30,B4,2.125,0.125,50,140.0
31,B4,2.25,0.125,50,140.0
32,B4,2.375,0.125,50,140.0
33,B4,2.5,0.125,50,140.0
34,B4,2.625,0.125,50,140.0
35,B4,2.75,0.125,50,140.0
36,B4,2.875,0.125,50,140.0
37,B4,3.0,0.125,50,140.0
38,B-2,3.0,1.0,77,140.0
39,D2,3.0,1.0,77,140.0
40,B4,3.125,0.125,50,140.0
41,B4,3.25,0.125,50,140.0
42,B4,3.375,0.125,50,140.0
43,B4,3.5,0.125,50,140.0
44,B4,3.625,0.125,50,140.0
45,B4,3.75,0.125,50,140.0
46,B4,3.875,0.125,50,140.0
47,E5,3.875,0.125,50,140.0
48,F#5,4.0,0.5,45,140.0
49,G2,4.0,0.25,55,140.0
50,F#5,4.0,0.5,50,140.0
51,F#5,4.0,0.5,50,140.0
52,B-2,4.0,1.0,64,140.0
53,C2,4.0,0.5,110,140.0
54,G2,4.25,0.25,55,140.0
55,F#5,4.5,0.5,45,140.0
56,F#5,4.5,0.5,50,140.0
57,F#5,4.5,0.5,50,140.0
58,C2,4.5,0.5,110,140.0
59,C#5,5.0,0.75,45,140.0
60,C#5,5.0,0.75,50,140.0
61,C#5,5.0,0.75,50,140.0
62,B-2,5.0,1.0,64,140.0
63,D2,5.0,0.75,90,140.0
64,G2,5.5,0.25,55,140.0
65,B4,5.75,0.25,45,140.0
66,G2,5.75,0.25,55,140.0
67,B4,5.75,0.25,50,140.0
68,B4,5.75,0.25,50,140.0
69,C2,5.75,0.25,110,140.0
70,A5,6.0,1.25,45,140.0
71,A5,6.0,1.25,50,140.0
72,A5,6.0,1.25,50,140.0
73,B-2,6.0,1.0,64,140.0
74,C2,6.0,1.5,110,140.0
75,B-2,7.0,1.0,64,140.0
76,C6,7.25,0.25,45,140.0
77,C6,7.25,0.25,50,140.0
78,C6,7.25,0.25,50,140.0
79,D2,7.375,0.125,90,140.0
80,G5,7.5,0.5,45,140.0
81,G5,7.5,0.5,50,140.0
82,G5,7.5,0.5,50,140.0
83,D2,7.5,0.5,90,140.0
84,E5,8.0,0.25,45,140.0
85,G2,8.0,0.25,55,140.0
86,E5,8.0,0.25,50,140.0
87,E5,8.0,0.25,50,140.0
88,B-2,8.0,1.0,64,140.0
89,C2,8.0,0.25,110,140.0
90,A5,8.25,0.25,45,140.0
91,G2,8.25,0.25,55,140.0
92,A5,8.25,0.25,50,140.0
93,A5,8.25,0.25,50,140.0
94,C2,8.25,0.25,110,140.0
95,A5,8.5,3.5,45,140.0
96,A5,8.5,3.5,50,140.0
97,A5,8.5,0.625,50,140.0
98,D2,8.5,1.0,90,140.0
99,B-2,9.0,1.0,64,140.0
100,A5,9.125,0.125,50,140.0
101,A5,9.25,0.125,50,140.0
102,A5,9.375,0.125,50,140.0
103,G2,9.5,0.25,55,140.0
104,A5,9.5,0.125,50,140.0
105,C2,9.5,0.25,110,140.0
106,A5,9.625,0.125,50,140.0
107,G2,9.75,0.25,55,140.0
108,A5,9.75,0.125,50,140.0
109,C2,9.75,0.25,110,140.0
110,A5,9.875,0.125,50,140.0
111,A5,10.0,0.125,50,140.0
112,B-2,10.0,1.0,64,140.0
113,A5,10.125,0.125,50,140.0
114,A5,10.25,0.125,50,140.0
115,A5,10.375,0.125,50,140.0
116,A5,10.5,0.125,50,140.0
117,A5,10.625,0.125,50,140.0
118,A5,10.75,0.125,50,140.0
119,A5,10.875,0.125,50,140.0
120,A5,11.0,0.125,50,140.0
121,B-2,11.0,1.0,77,140.0
122,D2,11.0,1.0,77,140.0
123,A5,11.125,0.125,50,140.0
124,A5,11.25,0.125,50,140.0
125,A5,11.375,0.125,50,140.0
126,A5,11.5,0.125,50,140.0
127,A5,11.625,0.125,50,140.0
128,A5,11.75,0.125,50,140.0
129,A5,11.875,0.125,50,140.0
130,G2,12.0,0.25,55,140.0
131,B-2,12.0,1.0,64,140.0
132,C2,12.0,0.25,110,140.0
133,G2,12.25,0.25,55,140.0
134,C2,12.25,0.25,110,140.0
