,note_name,start_time,duration,velocity,tempo
0,B-3,5.0,667/1000,94,87.0
1,B-3,5.667,333/1000,94,87.0
2,D4,6.0,333/1000,94,87.0
3,B-3,6.333,333/1000,94,87.0
4,D4,6.667,333/1000,94,87.0
5,F4,7.0,333/1000,94,87.0
6,D4,7.333,333/1000,94,87.0
7,F4,7.667,333/1000,94,87.0
8,E-3,8.0,0.656,100,87.0
9,G4,8.0,0.125,94,87.0
10,E-2,8.0,1583/1000,100,87.0
11,C2,8.0,0.031,113,87.0
12,E-3,8.0,0.031,113,87.0
13,E-4,8.125,0.125,94,87.0
14,G4,8.25,0.125,94,87.0
15,E-3,8.333,0.031,77,87.0
16,E-4,8.375,0.125,94,87.0
17,G4,8.5,0.125,94,87.0
18,E-4,8.625,0.031,86,87.0
19,E-3,8.625,0.031,86,87.0
20,G4,8.75,0.125,94,87.0
21,E-4,8.875,0.125,94,87.0
22,E-3,9.0,0.656,100,87.0
23,G4,9.0,0.125,94,87.0
24,B-4,9.0,0.25,90,87.0
25,G4,9.0,0.25,90,87.0
26,E-4,9.0,0.25,90,87.0
27,E-3,9.0,0.031,106,87.0
28,D2,9.0,0.031,106,87.0
29,E-4,9.125,0.125,94,87.0
30,G4,9.25,0.125,94,87.0
31,E-3,9.333,0.031,74,87.0
32,E-4,9.375,0.125,94,87.0
33,G4,9.5,0.125,94,87.0
34,E-4,9.625,0.031,99,87.0
35,C2,9.625,0.031,99,87.0
36,E-3,9.625,0.031,99,87.0
37,G3,9.667,73/250,100,87.0
38,G2,9.667,73/250,100,87.0
39,G4,9.75,0.125,94,87.0
40,E-4,9.875,0.125,94,87.0
41,B-3,10.0,323/1000,100,87.0
42,G4,10.0,0.125,94,87.0
43,B-2,10.0,917/1000,100,87.0
44,C2,10.0,0.031,106,87.0
45,E-3,10.0,0.031,106,87.0
46,E-4,10.125,0.125,94,87.0
47,G4,10.25,0.125,94,87.0
48,E-3,10.333,0.031,77,87.0
49,E-4,10.375,0.125,94,87.0
50,G4,10.5,0.125,94,87.0
51,E-4,10.625,0.031,90,87.0
52,E-3,10.625,0.031,90,87.0
53,B-3,10.667,323/1000,100,87.0
54,G4,10.75,0.125,94,87.0
55,E-4,10.875,0.125,94,87.0
56,F#3,11.0,323/1000,100,87.0
57,G4,11.0,0.125,94,87.0
58,G2,11.0,583/1000,100,87.0
59,B-4,11.0,0.25,90,87.0
60,G4,11.0,0.25,90,87.0
61,E-4,11.0,0.25,90,87.0
62,D2,11.0,0.031,103,87.0
63,E-3,11.0,0.031,103,87.0
64,E-4,11.125,0.125,94,87.0
65,G4,11.25,0.125,94,87.0
66,G3,11.333,323/1000,100,87.0
67,E-3,11.333,0.031,78,87.0
68,E-4,11.375,0.125,94,87.0
69,G4,11.5,0.125,94,87.0
70,E-4,11.625,0.031,92,87.0
71,E-3,11.625,0.031,92,87.0
72,B-3,11.667,73/250,100,87.0
73,B-2,11.667,73/250,100,87.0
74,G4,11.75,0.125,94,87.0
75,E-4,11.875,0.125,94,87.0
76,E-3,12.0,0.656,100,87.0
77,G4,12.0,0.125,94,87.0
78,E-2,12.0,1583/1000,100,87.0
79,C2,12.0,0.031,112,87.0
80,E-3,12.0,0.031,112,87.0
81,E-4,12.125,0.125,94,87.0
82,G4,12.25,0.125,94,87.0
83,E-3,12.333,0.031,74,87.0
84,E-4,12.375,0.125,94,87.0
