,note_name,start_time,duration,velocity,tempo
0,G2,4.0,3/10,107,112.0
1,G3,4.0,0.125,111,112.0
2,B1,4.0,1/125,96,112.0
3,F#2,4.0,1/125,96,112.0
4,D2,4.25,133/1000,107,112.0
5,D3,4.25,0.188,84,112.0
6,E2,4.5,49/250,107,112.0
7,E3,4.5,26/125,84,112.0
8,F#2,4.5,1/125,96,112.0
9,G2,5.0,49/250,107,112.0
10,G3,5.0,7/40,111,112.0
11,F#2,5.0,1/125,64,112.0
12,E2,5.5,26/125,107,112.0
13,E3,5.5,49/250,111,112.0
14,F#2,5.5,1/125,96,112.0
15,G2,6.0,133/1000,107,112.0
16,G3,6.0,77/500,111,112.0
17,B1,6.0,1/125,96,112.0
18,F#2,6.0,1/125,96,112.0
19,G2,6.25,73/500,40,112.0
20,G3,6.25,7/40,60,112.0
21,A2,6.321,69/500,50,112.0
22,A3,6.321,229/1000,76,112.0
23,E2,6.5,3/10,107,112.0
24,E3,6.5,167/1000,76,112.0
25,F#2,6.5,1/125,96,112.0
26,G2,6.75,133/1000,107,112.0
27,G3,6.75,119/500,120,112.0
28,F#2,7.0,1/125,64,112.0
29,F#2,7.5,1/125,96,112.0
30,G2,7.75,133/1000,107,112.0
31,G3,7.75,119/500,111,112.0
32,B1,8.0,1/125,96,112.0
33,F#2,8.0,1/125,96,112.0
34,G2,8.25,133/1000,107,112.0
35,G3,8.25,7/40,111,112.0
36,D2,8.5,49/250,107,112.0
37,D3,8.5,49/250,84,112.0
38,F#2,8.5,1/125,96,112.0
39,E2,9.0,49/250,107,112.0
40,E3,9.0,77/500,111,112.0
41,F#2,9.0,1/125,64,112.0
42,F2,9.5,49/250,107,112.0
43,F3,9.5,77/500,102,112.0
44,F#2,9.5,1/125,96,112.0
45,E2,10.0,133/1000,107,112.0
46,E3,10.0,133/1000,120,112.0
47,B1,10.0,1/125,96,112.0
48,F#2,10.0,1/125,96,112.0
49,E2,10.25,133/1000,40,112.0
50,E3,10.25,7/40,50,112.0
51,F2,10.321,69/500,50,112.0
52,F3,10.321,221/1000,76,112.0
53,D2,10.5,3/10,107,112.0
54,D3,10.5,0.125,84,112.0
55,F#2,10.5,1/125,96,112.0
56,C2,10.75,133/1000,107,112.0
57,C3,10.75,49/250,102,112.0
58,F#2,11.0,1/125,64,112.0
59,G2,11.25,633/1000,107,112.0
60,G3,11.25,99/250,120,112.0
61,F#2,11.5,1/125,96,112.0
62,B1,12.0,1/125,96,112.0
63,F#2,12.0,1/125,96,112.0
64,C2,12.25,133/1000,107,112.0
65,C3,12.25,73/500,84,112.0
66,D2,12.5,49/250,107,112.0
67,D3,12.5,7/40,93,112.0
68,F#2,12.5,1/125,96,112.0
69,F2,13.0,49/250,107,112.0
70,F3,13.0,49/250,111,112.0
71,F#2,13.0,1/125,64,112.0
72,D2,13.5,49/250,107,112.0
73,D3,13.5,133/1000,111,112.0
74,F#2,13.5,1/125,96,112.0
75,C2,14.0,467/1000,107,112.0
76,C3,14.0,17/40,111,112.0
77,B1,14.0,1/125,96,112.0
78,F#2,14.0,1/125,96,112.0
79,G1,14.5,3/10,107,112.0
80,G2,14.5,13/125,50,112.0
81,F#2,14.5,1/125,96,112.0
82,A1,14.75,133/1000,107,112.0
83,A2,14.75,229/1000,93,112.0
84,F#2,15.0,1/125,64,112.0
85,C2,15.25,133/1000,107,112.0
86,C3,15.25,49/250,102,112.0
87,F#2,15.5,1/125,96,112.0
88,C2,15.75,133/1000,107,112.0
89,C3,15.75,49/250,102,112.0
90,B1,15.75,1/125,127,112.0
91,F1,16.0,49/250,107,112.0
92,F2,16.0,3/10,111,112.0
93,B1,16.0,1/125,112,112.0
94,F#2,16.0,1/125,112,112.0
95,F2,16.25,223/500,107,112.0
96,F3,16.25,101/250,102,112.0
97,F#2,16.25,1/125,96,112.0
98,F#2,16.5,1/125,64,112.0
99,F1,16.75,49/250,107,112.0
100,F2,16.75,26/125,111,112.0
101,B1,16.75,1/125,112,112.0
102,F#2,16.75,1/125,112,112.0
103,A1,17.0,49/250,107,112.0
104,A2,17.0,181/500,120,112.0
105,B1,17.0,1/125,96,112.0
106,F#2,17.0,1/125,96,112.0
107,A2,17.25,223/500,107,112.0
108,A3,17.25,17/40,111,112.0
109,F#2,17.25,1/125,96,112.0
110,F#2,17.5,1/125,64,112.0
111,A1,17.75,49/250,107,112.0
112,A2,17.75,217/1000,111,112.0
113,B1,17.75,1/125,112,112.0
114,F#2,17.75,1/125,112,112.0
115,C2,18.0,0.188,107,112.0
116,C3,18.0,321/1000,120,112.0
117,B1,18.0,1/125,96,112.0
118,F#2,18.0,1/125,96,112.0
119,C3,18.25,223/500,107,112.0
120,C4,18.25,229/500,102,112.0
121,F#2,18.25,1/125,96,112.0
122,F#2,18.5,1/125,64,112.0
123,C2,18.75,49/250,107,112.0
124,C3,18.75,73/500,111,112.0
125,B1,18.75,1/125,112,112.0
126,F#2,18.75,1/125,112,112.0
127,F2,19.0,223/500,107,112.0
128,F3,19.0,101/250,120,112.0
129,F#2,19.0,1/125,64,112.0
130,F#2,19.5,1/125,96,112.0
131,D4,19.979,21/1000,127,112.0
132,D5,19.979,21/1000,127,112.0
133,D4,19.979,21/1000,127,112.0
134,D5,19.979,21/1000,127,112.0
135,G2,20.0,73/250,107,112.0
136,G3,20.0,7/40,111,112.0
137,A3,20.0,4.0,117,112.0
138,B3,20.0,3.938,104,112.0
139,D4,20.0,3.938,104,112.0
140,G4,20.0,3.938,104,112.0
141,D4,20.0,264/125,127,112.0
142,D5,20.0,264/125,127,112.0
143,D4,20.0,264/125,127,112.0
144,D5,20.0,264/125,127,112.0
145,B1,20.0,1/125,96,112.0
146,F#2,20.0,1/125,96,112.0
147,D2,20.25,133/1000,107,112.0
148,D3,20.25,0.188,111,112.0
149,E2,20.5,49/250,107,112.0
150,E3,20.5,49/250,93,112.0
151,F#2,20.5,1/125,96,112.0
152,G2,21.0,49/250,107,112.0
153,G3,21.0,7/40,111,112.0
154,F#2,21.0,1/125,64,112.0
155,E2,21.5,49/250,107,112.0
156,E3,21.5,7/40,111,112.0
157,F#2,21.5,1/125,96,112.0
158,G2,22.0,133/1000,107,112.0
159,G3,22.0,133/1000,120,112.0
160,B1,22.0,1/125,96,112.0
161,F#2,22.0,1/125,96,112.0
162,G2,22.25,73/500,40,112.0
163,G3,22.25,229/1000,76,112.0
164,A2,22.321,69/500,50,112.0
165,A3,22.321,1/5,64,112.0
166,D4,22.479,4/5,124,112.0
167,D5,22.479,4/5,124,112.0
168,D4,22.479,4/5,122,112.0
169,D5,22.479,4/5,122,112.0
170,E2,22.5,3/10,107,112.0
171,E3,22.5,7/40,84,112.0
172,F#2,22.5,1/125,96,112.0
173,G2,22.75,133/1000,107,112.0
174,G3,22.75,7/40,120,112.0
175,F#2,23.0,1/125,64,112.0
176,E4,23.229,177/250,127,112.0
177,E5,23.229,177/250,127,112.0
178,E4,23.229,177/250,126,112.0
179,E5,23.229,177/250,126,112.0
180,F#2,23.5,1/125,96,112.0
181,G2,23.75,133/1000,107,112.0
182,G3,23.75,26/125,120,112.0
183,F4,23.979,21/1000,127,112.0
