,note_name,start_time,duration,velocity,tempo
0,C4,11.5,13/250,51,130.0
1,C4,11.615,13/250,30,130.0
2,C4,11.75,13/250,27,130.0
3,C4,11.885,13/250,26,130.0
4,G5,11.979,21/1000,103,130.0
5,D5,11.979,21/1000,103,130.0
6,G4,11.979,21/1000,103,130.0
7,A4,11.995,1/200,120,130.0
8,A4,12.0,0.672,120,130.0
9,C2,12.0,0.188,82,130.0
10,F#2,12.0,0.188,82,130.0
11,A1,12.0,0.188,82,130.0
12,A3,12.0,0.188,82,130.0
13,D4,12.0,0.188,82,130.0
14,E4,12.0,0.188,82,130.0
15,A1,12.0,0.188,82,130.0
16,G3,12.0,0.188,82,130.0
17,D2,12.0,0.188,80,130.0
18,C#4,12.0,0.188,80,130.0
19,G3,12.0,0.188,80,130.0
20,G5,12.0,411/1000,103,130.0
21,D5,12.0,411/1000,103,130.0
22,G4,12.0,411/1000,103,130.0
23,F#2,12.49,0.25,104,130.0
24,A1,12.958,13/50,85,130.0
25,A3,12.958,13/50,85,130.0
26,G3,12.958,13/50,85,130.0
27,D4,12.958,13/50,85,130.0
28,E4,12.958,13/50,85,130.0
29,C2,12.958,13/50,85,130.0
30,D2,12.958,13/50,85,130.0
31,F#2,12.958,13/50,85,130.0
32,C#4,12.958,13/50,85,130.0
33,A1,12.958,13/50,85,130.0
34,G5,12.995,19/50,106,130.0
35,G4,12.995,19/50,106,130.0
36,D5,12.995,19/50,106,130.0
37,F#2,13.49,0.25,104,130.0
38,D4,13.5,77/200,69,130.0
39,C#4,13.979,6/25,88,130.0
40,G3,13.979,6/25,88,130.0
41,A3,13.979,6/25,88,130.0
42,A1,13.979,6/25,88,130.0
43,C2,13.979,6/25,88,130.0
44,D2,13.979,6/25,88,130.0
45,C#4,13.979,6/25,88,130.0
46,F4,13.979,6/25,88,130.0
47,F4,13.984,417/1000,95,130.0
48,F5,13.984,417/1000,95,130.0
49,A4,13.984,417/1000,95,130.0
50,F#2,14.0,69/250,72,130.0
51,F4,14.0,69/250,72,130.0
52,A1,14.0,69/250,72,130.0
53,A5,14.031,229/500,120,130.0
54,F#2,14.49,0.25,87,130.0
55,G4,14.495,99/250,98,130.0
56,A4,14.953,37/100,88,130.0
57,C#4,14.953,37/100,88,130.0
58,A3,14.953,37/100,88,130.0
59,G3,14.953,37/100,88,130.0
60,F4,14.953,37/100,88,130.0
61,A1,14.984,443/1000,97,130.0
62,A1,14.984,443/1000,97,130.0
63,F5,14.984,443/1000,97,130.0
64,A4,14.984,443/1000,97,130.0
65,A5,14.984,443/1000,97,130.0
66,F#2,15.0,0.25,93,130.0
67,C2,15.0,99/1000,49,130.0
68,D2,15.0,99/1000,49,130.0
69,C#4,15.0,99/1000,49,130.0
70,D2,15.453,177/1000,96,130.0
71,A3,15.453,177/1000,96,130.0
72,F4,15.453,177/1000,96,130.0
73,C4,15.453,177/1000,96,130.0
74,D4,15.453,177/1000,96,130.0
75,D2,15.453,177/1000,96,130.0
76,C4,15.453,177/1000,96,130.0
77,D2,15.453,177/1000,96,130.0
78,B-2,15.5,51/200,108,130.0
79,F5,15.5,51/200,108,130.0
80,D5,15.526,0.391,112,130.0
81,D6,15.526,0.391,112,130.0
82,C2,16.0,13/100,90,130.0
83,F#2,16.0,0.25,60,130.0
84,F#2,16.49,0.25,90,130.0
85,F4,16.495,0.359,74,130.0
86,A3,16.495,0.359,74,130.0
87,D4,16.495,0.359,74,130.0
88,C4,16.495,0.359,74,130.0
89,C4,16.99,159/500,60,130.0
90,B3,16.99,159/500,60,130.0
91,E4,16.99,159/500,60,130.0
92,G3,16.99,159/500,60,130.0
93,C2,17.0,13/100,90,130.0
94,F#2,17.0,0.25,52,130.0
95,F#2,17.49,0.219,68,130.0
96,A3,17.49,0.219,68,130.0
97,C4,17.49,0.219,68,130.0
98,F4,17.49,0.219,68,130.0
99,D4,17.49,0.219,68,130.0
100,A4,17.969,51/100,116,130.0
101,D1,17.99,0.25,62,130.0
102,F#2,17.99,0.25,62,130.0
103,C2,18.0,13/100,90,130.0
104,C5,18.479,13/125,96,130.0
105,F#2,18.49,307/1000,81,130.0
106,F3,18.49,307/1000,81,130.0
107,A3,18.49,0.312,75,130.0
108,D4,18.49,0.312,75,130.0
109,B3,18.974,339/1000,74,130.0
110,E4,18.974,339/1000,74,130.0
111,G3,18.974,339/1000,74,130.0
112,G4,18.99,13/100,91,130.0
113,C2,18.99,13/100,91,130.0
114,F#2,19.0,0.25,52,130.0
115,F4,19.193,0.172,106,130.0
116,D4,19.443,151/1000,81,130.0
117,F#2,19.49,0.25,90,130.0
118,A1,19.5,0.5,60,130.0
119,F4,19.943,57/1000,81,130.0
120,D2,19.943,57/1000,81,130.0
121,A3,19.943,57/1000,81,130.0
122,C4,19.943,57/1000,81,130.0
123,F4,19.943,57/1000,81,130.0
124,F#2,19.943,57/1000,81,130.0
125,D4,19.995,1/200,75,130.0
126,C4,19.995,1/200,75,130.0
127,F4,19.995,1/200,75,130.0
128,C2,20.0,13/100,90,130.0
129,A1,20.0,89/1000,60,130.0
130,F4,20.0,193/1000,81,130.0
131,D2,20.0,193/1000,81,130.0
132,A3,20.0,193/1000,81,130.0
133,C4,20.0,193/1000,81,130.0
134,F4,20.0,193/1000,81,130.0
135,F#2,20.0,193/1000,81,130.0
136,D4,20.0,333/1000,75,130.0
137,C4,20.0,333/1000,75,130.0
138,F4,20.0,333/1000,75,130.0
139,F4,20.484,159/500,75,130.0
140,F#2,20.484,159/500,75,130.0
141,D4,20.484,159/500,75,130.0
142,C4,20.505,323/1000,52,130.0
143,A3,20.505,323/1000,52,130.0
144,C4,20.984,0.344,77,130.0
145,B3,20.984,0.344,77,130.0
146,G3,20.984,0.344,77,130.0
147,E4,20.984,0.344,77,130.0
148,C2,21.0,13/100,90,130.0
149,F#2,21.0,0.25,52,130.0
150,F#2,21.49,0.25,90,130.0
151,C4,21.495,0.156,80,130.0
152,F4,21.495,0.156,80,130.0
153,D4,21.495,0.156,80,130.0
154,A3,21.495,0.156,80,130.0
155,E2,21.974,237/500,79,130.0
156,E1,21.974,237/500,79,130.0
157,C2,22.0,13/100,90,130.0
158,F#2,22.0,0.25,60,130.0
159,D4,22.474,0.328,74,130.0
160,F3,22.474,0.328,74,130.0
161,F#2,22.474,0.328,74,130.0
162,A3,22.474,0.328,74,130.0
163,B3,22.969,0.25,74,130.0
164,E4,22.969,0.25,74,130.0
165,G3,22.969,0.25,74,130.0
166,F#2,22.969,0.25,74,130.0
167,F2,22.984,0.484,82,130.0
168,F1,22.984,0.484,82,130.0
169,C2,23.0,13/100,90,130.0
170,F#2,23.49,0.25,90,130.0
171,F4,23.969,0.031,88,130.0
172,A3,23.969,0.031,88,130.0
173,D4,23.969,0.031,88,130.0
174,B-3,23.969,0.031,88,130.0
175,G1,23.974,13/500,78,130.0
176,G2,23.979,21/1000,60,130.0
177,C2,24.0,13/100,90,130.0
178,F#2,24.0,0.25,60,130.0
179,G1,24.0,3.938,78,130.0
180,G2,24.0,1193/1000,60,130.0
181,F4,24.0,3589/1000,88,130.0
182,A3,24.0,3589/1000,88,130.0
183,D4,24.0,3589/1000,88,130.0
184,B-3,24.0,3589/1000,88,130.0
185,F#2,24.49,0.25,90,130.0
186,C2,25.0,13/100,90,130.0
187,F#2,25.0,0.25,52,130.0
188,F#2,25.49,0.25,90,130.0
189,G2,25.505,101/200,36,130.0
190,A4,25.969,51/100,116,130.0
191,C2,26.0,13/100,90,130.0
192,F#2,26.0,0.25,60,130.0
193,C5,26.479,13/125,96,130.0
194,F#2,26.49,0.25,90,130.0
195,G2,26.49,479/1000,60,130.0
196,C2,27.0,13/100,90,130.0
197,F#2,27.0,0.25,52,130.0
198,G2,27.484,0.422,66,130.0
199,F#2,27.49,0.25,90,130.0
200,C4,27.5,13/250,51,130.0
201,C4,27.615,13/250,30,130.0
202,C4,27.75,13/250,27,130.0
203,C4,27.885,13/250,26,130.0
204,A5,27.979,21/1000,103,130.0
205,D5,27.979,21/1000,103,130.0
206,G4,27.979,21/1000,103,130.0
207,A4,27.995,1/200,120,130.0
208,A4,28.0,0.672,120,130.0
209,C2,28.0,0.188,82,130.0
210,F#2,28.0,0.188,82,130.0
211,A1,28.0,0.188,82,130.0
212,A3,28.0,0.188,82,130.0
213,D4,28.0,0.188,82,130.0
214,E4,28.0,0.188,82,130.0
215,A1,28.0,0.188,82,130.0
216,G3,28.0,0.188,82,130.0
217,E4,28.0,0.188,70,130.0
218,C#4,28.0,0.188,70,130.0
219,D4,28.0,0.188,70,130.0
220,E4,28.0,0.188,70,130.0
221,G3,28.0,0.188,70,130.0
222,A5,28.0,411/1000,103,130.0
223,D5,28.0,411/1000,103,130.0
224,G4,28.0,411/1000,103,130.0
225,F#2,28.49,0.156,105,130.0
226,D4,28.49,0.156,105,130.0
227,A1,28.958,13/50,84,130.0
228,A3,28.958,13/50,84,130.0
229,G3,28.958,13/50,84,130.0
230,D4,28.958,13/50,84,130.0
231,E4,28.958,13/50,84,130.0
232,C2,28.958,13/50,84,130.0
233,F#2,28.958,13/50,84,130.0
234,C#4,28.958,13/50,84,130.0
235,A1,28.958,13/50,84,130.0
236,G5,28.995,19/50,106,130.0
237,G4,28.995,19/50,106,130.0
238,D5,28.995,19/50,106,130.0
239,F#2,29.49,0.25,104,130.0
240,D4,29.5,77/200,81,130.0
241,E4,29.542,0.094,37,130.0
242,E4,29.786,13/100,55,130.0
243,C#4,29.979,151/1000,86,130.0
244,G3,29.979,151/1000,86,130.0
245,A3,29.979,151/1000,86,130.0
246,A1,29.979,151/1000,86,130.0
247,C2,29.979,151/1000,86,130.0
248,C#4,29.979,151/1000,86,130.0
249,F4,29.979,151/1000,86,130.0
250,E-4,29.979,151/1000,86,130.0
251,F4,29.984,417/1000,95,130.0
252,F5,29.984,417/1000,95,130.0
253,A4,29.984,417/1000,95,130.0
254,F#2,30.0,69/250,72,130.0
255,F4,30.0,69/250,72,130.0
256,A1,30.0,69/250,72,130.0
257,A5,30.031,229/500,120,130.0
258,F#2,30.49,0.156,92,130.0
259,D4,30.49,0.156,92,130.0
