,note_name,start_time,duration,velocity,tempo
0,A3,0.5,0.25,95,98.0
1,D4,0.75,0.5,95,98.0
2,D4,1.25,0.5,95,98.0
3,F4,1.75,0.5,95,98.0
4,F4,2.25,0.5,95,98.0
5,F4,2.75,0.25,95,98.0
6,E4,3.0,0.5,95,98.0
7,E4,3.5,0.5,95,98.0
8,A3,4.5,0.25,95,98.0
9,D4,4.75,0.5,95,98.0
10,F4,5.25,0.5,95,98.0
11,G4,5.75,0.5,95,98.0
12,G4,6.25,0.5,95,98.0
13,A4,6.75,0.25,95,98.0
14,G4,7.0,0.5,95,98.0
15,F4,7.5,0.5,95,98.0
16,F4,8.0,4.0,47,98.0
17,A3,8.5,0.25,95,98.0
18,D4,8.75,0.5,95,98.0
19,D4,9.25,0.5,95,98.0
20,F4,9.75,0.5,95,98.0
21,F4,10.25,0.5,95,98.0
22,F4,10.75,0.25,95,98.0
23,E4,11.0,0.5,95,98.0
24,E4,11.5,0.5,95,98.0
25,A3,12.5,0.25,95,98.0
26,D4,12.75,0.5,95,98.0
27,F4,13.25,0.5,95,98.0
28,G4,13.75,0.5,95,98.0
29,G4,14.25,0.5,95,98.0
30,A4,14.75,0.25,95,98.0
31,G4,15.0,0.5,95,98.0
32,F4,15.5,0.5,95,98.0
33,D4,16.0,0.25,95,98.0
34,D2,16.0,4.0,79,98.0
35,C4,16.25,0.25,95,98.0
36,D4,16.5,2.0,95,98.0
37,A3,16.5,0.25,95,98.0
38,D4,16.75,0.5,95,98.0
39,D4,17.25,0.5,95,98.0
40,F4,17.75,0.5,95,98.0
41,F4,18.25,0.5,95,98.0
42,F4,18.75,0.25,95,98.0
43,E4,19.0,0.5,95,98.0
44,E4,19.5,0.5,95,98.0
45,B-1,20.0,4.0,79,98.0
46,A3,20.5,0.25,95,98.0
47,D4,20.75,0.5,95,98.0
48,F4,21.25,0.5,95,98.0
49,G4,21.75,0.5,95,98.0
50,G4,22.25,0.5,95,98.0
51,A4,22.75,0.25,95,98.0
52,G3,23.0,0.5,95,98.0
53,G4,23.0,0.5,95,98.0
54,F3,23.5,0.25,95,98.0
55,F4,23.5,0.5,95,98.0
56,D3,23.75,0.25,95,98.0
57,D3,24.0,0.25,95,98.0
58,D2,24.0,4.0,79,98.0
59,F3,24.25,0.5,79,98.0
60,A3,24.5,0.25,95,98.0
61,D3,24.75,2.0,95,98.0
62,D4,24.75,0.5,95,98.0
63,D4,25.25,0.5,95,98.0
64,F4,25.75,0.5,95,98.0
65,F4,26.25,0.5,95,98.0
66,F4,26.75,0.25,95,98.0
67,E4,27.0,0.5,95,98.0
68,E4,27.5,0.5,95,98.0
