,note_name,start_time,duration,velocity,tempo
0,E-2,8.0,527/250,75,120.0
1,C4,8.0,4.0,60,120.0
2,E-4,8.0,4.0,60,120.0
3,G3,8.0,4.0,60,120.0
4,B-3,8.0,4.0,60,120.0
5,B1,8.0,26/125,65,120.0
6,F#2,8.0,26/125,65,120.0
7,G3,9.0,9/40,60,120.0
8,C3,9.0,9/40,60,120.0
9,F#2,9.0,26/125,75,120.0
10,C#2,9.0,26/125,75,120.0
11,F#2,9.717,26/125,40,120.0
12,B-2,10.0,721/500,70,120.0
13,B1,10.0,26/125,70,120.0
14,F#2,10.0,26/125,70,120.0
15,G3,11.0,11/40,61,120.0
16,C3,11.0,11/40,61,120.0
17,B1,11.0,26/125,70,120.0
18,F#2,11.0,26/125,70,120.0
19,F#2,11.717,26/125,50,120.0
20,B-2,11.733,267/1000,75,120.0
21,E-3,12.0,2167/1000,82,120.0
22,B-2,12.0,71/500,75,120.0
23,B1,12.0,26/125,70,120.0
24,F#2,12.0,26/125,70,120.0
25,F#2,13.0,26/125,90,120.0
26,G3,13.0,129/500,64,120.0
27,C3,13.0,129/500,64,120.0
28,D2,13.708,26/125,50,120.0
29,F#2,13.708,26/125,50,120.0
30,B-2,14.0,1533/1000,73,120.0
31,B1,14.0,26/125,65,120.0
32,F#2,14.0,26/125,65,120.0
33,D2,14.708,26/125,50,120.0
34,F#2,15.0,26/125,80,120.0
35,G3,15.0,11/40,56,120.0
36,C3,15.0,11/40,56,120.0
37,B-3,15.1,9/10,104,120.0
38,G3,15.1,9/10,94,120.0
39,D2,15.708,26/125,60,120.0
40,F#2,15.708,26/125,60,120.0
41,B-2,15.733,267/1000,73,120.0
42,E-2,16.0,249/125,73,120.0
43,B-3,16.0,183/1000,104,120.0
44,G3,16.0,183/1000,94,120.0
45,C4,16.0,4.0,60,120.0
46,E-4,16.0,4.0,60,120.0
47,G3,16.0,4.0,60,120.0
48,B-3,16.0,4.0,60,120.0
49,B1,16.0,26/125,65,120.0
50,F#2,16.0,26/125,65,120.0
51,E-4,16.1,773/250,104,120.0
52,B-3,16.1,773/250,94,120.0
53,G3,17.0,9/40,60,120.0
54,C3,17.0,9/40,60,120.0
55,F#2,17.0,26/125,75,120.0
56,C#2,17.0,26/125,75,120.0
57,F#2,17.733,26/125,40,120.0
58,B-2,18.0,39/20,77,120.0
59,B1,18.0,26/125,70,120.0
60,F#2,18.0,26/125,70,120.0
61,G3,19.0,11/40,61,120.0
62,C3,19.0,11/40,61,120.0
63,F#2,19.0,26/125,80,120.0
64,C#2,19.0,26/125,80,120.0
65,F4,19.108,223/250,104,120.0
66,D4,19.108,223/250,94,120.0
67,F#2,19.733,26/125,50,120.0
68,E-2,20.0,1983/1000,73,120.0
69,F4,20.0,3/20,104,120.0
70,D4,20.0,3/20,94,120.0
71,C4,20.0,4.0,60,120.0
72,E-4,20.0,4.0,60,120.0
73,G3,20.0,4.0,60,120.0
74,B-4,20.0,4.0,60,120.0
75,B1,20.0,26/125,70,120.0
76,F#2,20.0,26/125,70,120.0
77,G4,20.05,2.125,104,120.0
78,E-4,20.05,2.125,94,120.0
79,G3,21.0,129/500,64,120.0
80,C3,21.0,129/500,64,120.0
81,F#2,21.0,26/125,80,120.0
