,note_name,start_time,duration,velocity,tempo
0,G#4,0.0,2.0,100,100.0
1,C#5,0.0,2.0,100,100.0
2,F5,0.0,2.0,100,100.0
3,C#4,0.0,2.0,100,100.0
4,F4,0.0,2.0,100,100.0
5,G#4,2.0,1.75,100,100.0
6,G#5,2.0,1.75,100,100.0
7,C#4,2.0,1.75,100,100.0
8,G#4,2.0,1.75,100,100.0
9,G#5,3.75,0.25,100,100.0
10,G#4,3.75,0.25,100,100.0
11,C#4,3.75,0.25,100,100.0
12,G#4,3.75,0.25,100,100.0
13,F4,4.0,1.0,100,100.0
14,C#5,4.0,1.0,100,100.0
15,F4,4.0,1.0,100,100.0
16,C#4,4.0,1.0,100,100.0
17,G#4,5.0,1.0,100,100.0
18,E-5,5.0,1.0,100,100.0
19,G#3,5.0,1.0,100,100.0
20,E-4,5.0,1.0,100,100.0
21,G#4,6.0,1.0,100,100.0
22,C#5,6.0,1.0,100,100.0
23,F5,6.0,1.0,100,100.0
24,C#4,6.0,1.0,100,100.0
25,F4,6.0,1.0,100,100.0
26,F4,7.0,1.0,100,100.0
27,C#5,7.0,1.0,100,100.0
28,G#3,7.0,1.0,100,100.0
29,C#4,7.0,1.0,100,100.0
30,G#4,7.5,0.5,100,100.0
31,G#4,7.5,0.5,100,100.0
32,G#3,7.5,0.5,100,100.0
33,G#4,8.0,2.0,100,100.0
34,G#4,8.0,2.0,100,100.0
35,G#3,8.0,2.0,100,100.0
36,G#4,8.0,1.0,100,100.0
37,E-5,8.0,1.0,100,100.0
38,G#3,8.0,1.0,100,100.0
39,E-4,8.0,1.0,100,100.0
40,G#4,9.0,0.75,100,100.0
41,E-5,9.0,0.75,100,100.0
42,G#3,9.0,0.75,100,100.0
43,E-4,9.0,0.75,100,100.0
44,G#4,9.75,0.25,100,100.0
45,E-5,9.75,0.25,100,100.0
46,G#3,9.75,0.25,100,100.0
47,E-4,9.75,0.25,100,100.0
48,G#4,10.0,2.0,100,100.0
49,G#4,10.0,2.0,100,100.0
50,G#3,10.0,2.0,100,100.0
51,G#4,10.0,1.0,100,100.0
52,E-5,10.0,1.0,100,100.0
53,G#3,10.0,1.0,100,100.0
54,E-4,10.0,1.0,100,100.0
55,C#5,11.0,0.5,100,100.0
56,F5,11.0,0.5,100,100.0
57,C#4,11.0,0.5,100,100.0
58,F4,11.0,0.5,100,100.0
59,G#4,11.5,0.5,100,100.0
60,E-5,11.5,0.5,100,100.0
61,G#3,11.5,0.5,100,100.0
62,E-4,11.5,0.5,100,100.0
63,G#4,12.0,2.0,100,100.0
64,G#4,12.0,2.0,100,100.0
65,G#3,12.0,2.0,100,100.0
66,C#5,12.0,0.5,100,100.0
67,F4,12.0,0.5,100,100.0
68,C#4,12.0,0.5,100,100.0
69,F3,12.0,0.5,100,100.0
70,F4,12.5,0.25,100,100.0
71,C#5,12.5,0.25,100,100.0
72,G#3,12.5,0.25,100,100.0
73,C#4,12.5,0.25,100,100.0
74,G#4,12.75,0.25,100,100.0
75,E-5,12.75,0.25,100,100.0
76,G#3,12.75,0.25,100,100.0
77,E-4,12.75,0.25,100,100.0
78,C#5,13.0,0.5,100,100.0
79,F5,13.0,0.5,100,100.0
80,C#4,13.0,0.5,100,100.0
81,F4,13.0,0.5,100,100.0
82,F4,13.5,0.5,100,100.0
83,C#5,13.5,0.5,100,100.0
84,F3,13.5,0.5,100,100.0
85,C#4,13.5,0.5,100,100.0
86,G#4,14.0,1.0,100,100.0
87,G#4,14.0,1.0,100,100.0
88,G#3,14.0,1.0,100,100.0
89,G#4,14.0,2.0,100,100.0
90,E-5,14.0,2.0,100,100.0
91,G#3,14.0,2.0,100,100.0
92,E-4,14.0,2.0,100,100.0
93,G#4,15.0,0.5,100,100.0
94,G#4,15.0,0.5,100,100.0
95,G#3,15.0,0.5,100,100.0
96,G#2,15.0,0.5,100,100.0
97,G#4,15.5,0.5,100,100.0
98,G#4,15.5,0.5,100,100.0
99,G#3,15.5,0.5,100,100.0
100,G#2,15.5,0.5,100,100.0
101,C#5,16.0,2.0,100,100.0
102,F4,16.0,2.0,100,100.0
103,C#3,16.0,2.0,100,100.0
104,C#2,16.0,2.0,100,100.0
105,G#4,16.0,2.0,100,100.0
106,C#5,16.0,2.0,100,100.0
107,F5,16.0,2.0,100,100.0
108,G#4,16.0,2.0,100,100.0
109,C#5,16.0,2.0,100,100.0
110,F5,16.0,2.0,100,100.0
111,C#4,16.0,2.0,100,100.0
112,F4,16.0,2.0,100,100.0
113,C5,18.0,2.0,100,100.0
114,G#4,18.0,2.0,100,100.0
115,F3,18.0,2.0,100,100.0
116,F2,18.0,2.0,100,100.0
117,G#4,18.0,1.75,100,100.0
118,G#5,18.0,1.75,100,100.0
119,G#4,18.0,1.75,100,100.0
120,G#5,18.0,1.75,100,100.0
121,C#4,18.0,1.75,100,100.0
122,G#4,18.0,1.75,100,100.0
123,G#5,19.75,0.25,100,100.0
124,G#4,19.75,0.25,100,100.0
125,G#5,19.75,0.25,100,100.0
126,G#4,19.75,0.25,100,100.0
127,C#4,19.75,0.25,100,100.0
128,G#4,19.75,0.25,100,100.0
129,C#5,20.0,1.0,100,100.0
130,F4,20.0,1.0,100,100.0
131,F3,20.0,1.0,100,100.0
132,B-2,20.0,1.0,100,100.0
133,F4,20.0,1.0,100,100.0
134,C#5,20.0,1.0,100,100.0
135,F4,20.0,1.0,100,100.0
136,C#5,20.0,1.0,100,100.0
137,F4,20.0,1.0,100,100.0
138,C#4,20.0,1.0,100,100.0
139,C5,21.0,1.0,100,100.0
140,E-4,21.0,1.0,100,100.0
141,E-3,21.0,1.0,100,100.0
142,G#2,21.0,1.0,100,100.0
143,G#4,21.0,1.0,100,100.0
144,E-5,21.0,1.0,100,100.0
145,G#4,21.0,1.0,100,100.0
146,E-5,21.0,1.0,100,100.0
147,G#3,21.0,1.0,100,100.0
148,E-4,21.0,1.0,100,100.0
149,C#5,22.0,1.0,100,100.0
150,F4,22.0,1.0,100,100.0
151,C#3,22.0,1.0,100,100.0
152,F2,22.0,1.0,100,100.0
153,G#4,22.0,1.0,100,100.0
154,C#5,22.0,1.0,100,100.0
155,F5,22.0,1.0,100,100.0
156,G#4,22.0,1.0,100,100.0
157,C#5,22.0,1.0,100,100.0
158,F5,22.0,1.0,100,100.0
159,C#4,22.0,1.0,100,100.0
160,F4,22.0,1.0,100,100.0
161,C#5,23.0,1.0,100,100.0
162,F4,23.0,1.0,100,100.0
163,F3,23.0,1.0,100,100.0
164,F2,23.0,1.0,100,100.0
165,F4,23.0,1.0,100,100.0
166,C#5,23.0,1.0,100,100.0
167,F4,23.0,1.0,100,100.0
168,C#5,23.0,1.0,100,100.0
169,G#3,23.0,1.0,100,100.0
170,C#4,23.0,1.0,100,100.0
171,C5,24.0,2.0,100,100.0
