,note_name,start_time,duration,velocity,tempo
0,B3,7.017,19/40,115,74.0
1,C4,7.533,467/1000,93,74.0
2,F2,8.0,1667/1000,85,74.0
3,C4,8.0,29/500,93,74.0
4,D3,8.0,127/250,55,74.0
5,A3,8.0,3/10,64,74.0
6,A3,8.0,2.0,37,74.0
7,F3,8.0,2.0,37,74.0
8,F2,8.0,2.0,37,74.0
9,B1,8.0,26/125,60,74.0
10,D2,8.0,26/125,60,74.0
11,F#2,8.0,26/125,60,74.0
12,G4,8.058,19/40,97,74.0
13,E5,8.067,267/1000,69,74.0
14,F2,8.1,473/250,52,74.0
15,D3,8.1,473/250,52,74.0
16,A5,8.1,473/250,52,74.0
17,D4,8.233,1767/1000,39,74.0
18,F5,8.383,1617/1000,44,74.0
19,G4,8.758,1329/500,94,74.0
20,A3,9.0,233/1000,49,74.0
21,D3,9.0,167/1000,41,74.0
22,F#2,9.0,26/125,80,74.0
23,C#2,9.0,26/125,80,74.0
24,F1,9.667,79/500,55,74.0
25,F#2,9.717,26/125,50,74.0
26,B-1,10.0,21/40,81,74.0
27,D3,10.0,127/250,55,74.0
28,G#3,10.0,3/10,64,74.0
29,B-2,10.0,79/40,36,74.0
30,G3,10.0,79/40,36,74.0
31,G#3,10.0,79/40,36,74.0
32,D4,10.0,79/40,36,74.0
33,C4,10.0,79/40,36,74.0
34,D3,10.0,79/40,36,74.0
35,B1,10.0,26/125,70,74.0
36,F#2,10.0,26/125,70,74.0
37,C6,10.083,7/40,52,74.0
38,C5,10.083,7/40,52,74.0
39,D5,10.083,7/40,52,74.0
40,F4,10.083,7/40,52,74.0
41,B-1,10.733,333/1000,71,74.0
42,F2,11.0,1.0,73,74.0
43,G#3,11.0,233/1000,49,74.0
44,D3,11.0,167/1000,41,74.0
45,F#2,11.0,26/125,85,74.0
46,C#2,11.0,26/125,85,74.0
47,F4,11.45,0.25,98,74.0
48,B1,11.717,26/125,50,74.0
49,F#2,11.717,26/125,50,74.0
50,E4,11.783,217/1000,107,74.0
51,A1,12.0,21/40,81,74.0
52,E4,12.0,1/125,107,74.0
53,C3,12.0,127/250,55,74.0
54,G3,12.0,3/10,64,74.0
55,G3,12.0,1983/1000,37,74.0
56,C3,12.0,1983/1000,37,74.0
57,A2,12.0,1983/1000,37,74.0
58,C4,12.0,1983/1000,37,74.0
59,E-4,12.0,1983/1000,37,74.0
60,B1,12.0,26/125,65,74.0
61,F#2,12.0,26/125,65,74.0
62,E-5,12.067,267/1000,69,74.0
63,A2,12.1,473/250,52,74.0
64,C3,12.1,473/250,52,74.0
65,G5,12.1,473/250,52,74.0
66,E-4,12.15,119/40,99,74.0
67,E-5,12.383,1617/1000,44,74.0
68,A1,12.733,333/1000,71,74.0
69,E-2,13.0,1.0,73,74.0
70,G3,13.0,233/1000,49,74.0
71,C3,13.0,167/1000,41,74.0
72,F#2,13.0,26/125,75,74.0
73,C#2,13.0,26/125,75,74.0
74,F#2,13.733,26/125,40,74.0
75,D2,14.0,1733/1000,73,74.0
76,F#3,14.0,127/250,55,74.0
77,C4,14.0,3/10,64,74.0
78,D3,14.0,2.0,37,74.0
79,A3,14.0,2.0,37,74.0
80,C4,14.0,2.0,37,74.0
81,B1,14.0,26/125,70,74.0
82,F#2,14.0,26/125,70,74.0
83,F#5,14.092,21/40,67,74.0
84,F#4,14.233,1767/1000,39,74.0
85,D3,14.733,9/40,50,74.0
86,C4,15.0,233/1000,49,74.0
87,F#3,15.0,167/1000,41,74.0
88,F#2,15.0,26/125,80,74.0
89,C#2,15.0,26/125,80,74.0
90,D6,15.05,7/20,67,74.0
91,D5,15.05,127/250,63,74.0
92,C#4,15.525,73/250,94,74.0
93,A2,15.733,267/1000,68,74.0
94,F#2,15.733,26/125,50,74.0
95,D4,15.808,24/125,96,74.0
96,G2,16.0,721/500,76,74.0
97,D4,16.0,171/500,96,74.0
98,F3,16.0,127/250,55,74.0
99,B-3,16.0,3/10,64,74.0
100,G2,16.0,159/40,36,74.0
101,A3,16.0,159/40,36,74.0
102,B-3,16.0,159/40,36,74.0
103,F4,16.0,159/40,36,74.0
104,D4,16.0,159/40,36,74.0
105,F3,16.0,159/40,36,74.0
106,B1,16.0,26/125,65,74.0
107,F#2,16.0,26/125,65,74.0
108,G2,16.025,121/500,64,74.0
109,G4,16.025,121/500,64,74.0
110,F4,16.025,121/500,64,74.0
111,D5,16.033,317/1000,67,74.0
112,A4,16.308,171/500,105,74.0
113,A4,16.817,1321/500,97,74.0
114,B-3,17.0,233/1000,49,74.0
115,F3,17.0,167/1000,41,74.0
116,F#2,17.0,26/125,80,74.0
117,C#2,17.0,26/125,80,74.0
118,G2,17.733,417/1000,84,74.0
119,F#2,17.733,26/125,40,74.0
120,D2,18.0,7/5,68,74.0
121,F3,18.0,1.0,56,74.0
122,B-3,18.0,1.0,56,74.0
123,B1,18.0,26/125,70,74.0
124,F#2,18.0,26/125,70,74.0
125,D4,18.083,13/10,49,74.0
126,F3,18.1,679/500,54,74.0
127,G5,18.1,0.25,63,74.0
128,D6,18.1,377/250,71,74.0
129,D5,18.1,377/250,71,74.0
130,F3,19.0,217/1000,56,74.0
131,B-3,19.0,217/1000,56,74.0
132,F#2,19.0,26/125,85,74.0
133,C#2,19.0,26/125,85,74.0
134,G4,19.4,179/500,87,74.0
135,F#4,19.725,11/40,108,74.0
136,D2,19.733,9/40,65,74.0
137,F#2,19.733,26/125,50,74.0
138,F3,19.867,133/1000,30,74.0
139,B1,20.0,2.0,82,74.0
140,F#4,20.0,83/1000,108,74.0
141,D3,20.0,127/250,55,74.0
142,A3,20.0,3/10,64,74.0
143,A3,20.0,1983/1000,37,74.0
144,D3,20.0,1983/1000,37,74.0
145,B1,20.0,1983/1000,37,74.0
146,D4,20.0,1983/1000,37,74.0
147,F4,20.0,1983/1000,37,74.0
148,B1,20.0,26/125,65,74.0
149,F#2,20.0,26/125,65,74.0
150,B1,20.025,71/500,47,74.0
151,A3,20.025,71/500,47,74.0
152,D4,20.025,71/500,47,74.0
153,F3,20.042,71/500,50,74.0
154,D4,20.042,71/500,50,74.0
155,F4,20.092,119/40,82,74.0
156,A3,21.0,233/1000,49,74.0
157,D3,21.0,167/1000,41,74.0
158,F#2,21.0,26/125,75,74.0
159,C#2,21.0,26/125,75,74.0
160,F#2,21.733,26/125,40,74.0
161,E2,22.0,1617/1000,80,74.0
162,D3,22.0,127/250,55,74.0
163,G#3,22.0,3/10,64,74.0
164,E2,22.0,2.0,37,74.0
165,E3,22.0,2.0,37,74.0
166,G#3,22.0,2.0,37,74.0
167,B1,22.0,26/125,70,74.0
168,F#2,22.0,26/125,70,74.0
169,E2,22.025,71/500,47,74.0
170,G#3,22.025,71/500,47,74.0
171,D4,22.025,71/500,47,74.0
172,E3,22.042,71/500,50,74.0
173,D4,22.042,71/500,50,74.0
174,D4,22.233,1767/1000,39,74.0
175,G#3,23.0,233/1000,49,74.0
176,D3,23.0,167/1000,41,74.0
177,F#2,23.0,26/125,80,74.0
178,C#2,23.0,26/125,80,74.0
179,E4,23.408,267/1000,111,74.0
180,F4,23.7,3/10,90,74.0
181,E2,23.733,267/1000,81,74.0
182,F#2,23.733,26/125,50,74.0
183,F2,24.0,2.0,82,74.0
184,F4,24.0,1/125,90,74.0
185,D3,24.0,127/250,55,74.0
186,A3,24.0,3/10,64,74.0
187,A3,24.0,2.0,37,74.0
188,F3,24.0,2.0,37,74.0
189,F2,24.0,2.0,37,74.0
190,B1,24.0,26/125,65,74.0
191,F#2,24.0,26/125,65,74.0
192,C5,24.067,73/250,109,74.0
193,D4,24.233,1767/1000,39,74.0
194,C5,24.592,79/40,90,74.0
195,F2,24.825,3/40,43,74.0
196,A3,25.0,233/1000,49,74.0
197,D3,25.0,167/1000,41,74.0
198,F#2,25.0,26/125,85,74.0
199,C#2,25.0,26/125,85,74.0
200,A4,25.083,3/20,55,74.0
201,D5,25.258,9/20,52,74.0
202,A4,25.483,77/250,43,74.0
203,F#2,25.717,26/125,40,74.0
204,D4,25.758,121/500,55,74.0
205,B-1,26.0,1617/1000,80,74.0
206,D3,26.0,127/250,55,74.0
207,A3,26.0,3/10,64,74.0
208,D4,26.0,1983/1000,37,74.0
209,B-1,26.0,1983/1000,37,74.0
210,D3,26.0,1983/1000,37,74.0
211,A3,26.0,1983/1000,37,74.0
212,F4,26.0,1983/1000,37,74.0
213,B1,26.0,26/125,65,74.0
214,F#2,26.0,26/125,65,74.0
215,F6,26.05,467/1000,43,74.0
216,A3,26.05,467/1000,43,74.0
217,D3,26.05,467/1000,43,74.0
218,F5,26.058,77/250,35,74.0
219,B5,26.067,7/40,31,74.0
220,C6,26.308,7/20,55,74.0
221,G#4,26.708,3/40,107,74.0
222,A4,26.783,11/20,85,74.0
223,F6,26.783,217/1000,58,74.0
224,A3,26.783,217/1000,58,74.0
225,D3,26.783,217/1000,58,74.0
226,C6,26.808,217/1000,62,74.0
227,A3,26.808,217/1000,62,74.0
228,F5,26.808,217/1000,62,74.0
229,D3,26.808,217/1000,62,74.0
230,A3,27.0,233/1000,49,74.0
231,D3,27.0,167/1000,41,74.0
232,F#2,27.0,26/125,84,74.0
233,C#2,27.0,26/125,84,74.0
234,G#4,27.417,583/1000,115,74.0
235,F#2,27.717,26/125,50,74.0
236,G#1,27.733,267/1000,81,74.0
237,A1,28.0,1667/1000,85,74.0
238,G#4,28.0,33/1000,115,74.0
239,C3,28.0,127/250,55,74.0
240,G3,28.0,3/10,64,74.0
241,C4,28.0,79/40,36,74.0
242,G3,28.0,79/40,36,74.0
243,E-3,28.0,79/40,36,74.0
244,A2,28.0,79/40,36,74.0
245,A3,28.0,79/40,36,74.0
246,C3,28.0,79/40,36,74.0
247,B1,28.0,26/125,70,74.0
248,F#2,28.0,26/125,70,74.0
249,A2,28.008,367/1000,56,74.0
250,G4,28.1,2617/1000,89,74.0
251,G4,28.767,183/1000,70,74.0
252,C5,28.767,183/1000,70,74.0
253,A5,28.767,183/1000,70,74.0
254,G3,29.0,233/1000,49,74.0
255,C3,29.0,167/1000,41,74.0
256,F#2,29.0,26/125,80,74.0
257,C#2,29.0,26/125,80,74.0
258,A0,29.667,79/500,55,74.0
259,F#2,29.725,26/125,40,74.0
260,D2,30.0,1417/1000,85,74.0
261,F#3,30.0,127/250,55,74.0
262,C4,30.0,3/10,64,74.0
263,D3,30.0,2.0,37,74.0
264,A3,30.0,2.0,37,74.0
265,C4,30.0,2.0,37,74.0
266,B1,30.0,26/125,70,74.0
267,F#2,30.0,26/125,70,74.0
268,F#5,30.092,21/40,67,74.0
269,F#4,30.233,1767/1000,39,74.0
270,D3,30.733,9/40,50,74.0
271,C4,31.0,233/1000,49,74.0
272,F#3,31.0,167/1000,41,74.0
273,F#2,31.0,26/125,88,74.0
274,C#2,31.0,26/125,88,74.0
275,D6,31.05,7/20,67,74.0
276,D5,31.05,127/250,63,74.0
277,F#4,31.075,177/250,105,74.0
278,D1,31.333,9/40,47,74.0
279,D2,31.667,1/10,82,74.0
280,B1,31.725,26/125,50,74.0
281,F#2,31.725,26/125,50,74.0
282,D2,32.0,2.0,82,74.0
283,F3,32.0,127/250,55,74.0
284,C4,32.0,3/10,64,74.0
285,B-2,32.0,26/125,54,74.0
286,C4,32.0,1983/1000,37,74.0
287,F3,32.0,1983/1000,37,74.0
288,D2,32.0,1983/1000,37,74.0
289,F4,32.0,1983/1000,37,74.0
290,A4,32.0,1983/1000,37,74.0
291,A5,32.008,167/1000,42,74.0
292,D6,32.008,167/1000,42,74.0
293,A4,32.083,13/40,99,74.0
294,A4,32.567,367/1000,96,74.0
295,C4,33.0,233/1000,49,74.0
296,F3,33.0,167/1000,41,74.0
297,A4,33.0,26/125,35,74.0
298,C5,33.0,26/125,35,74.0
299,F5,33.0,26/125,35,74.0
300,D5,33.0,26/125,35,74.0
301,D6,33.0,26/125,35,74.0
302,F#2,33.0,26/125,75,74.0
303,C#2,33.0,26/125,75,74.0
304,A5,33.075,24/125,39,74.0
305,A4,33.125,2.875,89,74.0
306,F#2,33.717,26/125,40,74.0
307,G2,34.0,2.0,70,74.0
308,F3,34.0,127/250,55,74.0
309,B3,34.0,3/10,64,74.0
310,G2,34.0,2.0,37,74.0
311,G3,34.0,2.0,37,74.0
312,B3,34.0,2.0,37,74.0
313,B1,34.0,26/125,70,74.0
314,F#2,34.0,26/125,70,74.0
315,G2,34.025,71/500,47,74.0
316,B3,34.025,71/500,47,74.0
317,F4,34.025,71/500,47,74.0
318,G3,34.042,71/500,50,74.0
319,F4,34.042,71/500,50,74.0
320,F4,34.233,1767/1000,39,74.0
321,B3,35.0,233/1000,49,74.0
322,F3,35.0,167/1000,41,74.0
323,B1,35.0,26/125,70,74.0
324,F#2,35.0,26/125,70,74.0
325,F#2,35.717,26/125,50,74.0
326,D2,36.0,1617/1000,80,74.0
327,A4,36.0,2117/1000,89,74.0
328,F3,36.0,127/250,55,74.0
329,C4,36.0,3/10,64,74.0
330,F4,36.0,79/40,36,74.0
331,C4,36.0,79/40,36,74.0
332,A3,36.0,79/40,36,74.0
333,D3,36.0,79/40,36,74.0
334,D4,36.0,79/40,36,74.0
335,F3,36.0,79/40,36,74.0
336,B1,36.0,26/125,70,74.0
337,F#2,36.0,26/125,70,74.0
338,A5,36.008,167/1000,42,74.0
339,D6,36.008,167/1000,42,74.0
340,D2,36.717,26/125,40,74.0
341,C4,37.0,233/1000,49,74.0
342,F3,37.0,167/1000,41,74.0
343,F#2,37.0,26/125,90,74.0
344,A4,37.0,26/125,35,74.0
345,C5,37.0,26/125,35,74.0
346,F5,37.0,26/125,35,74.0
347,D5,37.0,26/125,35,74.0
348,D6,37.0,26/125,35,74.0
349,A5,37.075,24/125,39,74.0
350,D2,37.717,26/125,40,74.0
351,F#2,37.733,267/1000,81,74.0
352,G2,38.0,21/40,81,74.0
353,F3,38.0,127/250,55,74.0
354,B3,38.0,3/10,64,74.0
355,G2,38.0,79/40,36,74.0
356,G3,38.0,79/40,36,74.0
357,B3,38.0,79/40,36,74.0
358,F4,38.0,79/40,36,74.0
359,E4,38.0,79/40,36,74.0
360,F3,38.0,79/40,36,74.0
361,B1,38.0,26/125,65,74.0
362,F#2,38.0,26/125,65,74.0
363,G2,38.008,367/1000,56,74.0
364,D2,38.717,26/125,50,74.0
365,G2,38.733,333/1000,71,74.0
366,B4,38.767,183/1000,70,74.0
367,F5,38.767,183/1000,70,74.0
368,D6,38.767,183/1000,70,74.0
369,D3,39.0,1.0,73,74.0
370,B3,39.0,233/1000,49,74.0
371,F3,39.0,167/1000,41,74.0
372,B1,39.0,26/125,80,74.0
373,F#2,39.0,26/125,80,74.0
374,D2,39.333,26/125,30,74.0
375,D2,39.717,26/125,50,74.0
376,C2,40.0,1617/1000,80,74.0
377,E3,40.0,127/250,55,74.0
378,B-3,40.0,3/10,64,74.0
379,B-3,40.0,1983/1000,37,74.0
380,E3,40.0,1983/1000,37,74.0
381,C2,40.0,1983/1000,37,74.0
382,E4,40.0,1983/1000,37,74.0
383,G4,40.0,1983/1000,37,74.0
384,B1,40.0,26/125,65,74.0
385,F#2,40.0,26/125,65,74.0
386,D6,40.083,7/40,52,74.0
387,D5,40.083,7/40,52,74.0
388,E5,40.083,7/40,52,74.0
389,G4,40.083,7/40,52,74.0
390,A4,40.15,267/1000,102,74.0
391,A4,40.617,129/500,106,74.0
392,B-3,41.0,233/1000,49,74.0
393,E3,41.0,167/1000,41,74.0
394,F#2,41.0,26/125,80,74.0
395,C#2,41.0,26/125,80,74.0
396,A4,41.067,2317/1000,88,74.0
397,B1,41.733,267/1000,81,74.0
398,F#2,41.733,26/125,40,74.0
399,B-1,42.0,2.0,82,74.0
400,E3,42.0,127/250,55,74.0
401,B-3,42.0,3/10,64,74.0
402,B-2,42.0,2.0,37,74.0
403,G3,42.0,2.0,37,74.0
404,B-3,42.0,2.0,37,74.0
405,B1,42.0,26/125,70,74.0
406,F#2,42.0,26/125,70,74.0
407,G6,42.05,467/1000,43,74.0
408,B-3,42.05,467/1000,43,74.0
409,E3,42.05,467/1000,43,74.0
410,G5,42.058,77/250,35,74.0
411,C#6,42.067,7/40,31,74.0
412,E4,42.233,1767/1000,39,74.0
413,D6,42.308,7/20,55,74.0
414,G6,42.783,217/1000,58,74.0
415,B-3,42.783,217/1000,58,74.0
416,E3,42.783,217/1000,58,74.0
417,D6,42.808,217/1000,62,74.0
418,B-3,42.808,217/1000,62,74.0
419,G5,42.808,217/1000,62,74.0
420,E3,42.808,217/1000,62,74.0
421,B-3,43.0,233/1000,49,74.0
422,E3,43.0,167/1000,41,74.0
423,F#2,43.0,26/125,85,74.0
424,C#2,43.0,26/125,85,74.0
425,G4,43.4,3/5,102,74.0
426,F#2,43.733,26/125,50,74.0
427,A1,44.0,1733/1000,76,74.0
428,G4,44.0,29/500,102,74.0
429,C3,44.0,127/250,55,74.0
430,G3,44.0,3/10,64,74.0
431,G3,44.0,2.0,37,74.0
432,E3,44.0,2.0,37,74.0
433,A2,44.0,2.0,37,74.0
434,B1,44.0,26/125,65,74.0
435,F#2,44.0,26/125,65,74.0
436,C5,44.092,21/40,67,74.0
437,C5,44.108,151/125,97,74.0
438,C4,44.233,1767/1000,39,74.0
439,A2,44.733,9/40,50,74.0
440,G3,45.0,233/1000,49,74.0
441,C3,45.0,167/1000,41,74.0
442,F#2,45.0,26/125,75,74.0
443,C#2,45.0,26/125,75,74.0
444,A5,45.05,7/20,67,74.0
445,A4,45.05,127/250,63,74.0
446,A4,45.367,717/1000,97,74.0
447,E-2,45.733,267/1000,78,74.0
448,F#2,45.733,26/125,40,74.0
449,D2,46.0,21/40,81,74.0
450,F3,46.0,127/250,55,74.0
451,C4,46.0,3/10,64,74.0
452,D3,46.0,79/40,36,74.0
453,A3,46.0,79/40,36,74.0
454,C4,46.0,79/40,36,74.0
455,F4,46.0,79/40,36,74.0
456,E4,46.0,79/40,36,74.0
457,F3,46.0,79/40,36,74.0
458,B1,46.0,26/125,70,74.0
459,F#2,46.0,26/125,70,74.0
460,G4,46.058,1233/1000,83,74.0
461,D6,46.083,7/40,52,74.0
462,D5,46.083,7/40,52,74.0
463,F5,46.083,7/40,52,74.0
464,A4,46.083,7/40,52,74.0
465,D2,46.733,333/1000,71,74.0
466,A2,47.0,1.0,73,74.0
467,C4,47.0,233/1000,49,74.0
468,F3,47.0,167/1000,41,74.0
469,F#2,47.0,26/125,80,74.0
470,C#2,47.0,26/125,80,74.0
471,F4,47.383,617/1000,82,74.0
472,F#2,47.733,26/125,50,74.0
473,G2,48.0,1733/1000,76,74.0
474,F4,48.0,21/500,82,74.0
475,F3,48.0,127/250,55,74.0
476,B-3,48.0,3/10,64,74.0
477,F4,48.0,79/40,36,74.0
478,B-3,48.0,79/40,36,74.0
479,A3,48.0,79/40,36,74.0
480,G2,48.0,79/40,36,74.0
481,D4,48.0,79/40,36,74.0
482,F3,48.0,79/40,36,74.0
483,B1,48.0,26/125,65,74.0
484,F#2,48.0,26/125,65,74.0
485,D5,48.033,483/1000,84,74.0
486,B-4,48.033,483/1000,84,74.0
487,D2,48.033,483/1000,84,74.0
488,B-4,48.05,57/40,91,74.0
489,B-4,48.792,3/20,43,74.0
490,D5,48.792,3/20,43,74.0
491,D2,48.792,3/20,43,74.0
492,B-3,49.0,233/1000,49,74.0
493,F3,49.0,167/1000,41,74.0
494,F#2,49.0,26/125,80,74.0
495,C#2,49.0,26/125,80,74.0
496,G4,49.375,7/10,93,74.0
497,G#2,49.733,267/1000,78,74.0
498,F#2,49.733,26/125,40,74.0
499,G2,50.0,1.0,70,74.0
500,F3,50.0,127/250,55,74.0
501,B-3,50.0,3/10,64,74.0
502,B-3,50.0,983/1000,31,74.0
503,F3,50.0,983/1000,31,74.0
504,G2,50.0,983/1000,31,74.0
505,F4,50.0,983/1000,31,74.0
506,G4,50.0,983/1000,31,74.0
507,B1,50.0,26/125,70,74.0
508,F#2,50.0,26/125,70,74.0
509,F3,50.008,7/40,46,74.0
510,F4,50.008,7/40,46,74.0
511,G2,50.008,7/40,46,74.0
512,B-3,50.008,7/40,46,74.0
513,G3,50.008,7/40,46,74.0
514,F4,50.067,521/500,88,74.0
515,C2,51.0,1.0,70,74.0
516,E3,51.0,127/250,55,74.0
517,B-3,51.0,3/10,64,74.0
518,E4,51.0,983/1000,31,74.0
519,C2,51.0,983/1000,31,74.0
520,E3,51.0,983/1000,31,74.0
521,B-3,51.0,983/1000,31,74.0
522,G4,51.0,983/1000,31,74.0
523,F#2,51.0,26/125,85,74.0
524,C#2,51.0,26/125,85,74.0
525,E3,51.008,7/40,46,74.0
526,E4,51.008,7/40,46,74.0
527,C2,51.008,7/40,46,74.0
528,B-3,51.008,7/40,46,74.0
529,G3,51.008,7/40,46,74.0
530,E4,51.1,9/10,104,74.0
531,B1,51.733,26/125,50,74.0
532,F#2,51.733,26/125,50,74.0
533,F2,52.0,2.0,82,74.0
534,E4,52.0,0.125,104,74.0
535,E3,52.0,127/250,55,74.0
536,A3,52.0,3/10,64,74.0
537,A3,52.0,2.0,37,74.0
538,F3,52.0,2.0,37,74.0
539,F2,52.0,2.0,37,74.0
540,B1,52.0,26/125,65,74.0
541,F#2,52.0,26/125,65,74.0
542,G6,52.05,467/1000,43,74.0
543,A3,52.05,467/1000,43,74.0
544,E3,52.05,467/1000,43,74.0
545,G5,52.058,77/250,35,74.0
546,C#6,52.067,7/40,31,74.0
547,G#4,52.108,1/10,93,74.0
548,A4,52.217,627/250,84,74.0
549,E4,52.233,1767/1000,39,74.0
550,D6,52.308,7/20,55,74.0
551,G6,52.783,217/1000,58,74.0
552,A3,52.783,217/1000,58,74.0
553,E3,52.783,217/1000,58,74.0
554,D6,52.808,217/1000,62,74.0
555,A3,52.808,217/1000,62,74.0
556,G5,52.808,217/1000,62,74.0
557,E3,52.808,217/1000,62,74.0
558,A3,53.0,233/1000,49,74.0
559,E3,53.0,167/1000,41,74.0
560,F#2,53.0,26/125,85,74.0
561,C#2,53.0,26/125,85,74.0
562,F#2,53.717,26/125,40,74.0
563,A1,54.0,21/40,81,74.0
564,C#3,54.0,127/250,55,74.0
565,G3,54.0,3/10,64,74.0
566,A2,54.0,2.0,37,74.0
567,E3,54.0,2.0,37,74.0
568,G3,54.0,2.0,37,74.0
569,B1,54.0,26/125,65,74.0
570,F#2,54.0,26/125,65,74.0
571,A2,54.025,71/500,47,74.0
572,G3,54.025,71/500,47,74.0
573,C#4,54.025,71/500,47,74.0
574,E3,54.042,71/500,50,74.0
575,C#4,54.042,71/500,50,74.0
576,C#4,54.233,1767/1000,39,74.0
577,A1,54.733,333/1000,71,74.0
578,E2,55.0,1.0,73,74.0
579,G3,55.0,233/1000,49,74.0
580,C#3,55.0,167/1000,41,74.0
581,F#2,55.0,26/125,84,74.0
582,C#2,55.0,26/125,84,74.0
583,C4,55.05,333/1000,95,74.0
584,C#4,55.55,0.375,113,74.0
585,F#2,55.717,26/125,50,74.0
586,D2,56.0,979/500,78,74.0
587,F3,56.0,127/250,55,74.0
588,C4,56.0,3/10,64,74.0
589,F4,56.0,3983/1000,37,74.0
590,D2,56.0,3983/1000,37,74.0
591,F3,56.0,3983/1000,37,74.0
592,C4,56.0,3983/1000,37,74.0
593,A4,56.0,3983/1000,37,74.0
594,B1,56.0,26/125,65,74.0
595,F#2,56.0,26/125,65,74.0
596,F3,56.008,7/40,46,74.0
597,F4,56.008,7/40,46,74.0
598,D2,56.008,7/40,46,74.0
599,C4,56.008,7/40,46,74.0
600,A3,56.008,7/40,46,74.0
601,D4,56.092,17/40,101,74.0
602,D2,56.733,26/125,70,74.0
603,D4,56.783,1429/500,99,74.0
604,C4,57.0,233/1000,49,74.0
605,F3,57.0,167/1000,41,74.0
606,F#2,57.0,26/125,80,74.0
607,C#2,57.0,26/125,80,74.0
608,F#2,57.733,26/125,40,74.0
609,A2,58.0,224/125,82,74.0
610,F3,58.0,1.0,56,74.0
611,C4,58.0,1.0,56,74.0
612,B1,58.0,26/125,70,74.0
613,F#2,58.0,26/125,70,74.0
614,F5,58.033,71/500,69,74.0
615,A5,58.033,71/500,69,74.0
616,D5,58.033,71/500,69,74.0
