,note_name,start_time,duration,velocity,tempo
0,F#4,5.033,41/40,111,120.0
1,G#4,6.058,41/40,90,120.0
2,F#4,7.025,39/40,87,120.0
3,F#2,8.0,2117/1000,76,120.0
4,F#4,8.0,183/1000,87,120.0
5,D2,8.0,26/125,80,120.0
6,G#4,8.117,1429/500,93,120.0
7,D2,8.742,26/125,30,120.0
8,B-3,8.992,267/1000,46,120.0
9,E4,8.992,267/1000,46,120.0
10,G#4,9.0,317/1000,47,120.0
11,E4,9.0,317/1000,47,120.0
12,C#4,9.0,317/1000,47,120.0
13,B-4,9.0,317/1000,47,120.0
14,D2,9.0,26/125,85,120.0
15,F#2,9.0,26/125,85,120.0
16,D2,9.742,26/125,90,120.0
17,C#3,10.0,2.0,61,120.0
18,D2,10.0,26/125,80,120.0
19,E5,10.117,0.5,56,120.0
20,G#4,10.7,367/1000,45,120.0
21,E4,10.7,367/1000,45,120.0
22,C#4,10.7,367/1000,45,120.0
23,B-4,10.7,367/1000,45,120.0
24,F#5,10.733,467/1000,70,120.0
25,D2,10.742,26/125,20,120.0
26,F#4,10.867,1133/1000,95,120.0
27,E4,11.0,267/1000,59,120.0
28,B-3,11.0,267/1000,59,120.0
29,D2,11.0,26/125,90,120.0
30,F#2,11.0,26/125,90,120.0
31,G#5,11.15,49/125,73,120.0
32,D2,11.742,26/125,70,120.0
33,B5,11.758,121/500,100,120.0
34,F#2,12.0,2.0,70,120.0
35,F#4,12.0,167/1000,95,120.0
36,B5,12.0,83/1000,100,120.0
37,D2,12.0,26/125,80,120.0
38,G#5,12.067,0.75,76,120.0
39,E4,12.092,63/40,96,120.0
40,F#4,12.708,323/250,45,120.0
41,E4,12.708,323/250,45,120.0
42,C#4,12.708,323/250,45,120.0
43,A4,12.708,323/250,45,120.0
44,D2,12.742,26/125,30,120.0
45,A3,12.992,267/1000,46,120.0
46,E4,12.992,267/1000,46,120.0
47,D2,13.0,26/125,85,120.0
48,F#2,13.0,26/125,85,120.0
49,F#5,13.025,617/1000,75,120.0
50,F#4,13.583,683/1000,102,120.0
51,D2,13.742,26/125,90,120.0
52,B1,14.0,2.0,82,120.0
53,D2,14.0,26/125,80,120.0
54,E5,14.008,717/1000,84,120.0
55,G#4,14.217,867/1000,85,120.0
56,D2,14.742,26/125,20,120.0
57,A3,14.992,267/1000,46,120.0
58,E-4,14.992,267/1000,46,120.0
59,E-4,15.0,383/1000,50,120.0
60,C#4,15.0,383/1000,50,120.0
61,A3,15.0,383/1000,50,120.0
62,F#4,15.0,383/1000,50,120.0
63,D2,15.0,26/125,90,120.0
64,F#2,15.0,26/125,90,120.0
65,F#4,15.008,31/40,77,120.0
66,F#5,15.033,13/20,83,120.0
