,note_name,start_time,duration,velocity,tempo
0,C2,4.0,0.75,100,148.0
1,G4,4.0,2.312,90,148.0
2,A4,4.0,2.312,90,148.0
3,C4,4.0,2.312,90,148.0
4,E4,4.0,2.312,90,148.0
5,B-2,4.0,13/250,100,148.0
6,C2,4.0,13/250,100,148.0
7,A3,5.0,479/1000,110,148.0
8,E2,5.0,833/1000,100,148.0
9,F#2,5.0,13/250,107,148.0
10,E-2,5.0,13/250,107,148.0
11,C4,5.5,479/1000,110,148.0
12,F#2,5.667,13/250,100,148.0
13,E4,6.0,323/500,110,148.0
14,G2,6.0,0.875,100,148.0
15,B-2,6.0,13/250,92,148.0
16,C2,6.0,13/250,92,148.0
17,C4,6.667,323/500,110,148.0
18,G4,6.667,979/1000,90,148.0
19,E4,6.667,979/1000,90,148.0
20,C4,6.667,979/1000,90,148.0
21,A4,6.667,979/1000,90,148.0
22,C5,7.0,479/1000,100,148.0
23,E2,7.0,833/1000,100,148.0
24,F#2,7.0,13/250,112,148.0
25,E-2,7.0,13/250,112,148.0
26,A3,7.333,323/500,110,148.0
27,A4,7.5,479/1000,100,148.0
28,F#2,7.667,13/250,84,148.0
29,E-4,8.0,1479/1000,110,148.0
30,C5,8.0,1979/1000,100,148.0
31,C2,8.0,833/1000,100,148.0
32,E-4,8.0,0.312,90,148.0
33,F#4,8.0,0.312,90,148.0
34,A4,8.0,0.312,90,148.0
35,C4,8.0,0.312,90,148.0
36,B-2,8.0,13/250,102,148.0
37,C2,8.0,13/250,102,148.0
38,A4,8.667,0.312,90,148.0
39,F#4,8.667,0.312,90,148.0
40,C4,8.667,0.312,90,148.0
41,E-4,8.667,0.312,90,148.0
42,E-2,9.0,833/1000,100,148.0
43,F#2,9.0,13/250,106,148.0
44,E-2,9.0,13/250,106,148.0
45,F#2,9.667,13/250,101,148.0
46,C4,9.667,1979/1000,90,148.0
47,A4,9.667,1979/1000,90,148.0
48,F#4,9.667,1979/1000,90,148.0
49,E-4,9.667,1979/1000,90,148.0
50,A3,10.0,323/500,110,148.0
51,C5,10.0,479/1000,100,148.0
52,F#2,10.0,833/1000,100,148.0
53,B-2,10.0,13/250,95,148.0
54,C2,10.0,13/250,95,148.0
55,E-5,10.5,479/1000,100,148.0
56,B3,10.667,323/500,110,148.0
57,A5,11.0,479/1000,100,148.0
58,E-2,11.0,833/1000,100,148.0
59,F#2,11.0,13/250,103,148.0
60,E-2,11.0,13/250,103,148.0
61,C4,11.333,323/500,110,148.0
62,F#5,11.5,479/1000,100,148.0
63,F#2,11.667,13/250,89,148.0
64,E4,12.0,1979/1000,110,148.0
65,G5,12.0,1479/1000,100,148.0
66,E2,12.0,833/1000,100,148.0
67,B-2,12.0,13/250,100,148.0
68,C2,12.0,13/250,100,148.0
69,B4,12.667,979/1000,90,148.0
70,G4,12.667,979/1000,90,148.0
71,E4,12.667,979/1000,90,148.0
72,D4,12.667,979/1000,90,148.0
73,B2,13.0,833/1000,100,148.0
74,F#2,13.0,13/250,107,148.0
75,E-2,13.0,13/250,107,148.0
76,G#5,13.5,479/1000,100,148.0
