,note_name,start_time,duration,velocity,tempo
0,G#2,1.0,123/200,110,125.99
1,B1,1.0,13/125,110,125.99
2,C#3,1.0,13/125,110,125.99
3,G#3,1.0,0.375,110,125.99
4,E-4,1.0,0.375,110,125.99
5,F5,1.021,177/1000,125,125.99
6,G#4,1.021,177/1000,125,125.99
7,B4,1.021,177/1000,125,125.99
8,G#4,1.052,677/1000,85,125.99
9,B3,1.062,73/200,125,125.99
10,F5,1.479,0.156,111,125.99
11,F#2,1.479,0.156,111,125.99
12,G#4,1.479,0.156,111,125.99
13,B3,1.479,0.156,111,125.99
14,B4,1.479,0.156,111,125.99
15,E-4,1.552,167/1000,108,125.99
16,F5,1.979,23/200,109,125.99
17,B4,1.979,23/200,109,125.99
18,B3,1.979,23/200,109,125.99
19,E-4,1.979,23/200,109,125.99
20,G#4,1.979,23/200,109,125.99
21,G#4,1.979,23/200,109,125.99
22,G#3,2.0,99/250,110,125.99
23,G#2,2.448,151/500,110,125.99
24,B1,2.5,13/125,110,125.99
25,E-3,2.948,151/250,110,125.99
26,G#3,3.0,99/250,110,125.99
27,B1,3.0,13/125,118,125.99
28,B-2,3.0,13/125,118,125.99
29,G#4,3.458,13/125,103,125.99
30,B3,3.458,13/125,103,125.99
31,E-4,3.458,13/125,103,125.99
32,F#2,3.458,13/125,103,125.99
33,B-4,3.479,0.406,127,125.99
34,E-5,3.979,99/250,118,125.99
35,G#3,3.979,99/250,118,125.99
36,E-3,3.99,0.656,110,125.99
37,F5,4.469,0.25,127,125.99
38,E-4,4.479,0.094,81,125.99
39,G#4,4.479,0.094,81,125.99
40,B3,4.479,0.094,81,125.99
41,G#3,5.0,99/250,110,125.99
42,B1,5.0,13/125,118,125.99
43,B-2,5.0,13/125,118,125.99
44,E-2,5.031,123/200,110,125.99
45,F#5,5.042,177/1000,127,125.99
46,B-3,5.052,112/125,112,125.99
47,F#4,5.052,112/125,112,125.99
48,E-4,5.052,112/125,112,125.99
49,F#2,5.5,0.125,118,125.99
50,E-5,5.5,0.125,118,125.99
51,F5,5.76,0.25,127,125.99
52,F#5,5.969,167/1000,127,125.99
53,G#3,6.0,99/250,110,125.99
54,B1,6.5,0.062,112,125.99
55,F#4,6.5,0.062,112,125.99
56,B-3,6.5,0.062,112,125.99
57,E-4,6.5,0.062,112,125.99
58,E-2,6.51,151/500,110,125.99
59,B-2,6.969,0.594,110,125.99
60,G#3,7.0,99/250,110,125.99
61,B1,7.0,13/125,118,125.99
62,B-2,7.0,13/125,118,125.99
63,B-4,7.479,49/100,127,125.99
64,F#4,7.49,13/125,108,125.99
65,B-3,7.49,13/125,108,125.99
66,E-4,7.49,13/125,108,125.99
67,F#2,7.49,13/125,108,125.99
68,E-5,7.969,99/250,118,125.99
69,G#3,7.969,99/250,118,125.99
70,B-2,7.979,127/200,110,125.99
71,B-3,8.469,83/1000,99,125.99
72,F#4,8.469,83/1000,99,125.99
73,E-4,8.469,83/1000,99,125.99
74,F#5,8.479,0.281,127,125.99
75,G#3,9.0,99/250,110,125.99
76,B1,9.0,83/1000,123,125.99
77,B-2,9.0,83/1000,123,125.99
78,D5,9.0,83/1000,123,125.99
79,F5,9.0,83/1000,123,125.99
80,B4,9.0,83/1000,123,125.99
81,D4,9.01,833/1000,113,125.99
82,F4,9.01,833/1000,113,125.99
83,B-3,9.01,833/1000,113,125.99
84,B-1,9.042,49/100,110,125.99
85,G#4,9.062,73/1000,127,125.99
86,D5,9.26,83/1000,124,125.99
87,B4,9.26,83/1000,124,125.99
88,F5,9.26,83/1000,124,125.99
89,G#4,9.26,83/1000,124,125.99
90,F#2,9.5,0.094,123,125.99
91,B4,9.5,0.094,123,125.99
92,D5,9.5,0.094,123,125.99
93,G#4,9.5,0.094,123,125.99
94,F5,9.562,83/1000,127,125.99
95,D5,9.76,83/1000,126,125.99
96,G#4,9.76,83/1000,126,125.99
97,B4,9.76,83/1000,126,125.99
98,F5,9.76,83/1000,126,125.99
99,G#3,10.0,99/250,110,125.99
100,G#4,10.021,73/1000,127,125.99
101,B4,10.021,73/1000,127,125.99
102,D5,10.021,73/1000,127,125.99
103,F5,10.052,73/1000,127,125.99
104,D5,10.052,73/1000,127,125.99
105,B-1,10.49,0.406,110,125.99
106,B1,10.5,13/125,110,125.99
107,D4,10.552,23/200,110,125.99
108,F4,10.552,23/200,110,125.99
109,B-3,10.552,23/200,110,125.99
110,F2,10.979,0.562,110,125.99
111,G#3,11.0,99/250,110,125.99
112,B1,11.0,13/125,118,125.99
113,B-2,11.0,13/125,118,125.99
114,D4,11.469,1.156,118,125.99
115,B-3,11.469,1.156,118,125.99
116,F4,11.469,1.156,118,125.99
117,F#2,11.5,13/125,110,125.99
118,F5,11.521,56/125,127,125.99
119,F2,11.938,0.656,110,125.99
120,D5,11.938,573/1000,127,125.99
121,G#3,12.0,99/250,110,125.99
122,B-4,12.479,99/500,127,125.99
123,E-4,12.948,13/250,122,125.99
