,note_name,start_time,duration,velocity,tempo
0,E2,1.0,0.5,95,260.0
1,F#2,2.0,0.5,95,260.0
2,G#2,3.0,0.5,95,260.0
3,A2,4.0,0.5,95,260.0
4,A4,5.0,1.0,95,260.0
5,C#4,5.0,0.5,63,260.0
6,A3,5.0,0.5,63,260.0
7,E2,6.0,0.5,95,260.0
8,F#4,6.5,1.0,95,260.0
9,C#4,7.0,0.5,63,260.0
10,A3,7.0,0.5,63,260.0
11,A4,8.0,1.0,95,260.0
12,A2,8.0,0.5,95,260.0
13,C#4,9.0,0.5,63,260.0
14,A3,9.0,0.5,63,260.0
15,A4,9.5,1.5,95,260.0
16,E2,10.0,0.5,95,260.0
17,C#4,11.0,0.5,63,260.0
18,A3,11.0,0.5,63,260.0
19,A2,12.0,0.5,95,260.0
20,A4,13.0,1.0,95,260.0
21,C#4,13.0,0.5,63,260.0
22,A3,13.0,0.5,63,260.0
23,E2,14.0,0.5,95,260.0
24,F#4,14.5,1.0,95,260.0
25,C#4,15.0,0.5,63,260.0
26,A3,15.0,0.5,63,260.0
27,A4,16.0,1.0,95,260.0
28,A2,16.0,0.5,95,260.0
29,C#4,17.0,0.5,63,260.0
30,A3,17.0,0.5,63,260.0
31,A4,17.5,1.5,95,260.0
32,E2,18.0,0.5,95,260.0
33,C#4,19.0,0.5,63,260.0
34,A3,19.0,0.5,63,260.0
35,D3,20.0,0.5,95,260.0
36,A4,21.0,1.0,95,260.0
37,C4,21.0,0.5,63,260.0
38,F#3,21.0,0.5,63,260.0
39,A2,22.0,0.5,95,260.0
40,E4,22.5,1.0,95,260.0
41,C4,23.0,0.5,63,260.0
42,F#3,23.0,0.5,63,260.0
43,A4,24.0,1.0,95,260.0
44,D3,24.0,0.5,95,260.0
45,C4,25.0,0.5,63,260.0
46,F#3,25.0,0.5,63,260.0
47,A4,25.5,1.5,95,260.0
48,A2,26.0,0.5,95,260.0
49,C4,27.0,0.5,63,260.0
50,F#3,27.0,0.5,63,260.0
51,A2,28.0,0.5,95,260.0
52,A4,29.0,1.0,95,260.0
53,C#4,29.0,0.5,63,260.0
54,A3,29.0,0.5,63,260.0
55,E2,30.0,0.5,95,260.0
56,F#4,30.5,1.0,95,260.0
57,C#4,31.0,0.5,63,260.0
58,A3,31.0,0.5,63,260.0
59,A4,32.0,1.0,95,260.0
60,A2,32.0,0.5,95,260.0
61,C#4,33.0,0.5,63,260.0
62,A3,33.0,0.5,63,260.0
63,A4,33.5,1.5,95,260.0
64,E2,34.0,0.5,95,260.0
65,C#4,35.0,0.5,63,260.0
66,A3,35.0,0.5,63,260.0
67,E3,36.0,0.5,95,260.0
68,B4,37.0,1.0,95,260.0
69,D4,37.0,0.5,63,260.0
70,G#3,37.0,0.5,63,260.0
71,E2,38.0,0.5,95,260.0
72,E4,38.5,1.0,95,260.0
73,D4,39.0,0.5,63,260.0
74,G#3,39.0,0.5,63,260.0
75,B4,40.0,1.0,95,260.0
76,E3,40.0,0.5,95,260.0
77,D4,41.0,0.5,63,260.0
78,G#3,41.0,0.5,63,260.0
79,A4,41.5,1.0,95,260.0
80,E2,42.0,0.5,95,260.0
81,F#4,42.5,1.0,95,260.0
82,D4,43.0,0.5,63,260.0
83,G#3,43.0,0.5,63,260.0
84,A4,44.0,1.0,95,260.0
85,A2,44.0,0.5,95,260.0
86,A3,45.0,0.5,63,260.0
87,C#4,45.5,1.0,95,260.0
88,E2,46.0,0.5,95,260.0
89,E4,46.5,1.0,95,260.0
90,C#4,47.0,0.5,63,260.0
91,A3,47.0,0.5,63,260.0
92,A4,48.0,1.0,95,260.0
93,A2,48.0,0.5,95,260.0
94,E4,48.5,1.0,95,260.0
