,note_name,start_time,duration,velocity,tempo
0,F2,0.0,967/1000,86,117.0
1,E-3,0.0,0.25,96,117.0
2,C2,0.0,0.5,115,117.0
3,A4,0.0,0.25,110,117.0
4,F1,0.033,39/40,105,117.0
5,A4,0.25,0.25,92,117.0
6,E-3,0.5,0.25,89,117.0
7,A4,0.5,0.25,92,117.0
8,C4,0.5,229/500,78,117.0
9,G#3,0.5,229/500,78,117.0
10,A4,0.75,0.25,100,117.0
11,F3,1.0,0.125,92,117.0
12,E-3,1.0,0.25,96,117.0
13,E2,1.0,0.25,105,117.0
14,A4,1.0,0.25,105,117.0
15,D4,1.0,9/40,74,117.0
16,B-3,1.0,9/40,74,117.0
17,A4,1.25,0.25,100,117.0
18,C1,1.458,1317/1000,115,117.0
19,C3,1.5,29/20,89,117.0
20,E-3,1.5,0.25,83,117.0
21,C2,1.5,0.5,110,117.0
22,A4,1.5,0.25,100,117.0
23,A4,1.75,0.25,96,117.0
24,E-3,2.0,0.25,83,117.0
25,A4,2.0,0.25,110,117.0
26,C4,2.0,479/500,82,117.0
27,E-4,2.0,479/500,82,117.0
28,A4,2.25,0.25,100,117.0
29,E-3,2.5,0.25,86,117.0
30,C2,2.5,0.5,115,117.0
31,A4,2.5,0.25,110,117.0
32,A4,2.75,0.25,100,117.0
33,E-1,2.992,9/20,110,117.0
34,E-3,3.0,483/1000,83,117.0
35,E-3,3.0,0.25,92,117.0
36,E2,3.0,0.25,110,117.0
37,A4,3.0,0.25,110,117.0
38,D4,3.0,221/500,68,117.0
39,B-3,3.0,221/500,68,117.0
40,A4,3.25,0.25,92,117.0
41,F1,3.492,49/125,89,117.0
42,F3,3.5,167/1000,73,117.0
43,E-3,3.5,0.25,86,117.0
44,C2,3.5,0.25,110,117.0
45,A4,3.5,0.25,105,117.0
46,G#3,3.5,24/125,64,117.0
47,C4,3.5,24/125,64,117.0
48,A4,3.75,0.25,100,117.0
49,F2,4.0,471/500,75,117.0
50,E-3,4.0,0.25,92,117.0
51,C2,4.0,0.25,115,117.0
52,A4,4.0,0.25,110,117.0
53,F1,4.017,0.875,71,117.0
54,A4,4.25,0.25,100,117.0
55,E-3,4.5,0.25,89,117.0
56,A4,4.5,0.25,100,117.0
57,C4,4.5,221/500,78,117.0
58,G#3,4.5,221/500,78,117.0
59,A4,4.75,0.25,105,117.0
60,F3,5.0,71/500,77,117.0
61,E-3,5.0,0.25,96,117.0
62,E2,5.0,0.25,110,117.0
63,A4,5.0,0.25,110,117.0
64,B-3,5.0,129/500,71,117.0
65,D4,5.0,129/500,71,117.0
66,A4,5.25,0.25,96,117.0
67,C1,5.467,1267/1000,110,117.0
68,C3,5.5,377/250,83,117.0
69,E-3,5.5,0.25,83,117.0
70,C2,5.5,0.25,110,117.0
71,A4,5.5,0.25,96,117.0
72,A4,5.75,0.25,96,117.0
73,E-3,6.0,0.25,92,117.0
74,A4,6.0,0.25,110,117.0
75,E-4,6.0,19/20,78,117.0
76,C4,6.0,19/20,78,117.0
77,A4,6.25,0.25,92,117.0
78,E-3,6.5,0.25,86,117.0
79,C2,6.5,0.25,115,117.0
80,A4,6.5,0.25,92,117.0
81,A4,6.75,0.25,100,117.0
82,E-1,6.975,517/1000,105,117.0
83,E-3,7.0,517/1000,89,117.0
84,E-3,7.0,0.25,83,117.0
85,E2,7.0,0.25,110,117.0
86,A4,7.0,0.25,110,117.0
87,B-3,7.0,229/500,76,117.0
88,D4,7.0,229/500,76,117.0
89,A4,7.25,0.25,92,117.0
90,F3,7.5,71/500,73,117.0
91,E-3,7.5,0.25,86,117.0
92,C2,7.5,0.25,110,117.0
93,A4,7.5,0.25,92,117.0
94,C4,7.5,233/1000,68,117.0
95,G#3,7.5,233/1000,68,117.0
96,F1,7.517,73/250,96,117.0
97,A4,7.75,0.25,96,117.0
98,F2,8.0,126/125,80,117.0
99,E-3,8.0,0.25,86,117.0
100,C2,8.0,0.25,110,117.0
101,A4,8.0,0.25,110,117.0
102,F1,8.033,1083/1000,105,117.0
103,A4,8.25,0.25,105,117.0
104,E-3,8.5,0.25,86,117.0
105,A4,8.5,0.25,89,117.0
106,G#3,8.5,127/250,73,117.0
107,C4,8.5,127/250,73,117.0
108,A4,8.75,0.25,100,117.0
109,F3,9.0,133/1000,89,117.0
110,E-3,9.0,0.25,80,117.0
111,E2,9.0,0.25,100,117.0
112,A4,9.0,0.25,110,117.0
113,D4,9.0,9/40,68,117.0
114,B-3,9.0,9/40,68,117.0
115,A4,9.25,0.25,105,117.0
116,C3,9.5,373/250,83,117.0
117,E-3,9.5,0.25,80,117.0
118,C2,9.5,0.25,115,117.0
119,A4,9.5,0.25,92,117.0
120,C1,9.525,1.25,110,117.0
121,A4,9.75,0.25,96,117.0
122,E-4,10.0,126/125,77,117.0
123,C4,10.0,471/500,83,117.0
124,E-3,10.0,117/1000,92,117.0
125,A4,10.0,0.25,110,117.0
126,A4,10.25,0.25,105,117.0
127,E-3,10.5,0.25,89,117.0
128,C2,10.5,0.25,105,117.0
129,A4,10.5,0.25,100,117.0
130,A4,10.75,0.25,100,117.0
131,E-3,11.0,9/20,92,117.0
132,E-3,11.0,0.25,92,117.0
133,E2,11.0,0.25,105,117.0
134,A4,11.0,0.25,115,117.0
135,D4,11.0,229/500,69,117.0
136,B-3,11.0,229/500,69,117.0
137,E-1,11.025,2/5,96,117.0
138,A4,11.25,0.25,96,117.0
139,F3,11.5,0.125,64,117.0
140,E-3,11.5,0.25,86,117.0
141,C2,11.5,0.25,105,117.0
142,A4,11.5,0.25,86,117.0
143,C4,11.5,9/40,66,117.0
144,G#3,11.5,9/40,66,117.0
145,F1,11.525,73/250,75,117.0
146,A4,11.75,0.25,100,117.0
147,F2,12.0,1033/1000,80,117.0
148,E-3,12.0,0.25,96,117.0
149,C2,12.0,0.25,110,117.0
150,A4,12.0,0.25,110,117.0
151,F1,12.067,273/250,92,117.0
152,A4,12.25,0.25,96,117.0
153,C4,12.5,533/1000,80,117.0
154,G#3,12.5,467/1000,86,117.0
155,E-3,12.5,0.25,89,117.0
156,A4,12.5,0.25,96,117.0
157,A4,12.75,0.25,96,117.0
158,F3,13.0,27/250,89,117.0
159,E-3,13.0,0.25,96,117.0
160,E2,13.0,0.25,100,117.0
161,A4,13.0,0.25,110,117.0
162,D4,13.0,1/5,73,117.0
163,B-3,13.0,1/5,73,117.0
164,A4,13.25,0.25,105,117.0
165,C3,13.5,1433/1000,73,117.0
166,E-3,13.5,0.25,83,117.0
167,C2,13.5,0.25,115,117.0
168,A4,13.5,0.25,96,117.0
169,C1,13.517,323/250,100,117.0
170,A4,13.75,0.25,100,117.0
171,E-4,14.0,39/40,80,117.0
172,C4,14.0,227/250,75,117.0
173,E-3,14.0,0.25,83,117.0
174,A4,14.0,0.25,110,117.0
175,A4,14.25,0.25,100,117.0
176,E-3,14.5,0.25,86,117.0
177,C2,14.5,0.25,110,117.0
178,A4,14.5,0.25,100,117.0
179,A4,14.75,0.25,100,117.0
180,E-3,15.0,483/1000,86,117.0
181,E-1,15.0,17/40,105,117.0
182,E-3,15.0,0.25,92,117.0
183,E2,15.0,0.25,105,117.0
184,A4,15.0,0.25,115,117.0
185,D4,15.0,229/500,83,117.0
186,B-3,15.0,229/500,83,117.0
187,A4,15.25,0.25,110,117.0
188,F1,15.492,129/500,86,117.0
189,C4,15.5,73/250,80,117.0
190,G#3,15.5,217/1000,73,117.0
191,F3,15.5,133/1000,63,117.0
192,E-3,15.5,0.25,86,117.0
193,C2,15.5,0.25,105,117.0
194,A4,15.5,0.25,110,117.0
195,A4,15.75,0.25,105,117.0
196,F2,16.0,1.0,83,117.0
197,E-3,16.0,0.25,92,117.0
198,C2,16.0,0.25,110,117.0
199,A4,16.0,0.25,110,117.0
200,F1,16.033,21/20,96,117.0
201,A4,16.25,0.25,92,117.0
202,E-3,16.5,0.25,89,117.0
203,A4,16.5,0.25,92,117.0
204,C4,16.5,467/1000,66,117.0
205,G#3,16.5,467/1000,66,117.0
206,A4,16.75,0.25,100,117.0
207,F3,17.0,27/250,80,117.0
208,E-3,17.0,0.25,96,117.0
209,E2,17.0,0.25,105,117.0
210,A4,17.0,0.25,105,117.0
211,D4,17.0,26/125,66,117.0
212,B-3,17.0,26/125,66,117.0
213,A4,17.25,0.25,100,117.0
214,C3,17.5,771/500,83,117.0
215,E-3,17.5,0.25,83,117.0
216,C2,17.5,0.25,110,117.0
217,A4,17.5,0.25,100,117.0
218,C1,17.517,1283/1000,105,117.0
219,A4,17.75,0.25,96,117.0
220,E-3,18.0,0.25,92,117.0
221,A4,18.0,0.25,110,117.0
222,E-4,18.0,19/20,84,117.0
223,C4,18.0,19/20,84,117.0
224,A4,18.25,0.25,100,117.0
225,E-3,18.5,0.25,86,117.0
226,C2,18.5,0.25,100,117.0
227,A4,18.5,0.25,110,117.0
228,A4,18.75,0.25,100,117.0
229,E-1,18.967,2/5,100,117.0
230,E-3,19.0,123/250,80,117.0
231,E-3,19.0,0.25,83,117.0
232,E2,19.0,0.25,100,117.0
233,A4,19.0,0.25,110,117.0
234,D4,19.0,517/1000,64,117.0
235,B-3,19.0,517/1000,64,117.0
236,A4,19.25,0.25,92,117.0
237,F1,19.45,129/500,86,117.0
238,F3,19.5,27/250,71,117.0
239,E-3,19.5,0.25,86,117.0
240,C2,19.5,0.25,110,117.0
241,A4,19.5,0.25,105,117.0
242,C4,19.5,73/250,62,117.0
243,G#3,19.5,73/250,62,117.0
244,A4,19.75,0.25,100,117.0
245,F2,20.0,967/1000,75,117.0
246,F1,20.0,529/500,92,117.0
247,E-3,20.0,0.25,86,117.0
248,C2,20.0,0.25,100,117.0
249,A4,20.0,0.25,110,117.0
250,A4,20.25,0.25,100,117.0
251,E-3,20.5,0.25,86,117.0
252,A4,20.5,0.25,100,117.0
253,G#3,20.5,21/40,72,117.0
254,C4,20.5,21/40,72,117.0
255,A4,20.75,0.25,105,117.0
256,F3,21.0,27/250,89,117.0
257,E-3,21.0,0.25,80,117.0
258,E2,21.0,0.25,105,117.0
259,A4,21.0,0.25,110,117.0
260,B-3,21.0,11/40,70,117.0
261,D4,21.0,11/40,70,117.0
262,A4,21.25,0.25,96,117.0
263,C3,21.5,1517/1000,83,117.0
264,E-3,21.5,0.25,80,117.0
265,C2,21.5,0.25,110,117.0
266,A4,21.5,0.25,96,117.0
267,C1,21.508,1217/1000,110,117.0
268,A4,21.75,0.25,96,117.0
269,E-3,22.0,117/1000,92,117.0
270,A4,22.0,0.25,110,117.0
271,E-4,22.0,479/500,76,117.0
272,C4,22.0,479/500,76,117.0
273,A4,22.25,0.25,92,117.0
274,E-3,22.5,0.25,89,117.0
275,C2,22.5,0.25,105,117.0
276,A4,22.5,0.25,92,117.0
277,A4,22.75,0.25,100,117.0
