,note_name,start_time,duration,velocity,tempo
0,A2,0.0,1.0,95,220.0
1,A2,0.0,1.0,95,220.0
2,G3,1.0,1.0,111,220.0
3,G3,1.0,1.0,95,220.0
4,B-2,2.0,1.0,95,220.0
5,B-2,2.0,1.0,95,220.0
6,G3,3.0,1.0,111,220.0
7,G3,3.0,1.0,95,220.0
8,A2,4.0,1.0,95,220.0
9,A2,4.0,1.0,95,220.0
10,G3,5.0,1.0,111,220.0
11,G3,5.0,1.0,95,220.0
12,B-2,6.0,1.0,95,220.0
13,B-2,6.0,1.0,95,220.0
14,G3,7.0,1.0,111,220.0
15,G3,7.0,1.0,95,220.0
16,A2,8.0,1.0,95,220.0
17,A2,8.0,1.0,95,220.0
18,G3,9.0,1.0,111,220.0
19,G3,9.0,1.0,95,220.0
20,B-2,10.0,1.0,95,220.0
21,B-2,10.0,1.0,95,220.0
22,G3,11.0,1.0,111,220.0
23,G3,11.0,1.0,95,220.0
24,A2,12.0,1.0,95,220.0
25,A2,12.0,1.0,95,220.0
26,G3,13.0,1.0,111,220.0
27,G3,13.0,1.0,95,220.0
28,B-2,14.0,1.0,95,220.0
29,B-2,14.0,1.0,95,220.0
30,G3,15.0,1.0,111,220.0
31,G3,15.0,1.0,95,220.0
32,A4,16.0,1.0,111,220.0
33,A2,16.0,1.0,111,220.0
34,A4,16.0,1.0,95,220.0
35,A2,16.0,1.0,95,220.0
36,G3,17.0,1.0,111,220.0
37,G3,17.0,1.0,95,220.0
38,B-2,18.0,1.0,95,220.0
39,B-2,18.0,1.0,95,220.0
40,G3,19.0,1.0,111,220.0
41,G3,19.0,1.0,95,220.0
42,A2,20.0,1.0,95,220.0
43,A2,20.0,1.0,95,220.0
44,G3,21.0,1.0,111,220.0
45,G3,21.0,1.0,95,220.0
46,B-2,22.0,1.0,127,220.0
47,B-2,22.0,1.0,95,220.0
48,G#3,23.0,1.0,127,220.0
49,G#3,23.0,1.0,95,220.0
50,A2,24.0,667/1000,95,220.0
51,A2,24.0,667/1000,95,220.0
52,B-4,24.667,333/1000,95,220.0
53,B-4,24.667,333/1000,95,220.0
54,G3,25.0,1.0,111,220.0
55,G3,25.0,1.0,95,220.0
56,A4,26.0,667/1000,103,220.0
57,B-2,26.0,667/1000,103,220.0
58,A4,26.0,667/1000,95,220.0
59,B-2,26.0,667/1000,95,220.0
60,E4,26.667,333/1000,95,220.0
61,E4,26.667,333/1000,95,220.0
62,G3,27.0,1.0,111,220.0
63,G3,27.0,1.0,95,220.0
64,G4,28.0,1.0,103,220.0
65,A2,28.0,1.0,103,220.0
