,note_name,start_time,duration,velocity,tempo
0,G#6,4.0,4.0,95,120.0
1,E-4,4.0,0.062,127,120.0
2,G#4,4.0,0.062,127,120.0
3,G4,4.0,1/100,112,120.0
4,G#4,4.0,1/100,112,120.0
5,B1,4.0,1/100,112,120.0
6,F#2,4.0,1/100,112,120.0
7,E3,4.0,1/100,112,120.0
8,E-4,4.25,167/1000,69,120.0
9,G#4,4.25,167/1000,69,120.0
10,F1,4.5,151/500,121,120.0
11,G#3,4.5,151/500,121,120.0
12,C#4,4.5,151/500,121,120.0
13,F4,4.5,151/500,121,120.0
14,E-4,4.5,1/100,60,120.0
15,F#2,4.5,1/100,60,120.0
16,E-4,4.75,167/1000,94,120.0
17,G#4,4.75,167/1000,94,120.0
18,F1,5.0,6/25,102,120.0
19,G#3,5.0,323/1000,117,120.0
20,C#4,5.0,323/1000,117,120.0
21,F4,5.0,323/1000,117,120.0
22,B1,5.0,1/100,123,120.0
23,E-2,5.0,1/100,123,120.0
24,E2,5.0,1/100,123,120.0
25,F#2,5.0,1/100,123,120.0
26,E-4,5.25,13/125,58,120.0
27,G#4,5.25,13/125,58,120.0
28,F#1,5.5,6/25,117,120.0
29,F#2,5.5,1/100,54,120.0
30,B-3,5.5,0.312,119,120.0
31,C#4,5.5,0.312,119,120.0
32,F#4,5.5,0.312,119,120.0
33,E-4,5.5,23/200,120,120.0
34,G#4,5.5,23/200,120,120.0
35,E-4,5.75,23/200,63,120.0
36,G#4,5.75,23/200,63,120.0
37,F#1,6.0,479/1000,124,120.0
38,B-3,6.0,0.344,114,120.0
39,C#4,6.0,0.344,114,120.0
40,F#4,6.0,0.344,114,120.0
41,E-4,6.0,1/100,84,120.0
42,G#4,6.0,1/100,84,120.0
43,B1,6.0,1/100,84,120.0
44,F#2,6.0,1/100,84,120.0
45,E-4,6.25,0.156,90,120.0
46,G#4,6.25,0.156,90,120.0
47,E-4,6.5,1/100,60,120.0
48,G#4,6.5,1/100,60,120.0
49,F#2,6.5,1/100,60,120.0
50,E-4,6.75,73/1000,54,120.0
51,G#4,6.75,73/1000,54,120.0
52,F1,7.0,229/500,127,120.0
53,G#3,7.0,73/200,119,120.0
54,C#4,7.0,73/200,119,120.0
55,F4,7.0,73/200,119,120.0
56,E-4,7.0,23/200,126,120.0
57,G#4,7.0,23/200,126,120.0
58,B1,7.0,1/100,122,120.0
59,E-2,7.0,1/100,122,120.0
60,E2,7.0,1/100,122,120.0
61,F#2,7.0,1/100,122,120.0
62,E-4,7.25,27/200,70,120.0
63,G#4,7.25,27/200,70,120.0
64,E-4,7.5,1/100,68,120.0
65,G#4,7.5,1/100,68,120.0
66,F#2,7.5,1/100,68,120.0
67,E-4,7.75,0.094,71,120.0
68,G#4,7.75,0.094,71,120.0
69,G#6,8.0,121729/1000,95,120.0
70,F#1,8.0,333/1000,123,120.0
71,B-3,8.0,333/1000,123,120.0
72,F#4,8.0,333/1000,123,120.0
73,C#4,8.0,333/1000,126,120.0
74,F#4,8.0,333/1000,126,120.0
75,E-4,8.0,23/200,120,120.0
76,G#4,8.0,23/200,120,120.0
77,B1,8.0,1/100,102,120.0
78,F#2,8.0,1/100,102,120.0
79,E-4,8.25,0.125,62,120.0
80,G#4,8.25,0.125,62,120.0
81,E-4,8.5,1/100,59,120.0
82,G#4,8.5,1/100,59,120.0
83,F#2,8.5,1/100,59,120.0
84,F1,8.75,0.281,116,120.0
85,G#3,8.75,0.281,116,120.0
86,C#4,8.75,167/1000,114,120.0
87,F4,8.75,167/1000,114,120.0
88,G#4,8.75,167/1000,114,120.0
89,E-4,8.75,167/1000,103,120.0
90,G#4,8.75,167/1000,103,120.0
91,B1,9.0,1/100,122,120.0
92,E-2,9.0,1/100,122,120.0
93,E2,9.0,1/100,122,120.0
94,F#2,9.0,1/100,122,120.0
95,E-4,9.25,0.094,56,120.0
96,G#4,9.25,0.094,56,120.0
97,G#1,9.5,0.781,127,120.0
98,F#2,9.5,1/100,67,120.0
99,G#3,9.5,1.594,110,120.0
100,C4,9.5,1.594,110,120.0
101,E-4,9.5,1.594,110,120.0
102,E-4,9.5,0.125,120,120.0
103,G#4,9.5,0.125,120,120.0
104,E-4,9.75,0.125,68,120.0
105,G#4,9.75,0.125,68,120.0
106,E-4,10.0,1/100,82,120.0
107,G#4,10.0,1/100,82,120.0
108,B1,10.0,1/100,82,120.0
109,F#2,10.0,1/100,82,120.0
110,E-4,10.25,0.156,82,120.0
111,G#4,10.25,0.156,82,120.0
112,G#1,10.5,0.25,111,120.0
113,F#2,10.5,1/100,51,120.0
114,E-4,10.75,83/1000,68,120.0
115,G#4,10.75,83/1000,68,120.0
116,G#1,11.0,0.219,104,120.0
117,C5,11.0,0.938,114,120.0
118,G#5,11.0,0.938,114,120.0
119,E-4,11.0,0.125,126,120.0
120,G#4,11.0,0.125,126,120.0
121,G4,11.0,1/100,110,120.0
122,B1,11.0,1/100,110,120.0
123,E-2,11.0,1/100,110,120.0
124,E2,11.0,1/100,110,120.0
125,F#2,11.0,1/100,110,120.0
126,E-4,11.25,73/1000,46,120.0
127,G#4,11.25,73/1000,46,120.0
128,G#1,11.5,26/125,124,120.0
129,F#2,11.5,1/100,67,120.0
130,E-4,11.5,23/200,78,120.0
131,G#4,11.5,23/200,78,120.0
132,G#1,11.75,0.25,124,120.0
133,E-4,11.75,13/125,70,120.0
134,G#4,11.75,13/125,70,120.0
135,G#1,129.729,167/1000,124,120.0
136,C5,129.729,677/1000,112,120.0
137,G#5,129.729,677/1000,112,120.0
138,E-4,129.729,0.125,120,120.0
139,G#4,129.729,0.125,120,120.0
140,B1,129.729,1/100,100,120.0
141,F#2,129.729,1/100,100,120.0
142,E-4,129.979,0.125,68,120.0
143,G#4,129.979,0.125,68,120.0
144,F1,130.229,99/500,127,120.0
145,G#3,130.229,333/1000,127,120.0
146,C#4,130.229,333/1000,127,120.0
147,F4,130.229,333/1000,127,120.0
148,E-4,130.229,1/100,69,120.0
149,G#4,130.229,1/100,69,120.0
150,F#2,130.229,1/100,69,120.0
151,E-4,130.479,0.156,91,120.0
152,G#4,130.479,0.156,91,120.0
153,F1,130.729,99/500,120,120.0
154,G#3,130.729,333/1000,108,120.0
155,C#4,130.729,333/1000,108,120.0
156,F4,130.729,333/1000,108,120.0
157,B1,130.729,1/100,122,120.0
158,E-2,130.729,1/100,122,120.0
159,E2,130.729,1/100,122,120.0
160,F#2,130.729,1/100,122,120.0
161,E-4,130.979,13/125,68,120.0
162,G#4,130.979,13/125,68,120.0
163,F#1,131.229,0.188,117,120.0
164,F#2,131.229,1/100,66,120.0
165,B-3,131.229,0.312,113,120.0
166,C#4,131.229,0.312,113,120.0
167,F#4,131.229,0.312,113,120.0
168,E-4,131.229,23/200,112,120.0
169,G#4,131.229,23/200,112,120.0
170,E-4,131.479,0.125,67,120.0
171,G#4,131.479,0.125,67,120.0
172,F#1,131.729,73/200,117,120.0
173,B-3,131.729,73/200,117,120.0
174,C#4,131.729,73/200,117,120.0
175,F#4,131.729,73/200,117,120.0
176,E-4,131.729,1/100,84,120.0
177,G#4,131.729,1/100,84,120.0
178,B1,131.729,1/100,84,120.0
179,F#2,131.729,1/100,84,120.0
180,E-4,131.979,0.156,88,120.0
181,G#4,131.979,0.156,88,120.0
182,E-4,132.229,1/100,63,120.0
183,G#4,132.229,1/100,63,120.0
184,F#2,132.229,1/100,63,120.0
185,E-4,132.479,83/1000,60,120.0
186,G#4,132.479,83/1000,60,120.0
187,F1,132.729,49/100,127,120.0
188,G#3,132.729,73/200,126,120.0
189,C#4,132.729,73/200,126,120.0
190,F4,132.729,73/200,126,120.0
191,E-4,132.729,23/200,127,120.0
192,G#4,132.729,23/200,127,120.0
193,B1,132.729,1/100,120,120.0
194,E-2,132.729,1/100,120,120.0
195,E2,132.729,1/100,120,120.0
196,F#2,132.729,1/100,120,120.0
197,E-4,132.979,0.156,60,120.0
198,G#4,132.979,0.156,60,120.0
199,F#2,133.229,1/100,63,120.0
200,E-4,133.229,0.094,73,120.0
201,G#4,133.229,0.094,73,120.0
202,E-4,133.479,0.094,71,120.0
203,G#4,133.479,0.094,71,120.0
204,F#1,133.729,0.375,122,120.0
205,B-3,133.729,0.375,122,120.0
206,C#4,133.729,0.344,124,120.0
207,F#4,133.729,0.344,124,120.0
208,E-4,133.729,0.125,122,120.0
