,note_name,start_time,duration,velocity,tempo
0,F#2,0.0,21/500,64,98.0
1,F#2,1.0,21/500,64,98.0
2,F#2,2.0,21/500,64,98.0
3,F#2,3.0,21/500,64,98.0
4,B-3,4.0,4.0,74,98.0
5,C#5,4.0,229/500,64,98.0
6,C#5,4.0,229/500,35,98.0
7,B-3,4.0,4.0,35,98.0
8,B-2,4.0,4.0,35,98.0
9,F4,4.5,229/500,64,98.0
10,F4,4.5,229/500,35,98.0
11,C5,5.0,229/500,64,98.0
12,C5,5.0,229/500,35,98.0
13,F4,5.5,229/500,64,98.0
14,F4,5.5,229/500,35,98.0
15,C#5,6.0,229/500,64,98.0
16,C#5,6.0,229/500,35,98.0
17,F4,6.5,229/500,64,98.0
18,F4,6.5,229/500,35,98.0
19,C5,7.0,229/500,64,98.0
20,C5,7.0,229/500,35,98.0
21,F4,7.5,229/500,64,98.0
22,F4,7.5,229/500,35,98.0
23,B-3,8.0,1979/500,74,98.0
24,C#5,8.0,229/500,64,98.0
25,F4,8.5,229/500,64,98.0
26,C5,9.0,229/500,64,98.0
27,F4,9.5,229/500,64,98.0
28,C#5,10.0,229/500,64,98.0
29,C5,10.5,229/500,64,98.0
30,B-4,11.0,229/500,64,98.0
31,G#4,11.5,229/500,64,98.0
32,C#5,11.958,229/500,35,98.0
33,B-3,11.958,1979/500,35,98.0
34,B-2,11.958,1979/500,35,98.0
35,F#3,12.0,4.0,74,98.0
36,B-4,12.0,229/500,64,98.0
37,F4,12.458,229/500,35,98.0
38,C#4,12.5,229/500,64,98.0
39,C5,12.958,229/500,35,98.0
40,G#4,13.0,229/500,64,98.0
41,F4,13.458,229/500,35,98.0
42,C#4,13.5,229/500,64,98.0
43,C#5,13.958,229/500,35,98.0
44,B-4,14.0,229/500,64,98.0
45,C5,14.458,229/500,35,98.0
46,C#4,14.5,229/500,64,98.0
47,B-4,14.958,229/500,35,98.0
48,G#4,15.0,229/500,64,98.0
49,G#4,15.458,229/500,35,98.0
50,C#4,15.5,229/500,64,98.0
51,B-4,15.958,229/500,35,98.0
52,F#3,15.958,4.0,35,98.0
53,F#2,15.958,4.0,35,98.0
54,F#3,16.0,1479/500,74,98.0
55,B-4,16.0,229/500,64,98.0
56,C#4,16.458,229/500,35,98.0
57,C#4,16.5,229/500,64,98.0
58,G#4,16.958,229/500,35,98.0
59,G#4,17.0,229/500,64,98.0
60,C#4,17.458,229/500,35,98.0
61,C#4,17.5,229/500,64,98.0
62,B-4,17.958,229/500,35,98.0
63,B-4,18.0,229/500,64,98.0
64,C#4,18.458,229/500,35,98.0
65,G#4,18.5,229/500,64,98.0
66,G#4,18.958,229/500,35,98.0
67,F3,19.0,479/500,74,98.0
68,F#4,19.0,229/500,64,98.0
69,C#4,19.458,229/500,35,98.0
70,F4,19.5,229/500,64,98.0
71,E-3,20.0,4.0,74,98.0
72,F#4,20.0,229/500,64,98.0
73,B-3,20.5,229/500,64,98.0
74,F4,21.0,229/500,64,98.0
75,B-3,21.5,229/500,64,98.0
76,F#4,22.0,229/500,64,98.0
77,B-3,22.5,229/500,64,98.0
78,B-4,22.917,229/500,35,98.0
79,F#3,22.917,1479/500,35,98.0
80,F#2,22.917,1479/500,35,98.0
81,F4,23.0,229/500,64,98.0
82,C#4,23.417,229/500,35,98.0
83,B-3,23.5,229/500,64,98.0
84,G#4,23.917,229/500,35,98.0
85,E-3,24.0,1979/500,74,98.0
86,F#4,24.0,229/500,64,98.0
87,C#4,24.417,229/500,35,98.0
88,B-3,24.5,229/500,64,98.0
89,B-4,24.917,229/500,35,98.0
90,F4,25.0,229/500,64,98.0
91,G#4,25.417,229/500,35,98.0
92,B-3,25.5,229/500,64,98.0
93,F#4,25.917,229/500,35,98.0
94,F3,25.917,479/500,35,98.0
95,F2,25.917,479/500,35,98.0
96,F#4,26.0,229/500,64,98.0
97,F4,26.417,229/500,35,98.0
98,F4,26.5,229/500,64,98.0
99,F#4,26.917,229/500,35,98.0
100,E-3,26.917,4.0,35,98.0
101,E-2,26.917,4.0,35,98.0
102,E-4,27.0,229/500,64,98.0
103,B-3,27.417,229/500,35,98.0
104,C#4,27.5,229/500,64,98.0
105,F4,27.917,229/500,35,98.0
