,note_name,start_time,duration,velocity,tempo
0,F#2,0.0,3/20,100,103.0
1,F#2,0.25,117/1000,30,103.0
2,F#2,0.5,79/500,30,103.0
3,F#2,0.75,79/500,30,103.0
4,F#2,1.0,7/40,100,103.0
5,F#2,1.25,133/1000,30,103.0
6,F#2,1.5,71/500,30,103.0
7,B-2,1.75,71/500,100,103.0
8,F#2,2.0,167/1000,100,103.0
9,F#2,2.25,71/500,30,103.0
10,F#2,2.5,7/40,30,103.0
11,F#2,2.75,7/40,30,103.0
12,F#2,3.0,7/40,100,103.0
13,F#2,3.25,3/20,30,103.0
14,F#2,3.5,3/20,30,103.0
15,F#2,3.75,167/1000,30,103.0
16,F#2,4.0,3/20,100,103.0
17,F#2,4.25,117/1000,30,103.0
18,F#2,4.5,79/500,30,103.0
19,F#2,4.75,79/500,30,103.0
20,F#2,5.0,7/40,100,103.0
21,F#2,5.25,133/1000,30,103.0
22,F#2,5.5,71/500,30,103.0
23,B-2,5.75,71/500,100,103.0
24,F#2,6.0,167/1000,100,103.0
25,F#2,6.25,71/500,30,103.0
26,F#2,6.5,7/40,30,103.0
27,F#2,6.75,7/40,30,103.0
28,F#2,7.0,7/40,100,103.0
29,F#2,7.25,3/20,30,103.0
30,F#2,7.5,3/20,30,103.0
31,F#2,7.75,167/1000,30,103.0
32,G#2,8.0,3/20,114,103.0
33,F#2,8.0,3/20,100,103.0
34,G#2,8.25,183/1000,98,103.0
35,F#2,8.25,117/1000,30,103.0
36,F#2,8.5,7/40,109,103.0
37,F#2,8.5,79/500,30,103.0
38,F#2,8.75,7/40,94,103.0
39,F#2,8.75,79/500,30,103.0
40,G#2,9.0,79/500,114,103.0
41,F#2,9.0,7/40,100,103.0
42,G#2,9.25,167/1000,111,103.0
43,F#2,9.25,133/1000,30,103.0
44,F#2,9.5,71/500,30,103.0
45,B-2,9.75,71/500,100,103.0
46,E-3,10.0,7/40,113,103.0
47,F#2,10.0,167/1000,100,103.0
48,E-3,10.25,7/40,109,103.0
49,F#2,10.25,71/500,30,103.0
50,E-3,10.5,7/40,101,103.0
51,F#2,10.5,7/40,30,103.0
52,F#3,10.75,217/1000,111,103.0
