,note_name,start_time,duration,velocity,tempo
0,A4,0.0,167/1000,95,132.0
1,A4,0.167,167/1000,95,132.0
2,A4,0.333,167/1000,95,132.0
3,G#5,0.5,0.5,95,132.0
4,E-4,1.0,167/1000,95,132.0
5,E-4,1.167,167/1000,95,132.0
6,E-4,1.333,167/1000,95,132.0
7,D5,1.5,0.5,95,132.0
8,A3,2.0,167/1000,95,132.0
9,A3,2.167,167/1000,95,132.0
10,A3,2.333,167/1000,95,132.0
11,G#4,2.5,0.5,95,132.0
12,E-3,3.0,167/1000,95,132.0
13,E-3,3.167,167/1000,95,132.0
14,E-3,3.333,167/1000,95,132.0
15,D4,3.5,0.5,95,132.0
16,C#3,4.0,167/1000,95,132.0
17,C#3,4.167,167/1000,95,132.0
18,C#3,4.333,167/1000,95,132.0
19,C4,4.5,0.5,95,132.0
20,G#3,5.0,167/1000,95,132.0
21,G#3,5.167,167/1000,95,132.0
22,G#3,5.333,167/1000,95,132.0
23,G4,5.5,0.5,95,132.0
24,E4,6.0,167/1000,95,132.0
25,E4,6.167,167/1000,95,132.0
26,E4,6.333,167/1000,95,132.0
27,D5,6.5,0.5,95,132.0
28,C#4,7.0,167/1000,95,132.0
29,C#4,7.167,167/1000,95,132.0
30,C#4,7.333,167/1000,95,132.0
31,B4,7.5,0.5,95,132.0
32,E4,8.0,0.25,95,132.0
33,C3,8.25,0.25,95,132.0
34,C4,8.5,0.25,95,132.0
35,C3,8.75,0.25,95,132.0
36,G#3,9.0,0.25,95,132.0
37,C3,9.25,0.25,95,132.0
38,E3,9.5,0.25,95,132.0
39,C3,9.75,0.25,95,132.0
40,G#3,10.0,0.25,70,132.0
41,C3,10.25,0.25,95,132.0
42,C4,10.5,0.25,70,132.0
43,C3,10.75,0.25,95,132.0
44,E4,11.0,0.25,70,132.0
45,C3,11.25,0.25,95,132.0
46,C4,11.5,0.25,70,132.0
47,C3,11.75,0.25,95,132.0
48,E4,12.0,0.25,70,132.0
49,C3,12.25,0.25,95,132.0
50,C4,12.5,0.25,70,132.0
51,C3,12.75,0.25,95,132.0
52,G#3,13.0,0.25,70,132.0
53,C3,13.25,0.25,95,132.0
54,E3,13.5,0.25,70,132.0
55,C3,13.75,0.25,95,132.0
56,G#3,14.0,0.25,70,132.0
57,C3,14.25,0.25,95,132.0
58,C4,14.5,0.25,70,132.0
59,C3,14.75,0.25,95,132.0
60,E4,15.0,0.25,70,132.0
61,C3,15.25,0.25,95,132.0
62,C4,15.5,0.25,70,132.0
63,C3,15.75,0.25,95,132.0
64,E-4,16.0,0.25,70,132.0
65,B2,16.25,0.25,95,132.0
66,B3,16.5,0.25,70,132.0
67,B2,16.75,0.25,95,132.0
68,G3,17.0,0.25,70,132.0
69,B2,17.25,0.25,95,132.0
70,D4,17.5,0.25,70,132.0
71,B-2,17.75,0.25,95,132.0
72,B-3,18.0,0.25,70,132.0
73,B-2,18.25,0.25,95,132.0
74,F#3,18.5,0.25,70,132.0
75,B-2,18.75,0.25,95,132.0
76,C#4,19.0,0.25,70,132.0
77,A2,19.25,0.25,95,132.0
78,A3,19.5,0.25,70,132.0
79,A2,19.75,0.25,95,132.0
80,F2,20.0,0.25,95,132.0
81,G3,20.25,0.25,70,132.0
82,G2,20.5,0.25,95,132.0
83,E-3,20.75,0.25,95,132.0
84,A2,21.0,0.25,95,132.0
85,F3,21.25,0.25,95,132.0
86,B2,21.5,0.25,70,132.0
87,C#4,21.75,0.25,70,132.0
88,C#3,22.0,0.25,95,132.0
89,A3,22.25,0.25,95,132.0
90,E-3,22.5,0.25,95,132.0
91,B3,22.75,0.25,95,132.0
92,F3,23.0,0.25,95,132.0
93,F#4,23.25,0.25,70,132.0
94,G3,23.5,0.25,95,132.0
95,D4,23.75,0.25,95,132.0
96,A3,24.0,0.25,95,132.0
97,E4,24.25,0.25,95,132.0
98,A3,24.5,0.25,95,132.0
99,B-4,24.75,0.25,95,132.0
100,B3,25.0,0.25,95,132.0
101,F#4,25.25,0.25,95,132.0
102,C#4,25.5,0.25,95,132.0
103,G#4,25.75,0.25,95,132.0
104,E5,26.0,2.0,95,132.0
105,B4,26.0,2.0,95,132.0
106,F#4,26.0,2.0,95,132.0
107,C#4,26.0,2.0,95,132.0
108,G#3,26.0,2.0,95,132.0
109,E2,26.0,2.0,95,132.0
