,note_name,start_time,duration,velocity,tempo
0,F5,0.0,4.0,120,140.0
1,F5,0.0,0.5,100,140.0
2,C#2,0.0,4.0,100,140.0
3,G#3,0.0,4.0,100,140.0
4,F5,1.0,0.5,100,140.0
5,F5,2.0,0.5,100,140.0
6,F5,3.0,0.5,100,140.0
7,F5,4.0,2.0,120,140.0
8,F5,4.0,0.5,100,140.0
9,B-1,4.0,4.0,100,140.0
10,F3,4.0,4.0,100,140.0
11,F5,5.0,0.5,100,140.0
12,G#5,6.025,1.0,120,140.0
13,G5,6.975,0.5,120,140.0
14,G5,7.0,0.5,100,140.0
15,E-5,7.5,0.5,120,140.0
16,E-5,7.5,0.5,100,140.0
17,E-5,8.0,4.0,120,140.0
18,G5,8.0,0.5,100,140.0
19,F1,8.0,4.0,100,140.0
20,C3,8.0,4.0,100,140.0
21,E-5,8.5,0.5,100,140.0
22,G5,9.0,0.5,100,140.0
23,E-5,9.5,0.5,100,140.0
24,G5,10.0,0.5,100,140.0
25,E-5,10.5,0.5,100,140.0
26,G5,11.0,0.5,100,140.0
27,E-5,11.5,0.5,100,140.0
28,E-5,12.0,2.0,120,140.0
29,G5,12.0,0.5,100,140.0
30,F1,12.0,4.0,100,140.0
31,C3,12.0,4.0,100,140.0
32,E-5,12.5,0.5,100,140.0
33,G5,13.0,0.5,100,140.0
34,E-5,13.5,0.5,100,140.0
35,G#5,14.0,1.0,120,140.0
36,E-5,14.5,0.5,100,140.0
37,G5,15.0,0.5,120,140.0
38,G5,15.0,0.5,100,140.0
39,C5,15.483,517/1000,120,140.0
40,C5,15.5,0.5,100,140.0
41,C5,16.0,4.0,120,140.0
42,G5,16.0,0.5,100,140.0
43,C#2,16.0,4.0,100,140.0
44,G#3,16.0,4.0,100,140.0
45,C5,16.5,0.5,100,140.0
46,G5,17.0,0.5,100,140.0
47,C5,17.5,0.5,100,140.0
48,G5,18.0,0.5,100,140.0
49,C5,18.5,0.5,100,140.0
50,G5,19.0,0.5,100,140.0
51,C5,19.5,0.5,100,140.0
52,C5,20.0,1983/1000,120,140.0
53,G5,20.0,0.5,100,140.0
54,B-1,20.0,4.0,100,140.0
