,note_name,start_time,duration,velocity,tempo
0,F#2,0.0,0.25,31,105.6
1,D2,0.0,0.5,95,105.6
2,B1,0.0,0.5,95,105.6
3,F#2,0.25,0.25,31,105.6
4,F#2,0.5,0.25,63,105.6
5,F2,0.5,0.25,63,105.6
6,F#2,0.75,0.25,31,105.6
7,B1,0.75,0.5,95,105.6
8,E3,0.75,0.5,95,105.6
9,F#2,1.0,0.25,31,105.6
10,F#2,1.25,0.25,63,105.6
11,C3,1.25,0.25,63,105.6
12,D3,1.5,1.0,95,105.6
13,F#2,1.5,0.25,31,105.6
14,B1,1.5,0.5,95,105.6
15,F#2,1.75,0.25,31,105.6
16,F#2,2.0,0.25,31,105.6
17,F#2,2.25,0.25,31,105.6
18,A4,2.25,0.75,90,105.6
19,F4,2.25,0.75,90,105.6
20,D5,2.25,0.75,90,105.6
21,B1,2.5,0.5,95,105.6
22,D2,2.5,0.25,63,105.6
23,F#2,2.5,0.25,63,105.6
24,F#2,2.75,0.25,63,105.6
25,D2,2.75,0.25,63,105.6
26,D2,3.0,0.5,114,105.6
27,F#2,3.0,0.25,31,105.6
28,C5,3.0,1.0,90,105.6
29,G4,3.0,1.0,90,105.6
30,E4,3.0,1.0,90,105.6
31,F#2,3.25,0.25,63,105.6
32,B-2,3.25,0.25,63,105.6
33,G2,3.5,0.5,95,105.6
34,F#2,3.5,0.25,31,105.6
35,F#2,3.75,0.25,31,105.6
36,F#2,4.0,0.25,31,105.6
37,B1,4.0,0.5,95,105.6
38,D2,4.0,0.5,95,105.6
39,F#2,4.25,0.25,31,105.6
40,F2,4.5,0.25,63,105.6
41,F#2,4.5,0.25,63,105.6
42,F#2,4.75,0.25,31,105.6
43,E3,4.75,0.5,95,105.6
44,B1,4.75,0.5,95,105.6
45,F#2,5.0,0.25,31,105.6
46,C3,5.25,0.25,63,105.6
47,F#2,5.25,0.25,63,105.6
48,F#2,5.5,0.25,31,105.6
49,D3,5.5,0.5,95,105.6
50,B1,5.5,0.5,95,105.6
51,F#2,5.75,0.25,31,105.6
52,F#2,6.0,0.25,63,105.6
53,A2,6.0,0.25,63,105.6
54,F#2,6.25,0.25,63,105.6
55,F2,6.25,0.25,63,105.6
56,A3,6.25,0.75,90,105.6
57,C3,6.25,0.75,90,105.6
58,F3,6.25,0.75,90,105.6
59,F#2,6.5,0.25,31,105.6
60,B1,6.5,0.5,95,105.6
61,F2,6.5,0.5,95,105.6
62,F#2,6.75,0.25,31,105.6
63,F#2,7.0,0.25,31,105.6
64,G2,7.0,1.0,91,105.6
65,B3,7.0,1.0,91,105.6
66,G3,7.0,1.0,91,105.6
67,D3,7.0,1.0,91,105.6
68,D2,7.25,0.5,114,105.6
69,F#2,7.25,0.25,31,105.6
70,F#2,7.5,0.25,31,105.6
71,F#2,7.75,0.25,31,105.6
72,F#2,8.0,0.25,31,105.6
73,D2,8.0,0.5,95,105.6
74,B1,8.0,0.5,95,105.6
75,F#2,8.25,0.25,31,105.6
76,F2,8.5,0.25,63,105.6
77,F#2,8.5,0.25,63,105.6
78,F#2,8.75,0.25,31,105.6
79,E3,8.75,0.5,95,105.6
80,B1,8.75,0.5,95,105.6
81,F#2,9.0,0.25,31,105.6
82,F#2,9.25,0.25,63,105.6
83,C3,9.25,0.25,63,105.6
84,D3,9.5,1.0,95,105.6
85,F#2,9.5,0.25,31,105.6
86,B1,9.5,0.5,95,105.6
87,F#2,9.75,0.25,31,105.6
88,C4,9.75,1.25,90,105.6
89,F4,9.75,1.25,90,105.6
90,A4,9.75,1.25,90,105.6
91,F#2,10.0,0.25,31,105.6
92,F#2,10.25,0.25,31,105.6
93,B1,10.5,0.5,95,105.6
94,F#2,10.5,0.25,63,105.6
95,D2,10.5,0.25,63,105.6
96,D2,10.75,0.25,63,105.6
97,F#2,10.75,0.25,63,105.6
98,F#2,11.0,0.25,31,105.6
99,D2,11.0,0.5,114,105.6
100,E4,11.0,1.0,90,105.6
101,G4,11.0,1.0,90,105.6
102,C4,11.0,1.0,90,105.6
103,F#2,11.25,0.25,31,105.6
104,D2,11.5,0.5,95,105.6
105,F#2,11.5,0.25,31,105.6
106,F#2,11.75,0.25,31,105.6
107,F#2,12.0,0.25,31,105.6
108,D2,12.0,0.5,95,105.6
109,B1,12.0,0.5,95,105.6
110,C4,12.0,2.0,90,105.6
111,E4,12.0,2.0,90,105.6
112,G3,12.0,2.0,90,105.6
113,F#2,12.25,0.25,31,105.6
114,F2,12.5,0.25,63,105.6
115,F#2,12.5,0.25,63,105.6
116,F#2,12.75,0.25,31,105.6
117,E3,12.75,0.5,95,105.6
118,B1,12.75,0.5,95,105.6
119,F#2,13.0,0.25,31,105.6
120,F#2,13.25,0.25,63,105.6
121,C3,13.25,0.25,63,105.6
122,F#2,13.5,0.25,31,105.6
123,D3,13.5,0.5,95,105.6
124,B1,13.5,0.5,95,105.6
125,F#2,13.75,0.25,72,105.6
126,D2,13.75,0.25,72,105.6
127,F#2,14.0,0.25,80,105.6
128,D2,14.0,0.25,80,105.6
129,A2,14.0,0.25,80,105.6
130,D2,14.25,0.5,114,105.6
131,C3,14.25,0.75,90,105.6
132,F3,14.25,0.75,90,105.6
133,A3,14.25,0.75,90,105.6
134,F#2,14.25,0.25,63,105.6
135,F2,14.25,0.25,63,105.6
136,F2,14.5,0.5,95,105.6
137,B1,14.5,0.25,63,105.6
138,F#2,14.5,0.25,63,105.6
139,F#2,14.75,0.25,63,105.6
140,G2,14.75,0.25,63,105.6
141,F#2,15.0,0.25,63,105.6
142,G2,15.0,0.25,63,105.6
143,D3,15.0,1.0,91,105.6
144,G3,15.0,1.0,91,105.6
145,B3,15.0,1.0,91,105.6
146,G2,15.0,1.0,91,105.6
147,F#2,15.25,0.25,31,105.6
148,G2,15.25,0.5,95,105.6
149,F#2,15.5,0.25,31,105.6
150,D2,15.75,0.25,72,105.6
151,F#2,15.75,0.25,72,105.6
152,F#2,16.0,0.25,31,105.6
153,G3,16.0,4.0,75,105.6
154,E4,16.0,4.0,75,105.6
155,C4,16.0,4.0,75,105.6
156,D2,16.0,0.5,88,105.6
157,B1,16.0,0.5,88,105.6
158,F#2,16.25,0.25,31,105.6
159,D4,16.5,0.5,95,105.6
160,F#2,16.5,0.25,56,105.6
161,D3,16.5,0.25,56,105.6
162,B1,16.75,0.5,95,105.6
163,F#2,16.75,0.25,56,105.6
164,D3,16.75,0.25,56,105.6
165,F#2,17.0,0.25,31,105.6
166,D4,17.0,0.5,88,105.6
167,D2,17.0,0.5,88,105.6
168,F#2,17.25,0.25,31,105.6
