,note_name,start_time,duration,velocity,tempo
0,G2,0.0,0.5,95,120.0
1,B3,0.5,0.5,95,120.0
2,G3,0.5,0.5,95,120.0
3,D3,0.5,0.5,95,120.0
4,B3,1.5,0.5,95,120.0
5,G3,1.5,0.5,95,120.0
6,D3,1.5,0.5,95,120.0
7,B3,2.5,0.5,95,120.0
8,G3,2.5,0.5,95,120.0
9,D3,2.5,0.5,95,120.0
10,C4,3.0,0.5,70,120.0
11,A3,3.0,0.5,70,120.0
12,E3,3.0,0.5,70,120.0
13,D4,3.5,0.5,95,120.0
14,B3,3.5,0.5,95,120.0
15,F#3,3.5,0.5,95,120.0
16,G2,4.0,0.5,95,120.0
17,B3,4.5,0.5,95,120.0
18,G3,4.5,0.5,95,120.0
19,D3,4.5,0.5,95,120.0
20,B3,5.5,0.5,95,120.0
21,G3,5.5,0.5,95,120.0
22,D3,5.5,0.5,95,120.0
23,B3,6.5,0.5,95,120.0
24,G3,6.5,0.5,95,120.0
25,D3,6.5,0.5,95,120.0
26,C4,7.0,0.5,70,120.0
27,A3,7.0,0.5,70,120.0
28,E3,7.0,0.5,70,120.0
29,D4,7.5,0.5,95,120.0
30,B3,7.5,0.5,95,120.0
31,F#3,7.5,0.5,95,120.0
32,G2,8.0,0.5,95,120.0
33,D3,8.5,0.5,95,120.0
34,D3,9.0,0.5,63,120.0
35,D4,9.0,0.5,63,120.0
36,B3,9.5,0.5,63,120.0
37,B4,9.5,0.5,63,120.0
38,G3,9.5,0.5,63,120.0
39,G4,9.5,0.5,63,120.0
40,G3,10.5,0.5,63,120.0
41,G4,10.5,0.5,63,120.0
42,D2,11.5,0.5,95,120.0
43,G2,12.0,0.5,95,120.0
44,D3,12.5,0.5,95,120.0
45,G3,13.0,0.5,95,120.0
46,B3,13.5,0.5,95,120.0
47,G3,14.5,0.5,95,120.0
48,D3,15.5,0.5,95,120.0
49,D5,16.0,0.5,95,120.0
50,B4,16.0,0.5,95,120.0
51,G2,16.0,0.5,95,120.0
52,D3,16.5,0.5,95,120.0
53,G3,17.0,0.5,95,120.0
54,B4,17.5,0.5,95,120.0
55,G4,17.5,0.5,95,120.0
56,G3,18.5,0.5,95,120.0
57,E5,19.0,0.5,95,120.0
58,C5,19.0,0.5,95,120.0
59,D3,19.5,0.5,95,120.0
60,D5,20.0,0.5,95,120.0
61,B4,20.0,0.5,95,120.0
62,G2,20.0,0.5,95,120.0
63,D3,20.5,0.5,95,120.0
64,G3,21.0,0.5,95,120.0
65,B4,21.5,0.5,95,120.0
66,G4,21.5,0.5,95,120.0
67,B3,22.5,0.5,95,120.0
68,G3,23.0,0.5,95,120.0
69,D3,23.5,0.5,95,120.0
70,G2,24.0,0.5,95,120.0
71,D3,24.5,0.5,95,120.0
72,D5,25.0,0.5,95,120.0
73,B4,25.0,0.5,95,120.0
74,D3,25.5,0.5,95,120.0
75,D5,26.0,0.5,95,120.0
76,B4,26.0,0.5,95,120.0
77,D2,26.0,0.5,95,120.0
78,D3,26.5,0.5,95,120.0
79,B4,27.0,0.5,95,120.0
80,G4,27.0,0.5,95,120.0
81,D3,27.5,0.5,95,120.0
82,C5,28.0,0.5,95,120.0
83,E4,28.0,0.5,95,120.0
84,D2,28.0,0.5,95,120.0
85,D3,28.5,0.5,95,120.0
86,B4,29.0,0.5,95,120.0
87,D4,29.0,0.5,95,120.0
88,A4,29.5,0.5,95,120.0
89,C4,29.5,0.5,95,120.0
90,D3,29.5,0.5,95,120.0
91,D3,30.5,0.5,95,120.0
92,D3,31.5,0.5,95,120.0
93,D2,32.0,0.5,95,120.0
94,D3,32.5,0.5,95,120.0
95,A4,33.0,0.5,95,120.0
96,C4,33.0,0.5,95,120.0
97,D3,33.5,0.5,95,120.0
98,A4,34.0,0.5,95,120.0
99,C4,34.0,0.5,95,120.0
100,B4,34.5,0.5,95,120.0
101,D4,34.5,0.5,95,120.0
102,D3,34.5,0.5,95,120.0
103,D3,35.5,0.5,95,120.0
104,C5,36.0,0.5,95,120.0
105,E4,36.0,0.5,95,120.0
106,D2,36.0,0.5,95,120.0
107,D5,36.5,0.5,95,120.0
108,F#4,36.5,0.5,95,120.0
109,D3,36.5,0.5,95,120.0
110,D5,37.0,0.5,95,120.0
111,F#4,37.0,0.5,95,120.0
112,E5,37.5,0.5,95,120.0
113,G4,37.5,0.5,95,120.0
114,D3,37.5,0.5,95,120.0
115,D3,38.5,0.5,95,120.0
116,B4,39.5,0.5,95,120.0
117,D4,39.5,0.5,95,120.0
118,D3,39.5,0.5,95,120.0
119,D5,40.0,0.5,95,120.0
120,F#4,40.0,0.5,95,120.0
121,D2,40.0,0.5,95,120.0
122,D3,40.5,0.5,95,120.0
123,D5,41.0,0.5,95,120.0
124,F#4,41.0,0.5,95,120.0
125,C5,41.5,0.5,95,120.0
126,E4,41.5,0.5,95,120.0
127,D3,41.5,0.5,95,120.0
128,B4,42.0,0.5,95,120.0
129,D4,42.0,0.5,95,120.0
130,A4,42.5,0.5,95,120.0
131,C4,42.5,0.5,95,120.0
132,D3,42.5,0.5,95,120.0
133,G4,43.5,0.5,95,120.0
134,G2,43.5,0.5,95,120.0
135,B3,44.5,0.5,95,120.0
136,G3,44.5,0.5,95,120.0
137,D3,44.5,0.5,95,120.0
138,B3,45.5,0.5,95,120.0
139,G3,45.5,0.5,95,120.0
140,D3,45.5,0.5,95,120.0
