,note_name,start_time,duration,velocity,tempo
0,E2,0.0,667/1000,63,80.0
1,E3,0.083,583/1000,63,80.0
2,A3,0.167,0.5,63,80.0
3,C4,0.25,417/1000,95,80.0
4,B3,0.667,333/1000,54,80.0
5,C4,1.0,0.5,54,80.0
6,A3,1.5,0.75,79,80.0
7,C4,2.25,0.75,79,80.0
8,E2,3.0,1.0,63,80.0
9,E3,3.0,1.0,63,80.0
10,G3,3.062,0.938,71,80.0
11,B3,3.062,0.938,71,80.0
12,E2,4.0,0.469,63,80.0
13,E3,4.0,0.469,63,80.0
14,G3,4.0,0.469,71,80.0
15,B3,4.0,0.469,71,80.0
16,F#2,4.5,0.5,95,80.0
17,E2,5.0,0.75,95,80.0
18,E2,5.75,401/1000,67,80.0
19,E3,5.75,401/1000,67,80.0
20,G3,5.75,401/1000,67,80.0
21,B3,5.75,401/1000,67,80.0
22,A3,6.167,333/1000,79,80.0
23,G3,6.5,0.5,54,80.0
24,A3,7.0,0.75,54,80.0
25,B3,7.75,0.25,79,80.0
26,B3,8.0,0.5,79,80.0
27,A3,8.5,2.0,71,80.0
28,A2,8.5,2.0,71,80.0
29,E2,10.5,351/500,63,80.0
30,A2,10.5,351/500,63,80.0
31,E3,10.5,351/500,63,80.0
32,A3,10.572,63/100,68,80.0
33,C4,10.572,63/100,68,80.0
34,E4,10.572,63/100,68,80.0
35,D4,11.25,0.125,71,80.0
36,B3,11.25,0.125,71,80.0
37,D4,11.5,0.125,71,80.0
38,B3,11.5,0.125,71,80.0
39,E4,11.625,0.125,46,80.0
40,C4,11.625,0.125,46,80.0
41,D4,11.75,0.25,46,80.0
42,B3,11.75,0.25,46,80.0
43,C4,12.0,0.75,79,80.0
44,A3,12.0,0.75,79,80.0
45,D4,12.75,0.25,71,80.0
46,B3,12.75,0.25,71,80.0
47,E4,13.0,1.0,71,80.0
48,C4,13.0,1.0,71,80.0
49,E2,14.0,0.469,63,80.0
50,B3,14.0,0.469,63,80.0
51,D4,14.0,0.469,63,80.0
52,C4,14.5,0.5,63,80.0
53,A3,14.5,0.5,63,80.0
54,B3,15.0,0.75,63,80.0
55,G3,15.0,0.75,63,80.0
56,E2,15.75,0.25,63,80.0
57,B2,15.75,0.25,63,80.0
58,E3,15.812,0.188,63,80.0
59,G3,15.812,0.188,63,80.0
60,B3,15.875,0.125,63,80.0
61,B3,16.0,0.5,63,80.0
62,E2,16.0,0.469,63,80.0
63,B2,16.0,0.469,63,80.0
64,E3,16.0,0.469,63,80.0
65,G3,16.0,0.469,63,80.0
66,G2,16.5,0.25,79,80.0
67,F#2,16.75,0.75,79,80.0
68,E2,17.5,0.75,79,80.0
69,C4,18.25,0.25,63,80.0
70,A3,18.25,0.25,63,80.0
71,D4,18.5,0.5,63,80.0
72,B3,18.5,0.5,63,80.0
73,C4,19.0,0.5,63,80.0
74,A3,19.0,0.5,63,80.0
75,B3,19.5,0.5,63,80.0
76,G3,19.5,0.5,63,80.0
77,C4,20.0,0.5,63,80.0
78,A3,20.0,0.5,63,80.0
79,C4,20.5,0.25,63,80.0
80,A3,20.5,0.25,63,80.0
81,D4,20.75,0.75,63,80.0
82,B3,20.75,0.75,63,80.0
83,C4,21.5,0.625,63,80.0
84,A2,21.5,1.5,63,80.0
85,E3,22.125,0.375,79,80.0
86,A3,22.5,0.25,79,80.0
87,C4,22.75,0.25,79,80.0
88,B3,23.0,0.25,79,80.0
89,G2,23.0,1.0,63,80.0
90,D3,23.25,0.25,79,80.0
91,G3,23.5,0.25,79,80.0
92,B3,23.75,0.25,79,80.0
93,C4,24.0,0.25,79,80.0
94,A2,24.0,1.0,63,80.0
95,E3,24.25,0.25,79,80.0
96,A3,24.5,0.25,79,80.0
97,C4,24.75,0.25,79,80.0
98,D4,25.0,0.25,71,80.0
99,B2,25.0,0.25,71,80.0
100,G3,25.25,0.25,79,80.0
101,D4,25.5,0.25,71,80.0
102,B2,25.5,0.25,71,80.0
103,G4,25.75,0.5,79,80.0
104,E4,26.25,0.5,71,80.0
105,C3,26.25,0.5,71,80.0
106,D4,26.75,0.25,63,80.0
107,C4,27.0,0.5,63,80.0
108,E3,27.0,0.5,63,80.0
109,D4,27.5,0.5,63,80.0
110,E4,28.0,0.5,63,80.0
111,E3,28.5,3.5,63,80.0
112,C4,29.0,0.75,63,80.0
113,B3,29.75,2.25,63,80.0
114,C4,32.0,0.25,79,80.0
115,A2,32.0,1.0,63,80.0
116,B3,32.25,0.25,54,80.0
