,note_name,start_time,duration,velocity,tempo
0,E-2,12.0,1.0,65,109.0
1,G#3,14.0,99/125,55,109.0
2,E-2,14.0,1.0,65,109.0
3,G#3,16.0,99/125,55,109.0
4,E-2,16.0,1.0,65,109.0
5,G#3,18.0,99/125,55,109.0
6,E-2,18.0,1.0,65,109.0
7,C#4,19.058,167/1000,69,109.0
8,F#4,19.058,167/1000,69,109.0
9,G4,19.267,9/40,54,109.0
10,D4,19.267,9/40,54,109.0
11,G#4,19.5,79/500,50,109.0
12,E-4,19.5,79/500,50,109.0
13,E4,19.658,0.125,47,109.0
14,A4,19.658,0.125,47,109.0
15,B-4,19.808,3/20,46,109.0
16,F4,19.808,3/20,46,109.0
17,E-2,20.0,1.0,65,109.0
18,F#4,20.0,417/1000,66,109.0
19,B4,20.0,417/1000,66,109.0
20,C#4,20.058,167/1000,69,109.0
21,F#4,20.058,167/1000,69,109.0
22,G4,20.267,9/40,54,109.0
23,D4,20.267,9/40,54,109.0
24,G#4,20.5,79/500,50,109.0
25,E-4,20.5,79/500,50,109.0
26,C#4,20.558,167/1000,69,109.0
27,F#4,20.558,167/1000,69,109.0
28,E4,20.658,0.125,47,109.0
29,A4,20.658,0.125,47,109.0
30,G4,20.767,9/40,54,109.0
31,D4,20.767,9/40,54,109.0
32,B4,20.808,67/1000,59,109.0
33,F#4,20.808,67/1000,59,109.0
34,B-4,20.808,3/20,46,109.0
35,F4,20.808,3/20,46,109.0
36,G#4,21.0,79/500,50,109.0
37,E-4,21.0,79/500,50,109.0
38,F4,21.058,27/250,74,109.0
39,B-4,21.058,27/250,74,109.0
40,E4,21.158,0.125,47,109.0
41,A4,21.158,0.125,47,109.0
42,B4,21.2,633/1000,58,109.0
43,F#4,21.2,633/1000,58,109.0
44,B-4,21.308,3/20,46,109.0
45,F4,21.308,3/20,46,109.0
46,F4,21.558,17/1000,48,109.0
47,F4,21.558,27/250,74,109.0
48,B-4,21.558,27/250,74,109.0
49,B4,21.7,633/1000,58,109.0
50,F#4,21.7,633/1000,58,109.0
51,B4,21.808,67/1000,59,109.0
52,F#4,21.808,67/1000,59,109.0
53,G#3,22.0,99/125,55,109.0
54,E-2,22.0,1.0,65,109.0
55,E4,22.033,173/250,82,109.0
56,A4,22.033,173/250,82,109.0
57,B4,22.308,67/1000,59,109.0
58,F#4,22.308,67/1000,59,109.0
59,F4,22.558,17/1000,48,109.0
60,A4,22.8,23/250,62,109.0
61,E4,22.8,23/250,62,109.0
62,E4,23.033,173/250,82,109.0
63,A4,23.033,173/250,82,109.0
64,F4,23.058,17/1000,48,109.0
65,E4,23.533,467/1000,82,109.0
66,A4,23.533,467/1000,82,109.0
67,A4,23.8,23/250,62,109.0
68,E4,23.8,23/250,62,109.0
69,G#3,24.0,99/125,55,109.0
70,E-2,24.0,1.0,65,109.0
71,E4,24.0,9/40,82,109.0
72,A4,24.0,9/40,82,109.0
73,F4,24.05,9/40,62,109.0
74,C#4,24.05,9/40,62,109.0
75,F#4,24.283,121/500,49,109.0
76,D4,24.283,0.5,50,109.0
77,A4,24.3,23/250,62,109.0
78,E4,24.3,23/250,62,109.0
79,F#4,24.783,117/1000,53,109.0
80,D4,24.783,117/1000,53,109.0
81,C#4,25.017,1/40,45,109.0
82,F4,25.05,9/40,62,109.0
83,C#4,25.05,9/40,62,109.0
84,F#4,25.283,121/500,49,109.0
85,D4,25.283,0.5,50,109.0
86,F4,25.55,9/40,62,109.0
87,C#4,25.55,9/40,62,109.0
88,F#4,25.783,121/500,49,109.0
89,D4,25.783,0.5,50,109.0
90,F#4,25.783,117/1000,53,109.0
91,D4,25.783,117/1000,53,109.0
92,E-4,25.792,121/500,56,109.0
93,C4,25.792,121/500,56,109.0
94,G#3,26.0,99/125,55,109.0
95,E-2,26.0,1.0,65,109.0
96,C#4,26.017,1/40,45,109.0
97,E4,26.05,1167/1000,42,109.0
98,C#4,26.067,1233/1000,55,109.0
99,F#4,26.283,117/1000,53,109.0
100,D4,26.283,117/1000,53,109.0
101,C#4,26.517,1/40,45,109.0
102,E-4,26.792,121/500,56,109.0
103,C4,26.792,121/500,56,109.0
104,E4,27.05,19/20,42,109.0
105,C#4,27.067,933/1000,55,109.0
106,E-4,27.292,121/500,56,109.0
107,C4,27.292,121/500,56,109.0
108,E4,27.55,9/20,42,109.0
109,C#4,27.567,433/1000,55,109.0
110,E4,28.0,217/1000,42,109.0
111,C#4,28.0,3/10,55,109.0
112,E4,28.0,717/1000,42,109.0
113,C#4,28.0,4/5,55,109.0
114,G#3,28.0,99/125,55,109.0
115,E-2,28.0,1.0,65,109.0
116,F4,28.0,71/500,75,109.0
117,B-4,28.0,71/500,75,109.0
118,B4,28.192,583/1000,56,109.0
119,F#4,28.192,583/1000,56,109.0
120,B4,28.792,67/1000,67,109.0
121,F#4,28.792,67/1000,67,109.0
122,F4,29.0,71/500,75,109.0
123,B-4,29.0,71/500,75,109.0
124,B4,29.192,583/1000,56,109.0
125,F#4,29.192,583/1000,56,109.0
126,F4,29.5,71/500,75,109.0
127,B-4,29.5,71/500,75,109.0
128,F#4,29.542,1/40,50,109.0
129,B4,29.692,583/1000,56,109.0
130,F#4,29.692,583/1000,56,109.0
131,B4,29.792,67/1000,67,109.0
132,F#4,29.792,67/1000,67,109.0
133,G#3,30.0,99/125,55,109.0
134,E-2,30.0,1.0,65,109.0
135,E4,30.05,0.75,80,109.0
136,A4,30.075,19/40,66,109.0
137,B4,30.292,67/1000,67,109.0
138,F#4,30.292,67/1000,67,109.0
139,F#4,30.542,1/40,50,109.0
140,A4,30.6,7/40,45,109.0
141,A4,30.8,83/1000,55,109.0
142,E4,30.8,83/1000,55,109.0
143,F#4,31.042,1/40,50,109.0
144,E4,31.05,0.75,80,109.0
145,A4,31.075,19/40,66,109.0
146,E4,31.55,9/20,80,109.0
147,A4,31.575,17/40,66,109.0
148,A4,31.6,7/40,45,109.0
149,D2,31.75,0.25,90,109.0
150,A4,31.8,83/1000,55,109.0
151,E4,31.8,83/1000,55,109.0
152,E4,32.0,3/10,80,109.0
153,A4,32.0,1/20,66,109.0
154,G#3,32.0,99/125,55,109.0
155,D2,32.0,0.25,90,109.0
156,E-2,32.0,1.0,65,109.0
157,F4,32.05,9/40,62,109.0
158,C#4,32.05,9/40,62,109.0
159,A4,32.1,7/40,45,109.0
160,F#4,32.283,121/500,49,109.0
161,D4,32.283,0.5,50,109.0
162,A4,32.3,83/1000,55,109.0
163,E4,32.3,83/1000,55,109.0
164,A2,32.5,0.25,85,109.0
165,F#4,32.783,117/1000,53,109.0
166,D4,32.783,117/1000,53,109.0
167,C#4,33.017,1/40,45,109.0
168,F4,33.05,9/40,62,109.0
169,C#4,33.05,9/40,62,109.0
170,F#4,33.283,121/500,49,109.0
171,D4,33.283,0.5,50,109.0
172,C7,33.5,73/250,50,109.0
173,F4,33.55,9/40,62,109.0
174,C#4,33.55,9/40,62,109.0
175,B6,33.708,0.25,50,109.0
176,D2,33.75,0.25,90,109.0
177,F#4,33.783,121/500,49,109.0
178,D4,33.783,0.5,50,109.0
179,F#4,33.783,117/1000,53,109.0
180,D4,33.783,117/1000,53,109.0
181,E-4,33.792,121/500,56,109.0
182,C4,33.792,121/500,56,109.0
183,A6,33.875,0.25,50,109.0
184,G#3,34.0,99/125,55,109.0
185,D2,34.0,0.25,90,109.0
186,E-2,34.0,1.0,65,109.0
187,C#4,34.017,1/40,45,109.0
188,G6,34.042,167/1000,50,109.0
189,E4,34.05,1167/1000,42,109.0
190,C#4,34.067,1233/1000,55,109.0
191,F6,34.125,26/125,50,109.0
192,F#4,34.283,117/1000,53,109.0
193,D4,34.283,117/1000,53,109.0
194,E6,34.292,26/125,50,109.0
195,D6,34.417,0.25,50,109.0
196,G5,34.5,0.25,67,109.0
197,A2,34.5,0.25,85,109.0
198,C#4,34.517,1/40,45,109.0
199,C6,34.542,26/125,50,109.0
200,B5,34.708,167/1000,50,109.0
201,A5,34.75,0.25,67,109.0
202,E-4,34.792,121/500,56,109.0
203,C4,34.792,121/500,56,109.0
204,A5,34.833,167/1000,50,109.0
205,G5,34.917,167/1000,50,109.0
206,B5,35.0,0.25,67,109.0
207,D2,35.0,0.25,90,109.0
208,E-2,35.0,1.0,65,109.0
209,F5,35.042,26/125,50,109.0
210,E4,35.05,19/20,42,109.0
211,C#4,35.067,933/1000,55,109.0
212,E5,35.167,167/1000,50,109.0
213,D5,35.25,26/125,50,109.0
214,C#6,35.25,0.25,67,109.0
215,D2,35.25,0.25,90,109.0
216,E-4,35.292,121/500,56,109.0
217,C4,35.292,121/500,56,109.0
218,C5,35.375,26/125,50,109.0
219,B4,35.5,26/125,50,109.0
220,D6,35.5,0.25,67,109.0
221,A2,35.5,0.25,85,109.0
222,E4,35.55,9/20,42,109.0
223,C#4,35.567,433/1000,55,109.0
224,A4,35.667,167/1000,50,109.0
225,E6,35.75,0.25,67,109.0
226,G4,35.792,26/125,50,109.0
227,F4,35.917,83/1000,50,109.0
228,B4,36.0,21/500,42,109.0
229,F4,36.0,83/1000,50,109.0
230,F#6,36.0,4.0,65,109.0
231,E4,36.0,217/1000,42,109.0
232,C#4,36.0,3/10,55,109.0
233,E4,36.0,717/1000,42,109.0
234,C#4,36.0,4/5,55,109.0
235,G#3,36.0,99/125,55,109.0
236,C2,36.0,0.5,85,109.0
237,F#2,36.0,0.5,75,109.0
238,B3,36.0,224/125,39,109.0
239,E3,36.0,224/125,39,109.0
240,G4,36.0,224/125,39,109.0
241,D4,36.0,224/125,39,109.0
242,F4,36.0,71/500,75,109.0
243,B-4,36.0,71/500,75,109.0
244,E1,36.042,0.5,80,109.0
245,B4,36.042,0.625,45,109.0
246,F#5,36.042,0.625,45,109.0
247,D5,36.042,0.625,45,109.0
248,B4,36.192,583/1000,56,109.0
249,F#4,36.192,583/1000,56,109.0
