,note_name,start_time,duration,velocity,tempo
0,G#2,8.0,1183/1000,71,84.0
1,E-3,8.0,26/125,80,84.0
2,G#3,8.0,2.0,60,84.0
3,G#4,8.0,2.0,60,84.0
4,C4,8.0,2.0,60,84.0
5,E-4,8.0,2.0,60,84.0
6,G#5,8.0,2.0,51,84.0
7,C6,8.0,2.0,51,84.0
8,E-5,8.0,2.0,51,84.0
9,G#4,8.0,2.0,51,84.0
10,G#3,8.0,471/500,58,84.0
11,E-4,8.0,471/500,58,84.0
12,C4,8.083,279/500,95,84.0
13,E-4,8.75,0.75,103,84.0
14,E-3,9.0,1.0,70,84.0
15,E-4,9.0,129/500,63,84.0
16,G#3,9.0,24/125,46,84.0
17,F#2,9.0,26/125,80,84.0
18,C#2,9.0,26/125,80,84.0
19,E-3,9.0,26/125,80,84.0
20,B-4,9.283,79/40,98,84.0
21,E-3,9.733,26/125,70,84.0
22,A1,10.0,533/1000,77,84.0
23,G3,10.0,123/250,54,84.0
24,C#3,10.0,279/500,39,84.0
25,C#3,10.0,2.0,51,84.0
26,G3,10.0,2.0,51,84.0
27,E4,10.0,2.0,51,84.0
28,B-3,10.0,2.0,51,84.0
29,C#4,10.0,2.0,51,84.0
30,G4,10.0,2.0,51,84.0
31,E5,10.0,2.0,51,84.0
32,B-4,10.0,2.0,51,84.0
33,D2,10.0,26/125,60,84.0
34,E-3,10.0,26/125,60,84.0
35,A1,10.742,73/250,70,84.0
36,E2,11.0,1.0,63,84.0
37,G3,11.0,317/1000,64,84.0
38,C#3,11.0,317/1000,64,84.0
39,F#2,11.0,26/125,87,84.0
40,C#2,11.0,26/125,87,84.0
41,E-3,11.0,26/125,87,84.0
42,E-3,11.733,26/125,70,84.0
43,G#2,12.0,617/1000,69,84.0
44,E-3,12.0,26/125,80,84.0
45,E-4,12.0,2.0,51,84.0
46,B-4,12.0,2.0,51,84.0
47,C4,12.0,2.0,51,84.0
48,F#3,12.0,2.0,51,84.0
49,E-5,12.0,2.0,51,84.0
50,B-5,12.0,2.0,51,84.0
51,C5,12.0,2.0,51,84.0
52,F#4,12.0,2.0,51,84.0
53,C4,12.0,421/500,44,84.0
54,F#3,12.0,421/500,44,84.0
55,C4,12.05,433/1000,100,84.0
56,E-4,12.667,367/1000,98,84.0
57,G#2,12.733,217/1000,81,84.0
58,F#2,13.0,1.0,62,84.0
59,C4,13.0,7/40,68,84.0
60,F#3,13.0,7/40,68,84.0
61,F#2,13.0,26/125,77,84.0
62,C#2,13.0,26/125,77,84.0
63,E-3,13.0,26/125,77,84.0
64,C5,13.017,76/125,100,84.0
65,E-3,13.725,26/125,70,84.0
66,B-4,13.75,1367/1000,100,84.0
67,G2,14.0,533/1000,77,84.0
68,B-4,14.0,27/40,69,84.0
