,note_name,start_time,duration,velocity,tempo
0,D4,4.0,4.0,126,85.0
1,D5,4.0,127/250,126,85.0
2,F#5,4.0,127/250,126,85.0
3,E5,4.513,61/125,126,85.0
4,A5,4.513,61/125,126,85.0
5,A4,5.0,3.0,126,85.0
6,E5,5.0,127/250,126,85.0
7,A5,5.0,127/250,126,85.0
8,D5,5.508,0.5,126,85.0
9,F#5,5.508,0.5,126,85.0
10,F#5,6.008,249/125,126,85.0
11,D5,6.008,249/125,126,85.0
12,D4,8.0,17/1000,126,85.0
13,A4,8.0,17/1000,126,85.0
14,F#5,8.0,1/125,126,85.0
15,D5,8.0,1/125,126,85.0
16,B4,8.012,62/125,126,85.0
17,D5,8.012,62/125,126,85.0
18,B3,8.017,3983/1000,126,85.0
19,C#5,8.508,63/125,126,85.0
20,F#5,8.508,63/125,126,85.0
21,F#4,9.012,747/250,126,85.0
22,C#5,9.012,62/125,126,85.0
23,F#5,9.012,62/125,126,85.0
24,B4,9.508,62/125,126,85.0
25,D5,9.508,62/125,126,85.0
26,D5,10.004,499/250,126,85.0
27,B4,10.004,499/250,126,85.0
28,F#4,12.0,17/1000,126,85.0
29,B3,12.0,21/1000,126,85.0
30,D5,12.0,3/250,126,85.0
31,B4,12.0,3/250,126,85.0
32,B4,12.012,123/250,126,85.0
33,D4,12.017,249/250,126,85.0
34,A4,12.017,249/250,126,85.0
35,G2,12.017,249/250,126,85.0
36,G3,12.017,249/250,126,85.0
37,C#5,12.504,63/125,126,85.0
38,C#5,13.008,62/125,126,85.0
39,E4,13.012,1.0,126,85.0
40,A4,13.012,1.0,126,85.0
41,F#2,13.012,1.0,126,85.0
42,F#3,13.012,1.0,126,85.0
43,D5,13.508,63/125,126,85.0
44,D5,14.012,62/125,126,85.0
45,B2,14.017,247/250,126,85.0
46,C#5,14.508,62/125,126,85.0
47,A2,15.004,249/250,126,85.0
48,D4,15.004,0.5,126,85.0
49,B4,15.004,0.5,126,85.0
50,A4,15.504,62/125,126,85.0
51,C#4,15.504,62/125,126,85.0
52,A2,16.0,1/250,126,85.0
53,A4,16.0,1/250,126,85.0
54,C#4,16.0,1/250,126,85.0
55,D4,16.004,126/125,126,85.0
56,F#4,16.004,126/125,126,85.0
57,B4,16.004,126/125,126,85.0
58,G2,16.004,499/250,126,85.0
59,G3,16.004,499/250,126,85.0
60,E4,17.012,123/250,126,85.0
61,A4,17.012,123/250,126,85.0
62,F#4,17.504,62/125,126,85.0
63,B4,17.504,62/125,126,85.0
64,B3,18.0,251/250,126,85.0
65,D4,18.0,251/250,126,85.0
66,F#4,18.0,251/250,126,85.0
67,G3,18.0,2.0,126,85.0
68,A2,18.0,2.0,126,85.0
69,B3,18.0,2.0,126,85.0
70,E4,19.004,249/250,126,85.0
71,C#4,19.004,249/250,126,85.0
72,B3,19.004,249/250,126,85.0
73,E4,20.0,33/1000,126,85.0
74,C#4,20.0,33/1000,126,85.0
75,B3,20.0,33/1000,126,85.0
76,G3,20.0,33/1000,126,85.0
77,A2,20.0,33/1000,126,85.0
78,B3,20.0,33/1000,126,85.0
79,D3,20.008,499/125,126,85.0
80,A3,20.508,747/250,126,85.0
81,D4,21.004,63/125,126,85.0
82,F#4,21.004,63/125,126,85.0
83,E4,21.508,249/250,126,85.0
84,A4,21.508,249/250,126,85.0
85,D4,22.504,63/125,126,85.0
86,F#4,22.504,63/125,126,85.0
87,A3,23.008,124/125,126,85.0
88,E4,23.008,61/125,126,85.0
89,D4,23.496,63/125,126,85.0
90,D3,24.0,1/125,126,85.0
91,D4,24.0,1/250,126,85.0
92,A3,24.0,1/125,126,85.0
