,note_name,start_time,duration,velocity,tempo
0,F#2,4.0,21/500,127,122.0
1,F#2,5.0,21/500,48,122.0
2,F#2,6.0,21/500,98,122.0
3,F#2,7.0,21/500,31,122.0
4,G#1,8.0,979/1000,9,122.0
5,C#2,8.0,151/125,7,122.0
6,C#3,8.0,151/125,7,122.0
7,B1,8.0,21/500,10,122.0
8,B3,8.0,21/500,10,122.0
9,G#2,9.0,21/500,9,122.0
10,B3,9.0,21/500,9,122.0
11,B-1,9.021,0.938,12,122.0
12,B1,9.719,21/500,16,122.0
13,C#2,9.719,333/1000,16,122.0
14,C#3,9.719,333/1000,16,122.0
15,B1,10.0,521/500,15,122.0
16,B3,10.0,21/500,10,122.0
17,E4,10.958,101/100,22,122.0
18,B3,10.958,101/100,22,122.0
19,C#2,10.979,21/500,14,122.0
20,G#2,10.979,21/500,14,122.0
21,B3,10.979,21/500,14,122.0
22,C#2,11.021,771/1000,18,122.0
23,F3,11.677,21/500,12,122.0
24,B1,11.979,21/1000,20,122.0
25,B3,11.979,21/1000,20,122.0
26,B1,12.0,21/1000,20,122.0
27,B3,12.0,21/1000,20,122.0
28,G#1,12.01,927/1000,20,122.0
29,C#2,12.01,599/500,24,122.0
30,C#3,12.01,599/500,24,122.0
31,B3,12.958,21/500,16,122.0
32,G#2,12.958,21/500,16,122.0
33,B-1,12.99,0.906,23,122.0
34,C#2,13.719,77/200,29,122.0
35,C#3,13.719,77/200,29,122.0
36,B1,13.729,21/500,38,122.0
37,B1,14.0,677/1000,26,122.0
38,B3,14.0,21/500,16,122.0
39,B-1,14.688,0.375,28,122.0
40,C#2,14.958,21/500,26,122.0
41,G#2,14.958,21/500,26,122.0
42,G#1,15.021,0.625,29,122.0
43,B3,15.021,21/500,18,122.0
44,B3,15.771,21/500,19,122.0
45,C#2,15.979,21/1000,38,122.0
46,C#3,15.979,21/1000,38,122.0
47,B3,15.99,1/100,34,122.0
48,B1,15.99,1/100,34,122.0
49,G#1,16.0,479/500,31,122.0
50,C#2,16.0,729/500,38,122.0
51,C#3,16.0,729/500,38,122.0
52,B3,16.0,0.031,34,122.0
53,B1,16.0,0.031,34,122.0
54,G#2,17.0,21/500,24,122.0
55,B3,17.0,21/500,24,122.0
56,B-1,17.021,99/100,34,122.0
57,B1,17.688,21/500,59,122.0
58,C#2,17.719,0.406,44,122.0
59,C#3,17.719,0.406,44,122.0
60,B1,17.958,1.031,37,122.0
61,B3,17.99,21/500,22,122.0
62,B3,18.948,21/500,33,122.0
63,C#2,18.948,21/500,33,122.0
64,G#2,18.948,21/500,33,122.0
65,C#4,18.958,823/1000,35,122.0
66,G#3,18.958,823/1000,35,122.0
67,C#2,18.979,0.656,39,122.0
68,E-3,19.688,21/500,25,122.0
69,C#2,19.979,21/1000,51,122.0
70,C#3,19.979,21/1000,51,122.0
71,G#1,20.0,1021/1000,42,122.0
72,B1,20.0,21/500,48,122.0
73,B3,20.0,21/500,48,122.0
74,C#2,20.0,1323/1000,51,122.0
75,C#3,20.0,1323/1000,51,122.0
76,G#2,21.0,21/500,30,122.0
77,B3,21.0,21/500,30,122.0
78,B-1,21.021,917/1000,45,122.0
79,B1,21.719,21/500,52,122.0
80,C#2,21.719,0.406,32,122.0
81,C#3,21.719,0.406,32,122.0
82,B1,22.0,349/500,48,122.0
83,B3,22.0,21/500,28,122.0
84,B-1,22.688,151/500,50,122.0
85,C#2,22.927,21/500,61,122.0
86,G#2,23.0,21/500,34,122.0
87,B3,23.0,21/500,34,122.0
88,G#1,23.021,271/500,40,122.0
89,C#5,23.021,271/500,40,122.0
90,E5,23.635,73/200,39,122.0
91,B3,23.75,21/500,31,122.0
92,G#1,24.0,979/1000,69,122.0
93,E5,24.0,227/200,39,122.0
94,C#2,24.0,151/125,56,122.0
95,C#3,24.0,151/125,56,122.0
96,B1,24.0,21/500,72,122.0
97,B3,24.0,21/500,72,122.0
98,B3,24.0,181/125,58,122.0
99,E4,24.0,181/125,58,122.0
100,G#2,24.979,21/500,45,122.0
101,B3,24.979,21/500,45,122.0
102,B-1,25.021,0.938,58,122.0
103,E4,25.688,0.219,44,122.0
104,B3,25.688,0.219,44,122.0
105,B1,25.719,21/500,68,122.0
106,C#2,25.719,333/1000,51,122.0
107,C#3,25.719,333/1000,51,122.0
108,B1,26.0,521/500,61,122.0
109,B3,26.01,21/500,66,122.0
110,C#2,26.979,21/500,55,122.0
111,G#2,26.979,21/500,55,122.0
