,note_name,start_time,duration,velocity,tempo
0,D3,4.656,21/1000,12,145.01
1,D3,5.0,21/1000,57,145.01
2,E2,5.0,21/1000,57,145.01
3,D3,5.323,21/1000,43,145.01
4,E2,5.323,21/1000,43,145.01
5,D3,5.656,21/1000,34,145.01
6,E2,5.656,21/1000,34,145.01
7,B2,6.0,21/1000,75,145.01
8,E2,6.0,21/1000,75,145.01
9,B2,6.333,21/1000,60,145.01
10,E2,6.333,21/1000,60,145.01
11,B2,6.667,21/1000,58,145.01
12,E2,6.667,21/1000,58,145.01
13,D4,6.688,13/125,75,145.01
14,D5,6.688,13/125,75,145.01
15,D4,6.698,99/500,85,145.01
16,D3,6.698,99/500,85,145.01
17,D5,6.708,6/25,66,145.01
18,D4,6.708,6/25,66,145.01
19,E4,7.0,69/125,87,145.01
20,E3,7.0,69/125,87,145.01
21,G2,7.0,21/1000,105,145.01
22,E2,7.0,21/1000,105,145.01
23,E5,7.01,0.406,108,145.01
24,E5,7.01,0.562,118,145.01
25,E4,7.021,573/1000,91,145.01
26,E4,7.021,323/500,115,145.01
27,G2,7.333,21/1000,98,145.01
28,E2,7.333,21/1000,98,145.01
29,D4,7.646,27/200,80,145.01
30,D3,7.646,6/25,66,145.01
31,D4,7.646,6/25,66,145.01
32,B1,7.667,21/1000,86,145.01
33,G2,7.667,21/1000,86,145.01
34,E2,7.667,21/1000,86,145.01
35,D5,7.677,177/1000,65,145.01
36,G4,7.698,13/50,75,145.01
37,F3,7.927,73/1000,85,145.01
38,B3,7.948,13/250,103,145.01
39,G3,7.958,21/500,106,145.01
40,G4,7.958,21/500,106,145.01
41,D5,7.979,21/1000,117,145.01
42,G4,7.979,21/1000,111,145.01
43,G5,7.979,21/1000,111,145.01
44,E4,7.99,1/100,105,145.01
45,D5,8.0,427/1000,117,145.01
46,F3,8.0,0.375,85,145.01
47,B3,8.0,0.281,103,145.01
48,E4,8.0,0.406,105,145.01
49,G4,8.0,99/250,111,145.01
50,G5,8.0,99/250,111,145.01
51,G3,8.0,56/125,106,145.01
52,G4,8.0,56/125,106,145.01
53,B4,8.031,151/500,107,145.01
54,B1,8.031,21/1000,91,145.01
55,D3,8.635,99/125,106,145.01
56,D2,8.635,99/125,106,145.01
57,D2,8.646,979/1000,106,145.01
58,D2,8.677,917/1000,112,145.01
59,C#3,8.708,21/1000,104,145.01
60,E2,8.708,21/1000,104,145.01
61,B1,9.708,21/1000,76,145.01
62,F4,9.969,99/250,114,145.01
63,F3,9.969,99/250,114,145.01
64,G4,9.99,177/500,99,145.01
65,D4,10.0,0.406,98,145.01
66,G#3,10.0,0.406,98,145.01
67,B1,10.021,21/1000,80,145.01
68,B4,10.042,177/500,100,145.01
69,F5,10.042,0.469,118,145.01
70,F4,10.042,0.469,118,145.01
71,D5,10.073,0.406,117,145.01
72,D2,10.667,177/200,109,145.01
73,D2,10.677,1.0,111,145.01
74,D3,10.677,0.75,102,145.01
75,D2,10.677,0.75,102,145.01
76,E2,10.688,21/1000,112,145.01
77,C#3,10.688,21/1000,112,145.01
78,B1,11.719,21/1000,83,145.01
79,E4,12.0,0.594,90,145.01
80,C4,12.0,0.594,90,145.01
81,G3,12.0,0.594,90,145.01
82,C5,12.01,51/100,94,145.01
83,A4,12.01,51/100,94,145.01
84,E4,12.01,0.562,110,145.01
85,E3,12.01,0.562,110,145.01
86,E5,12.031,123/200,112,145.01
87,B1,12.031,21/1000,90,145.01
88,E4,12.042,0.531,108,145.01
89,G4,12.635,0.25,79,145.01
90,G5,12.635,0.25,79,145.01
91,D2,12.646,1.031,105,145.01
92,D2,12.656,127/200,109,145.01
93,G3,12.656,229/1000,86,145.01
94,G4,12.656,229/1000,86,145.01
95,D3,12.667,349/500,106,145.01
96,D2,12.667,349/500,106,145.01
97,G4,12.677,99/500,56,145.01
98,A3,12.677,99/500,56,145.01
99,E4,12.677,99/500,56,145.01
100,E5,12.688,0.281,74,145.01
101,C5,12.688,0.281,74,145.01
102,C#3,12.708,21/1000,110,145.01
103,E2,12.708,21/1000,110,145.01
104,E3,12.969,49/100,94,145.01
105,E4,12.969,49/100,94,145.01
106,B4,12.979,0.5,90,145.01
107,G4,12.979,0.5,90,145.01
108,B3,12.979,0.5,90,145.01
109,B4,13.0,0.344,105,145.01
110,B5,13.0,0.344,105,145.01
111,G5,13.021,0.469,97,145.01
112,E5,13.021,0.469,97,145.01
113,F#3,13.583,69/125,116,145.01
114,D4,13.594,427/1000,111,145.01
115,C4,13.594,151/500,102,145.01
116,F4,13.594,151/500,102,145.01
117,B-4,13.594,151/500,102,145.01
118,C#6,13.615,177/1000,111,145.01
119,F5,13.625,151/500,110,145.01
120,C#5,13.625,0.094,101,145.01
121,D5,13.625,479/1000,116,145.01
122,D6,13.635,271/500,107,145.01
123,B-5,13.646,77/200,110,145.01
124,B1,14.635,21/1000,90,145.01
125,D3,14.646,323/1000,100,145.01
126,D2,14.646,323/1000,100,145.01
127,D2,14.656,271/1000,95,145.01
128,D3,14.667,271/1000,121,145.01
129,B1,14.781,21/1000,84,145.01
130,C2,14.99,0.281,79,145.01
131,C3,14.99,479/1000,60,145.01
132,C3,15.01,0.5,77,145.01
133,C2,15.021,0.469,92,145.01
134,E2,15.031,21/1000,127,145.01
135,F4,15.583,417/1000,96,145.01
136,C#4,15.583,417/1000,96,145.01
137,F5,15.604,99/250,110,145.01
138,C#5,15.604,99/250,101,145.01
139,B-2,15.604,99/250,104,145.01
140,B-1,15.625,0.375,93,145.01
141,B-2,15.625,0.375,108,145.01
142,B-5,15.625,0.375,112,145.01
143,B-4,15.625,0.375,112,145.01
144,B-1,15.635,73/200,110,145.01
145,G#3,15.635,73/200,88,145.01
146,B-3,15.646,177/500,117,145.01
147,B-1,16.0,99/250,110,145.01
148,F5,16.0,49/100,110,145.01
149,C#5,16.0,123/200,101,145.01
150,B-2,16.0,427/1000,104,145.01
151,B-1,16.0,229/1000,93,145.01
152,B-3,16.0,0.562,117,145.01
153,G#3,16.0,0.656,88,145.01
154,B-2,16.0,0.594,108,145.01
155,B-5,16.0,521/1000,112,145.01
156,B-4,16.0,521/1000,112,145.01
157,F4,16.0,0.594,96,145.01
158,C#4,16.0,0.594,96,145.01
159,B2,16.583,271/1000,77,145.01
160,B1,16.583,177/1000,74,145.01
161,B2,16.625,6/25,110,145.01
162,B5,16.625,27/200,79,145.01
163,B4,16.625,27/200,79,145.01
164,D4,16.635,0.188,99,145.01
165,B3,16.646,229/1000,103,145.01
166,B1,16.656,333/1000,86,145.01
167,F#4,16.656,6/25,92,145.01
168,A3,16.656,6/25,92,145.01
169,E2,16.667,21/1000,113,145.01
170,F#5,16.677,323/1000,113,145.01
171,D5,16.688,229/1000,103,145.01
172,F#2,16.948,123/200,94,145.01
173,B-4,16.958,127/200,110,145.01
174,B-5,16.958,127/200,110,145.01
175,F#3,16.958,427/1000,106,145.01
176,F#2,16.958,427/1000,106,145.01
177,B-3,16.969,151/250,111,145.01
178,C#4,16.979,323/500,67,145.01
179,B-3,16.979,323/500,67,145.01
180,F#2,16.99,0.594,104,145.01
181,E4,17.01,271/500,79,145.01
182,E2,17.01,21/1000,20,145.01
183,E5,17.021,417/1000,86,145.01
184,C#5,17.021,271/500,61,145.01
185,E2,17.344,21/1000,41,145.01
186,B4,17.615,73/500,75,145.01
187,B5,17.615,73/500,75,145.01
188,F3,17.615,271/1000,86,145.01
189,F2,17.615,271/1000,86,145.01
190,B3,17.625,229/1000,101,145.01
191,E-4,17.635,0.312,86,145.01
192,C4,17.635,177/1000,83,145.01
193,A3,17.635,177/1000,83,145.01
194,E-5,17.646,0.219,106,145.01
195,F2,17.667,0.25,72,145.01
196,F2,17.667,0.25,91,145.01
197,E2,17.667,21/1000,43,145.01
198,G3,17.938,0.594,107,145.01
199,G5,17.958,51/100,107,145.01
200,G4,17.958,51/100,107,145.01
201,G#3,17.958,583/1000,69,145.01
202,B3,17.958,583/1000,69,145.01
203,E2,17.979,229/1000,98,145.01
204,D5,17.979,0.438,88,145.01
205,B4,17.979,0.438,88,145.01
206,E3,17.99,0.312,102,145.01
207,E2,17.99,51/100,104,145.01
208,E2,18.0,0.312,103,145.01
209,D3,18.01,21/1000,127,145.01
210,D4,18.062,521/1000,43,145.01
211,E2,18.333,21/1000,35,145.01
212,D3,18.604,6/25,95,145.01
213,B2,18.625,0.219,108,145.01
214,A4,18.635,177/500,77,145.01
215,D4,18.635,0.156,59,145.01
216,D5,18.635,0.156,59,145.01
217,A3,18.635,0.188,97,145.01
