,note_name,start_time,duration,velocity,tempo
0,D2,2.5,117/1000,100,200.0
1,D2,3.0,117/1000,100,200.0
2,D2,3.5,117/1000,100,200.0
3,B-2,4.0,373/250,100,200.0
4,F#2,4.0,117/1000,75,200.0
5,B1,4.0,117/1000,75,200.0
6,B-4,4.0,371/500,100,200.0
7,B-4,4.0,371/500,100,200.0
8,F4,4.0,371/500,100,200.0
9,F#2,4.5,117/1000,50,200.0
10,F#2,5.0,117/1000,75,200.0
11,D2,5.0,117/1000,75,200.0
12,B-2,5.5,124/125,100,200.0
13,F#2,5.5,117/1000,75,200.0
14,B1,5.5,117/1000,75,200.0
15,G4,5.5,373/250,100,200.0
16,C5,5.5,373/250,100,200.0
17,F#2,6.0,117/1000,50,200.0
18,B-2,6.5,123/250,100,200.0
19,F#2,6.5,117/1000,75,200.0
20,B1,6.5,117/1000,75,200.0
21,B-2,7.0,123/250,100,200.0
22,G2,7.0,117/1000,75,200.0
23,F#2,7.0,117/1000,75,200.0
24,B-2,7.5,123/250,100,200.0
25,G2,7.5,117/1000,75,200.0
26,F#2,7.5,117/1000,75,200.0
27,B-2,8.0,124/125,100,200.0
28,F#2,8.0,117/1000,75,200.0
29,B1,8.0,117/1000,75,200.0
30,B-4,8.0,371/500,100,200.0
31,F4,8.0,371/500,100,200.0
32,F#2,8.5,117/1000,75,200.0
33,B1,8.5,117/1000,75,200.0
34,B-2,9.0,124/125,100,200.0
35,F#2,9.0,117/1000,75,200.0
36,D2,9.0,117/1000,75,200.0
37,B-4,9.0,371/500,100,200.0
38,F4,9.0,371/500,100,200.0
39,F#2,9.5,117/1000,50,200.0
40,B-2,10.0,124/125,100,200.0
41,F#2,10.0,117/1000,75,200.0
42,B1,10.0,117/1000,75,200.0
43,C5,10.0,124/125,100,200.0
44,G4,10.0,124/125,100,200.0
45,A2,10.5,117/1000,75,200.0
46,F#2,10.5,117/1000,75,200.0
47,B-2,11.0,123/250,100,200.0
48,G2,11.0,117/1000,75,200.0
49,F#2,11.0,117/1000,75,200.0
50,A2,11.5,123/250,100,200.0
51,F2,11.5,117/1000,75,200.0
52,F#2,11.5,117/1000,75,200.0
53,G2,12.0,373/250,100,200.0
54,F#2,12.0,117/1000,75,200.0
55,B1,12.0,117/1000,75,200.0
56,B-4,12.0,371/500,100,200.0
57,F4,12.0,371/500,100,200.0
58,F#2,12.5,117/1000,50,200.0
59,F#2,13.0,117/1000,75,200.0
60,D2,13.0,117/1000,75,200.0
61,G2,13.5,124/125,100,200.0
62,F#2,13.5,117/1000,75,200.0
63,B1,13.5,117/1000,75,200.0
64,G4,13.5,373/250,100,200.0
65,C5,13.5,373/250,100,200.0
66,F#2,14.0,117/1000,50,200.0
67,G2,14.5,123/250,100,200.0
68,F#2,14.5,117/1000,75,200.0
69,B1,14.5,117/1000,75,200.0
70,G2,15.0,123/250,100,200.0
71,G2,15.0,117/1000,75,200.0
72,F#2,15.0,117/1000,75,200.0
73,G2,15.5,123/250,100,200.0
74,G2,15.5,117/1000,75,200.0
75,F#2,15.5,117/1000,75,200.0
76,G2,16.0,124/125,100,200.0
77,F#2,16.0,117/1000,75,200.0
78,B1,16.0,117/1000,75,200.0
79,B-4,16.0,371/500,100,200.0
80,F4,16.0,371/500,100,200.0
81,F#2,16.5,117/1000,75,200.0
82,B1,16.5,117/1000,75,200.0
83,G2,17.0,124/125,100,200.0
84,F#2,17.0,117/1000,75,200.0
85,D2,17.0,117/1000,75,200.0
86,B-4,17.0,371/500,100,200.0
87,F4,17.0,371/500,100,200.0
88,F#2,17.5,117/1000,50,200.0
89,G2,18.0,124/125,100,200.0
90,F#2,18.0,117/1000,75,200.0
91,B1,18.0,117/1000,75,200.0
92,C5,18.0,124/125,100,200.0
93,G4,18.0,124/125,100,200.0
94,A2,18.5,117/1000,75,200.0
95,F#2,18.5,117/1000,75,200.0
96,G2,19.0,123/250,100,200.0
97,G2,19.0,117/1000,75,200.0
98,F#2,19.0,117/1000,75,200.0
99,B-2,19.5,123/250,100,200.0
100,F2,19.5,117/1000,75,200.0
101,F#2,19.5,117/1000,75,200.0
102,F2,20.0,373/250,100,200.0
103,F#2,20.0,117/1000,75,200.0
104,B1,20.0,117/1000,75,200.0
105,B-4,20.0,371/500,100,200.0
106,F4,20.0,371/500,100,200.0
107,F#2,20.5,117/1000,50,200.0
108,F#2,21.0,117/1000,75,200.0
109,D2,21.0,117/1000,75,200.0
110,F2,21.5,124/125,100,200.0
111,F#2,21.5,117/1000,75,200.0
112,B1,21.5,117/1000,75,200.0
113,G4,21.5,373/250,100,200.0
114,C5,21.5,373/250,100,200.0
115,F#2,22.0,117/1000,50,200.0
116,F2,22.5,123/250,100,200.0
117,F#2,22.5,117/1000,75,200.0
118,B1,22.5,117/1000,75,200.0
119,F2,23.0,123/250,100,200.0
120,G2,23.0,117/1000,75,200.0
121,F#2,23.0,117/1000,75,200.0
122,F2,23.5,123/250,100,200.0
123,G2,23.5,117/1000,75,200.0
124,F#2,23.5,117/1000,75,200.0
125,F2,24.0,124/125,100,200.0
126,B-4,24.0,371/500,70,200.0
127,F4,24.0,371/500,70,200.0
128,F#2,24.0,117/1000,75,200.0
129,B1,24.0,117/1000,75,200.0
130,B-4,24.0,371/500,100,200.0
131,F4,24.0,371/500,100,200.0
132,F#2,24.5,117/1000,75,200.0
133,B1,24.5,117/1000,75,200.0
134,F2,25.0,124/125,100,200.0
135,B-4,25.0,371/500,80,200.0
136,F4,25.0,371/500,80,200.0
137,F#2,25.0,117/1000,75,200.0
138,D2,25.0,117/1000,75,200.0
139,B-4,25.0,371/500,100,200.0
140,F4,25.0,371/500,100,200.0
141,F#2,25.5,117/1000,50,200.0
142,F2,26.0,249/125,100,200.0
143,F4,26.0,124/125,90,200.0
144,C5,26.0,124/125,90,200.0
145,F#2,26.0,117/1000,75,200.0
146,B1,26.0,117/1000,75,200.0
147,F4,26.0,124/125,100,200.0
