,note_name,start_time,duration,velocity,tempo
0,C2,0.5,249/500,95,146.0
1,C2,0.875,0.125,95,146.0
2,D2,1.0,0.5,95,146.0
3,E2,1.0,0.5,95,146.0
4,B2,1.0,0.5,95,146.0
5,E2,2.0,0.375,76,146.0
6,E2,2.0,0.375,76,146.0
7,B-2,2.0,0.5,95,146.0
8,C2,2.0,0.5,95,146.0
9,E2,2.5,0.375,76,146.0
10,E2,2.5,0.375,76,146.0
11,C2,2.5,0.5,95,146.0
12,E4,3.0,0.5,95,146.0
13,B3,3.0,0.5,95,146.0
14,E3,3.0,0.5,95,146.0
15,E4,3.0,0.5,95,146.0
16,B3,3.0,0.5,95,146.0
17,E3,3.0,0.5,95,146.0
18,B-2,3.0,1.0,95,146.0
19,E2,3.0,1.0,95,146.0
20,E4,3.5,0.5,95,146.0
21,B3,3.5,0.5,95,146.0
22,E3,3.5,0.5,95,146.0
23,E4,3.5,0.5,95,146.0
24,B3,3.5,0.5,95,146.0
25,E3,3.5,0.5,95,146.0
26,E4,4.0,0.5,95,146.0
27,B3,4.0,0.5,95,146.0
28,E3,4.0,0.5,95,146.0
29,E4,4.0,0.5,95,146.0
30,B3,4.0,0.5,95,146.0
31,E3,4.0,0.5,95,146.0
32,B-2,4.0,0.5,95,146.0
33,C2,4.0,0.5,95,146.0
34,C2,4.5,0.5,95,146.0
35,E4,4.5,0.5,95,146.0
36,B-3,4.5,0.5,95,146.0
37,E3,4.5,0.5,95,146.0
38,E4,4.5,0.5,95,146.0
39,B-3,4.5,0.5,95,146.0
40,E3,4.5,0.5,95,146.0
41,E2,5.0,0.375,76,146.0
42,E2,5.0,0.375,76,146.0
43,B-2,5.0,1.0,95,146.0
44,E2,5.0,1.0,95,146.0
45,E2,5.5,0.375,76,146.0
46,E2,5.5,0.375,76,146.0
47,E4,6.0,0.5,95,146.0
48,B3,6.0,0.5,95,146.0
49,E3,6.0,0.5,95,146.0
50,E4,6.0,0.5,95,146.0
51,B3,6.0,0.5,95,146.0
52,E3,6.0,0.5,95,146.0
53,B-2,6.0,0.5,95,146.0
54,C2,6.0,0.5,95,146.0
55,C2,6.5,0.5,95,146.0
56,E4,6.5,0.5,95,146.0
57,B3,6.5,0.5,95,146.0
58,E3,6.5,0.5,95,146.0
59,E4,6.5,0.5,95,146.0
60,B3,6.5,0.5,95,146.0
61,E3,6.5,0.5,95,146.0
62,E4,7.0,0.5,95,146.0
63,B3,7.0,0.5,95,146.0
64,E3,7.0,0.5,95,146.0
65,E4,7.0,0.5,95,146.0
66,B3,7.0,0.5,95,146.0
67,E3,7.0,0.5,95,146.0
68,B-2,7.0,1.0,95,146.0
69,E2,7.0,1.0,95,146.0
70,E4,7.5,0.5,95,146.0
71,B-3,7.5,0.5,95,146.0
72,E3,7.5,0.5,95,146.0
73,E4,7.5,0.5,95,146.0
74,B-3,7.5,0.5,95,146.0
75,E3,7.5,0.5,95,146.0
76,E2,8.0,0.375,76,146.0
77,E2,8.0,0.375,76,146.0
78,B-2,8.0,0.5,95,146.0
79,C2,8.0,0.5,95,146.0
80,E2,8.5,0.375,76,146.0
81,E2,8.5,0.375,76,146.0
82,C2,8.5,0.5,95,146.0
83,B2,9.0,0.25,95,146.0
84,B2,9.0,0.25,95,146.0
85,B-2,9.0,0.5,95,146.0
86,E2,9.0,0.5,95,146.0
87,E3,9.25,0.25,95,146.0
88,E3,9.25,0.25,95,146.0
89,G#4,9.5,0.5,95,146.0
90,G#4,9.5,0.5,95,146.0
91,C2,9.5,0.5,127,146.0
