,note_name,start_time,duration,velocity,tempo
0,G1,17.0,0.375,95,98.0
1,A4,17.0,4.0,95,98.0
2,F4,17.0,4.0,95,98.0
3,D4,17.0,4.0,95,98.0
4,C4,17.0,4.0,95,98.0
5,G1,17.75,0.375,95,98.0
6,G1,18.75,0.375,95,98.0
7,C2,19.75,0.25,63,98.0
8,D2,20.0,0.5,63,98.0
9,F2,20.5,0.5,79,98.0
10,G1,21.0,0.25,95,98.0
11,C2,22.75,0.75,79,98.0
12,C2,23.5,0.25,79,98.0
13,D2,23.75,0.25,63,98.0
14,C2,24.0,0.25,79,98.0
15,B-1,24.25,0.25,79,98.0
16,G1,24.5,0.25,79,98.0
17,F1,24.75,0.25,63,98.0
18,G1,25.0,0.375,95,98.0
19,G1,26.75,0.375,95,98.0
20,C2,27.75,0.25,79,98.0
21,D2,28.0,0.25,79,98.0
22,F2,28.5,0.25,79,98.0
23,C2,29.0,0.25,95,98.0
24,D3,29.25,0.25,95,98.0
25,G1,29.75,0.25,95,98.0
26,F1,30.0,0.25,95,98.0
27,F1,30.25,0.25,95,98.0
28,B-1,30.5,0.25,95,98.0
29,C2,30.75,0.25,95,98.0
30,D2,31.0,0.5,95,98.0
31,F2,31.5,0.5,95,98.0
32,D2,32.0,0.25,95,98.0
33,C2,32.25,0.25,95,98.0
34,A1,32.5,0.25,95,98.0
35,G1,32.75,0.25,63,98.0
36,C5,33.0,4.0,63,98.0
37,B-1,33.0,0.25,63,98.0
38,A4,33.0,4.0,95,98.0
39,F4,33.0,4.0,95,98.0
40,D4,33.0,4.0,95,98.0
41,C4,33.0,4.0,95,98.0
42,B-1,33.25,0.25,79,98.0
43,C2,33.75,0.5,95,98.0
44,F4,33.75,0.5,99,98.0
45,D4,33.75,0.5,99,98.0
46,C4,33.75,0.5,99,98.0
47,A3,33.75,0.5,99,98.0
48,F4,33.75,0.5,99,98.0
49,D4,33.75,0.5,99,98.0
50,C4,33.75,0.5,99,98.0
51,A3,33.75,0.5,99,98.0
52,A1,34.25,0.25,95,98.0
53,B-3,34.25,0.25,47,98.0
54,A3,34.25,0.25,47,98.0
55,B-1,34.75,0.25,95,98.0
56,F4,34.75,0.25,99,98.0
57,D4,34.75,0.25,99,98.0
58,C4,34.75,0.25,99,98.0
59,A3,34.75,0.25,99,98.0
60,F4,34.75,0.25,99,98.0
61,D4,34.75,0.25,99,98.0
62,C4,34.75,0.25,99,98.0
63,A3,34.75,0.25,99,98.0
64,B-3,35.25,0.25,47,98.0
65,A3,35.25,0.25,47,98.0
66,C2,35.5,0.5,95,98.0
67,F4,35.5,1.5,99,98.0
68,D4,35.5,1.5,99,98.0
69,C4,35.5,1.5,99,98.0
70,A3,35.5,1.5,99,98.0
71,F4,35.5,1.5,99,98.0
72,D4,35.5,1.5,99,98.0
73,C4,35.5,1.5,99,98.0
74,A3,35.5,1.5,99,98.0
75,F1,36.0,0.25,63,98.0
76,A1,36.25,0.25,63,98.0
77,B-1,36.5,0.25,63,98.0
