,note_name,start_time,duration,velocity,tempo
0,G2,8.0,2.0,82,84.0
1,E3,8.0,2.0,60,84.0
2,G3,8.0,2.0,60,84.0
3,B3,8.0,2.0,60,84.0
4,D4,8.0,2.0,60,84.0
5,B1,8.0,26/125,70,84.0
6,F#2,8.0,26/125,70,84.0
7,D4,8.133,124/125,99,84.0
8,B3,9.0,129/500,60,84.0
9,E3,9.0,129/500,60,84.0
10,F#2,9.0,26/125,80,84.0
11,C#2,9.0,26/125,80,84.0
12,G4,9.15,533/1000,100,84.0
13,F#2,9.717,26/125,40,84.0
14,E-4,9.792,21/10,111,84.0
15,B-1,10.0,1.0,70,84.0
16,G#3,10.0,0.625,60,84.0
17,B-4,10.0,0.625,60,84.0
18,C#4,10.0,0.625,60,84.0
19,F4,10.0,0.625,60,84.0
20,B1,10.0,26/125,70,84.0
21,F#2,10.0,26/125,70,84.0
22,C#4,10.708,51/40,60,84.0
23,F4,10.708,51/40,60,84.0
24,G3,10.708,51/40,60,84.0
25,C4,10.708,51/40,60,84.0
26,E-2,11.0,1.0,70,84.0
27,G3,11.0,26/125,56,84.0
28,C#3,11.0,26/125,56,84.0
29,F#2,11.0,26/125,88,84.0
30,C#2,11.0,26/125,88,84.0
31,F#2,11.717,26/125,50,84.0
32,A1,12.0,2.0,70,84.0
33,G3,12.0,2.0,60,84.0
34,A4,12.0,2.0,60,84.0
35,C4,12.0,2.0,60,84.0
36,E4,12.0,2.0,60,84.0
37,B1,12.0,26/125,70,84.0
38,F#2,12.0,26/125,70,84.0
39,E4,12.1,933/1000,104,84.0
40,G3,13.0,129/500,60,84.0
41,C3,13.0,129/500,60,84.0
42,F#2,13.0,26/125,70,84.0
43,C#2,13.0,26/125,70,84.0
44,A4,13.1,583/1000,102,84.0
45,F#2,13.717,26/125,40,84.0
46,F4,13.767,779/500,105,84.0
47,B1,14.0,2.0,70,84.0
48,F4,14.0,2.0,60,84.0
49,E-4,14.0,2.0,60,84.0
50,D5,14.0,2.0,60,84.0
51,A3,14.0,2.0,60,84.0
52,B1,14.0,26/125,70,84.0
53,F#2,14.0,26/125,70,84.0
54,A3,15.0,129/500,60,84.0
55,E-3,15.0,129/500,60,84.0
56,F#2,15.0,26/125,78,84.0
57,C#2,15.0,26/125,78,84.0
58,F#4,15.425,11/20,122,84.0
59,F#2,15.717,26/125,50,84.0
60,E2,16.0,1.0,70,84.0
61,D4,16.0,1.0,60,84.0
62,E4,16.0,1.0,60,84.0
63,G3,16.0,1.0,60,84.0
64,B4,16.0,1.0,60,84.0
65,B1,16.0,26/125,65,84.0
66,F#2,16.0,26/125,65,84.0
67,G4,16.117,51/40,97,84.0
68,D2,17.0,1.0,70,84.0
69,D4,17.0,1.0,60,84.0
70,F#4,17.0,1.0,60,84.0
71,G3,17.0,1.0,60,84.0
72,B4,17.0,1.0,60,84.0
73,G3,17.0,26/125,56,84.0
