,note_name,start_time,duration,velocity,tempo
0,C2,4.0,9/5,120,105.0
1,E-3,4.0,124/125,100,105.0
2,B3,4.0,8/5,110,105.0
3,E4,4.0,8/5,110,105.0
4,G4,4.0,8/5,110,105.0
5,B3,4.0,8/5,110,105.0
6,E4,4.0,8/5,110,105.0
7,G4,4.0,8/5,110,105.0
8,E-3,5.0,124/125,100,105.0
9,B1,5.0,124/125,100,105.0
10,B1,6.0,9/5,120,105.0
11,E-3,6.0,371/500,100,105.0
12,A3,6.0,8/5,110,105.0
13,D4,6.0,8/5,110,105.0
14,G4,6.0,8/5,110,105.0
15,A3,6.0,8/5,110,105.0
16,D4,6.0,8/5,110,105.0
17,G4,6.0,8/5,110,105.0
18,E-3,6.75,121/500,100,105.0
19,E-3,7.0,123/250,100,105.0
20,B1,7.0,123/250,100,105.0
21,E-3,7.5,123/250,100,105.0
22,B-1,8.0,9/5,120,105.0
23,E-3,8.0,121/500,100,105.0
24,A3,8.0,8/5,110,105.0
25,D4,8.0,8/5,110,105.0
26,F4,8.0,8/5,110,105.0
27,A3,8.0,8/5,110,105.0
28,D4,8.0,8/5,110,105.0
29,F4,8.0,8/5,110,105.0
30,E-3,8.25,123/250,100,105.0
31,E-3,8.75,121/500,100,105.0
32,E-3,9.0,123/250,100,105.0
33,B1,9.0,123/250,100,105.0
34,E-3,9.5,121/500,100,105.0
35,E-3,9.75,123/250,100,105.0
36,A1,10.0,9/5,120,105.0
37,G3,10.0,8/5,110,105.0
38,C4,10.0,8/5,110,105.0
39,F4,10.0,8/5,110,105.0
40,G3,10.0,8/5,110,105.0
41,C4,10.0,8/5,110,105.0
42,F4,10.0,8/5,110,105.0
43,E-3,10.25,123/250,100,105.0
44,E-3,10.75,121/500,100,105.0
45,E-3,11.0,123/250,100,105.0
46,B1,11.0,123/250,100,105.0
47,E-3,11.5,123/250,100,105.0
48,D2,12.0,9/5,120,105.0
49,E-3,12.0,123/250,100,105.0
50,C#4,12.0,8/5,110,105.0
51,F#4,12.0,8/5,110,105.0
52,A4,12.0,8/5,110,105.0
53,C#4,12.0,8/5,110,105.0
54,F#4,12.0,8/5,110,105.0
55,A4,12.0,8/5,110,105.0
56,E-3,12.5,121/500,100,105.0
57,E-3,12.75,121/500,100,105.0
58,E-3,13.0,123/250,100,105.0
59,B1,13.0,123/250,100,105.0
60,E-3,13.5,121/500,100,105.0
61,E-3,13.75,121/500,100,105.0
62,C#2,14.0,9/5,120,105.0
63,E-3,14.0,123/250,100,105.0
64,B3,14.0,8/5,110,105.0
65,E4,14.0,8/5,110,105.0
66,A4,14.0,8/5,110,105.0
67,B3,14.0,8/5,110,105.0
68,E4,14.0,8/5,110,105.0
69,A4,14.0,8/5,110,105.0
70,E-3,14.5,121/500,100,105.0
71,E-3,14.75,121/500,100,105.0
72,E-3,15.0,123/250,100,105.0
73,B1,15.0,123/250,100,105.0
74,E-3,15.5,121/500,100,105.0
75,E-3,15.75,121/500,100,105.0
76,C2,16.0,9/5,120,105.0
77,E-3,16.0,123/250,100,105.0
78,B3,16.0,8/5,110,105.0
79,E4,16.0,8/5,110,105.0
80,G4,16.0,8/5,110,105.0
81,B3,16.0,8/5,110,105.0
82,E4,16.0,8/5,110,105.0
83,G4,16.0,8/5,110,105.0
84,E-3,16.5,121/500,100,105.0
85,E-3,16.75,121/500,100,105.0
86,E-3,17.0,123/250,100,105.0
87,B1,17.0,123/250,100,105.0
88,E-3,17.5,121/500,100,105.0
89,E-3,17.75,121/500,100,105.0
90,B1,18.0,9/5,120,105.0
91,E-3,18.0,123/250,100,105.0
92,A3,18.0,8/5,110,105.0
93,D4,18.0,8/5,110,105.0
94,G4,18.0,8/5,110,105.0
95,A3,18.0,8/5,110,105.0
96,D4,18.0,8/5,110,105.0
97,G4,18.0,8/5,110,105.0
98,E-3,18.5,121/500,100,105.0
99,E-3,18.75,121/500,100,105.0
100,E-3,19.0,124/125,100,105.0
101,B1,19.0,124/125,100,105.0
102,E-2,20.0,27/10,120,105.0
