,note_name,start_time,duration,velocity,tempo
0,G3,7.5,0.25,121,115.0
1,C4,7.75,0.25,124,115.0
2,D4,7.998,1/500,106,115.0
3,D4,8.0,31/125,106,115.0
4,C4,8.0,4.0,127,115.0
5,G1,8.0,0.25,100,115.0
6,C2,8.0,4.0,112,115.0
7,G3,8.0,4.0,112,115.0
8,G3,8.498,0.25,110,115.0
9,G3,8.5,0.25,112,115.0
10,E-6,8.667,83/1000,40,115.0
11,C4,8.748,0.25,101,115.0
12,C4,8.75,0.25,124,115.0
13,D4,8.998,0.25,122,115.0
14,D4,9.0,0.25,114,115.0
15,G3,9.498,0.25,84,115.0
16,G3,9.5,0.25,112,115.0
17,G3,9.5,0.25,109,115.0
18,C4,9.748,0.25,85,115.0
19,C4,9.75,0.25,117,115.0
20,C4,9.75,0.25,122,115.0
21,E-4,9.998,0.25,86,115.0
22,D4,10.0,0.25,122,115.0
23,D4,10.0,0.25,97,115.0
24,G3,10.5,0.25,90,115.0
25,G3,10.5,0.25,83,115.0
26,C4,10.75,0.25,70,115.0
27,C4,10.75,0.25,93,115.0
28,C4,10.998,0.25,125,115.0
29,E-4,11.0,0.25,90,115.0
30,D4,11.0,0.25,107,115.0
31,E-4,11.248,0.25,118,115.0
32,G3,11.5,0.25,88,115.0
33,C4,11.75,0.25,73,115.0
34,C4,12.0,0.25,119,115.0
35,E-4,12.0,0.25,65,115.0
36,E-4,12.25,0.25,126,115.0
37,C4,12.498,0.25,107,115.0
38,E-4,12.748,0.25,99,115.0
39,C4,12.998,0.25,106,115.0
40,C4,13.0,0.25,109,115.0
41,E-4,13.25,0.25,123,115.0
42,E-3,13.498,0.25,100,115.0
43,C4,13.5,0.25,104,115.0
44,E-4,13.75,0.25,101,115.0
45,C4,13.998,0.25,72,115.0
46,C4,14.0,0.25,104,115.0
47,E-4,14.248,0.25,77,115.0
48,E-3,14.5,0.25,105,115.0
49,C4,14.5,0.25,96,115.0
50,C4,14.748,0.25,79,115.0
51,E-4,14.75,0.25,98,115.0
52,G3,14.998,0.25,115,115.0
53,C4,15.0,0.25,86,115.0
54,C4,15.0,0.25,104,115.0
55,C4,15.248,0.25,119,115.0
56,E-4,15.25,0.25,75,115.0
57,E-4,15.498,0.25,127,115.0
58,E-3,15.5,0.25,102,115.0
59,C4,15.75,0.25,80,115.0
60,F4,15.998,1/500,124,115.0
61,F4,16.0,31/125,124,115.0
62,G3,16.0,0.25,126,115.0
63,C4,16.0,0.25,87,115.0
64,G1,16.0,0.25,100,115.0
65,E-4,16.248,0.25,65,115.0
66,C4,16.25,0.25,111,115.0
67,E-4,16.25,0.25,74,115.0
68,C4,16.498,0.25,125,115.0
69,E-4,16.5,0.25,106,115.0
70,E-6,16.667,83/1000,40,115.0
71,C4,16.75,0.25,84,115.0
72,F4,16.998,0.25,102,115.0
73,F4,17.0,0.25,106,115.0
74,G3,17.0,0.25,115,115.0
75,E-4,17.248,0.25,54,115.0
