,note_name,start_time,duration,velocity,tempo
0,B4,0.0,1.5,95,136.0
1,F#4,0.0,1.5,95,136.0
2,D4,0.0,1.5,95,136.0
3,A4,1.5,2.0,95,136.0
4,E4,1.5,2.0,95,136.0
5,C#4,1.5,2.0,95,136.0
6,F#4,3.5,0.5,95,136.0
7,D4,3.5,0.5,95,136.0
8,F#4,5.5,1.5,95,136.0
9,D4,5.5,1.5,95,136.0
10,A4,6.0,1.0,79,136.0
11,E4,7.0,2.5,95,136.0
12,C#4,7.0,2.5,95,136.0
13,B1,8.0,1.5,79,136.0
14,A1,9.5,2.0,79,136.0
15,D4,9.5,1.5,95,136.0
16,B3,9.5,1.5,95,136.0
17,F#3,9.5,1.5,95,136.0
18,C#4,11.0,1.0,95,136.0
19,A3,11.0,1.0,95,136.0
20,F#3,11.0,1.0,95,136.0
21,G2,11.5,0.5,79,136.0
22,F#4,12.0,1.0,95,136.0
23,G2,12.0,4.0,79,136.0
24,D4,13.0,0.5,95,136.0
25,B3,13.0,0.5,95,136.0
26,F#3,13.0,0.5,95,136.0
27,F#2,16.0,3.5,63,136.0
28,D4,17.5,4.0,95,136.0
29,B3,17.5,4.0,95,136.0
30,F#3,17.5,4.0,95,136.0
31,G2,19.5,0.5,63,136.0
32,G2,20.0,1.5,63,136.0
33,F#2,21.5,2.5,63,136.0
34,A3,21.5,3.5,95,136.0
35,F#3,21.5,3.5,95,136.0
36,D4,23.0,1.0,95,136.0
37,C#4,24.0,1.0,95,136.0
38,G2,24.0,4.0,63,136.0
39,B3,25.0,0.5,95,136.0
40,G3,25.0,0.5,95,136.0
41,B3,26.0,0.5,95,136.0
42,G3,26.0,0.5,95,136.0
43,F#4,26.5,1.0,95,136.0
44,E4,27.5,1.0,95,136.0
45,A4,28.5,1.5,95,136.0
46,B4,30.0,4.0,79,136.0
47,F#4,30.0,4.0,79,136.0
48,D4,30.0,4.0,79,136.0
49,B3,30.0,4.0,79,136.0
50,A2,31.5,0.5,63,136.0
51,B2,32.0,0.5,95,136.0
52,F#3,32.5,2.0,95,136.0
53,B4,34.0,1.0,95,136.0
54,B3,34.0,1.0,95,136.0
55,D5,35.0,0.5,95,136.0
56,D4,35.0,0.5,95,136.0
57,E5,35.5,1.0,95,136.0
58,E4,35.5,1.0,95,136.0
59,F#3,36.0,1.5,95,136.0
60,F#2,36.0,1.5,95,136.0
61,F#5,36.5,1.0,95,136.0
62,F#4,36.5,1.0,95,136.0
63,E3,37.5,2.0,95,136.0
64,D5,37.5,0.5,95,136.0
65,D4,37.5,0.5,95,136.0
66,E2,37.5,2.0,95,136.0
67,D5,38.0,0.5,95,136.0
68,C#5,38.5,1.0,95,136.0
69,C#4,38.5,1.0,95,136.0
70,D3,39.5,0.5,95,136.0
71,D2,39.5,0.5,95,136.0
72,B4,39.5,1.0,95,136.0
73,B3,39.5,1.0,95,136.0
74,D3,40.0,3.0,95,136.0
75,D2,40.0,4.0,95,136.0
76,A4,40.5,1.0,95,136.0
77,A3,40.5,1.0,95,136.0
78,A4,42.0,0.5,87,136.0
79,F#4,42.0,0.5,87,136.0
80,C#4,42.5,0.5,79,136.0
81,A4,43.0,0.5,87,136.0
82,F#4,43.0,0.5,87,136.0
83,G#4,43.5,0.25,79,136.0
84,G#4,43.5,0.5,87,136.0
85,G#4,43.5,0.5,87,136.0
86,A4,43.75,0.25,95,136.0
87,B4,44.0,0.75,79,136.0
88,F#4,44.0,0.5,63,136.0
89,C#2,44.0,4.0,63,136.0
90,C#5,44.5,0.5,87,136.0
91,B3,44.5,0.5,87,136.0
92,E5,44.75,0.75,79,136.0
93,E4,45.0,0.5,79,136.0
94,E4,45.5,0.5,79,136.0
95,F#4,45.5,0.5,87,136.0
96,F#4,45.5,0.5,87,136.0
97,A4,46.0,0.75,79,136.0
98,B3,46.75,0.75,63,136.0
99,D4,47.5,0.5,63,136.0
100,C#4,48.0,4.0,63,136.0
101,C#2,48.0,4.0,63,136.0
102,F#4,50.0,4.0,87,136.0
103,F#4,50.0,4.0,87,136.0
104,E4,51.0,0.5,95,136.0
105,F#4,51.5,0.5,95,136.0
106,C4,52.0,1.0,63,136.0
107,G4,52.0,1.0,95,136.0
108,C2,52.0,4.0,95,136.0
109,C4,53.0,0.5,63,136.0
110,G4,53.0,0.5,95,136.0
111,B3,53.5,1.0,63,136.0
112,F#4,53.5,1.0,95,136.0
113,E4,54.0,4.0,95,136.0
114,C#4,54.0,4.0,95,136.0
115,A3,54.0,4.0,95,136.0
