,note_name,start_time,duration,velocity,tempo
0,A4,2.0,0.25,95,72.0
1,G4,2.0,2.0,95,72.0
2,D4,2.0,2.0,95,72.0
3,G3,2.0,2.0,95,72.0
4,D3,2.0,2.0,95,72.0
5,B2,2.0,2.0,95,72.0
6,G2,2.0,2.0,95,72.0
7,G4,2.0,2.0,95,72.0
8,D4,2.0,2.0,95,72.0
9,G3,2.0,2.0,95,72.0
10,D3,2.0,2.0,95,72.0
11,B2,2.0,2.0,95,72.0
12,G2,2.0,2.0,95,72.0
13,B4,2.25,0.5,95,72.0
14,D5,2.75,0.5,95,72.0
15,D5,3.25,0.5,95,72.0
16,D5,3.75,0.25,95,72.0
17,D5,4.0,1.0,95,72.0
18,F#4,4.0,2.0,95,72.0
19,D4,4.0,2.0,95,72.0
20,A3,4.0,2.0,95,72.0
21,D3,4.0,2.0,95,72.0
22,F#4,4.0,2.0,95,72.0
23,D4,4.0,2.0,95,72.0
24,A3,4.0,2.0,95,72.0
25,D3,4.0,2.0,95,72.0
26,A2,4.0,2.0,95,72.0
27,D5,5.0,0.5,95,72.0
28,C5,5.5,0.25,95,72.0
29,B4,5.75,0.25,95,72.0
30,C5,6.0,1.0,95,72.0
31,E4,6.0,2.0,95,72.0
32,C4,6.0,2.0,95,72.0
33,G3,6.0,2.0,95,72.0
34,E3,6.0,2.0,95,72.0
35,C3,6.0,2.0,95,72.0
36,G2,6.0,2.0,95,72.0
37,E4,6.0,2.0,95,72.0
38,C4,6.0,2.0,95,72.0
39,G3,6.0,2.0,95,72.0
40,E3,6.0,2.0,95,72.0
41,C3,6.0,2.0,95,72.0
42,G2,6.0,2.0,95,72.0
43,D5,7.0,0.25,95,72.0
44,C5,7.25,0.25,95,72.0
45,A4,7.5,0.5,95,72.0
46,G4,8.0,2.0,95,72.0
47,G4,8.0,2.0,95,72.0
48,D4,8.0,2.0,95,72.0
49,G3,8.0,2.0,95,72.0
50,D3,8.0,2.0,95,72.0
51,B2,8.0,2.0,95,72.0
52,G2,8.0,2.0,95,72.0
53,G4,8.0,2.0,95,72.0
54,D4,8.0,2.0,95,72.0
55,G3,8.0,2.0,95,72.0
56,D3,8.0,2.0,95,72.0
57,B2,8.0,2.0,95,72.0
58,G2,8.0,2.0,95,72.0
59,A4,10.0,0.75,95,72.0
60,G4,10.0,2.0,95,72.0
61,D4,10.0,2.0,95,72.0
62,G3,10.0,2.0,95,72.0
63,D3,10.0,2.0,95,72.0
64,B2,10.0,2.0,95,72.0
65,G2,10.0,2.0,95,72.0
66,G4,10.0,2.0,95,72.0
67,D4,10.0,2.0,95,72.0
68,G3,10.0,2.0,95,72.0
69,D3,10.0,2.0,95,72.0
70,B2,10.0,2.0,95,72.0
71,G2,10.0,2.0,95,72.0
72,D5,10.75,0.5,95,72.0
73,D5,11.25,0.5,95,72.0
74,D5,11.75,0.25,95,72.0
75,D5,12.0,1.0,95,72.0
76,F#4,12.0,2.0,95,72.0
77,D4,12.0,2.0,95,72.0
78,A3,12.0,2.0,95,72.0
79,D3,12.0,2.0,95,72.0
80,F#4,12.0,2.0,95,72.0
81,D4,12.0,2.0,95,72.0
82,A3,12.0,2.0,95,72.0
83,D3,12.0,2.0,95,72.0
84,A2,12.0,2.0,95,72.0
85,D5,13.0,0.5,95,72.0
86,C5,13.5,0.25,95,72.0
87,B4,13.75,0.25,95,72.0
88,C5,14.0,1.0,95,72.0
89,E4,14.0,2.0,95,72.0
90,C4,14.0,2.0,95,72.0
91,G3,14.0,2.0,95,72.0
92,E3,14.0,2.0,95,72.0
93,C3,14.0,2.0,95,72.0
94,G2,14.0,2.0,95,72.0
95,E4,14.0,2.0,95,72.0
