,note_name,start_time,duration,velocity,tempo
0,B-4,0.0,583/1000,85,58.0
1,E-2,0.0,0.375,127,58.0
2,B-3,0.396,99/250,114,58.0
3,E-4,0.396,99/250,79,58.0
4,G4,0.583,0.188,85,58.0
5,B-4,0.792,583/1000,85,58.0
6,G2,0.792,99/250,127,58.0
7,B-3,1.188,0.375,114,58.0
8,D4,1.188,99/250,79,58.0
9,G4,1.396,0.188,85,58.0
10,C5,1.583,0.188,85,58.0
11,G#2,1.583,99/250,127,58.0
12,B-4,1.792,0.188,85,58.0
13,C4,2.0,0.375,114,58.0
14,G#4,2.0,0.188,85,58.0
15,G4,2.188,0.188,85,58.0
16,D4,2.396,99/125,114,58.0
17,F4,2.396,99/250,85,58.0
18,B-2,2.396,99/250,127,58.0
19,G#4,2.792,99/250,85,58.0
20,B-4,3.188,583/1000,85,58.0
21,E-2,3.188,0.375,127,58.0
22,B-3,3.583,99/250,114,58.0
23,E-4,3.583,99/250,79,58.0
24,G4,3.792,0.188,85,58.0
25,B-4,4.0,583/1000,85,58.0
26,G2,4.0,0.375,127,58.0
27,D4,4.396,99/250,79,58.0
28,G4,4.583,0.188,85,58.0
29,C5,4.792,0.188,85,58.0
30,G#2,4.792,99/250,127,58.0
31,B-4,5.0,0.188,85,58.0
32,C4,5.188,0.375,114,58.0
33,G#4,5.188,0.188,85,58.0
34,G4,5.396,0.188,85,58.0
35,D4,5.583,99/125,114,58.0
36,F4,5.583,99/250,85,58.0
37,B-2,5.583,99/250,127,58.0
38,B-4,6.0,0.375,85,58.0
39,B-4,6.396,99/250,114,58.0
40,E-2,6.396,99/250,127,58.0
41,G4,6.792,26/125,114,58.0
42,B-3,6.792,99/250,85,58.0
43,E-4,6.792,99/250,79,58.0
44,B-4,7.0,1.0,114,58.0
45,G2,7.188,99/250,127,58.0
46,B-3,7.583,99/250,85,58.0
47,D4,7.583,99/250,79,58.0
48,C5,8.0,0.188,114,58.0
49,G#2,8.0,99/250,127,58.0
50,B-4,8.188,0.188,114,58.0
51,B-4,8.396,0.188,114,58.0
52,C4,8.396,99/250,85,58.0
53,E-4,8.396,99/250,79,58.0
54,B-4,8.583,0.188,114,58.0
55,G#4,8.792,26/125,114,58.0
56,B-2,8.792,99/250,127,58.0
57,G4,9.0,0.188,114,58.0
58,F4,9.188,99/250,114,58.0
59,D4,9.188,99/250,85,58.0
60,F4,9.188,99/250,79,58.0
61,B-4,9.583,0.188,114,58.0
62,B-3,9.583,151/250,85,58.0
63,G#4,9.583,0.188,79,58.0
64,E-2,9.583,99/250,127,58.0
65,E-4,9.792,1.0,114,58.0
66,G2,10.396,99/250,127,58.0
67,G4,10.792,99/250,114,58.0
68,B-3,10.792,99/250,85,58.0
69,D4,10.792,99/250,79,58.0
70,G4,11.188,99/250,114,58.0
71,G#2,11.188,99/250,127,58.0
72,F4,11.583,0.188,114,58.0
73,C4,11.583,99/250,85,58.0
74,G#4,11.792,26/125,114,58.0
75,G#4,12.0,0.188,114,58.0
76,B-2,12.0,99/250,127,58.0
77,G4,12.188,99/250,114,58.0
78,D4,12.188,583/1000,85,58.0
79,F4,12.583,0.188,114,58.0
80,F4,12.792,26/125,114,58.0
81,E-2,12.792,99/250,127,58.0
82,E-4,13.0,99/250,114,58.0
83,G3,13.0,99/250,85,58.0
84,B-3,13.0,99/250,79,58.0
85,E-4,13.396,151/250,114,58.0
86,G2,13.583,99/250,127,58.0
87,B-3,14.0,99/250,85,58.0
88,D4,14.0,99/250,79,58.0
