,note_name,start_time,duration,velocity,tempo
0,A2,12.0,0.5,100,200.0
1,C#3,12.0,0.5,100,200.0
2,E3,12.0,0.5,100,200.0
3,E3,12.0,0.5,100,200.0
4,E6,12.0,0.5,100,200.0
5,E2,12.0,0.5,100,200.0
6,A2,12.0,0.5,100,200.0
7,A4,12.0,333/1000,104,200.0
8,C#5,12.0,333/1000,104,200.0
9,E5,12.0,333/1000,104,200.0
10,A4,12.0,333/1000,104,200.0
11,C#5,12.0,333/1000,104,200.0
12,E5,12.0,333/1000,104,200.0
13,A5,12.0,333/1000,104,200.0
14,C#6,12.0,333/1000,104,200.0
15,E6,12.0,333/1000,104,200.0
16,A5,12.0,0.25,108,200.0
17,C#6,12.0,0.25,108,200.0
18,E6,12.0,0.25,108,200.0
19,D2,12.0,1/100,71,200.0
20,C2,12.0,1/100,71,200.0
21,A2,13.5,0.5,94,200.0
22,C#3,13.5,0.5,94,200.0
23,F3,13.5,0.5,94,200.0
24,F3,13.5,0.5,94,200.0
25,F2,13.5,0.5,94,200.0
26,A2,13.5,0.5,94,200.0
27,D2,13.5,1/100,70,200.0
28,C2,13.5,1/100,70,200.0
29,A2,15.0,0.5,100,200.0
30,C#3,15.0,0.5,100,200.0
31,F#3,15.0,0.5,100,200.0
32,F#3,15.0,0.5,100,200.0
33,F#2,15.0,0.5,100,200.0
34,A2,15.0,0.5,100,200.0
35,C2,15.0,1/100,70,200.0
36,D2,15.0,1/100,70,200.0
37,A2,16.0,0.5,95,200.0
38,C#3,16.0,0.5,95,200.0
39,E3,16.0,0.5,95,200.0
40,E3,16.0,0.5,95,200.0
41,E2,16.0,0.5,95,200.0
42,A2,16.0,0.5,95,200.0
43,D2,16.0,1/100,70,200.0
44,C2,16.0,1/100,70,200.0
45,A3,16.25,0.25,30,200.0
46,A3,16.25,0.25,30,200.0
47,C#4,16.5,0.25,42,200.0
48,C#4,16.5,0.25,42,200.0
49,E4,16.75,0.25,56,200.0
50,E4,16.75,0.25,56,200.0
51,A4,17.0,0.219,56,200.0
52,A4,17.0,333/1000,83,200.0
53,A2,17.5,0.5,103,200.0
54,C#3,17.5,0.5,103,200.0
55,F3,17.5,0.5,103,200.0
56,F3,17.5,0.5,103,200.0
57,F2,17.5,0.5,103,200.0
58,A2,17.5,0.5,103,200.0
59,D2,17.5,1/100,70,200.0
60,C2,17.5,1/100,70,200.0
61,A5,18.25,26/125,106,200.0
62,C#5,18.25,26/125,106,200.0
63,F5,18.25,26/125,106,200.0
64,A5,18.25,26/125,106,200.0
65,C#6,18.5,333/1000,101,200.0
66,F5,18.5,333/1000,101,200.0
67,A5,18.5,333/1000,101,200.0
68,C#6,18.5,333/1000,101,200.0
69,A2,18.5,333/1000,101,200.0
70,A3,18.5,333/1000,101,200.0
71,A4,18.5,333/1000,101,200.0
72,C#5,18.5,333/1000,101,200.0
73,F5,18.5,333/1000,101,200.0
74,A5,18.5,333/1000,101,200.0
75,C#6,18.5,333/1000,101,200.0
76,A2,19.0,0.5,108,200.0
77,C#3,19.0,0.5,108,200.0
78,F#3,19.0,0.5,108,200.0
79,F#3,19.0,0.5,108,200.0
80,F#2,19.0,0.5,108,200.0
81,A2,19.0,0.5,108,200.0
82,C2,19.0,1/100,70,200.0
83,D2,19.0,1/100,70,200.0
84,A2,20.0,0.5,114,200.0
85,C#3,20.0,0.5,114,200.0
86,E3,20.0,0.5,114,200.0
87,E3,20.0,0.5,114,200.0
88,E6,20.0,0.5,114,200.0
89,E2,20.0,0.5,114,200.0
90,A2,20.0,0.5,114,200.0
91,A4,20.0,333/1000,101,200.0
92,C#5,20.0,333/1000,101,200.0
93,E5,20.0,333/1000,101,200.0
94,A2,20.0,333/1000,101,200.0
95,A3,20.0,333/1000,101,200.0
96,A4,20.0,333/1000,101,200.0
97,C#5,20.0,333/1000,101,200.0
98,E5,20.0,333/1000,101,200.0
99,A5,20.0,333/1000,101,200.0
100,C#6,20.0,333/1000,101,200.0
101,E6,20.0,333/1000,101,200.0
102,A5,20.0,0.25,108,200.0
103,C#6,20.0,0.25,108,200.0
104,E6,20.0,0.25,108,200.0
105,D2,20.0,1/100,70,200.0
106,C2,20.0,1/100,70,200.0
107,A2,21.5,0.5,103,200.0
108,C#3,21.5,0.5,103,200.0
109,F3,21.5,0.5,103,200.0
110,F3,21.5,0.5,103,200.0
111,F2,21.5,0.5,103,200.0
112,A2,21.5,0.5,103,200.0
113,D2,21.5,1/100,70,200.0
114,C2,21.5,1/100,70,200.0
115,A2,23.0,0.5,106,200.0
116,C#3,23.0,0.5,106,200.0
117,F#3,23.0,0.5,106,200.0
118,F#3,23.0,0.5,106,200.0
119,F#2,23.0,0.5,106,200.0
120,A2,23.0,0.5,106,200.0
121,C2,23.0,1/100,70,200.0
122,D2,23.0,1/100,70,200.0
123,A2,24.0,0.5,112,200.0
124,C#3,24.0,0.5,112,200.0
125,G3,24.0,0.5,112,200.0
126,E3,24.0,0.5,112,200.0
127,G2,24.0,0.5,112,200.0
128,A2,24.0,0.5,112,200.0
129,D2,24.0,1/100,70,200.0
130,C2,24.0,1/100,70,200.0
131,A3,24.25,0.25,30,200.0
132,A3,24.25,0.25,30,200.0
133,C#4,24.5,0.25,42,200.0
134,C#4,24.5,0.25,42,200.0
135,E4,24.75,0.25,56,200.0
136,E4,24.75,0.25,56,200.0
137,A4,25.0,0.219,56,200.0
138,A4,25.0,333/1000,83,200.0
139,A2,25.5,0.5,111,200.0
140,C#3,25.5,0.5,111,200.0
