,note_name,start_time,duration,velocity,tempo
0,D2,8.0,1617/1000,80,82.0
1,C4,8.0,1.625,60,82.0
2,D4,8.0,1.625,60,82.0
3,F3,8.0,1.625,60,82.0
4,A4,8.0,1.625,60,82.0
5,B1,8.0,26/125,65,82.0
6,F#2,8.0,26/125,65,82.0
7,E4,8.083,2/5,107,82.0
8,D4,8.7,317/1000,107,82.0
9,C4,9.0,129/500,60,82.0
10,F3,9.0,129/500,60,82.0
11,F#2,9.0,26/125,80,82.0
12,C#2,9.0,26/125,80,82.0
13,C4,9.083,2/5,107,82.0
14,D4,9.7,317/1000,107,82.0
15,E4,9.708,91/40,60,82.0
16,G4,9.708,91/40,60,82.0
17,A3,9.708,91/40,60,82.0
18,C4,9.708,91/40,60,82.0
19,E2,9.733,267/1000,81,82.0
20,F#2,9.733,26/125,40,82.0
21,F2,10.0,1417/1000,85,82.0
22,B1,10.0,26/125,70,82.0
23,F#2,10.0,26/125,70,82.0
24,E4,10.083,2/5,107,82.0
25,D4,10.7,1.0,107,82.0
26,A3,11.0,129/500,60,82.0
27,E3,11.0,129/500,60,82.0
28,F#2,11.0,26/125,85,82.0
29,C#2,11.0,26/125,85,82.0
30,F1,11.333,9/40,47,82.0
31,F2,11.667,1/10,82,82.0
32,F#2,11.733,26/125,50,82.0
33,D4,11.833,167/1000,107,82.0
34,F2,12.0,2117/1000,76,82.0
35,D4,12.0,33/1000,107,82.0
36,D4,12.0,3.625,60,82.0
37,F4,12.0,3.625,60,82.0
38,G#3,12.0,3.625,60,82.0
39,C4,12.0,3.625,60,82.0
40,B1,12.0,26/125,65,82.0
41,F#2,12.0,26/125,65,82.0
42,E4,12.083,2/5,107,82.0
43,D4,12.7,317/1000,107,82.0
44,G#3,13.0,129/500,60,82.0
45,D3,13.0,129/500,60,82.0
46,F#2,13.0,26/125,80,82.0
47,C#2,13.0,26/125,80,82.0
48,C4,13.083,2/5,107,82.0
49,D4,13.7,317/1000,107,82.0
50,F#2,13.733,26/125,40,82.0
51,C3,14.0,2.0,61,82.0
52,B1,14.0,26/125,70,82.0
53,F#2,14.0,26/125,70,82.0
54,E4,14.083,2/5,107,82.0
55,D4,14.7,4/5,107,82.0
56,G#3,15.0,77/250,61,82.0
57,D3,15.0,77/250,61,82.0
58,F#2,15.0,26/125,85,82.0
59,C#2,15.0,26/125,85,82.0
60,E4,15.7,117/1000,107,82.0
61,G4,15.708,73/250,60,82.0
62,E4,15.708,73/250,60,82.0
63,D5,15.708,73/250,60,82.0
64,B3,15.708,73/250,60,82.0
65,F#2,15.733,26/125,50,82.0
66,F4,15.833,167/1000,107,82.0
67,C2,16.0,979/500,68,82.0
68,F4,16.0,33/1000,107,82.0
69,G4,16.0,4.0,60,82.0
70,E4,16.0,4.0,60,82.0
71,D5,16.0,4.0,60,82.0
72,B3,16.0,4.0,60,82.0
73,B1,16.0,26/125,70,82.0
74,F#2,16.0,26/125,70,82.0
75,G4,16.083,2/5,107,82.0
76,G4,16.7,1517/1000,107,82.0
77,B3,17.0,9/40,60,82.0
78,E3,17.0,9/40,60,82.0
79,F#2,17.0,26/125,80,82.0
80,C#2,17.0,26/125,80,82.0
81,F#2,17.725,26/125,40,82.0
82,G2,18.0,1933/1000,81,82.0
83,B1,18.0,26/125,70,82.0
84,F#2,18.0,26/125,70,82.0
85,B4,18.7,317/1000,107,82.0
86,B3,19.0,11/40,61,82.0
87,E3,19.0,11/40,61,82.0
88,F#2,19.0,26/125,88,82.0
89,C#2,19.0,26/125,88,82.0
90,A4,19.083,2/5,107,82.0
91,B4,19.7,3/10,107,82.0
92,F#2,19.725,26/125,50,82.0
93,C2,20.0,1867/1000,60,82.0
94,B4,20.0,17/1000,107,82.0
95,B1,20.0,26/125,65,82.0
96,F#2,20.0,26/125,65,82.0
97,G4,20.083,16/5,107,82.0
98,B3,21.0,129/500,64,82.0
99,E3,21.0,129/500,64,82.0
100,F#2,21.0,26/125,80,82.0
101,C#2,21.0,26/125,80,82.0
102,C1,21.7,167/1000,56,82.0
