,note_name,start_time,duration,velocity,tempo
0,F#2,4.0,7/200,104,91.0
1,F#2,5.0,6/125,104,91.0
2,F#2,6.0,21/500,104,91.0
3,F#2,7.0,7/200,104,91.0
4,A2,7.998,1/500,101,91.0
5,G3,7.998,1/500,101,91.0
6,C4,7.998,1/500,101,91.0
7,A2,8.0,143/200,101,91.0
8,G3,8.0,143/200,101,91.0
9,C4,8.0,143/200,101,91.0
10,A2,9.015,89/125,99,91.0
11,G3,9.015,89/125,99,91.0
12,C4,9.015,89/125,99,91.0
13,B3,9.996,729/1000,98,91.0
14,G#2,9.996,729/1000,98,91.0
15,F3,9.996,729/1000,98,91.0
16,G#2,10.994,731/1000,96,91.0
17,F3,10.994,731/1000,96,91.0
18,B3,10.994,731/1000,96,91.0
19,B-3,11.996,1/250,102,91.0
20,G2,11.996,1/250,102,91.0
21,F3,11.996,1/250,102,91.0
22,B-3,12.0,721/1000,102,91.0
23,G2,12.0,721/1000,102,91.0
24,F3,12.0,721/1000,102,91.0
25,G2,12.994,29/40,98,91.0
26,F3,12.994,29/40,98,91.0
27,B-3,12.994,29/40,98,91.0
28,E3,13.99,723/1000,98,91.0
29,B-3,13.99,723/1000,98,91.0
30,G2,13.99,723/1000,98,91.0
31,E3,14.985,143/200,103,91.0
32,B-3,14.985,143/200,103,91.0
33,G2,14.985,143/200,103,91.0
34,G3,15.988,3/250,104,91.0
35,C4,15.988,3/250,104,91.0
36,G3,16.0,71/100,104,91.0
37,C4,16.0,71/100,104,91.0
38,A2,16.99,0.719,100,91.0
39,C4,16.99,0.719,100,91.0
40,G3,16.99,0.719,100,91.0
41,F3,17.988,733/1000,100,91.0
42,B3,17.988,733/1000,100,91.0
43,G#2,17.988,733/1000,100,91.0
44,B3,18.988,629/1000,96,91.0
45,F3,18.988,629/1000,96,91.0
46,G#2,18.988,629/1000,96,91.0
47,G2,19.679,3/10,92,91.0
48,G2,19.992,1/125,102,91.0
49,G2,20.0,823/500,102,91.0
50,F3,20.665,981/1000,88,91.0
51,B-3,21.015,631/1000,99,91.0
52,C4,21.66,197/200,97,91.0
53,G#3,22.66,81/100,89,91.0
54,C4,22.66,81/100,89,91.0
55,F#3,22.66,81/100,89,91.0
56,C#3,22.66,81/100,89,91.0
57,A3,23.673,129/500,68,91.0
58,F3,23.673,129/500,68,91.0
59,C3,23.673,129/500,68,91.0
60,D3,23.985,3/200,101,91.0
61,F3,23.985,3/200,101,91.0
62,F2,23.985,3/200,101,91.0
63,A3,23.985,3/200,101,91.0
64,D3,24.0,349/500,101,91.0
65,F3,24.0,349/500,101,91.0
66,F2,24.0,349/500,101,91.0
67,A3,24.0,349/500,101,91.0
68,F3,24.654,38/125,119,91.0
69,D3,24.988,153/200,100,91.0
70,F3,24.988,153/200,100,91.0
71,A3,24.988,153/200,100,91.0
72,F2,24.988,153/200,100,91.0
73,F4,24.988,153/200,100,91.0
74,F3,25.988,89/125,99,91.0
75,A3,25.988,89/125,99,91.0
76,D3,25.988,89/125,99,91.0
77,F2,25.988,89/125,99,91.0
78,E4,26.019,303/500,101,91.0
79,F4,26.65,77/250,115,91.0
80,E4,26.975,13/20,103,91.0
81,D3,26.996,0.719,97,91.0
82,F3,26.996,0.719,97,91.0
83,F2,26.996,0.719,97,91.0
84,A3,26.996,0.719,97,91.0
85,D4,27.673,57/200,122,91.0
86,F4,27.977,23/1000,102,91.0
87,B3,27.996,1/250,102,91.0
88,F3,27.996,1/250,102,91.0
89,G#2,27.996,1/250,102,91.0
90,F4,28.0,979/500,102,91.0
91,B3,28.0,0.719,102,91.0
92,F3,28.0,0.719,102,91.0
93,G#2,28.0,0.719,102,91.0
94,F3,28.983,721/1000,100,91.0
95,G#2,28.983,721/1000,100,91.0
96,B3,28.983,721/1000,100,91.0
97,E4,29.979,1479/1000,105,91.0
98,B-3,29.994,731/1000,98,91.0
99,G2,29.994,731/1000,98,91.0
100,E3,29.994,731/1000,98,91.0
101,G2,30.988,29/40,103,91.0
102,E3,30.988,29/40,103,91.0
103,B-3,30.988,29/40,103,91.0
104,D3,31.996,1/250,102,91.0
105,F3,31.996,1/250,102,91.0
106,F2,31.996,1/250,102,91.0
107,A3,31.996,1/250,102,91.0
108,D3,32.0,177/250,102,91.0
109,F3,32.0,177/250,102,91.0
110,F2,32.0,177/250,102,91.0
111,A3,32.0,177/250,102,91.0
112,A3,32.675,283/1000,92,91.0
113,F2,32.985,733/1000,100,91.0
114,F3,32.985,733/1000,100,91.0
115,A3,32.985,733/1000,100,91.0
116,D3,32.985,733/1000,100,91.0
117,F4,33.017,221/500,100,91.0
118,E4,33.99,127/200,102,91.0
119,F2,33.992,721/1000,98,91.0
120,A3,33.992,721/1000,98,91.0
121,F3,33.992,721/1000,98,91.0
122,D3,33.992,721/1000,98,91.0
123,F4,34.673,57/200,113,91.0
124,A3,34.994,89/125,97,91.0
125,F2,34.994,89/125,97,91.0
126,F3,34.994,89/125,97,91.0
127,D3,34.994,89/125,97,91.0
128,E4,35.017,76/125,105,91.0
129,D4,35.677,0.281,121,91.0
130,F#4,35.973,27/1000,100,91.0
131,F#3,35.994,3/500,102,91.0
132,C4,35.994,3/500,102,91.0
133,D3,35.994,3/500,102,91.0
134,F#4,36.0,0.625,100,91.0
135,F#3,36.0,89/125,102,91.0
136,C4,36.0,89/125,102,91.0
137,D3,36.0,89/125,102,91.0
138,A4,36.652,153/500,115,91.0
139,C4,36.987,29/40,99,91.0
140,F#3,36.987,29/40,99,91.0
141,D3,36.987,29/40,99,91.0
142,A2,36.987,29/40,99,91.0
143,F#4,37.352,273/1000,116,91.0
144,D4,37.644,63/200,84,91.0
145,E-4,37.975,13/20,103,91.0
146,D3,37.983,147/200,97,91.0
147,C4,37.983,147/200,97,91.0
148,F#3,37.983,147/200,97,91.0
149,D4,38.671,161/125,118,91.0
150,D3,38.987,0.719,102,91.0
151,F#3,38.987,0.719,102,91.0
152,C4,38.987,0.719,102,91.0
153,D3,39.998,1/500,101,91.0
154,F3,39.998,1/500,101,91.0
155,B-3,39.998,1/500,101,91.0
156,G2,39.998,1/500,101,91.0
157,D3,40.0,89/125,101,91.0
158,F3,40.0,89/125,101,91.0
159,B-3,40.0,89/125,101,91.0
160,G2,40.0,89/125,101,91.0
161,F3,40.992,727/1000,99,91.0
162,B-3,40.992,727/1000,99,91.0
163,G2,40.992,727/1000,99,91.0
164,D3,40.992,727/1000,99,91.0
165,G4,41.017,429/500,102,91.0
166,F4,41.983,77/250,103,91.0
167,D3,41.983,143/200,99,91.0
168,F3,41.983,143/200,99,91.0
169,B-3,41.983,143/200,99,91.0
170,G2,41.983,143/200,99,91.0
171,G4,42.327,149/500,108,91.0
172,F4,42.663,481/500,116,91.0
173,B-3,43.002,0.719,98,91.0
174,G2,43.002,0.719,98,91.0
175,D3,43.002,0.719,98,91.0
176,F3,43.002,0.719,98,91.0
177,D4,43.656,151/500,120,91.0
178,G3,43.983,17/1000,102,91.0
179,F3,43.983,17/1000,102,91.0
180,B-2,43.983,17/1000,102,91.0
181,C#4,43.983,17/1000,102,91.0
182,G3,44.0,351/500,102,91.0
183,F3,44.0,351/500,102,91.0
184,B-2,44.0,351/500,102,91.0
185,C#4,44.0,351/500,102,91.0
186,G4,44.006,57/200,101,91.0
187,F4,44.315,31/100,106,91.0
188,C#4,44.683,31/40,117,91.0
189,F3,44.987,143/200,100,91.0
190,B-2,44.987,143/200,100,91.0
191,G3,44.987,143/200,100,91.0
192,C#4,44.987,143/200,100,91.0
193,F4,45.525,1433/1000,115,91.0
194,B-2,45.992,89/125,98,91.0
195,C#4,45.992,89/125,98,91.0
196,G3,45.992,89/125,98,91.0
197,F3,45.992,89/125,98,91.0
198,F3,46.994,0.719,101,91.0
199,G3,46.994,0.719,101,91.0
200,B-2,46.994,0.719,101,91.0
201,C#4,46.994,0.719,101,91.0
202,D3,47.983,17/1000,102,91.0
203,F3,47.983,17/1000,102,91.0
204,A2,47.983,17/1000,102,91.0
205,C4,47.983,17/1000,102,91.0
206,C4,47.985,3/200,101,91.0
207,C4,48.0,0.625,101,91.0
208,D3,48.0,349/500,102,91.0
209,F3,48.0,349/500,102,91.0
210,A2,48.0,349/500,102,91.0
211,C4,48.0,349/500,102,91.0
212,D4,48.685,273/1000,115,91.0
213,C4,48.992,29/40,98,91.0
214,D3,48.992,29/40,98,91.0
215,F3,48.992,29/40,98,91.0
216,A2,48.992,29/40,98,91.0
217,F4,49.025,267/1000,101,91.0
218,G4,49.346,227/1000,112,91.0
219,G#4,49.669,129/100,115,91.0
220,G#2,49.987,89/125,100,91.0
221,B3,49.987,89/125,100,91.0
222,D3,49.987,89/125,100,91.0
223,F3,49.987,89/125,100,91.0
224,G#4,50.985,16/25,105,91.0
225,D3,50.985,89/125,97,91.0
226,F3,50.985,89/125,97,91.0
227,B3,50.985,89/125,97,91.0
228,G4,51.65,7/20,122,91.0
229,B-3,51.996,1/250,101,91.0
230,G2,51.996,1/250,101,91.0
231,F3,51.996,1/250,101,91.0
232,G4,52.0,2479/500,122,91.0
233,B-3,52.0,721/1000,101,91.0
234,G2,52.0,721/1000,101,91.0
235,F3,52.0,721/1000,101,91.0
236,F3,52.983,731/1000,100,91.0
237,G2,52.983,731/1000,100,91.0
238,B-3,52.983,731/1000,100,91.0
239,E3,54.0,143/200,97,91.0
240,G2,54.0,143/200,97,91.0
241,B-3,54.0,143/200,97,91.0
242,E3,55.002,0.719,102,91.0
243,B-3,55.002,0.719,102,91.0
244,G2,55.002,0.719,102,91.0
