,note_name,start_time,duration,velocity,tempo
0,C6,15.0,0.5,100,142.0
1,C6,15.5,0.5,100,142.0
2,C#2,16.0,1.0,100,142.0
3,B-4,16.0,1/10,71,142.0
4,E-4,16.5,0.5,100,142.0
5,E4,16.5,0.5,100,142.0
6,G#4,16.5,0.5,100,142.0
7,B-4,16.542,133/1000,74,142.0
8,B-4,16.8,79/500,78,142.0
9,C#2,17.0,1.0,100,142.0
10,B-4,17.0,0.125,74,142.0
11,E-4,17.5,0.5,100,142.0
12,E4,17.5,0.5,100,142.0
13,G#4,17.5,0.5,100,142.0
14,B-4,17.542,133/1000,67,142.0
15,B-4,17.8,79/500,78,142.0
16,C#2,18.0,1.0,100,142.0
17,B-4,18.05,117/1000,69,142.0
18,C#4,18.5,0.5,100,142.0
19,E4,18.5,0.5,100,142.0
20,G#4,18.5,0.5,100,142.0
21,B-4,18.55,83/1000,74,142.0
22,B-4,18.75,167/1000,78,142.0
23,C#2,19.0,1.0,100,142.0
24,B-4,19.008,117/1000,78,142.0
25,E-4,19.5,0.5,100,142.0
26,E4,19.5,0.5,100,142.0
27,G#4,19.5,0.5,100,142.0
28,B-4,19.55,117/1000,85,142.0
29,B-4,19.8,167/1000,78,142.0
30,C#2,20.0,1.0,100,142.0
31,B-4,20.0,1/10,71,142.0
32,E-4,20.5,0.5,100,142.0
33,E4,20.5,0.5,100,142.0
34,G#4,20.5,0.5,100,142.0
35,B-4,20.542,133/1000,74,142.0
36,B-4,20.8,79/500,78,142.0
37,C#2,21.0,1.0,100,142.0
38,B-4,21.0,0.125,74,142.0
39,E-4,21.5,0.5,100,142.0
40,E4,21.5,0.5,100,142.0
41,G#4,21.5,0.5,100,142.0
42,B-4,21.542,133/1000,67,142.0
43,B-4,21.8,79/500,78,142.0
44,C#2,22.0,1.0,100,142.0
45,B-4,22.05,117/1000,69,142.0
46,C#4,22.5,0.5,100,142.0
47,E4,22.5,0.5,100,142.0
48,G#4,22.5,0.5,100,142.0
49,B-4,22.55,83/1000,74,142.0
50,B-4,22.75,167/1000,78,142.0
51,C#2,23.0,1.0,100,142.0
52,B-4,23.008,117/1000,78,142.0
53,G#3,23.5,0.5,100,142.0
54,A3,23.5,0.5,100,142.0
55,C#4,23.5,0.5,100,142.0
56,B-4,23.55,117/1000,85,142.0
57,B-4,23.8,167/1000,78,142.0
58,C#2,24.0,1.0,100,142.0
59,B-4,24.0,1/10,71,142.0
60,G#3,24.5,0.5,100,142.0
61,A3,24.5,0.5,100,142.0
62,C#4,24.5,0.5,100,142.0
63,B-4,24.542,133/1000,74,142.0
64,B-4,24.8,79/500,78,142.0
65,C#2,25.0,1.0,100,142.0
66,B-4,25.0,0.125,74,142.0
67,G#3,25.5,0.5,100,142.0
68,A3,25.5,0.5,100,142.0
69,C#4,25.5,0.5,100,142.0
70,B-4,25.542,133/1000,67,142.0
71,B-4,25.8,79/500,78,142.0
72,C#2,26.0,1.0,100,142.0
73,B-4,26.05,117/1000,69,142.0
74,F#3,26.5,0.5,100,142.0
75,A3,26.5,0.5,100,142.0
76,C#4,26.5,0.5,100,142.0
77,B-4,26.55,83/1000,74,142.0
78,B-4,26.75,167/1000,78,142.0
79,C#2,27.0,1.0,100,142.0
80,B-4,27.008,117/1000,78,142.0
81,B-3,27.5,0.5,100,142.0
82,B3,27.5,0.5,100,142.0
83,E-4,27.5,0.5,100,142.0
84,B-4,27.55,117/1000,85,142.0
85,B-4,27.8,167/1000,78,142.0
86,C#2,28.0,1.0,100,142.0
87,B-4,28.0,1/10,71,142.0
88,B-3,28.5,0.5,100,142.0
89,B3,28.5,0.5,100,142.0
90,E-4,28.5,0.5,100,142.0
91,B-4,28.542,133/1000,74,142.0
92,B-4,28.8,79/500,78,142.0
93,C#2,29.0,1.0,100,142.0
94,B-4,29.0,0.125,74,142.0
95,B-3,29.5,0.5,100,142.0
96,B3,29.5,0.5,100,142.0
97,E-4,29.5,0.5,100,142.0
98,B-4,29.542,133/1000,67,142.0
99,B-4,29.8,79/500,78,142.0
100,C#2,30.0,1.0,100,142.0
101,B-4,30.05,117/1000,69,142.0
102,G#1,30.5,0.5,100,142.0
103,B1,30.5,0.5,100,142.0
104,G#3,30.5,0.5,100,142.0
105,B3,30.5,0.5,100,142.0
106,E-4,30.5,0.5,100,142.0
107,B-4,30.55,83/1000,74,142.0
108,B-4,30.75,167/1000,78,142.0
109,B1,31.0,0.5,100,142.0
110,B1,31.0,0.5,100,142.0
111,C#2,31.0,1.0,100,142.0
112,B-4,31.008,117/1000,78,142.0
113,C#2,31.5,0.5,100,142.0
114,B1,31.5,0.5,100,142.0
115,E-4,31.5,0.5,100,142.0
116,E4,31.5,0.5,100,142.0
117,G#4,31.5,0.5,100,142.0
118,B-4,31.55,117/1000,85,142.0
119,B-4,31.8,167/1000,78,142.0
120,C#2,32.0,1.0,100,142.0
121,B-4,32.0,1/10,71,142.0
122,B-5,32.5,0.5,100,142.0
123,E-4,32.5,0.5,100,142.0
124,E4,32.5,0.5,100,142.0
125,G#4,32.5,0.5,100,142.0
126,B-4,32.542,133/1000,74,142.0
127,B-4,32.8,79/500,78,142.0
128,C#2,33.0,1.0,100,142.0
129,B-4,33.0,0.125,74,142.0
130,B-5,33.0,0.5,100,142.0
131,B-5,33.5,0.5,100,142.0
132,E-4,33.5,0.5,100,142.0
133,E4,33.5,0.5,100,142.0
134,G#4,33.5,0.5,100,142.0
135,B-4,33.542,133/1000,67,142.0
136,B-4,33.8,79/500,78,142.0
137,C#2,34.0,1.0,100,142.0
138,B-4,34.05,117/1000,69,142.0
139,C#2,34.5,0.5,100,142.0
140,C#4,34.5,0.5,100,142.0
141,E4,34.5,0.5,100,142.0
142,G#4,34.5,0.5,100,142.0
143,B1,34.5,0.5,100,142.0
144,B-5,34.5,0.5,100,142.0
145,B-4,34.55,83/1000,74,142.0
146,B-4,34.75,167/1000,78,142.0
147,B1,35.0,0.5,100,142.0
148,B1,35.0,0.5,100,142.0
149,C#2,35.0,1.0,100,142.0
150,B-4,35.008,117/1000,78,142.0
151,A1,35.5,0.5,100,142.0
152,E-4,35.5,0.5,100,142.0
153,E4,35.5,0.5,100,142.0
154,G#4,35.5,0.5,100,142.0
155,B1,35.5,0.5,100,142.0
156,B-5,35.5,0.5,100,142.0
157,B-4,35.55,117/1000,85,142.0
158,B-4,35.8,167/1000,78,142.0
159,C#2,36.0,1.0,100,142.0
160,B-4,36.0,1/10,71,142.0
161,B-5,36.5,0.5,100,142.0
162,E-4,36.5,0.5,100,142.0
163,E4,36.5,0.5,100,142.0
164,G#4,36.5,0.5,100,142.0
165,B-4,36.542,133/1000,74,142.0
166,B-4,36.8,79/500,78,142.0
167,C#2,37.0,1.0,100,142.0
168,B-4,37.0,0.125,74,142.0
169,B-5,37.0,0.5,100,142.0
170,B-5,37.5,0.5,100,142.0
171,E-4,37.5,0.5,100,142.0
172,E4,37.5,0.5,100,142.0
173,G#4,37.5,0.5,100,142.0
174,B-4,37.542,133/1000,67,142.0
175,B-4,37.8,79/500,78,142.0
176,C#2,38.0,1.0,100,142.0
177,B-4,38.05,117/1000,69,142.0
178,A1,38.5,0.5,100,142.0
179,C#4,38.5,0.5,100,142.0
180,E4,38.5,0.5,100,142.0
181,G#4,38.5,0.5,100,142.0
182,B1,38.5,0.5,100,142.0
183,B-5,38.5,0.5,100,142.0
184,B-4,38.55,83/1000,74,142.0
185,B-4,38.75,167/1000,78,142.0
186,G#1,39.0,0.5,100,142.0
