,note_name,start_time,duration,velocity,tempo
0,D3,2.01,199/200,64,130.0
1,D3,2.01,199/100,64,130.0
2,A3,2.161,201/200,64,130.0
3,C#4,2.312,201/200,64,130.0
4,E4,3.005,199/200,64,130.0
5,E4,4.0,1/100,64,130.0
6,D3,4.0,1/100,64,130.0
7,A2,4.01,2.0,64,130.0
8,E4,4.01,149/100,64,130.0
9,B3,4.01,149/100,64,130.0
10,A3,4.01,149/100,64,130.0
11,E3,4.01,149/100,64,130.0
12,A2,4.01,149/100,64,130.0
13,B4,5.255,151/200,64,130.0
14,B4,6.01,149/200,64,130.0
15,A2,6.01,149/100,64,130.0
16,E4,6.01,149/100,64,130.0
17,B3,6.01,149/100,64,130.0
18,A3,6.01,149/100,64,130.0
19,E3,6.01,149/100,64,130.0
20,A2,6.01,149/100,64,130.0
21,A4,6.755,149/200,64,130.0
22,C#5,7.5,0.5,64,130.0
23,F#2,7.5,0.5,64,130.0
24,F#4,7.5,0.5,64,130.0
25,C#4,7.5,0.5,64,130.0
26,A3,7.5,0.5,64,130.0
27,F#3,7.5,0.5,64,130.0
28,C#3,7.5,0.5,64,130.0
29,F#2,7.5,0.5,64,130.0
30,C#5,8.0,13/50,64,130.0
31,F#2,8.0,1.5,64,130.0
32,F#4,8.0,101/200,64,130.0
33,C#4,8.0,101/200,64,130.0
34,A3,8.0,101/200,64,130.0
35,F#3,8.0,101/200,64,130.0
36,C#3,8.0,101/200,64,130.0
37,F#2,8.0,101/200,64,130.0
38,B4,8.26,99/100,64,130.0
39,F#4,8.505,199/200,64,130.0
40,C#4,8.505,199/200,64,130.0
41,A3,8.505,199/200,64,130.0
42,F#3,8.505,199/200,64,130.0
43,C#3,8.505,199/200,64,130.0
44,F#2,8.505,199/200,64,130.0
45,A4,9.25,0.25,64,130.0
46,C#5,9.5,151/200,64,130.0
47,E2,9.5,2.0,64,130.0
48,E4,9.5,301/200,64,130.0
49,B3,9.5,301/200,64,130.0
50,G#3,9.5,301/200,64,130.0
51,E3,9.5,301/200,64,130.0
52,B2,9.5,301/200,64,130.0
53,E2,9.5,301/200,64,130.0
54,B4,10.255,349/200,64,130.0
55,E2,11.5,0.5,64,130.0
56,E4,11.5,0.5,64,130.0
57,B3,11.5,0.5,64,130.0
58,G#3,11.5,0.5,64,130.0
59,B2,11.5,0.5,64,130.0
60,B4,12.0,51/200,64,130.0
61,E2,12.0,201/200,64,130.0
62,E4,12.0,101/200,64,130.0
63,B3,12.0,101/200,64,130.0
64,G#3,12.0,101/200,64,130.0
65,B2,12.0,101/200,64,130.0
66,D3,13.005,399/200,64,130.0
67,C#4,13.005,201/200,64,130.0
68,A3,13.005,201/200,64,130.0
69,D3,13.005,201/200,64,130.0
70,E4,14.01,99/100,64,130.0
71,A2,15.0,1.0,64,130.0
72,E4,15.0,1.0,64,130.0
73,B3,15.0,1.0,64,130.0
74,A3,15.0,1.0,64,130.0
75,E3,15.0,1.0,64,130.0
76,A2,15.0,1.0,64,130.0
77,A2,16.0,1.0,64,130.0
78,E4,16.0,101/200,64,130.0
79,B3,16.0,101/200,64,130.0
80,A3,16.0,101/200,64,130.0
81,E3,16.0,101/200,64,130.0
82,A2,16.0,101/200,64,130.0
83,B4,16.255,199/200,64,130.0
84,A2,17.0,301/200,64,130.0
85,E4,17.0,301/200,64,130.0
86,B3,17.0,301/200,64,130.0
87,A3,17.0,301/200,64,130.0
88,E3,17.0,301/200,64,130.0
89,A2,17.0,301/200,64,130.0
90,A4,17.25,201/200,64,130.0
91,F#2,18.505,201/200,64,130.0
92,C#4,18.505,201/200,64,130.0
93,A3,18.505,201/200,64,130.0
94,F#3,18.505,201/200,64,130.0
95,C#3,18.505,201/200,64,130.0
96,F#2,18.505,201/200,64,130.0
97,F#3,19.51,49/100,64,130.0
98,F#4,19.51,49/100,64,130.0
99,C#4,19.51,49/100,64,130.0
100,A3,19.51,49/100,64,130.0
101,F#3,19.51,49/100,64,130.0
102,C#3,19.51,49/100,64,130.0
103,F#2,19.51,49/100,64,130.0
104,F#3,20.0,101/200,64,130.0
105,F#4,20.0,101/200,64,130.0
106,C#4,20.0,101/200,64,130.0
107,A3,20.0,101/200,64,130.0
108,F#3,20.0,101/200,64,130.0
109,C#3,20.0,101/200,64,130.0
110,F#2,20.0,101/200,64,130.0
111,E2,20.505,2.0,64,130.0
112,E4,20.505,1.5,64,130.0
113,B3,20.505,1.5,64,130.0
114,G#3,20.505,1.5,64,130.0
115,E3,20.505,1.5,64,130.0
