,note_name,start_time,duration,velocity,tempo
0,G#2,0.0,4.0,95,105.0
1,B3,0.5,0.5,95,105.0
2,G#3,1.0,0.5,95,105.0
3,E-3,1.5,0.5,95,105.0
4,B3,2.0,0.5,95,105.0
5,G#3,2.5,0.5,95,105.0
6,E-3,3.0,0.5,95,105.0
7,G#3,3.5,0.5,95,105.0
8,F#2,4.0,4.0,95,105.0
9,B-3,4.5,0.5,95,105.0
10,F#3,5.0,0.5,95,105.0
11,C#3,5.5,0.5,95,105.0
12,B3,6.0,0.5,95,105.0
13,B-3,6.5,0.5,95,105.0
14,G#3,7.0,0.5,95,105.0
15,F#3,7.5,0.5,95,105.0
16,E2,8.0,4.0,95,105.0
17,G#3,8.5,0.5,95,105.0
18,B3,9.0,0.5,95,105.0
19,C#4,9.5,0.5,95,105.0
20,E4,10.0,0.5,95,105.0
21,E-4,10.5,0.5,95,105.0
22,C#4,11.0,0.5,95,105.0
23,B3,11.5,0.5,95,105.0
24,B2,12.0,4.0,95,105.0
25,B3,12.5,0.5,95,105.0
26,B-3,13.0,0.5,95,105.0
27,G#3,13.5,0.5,95,105.0
28,B-3,14.0,0.5,95,105.0
29,B3,14.5,0.5,95,105.0
30,G#3,15.0,0.5,95,105.0
31,F#3,15.5,0.5,95,105.0
32,G#2,16.0,4.0,95,105.0
33,G#1,16.0,4.0,95,105.0
34,D2,16.0,0.125,95,105.0
35,G#3,16.0,0.5,95,105.0
36,E-3,16.0,0.5,95,105.0
37,G#2,16.0,0.5,95,105.0
38,D2,16.125,0.125,95,105.0
39,D2,16.25,0.125,95,105.0
40,D2,16.375,0.125,95,105.0
41,B3,16.5,0.5,95,105.0
42,G#3,16.5,0.5,95,105.0
43,E-3,16.5,0.5,95,105.0
44,G#2,16.5,0.5,95,105.0
45,G#3,17.0,0.5,95,105.0
46,E-3,17.5,0.5,95,105.0
47,B3,18.0,0.5,95,105.0
48,G#3,18.5,0.5,95,105.0
49,E-3,19.0,0.5,95,105.0
50,G#3,19.5,0.5,95,105.0
51,F#2,20.0,4.0,95,105.0
52,F#1,20.0,4.0,95,105.0
53,D2,20.0,0.125,95,105.0
54,F#3,20.0,0.5,95,105.0
55,C#3,20.0,0.5,95,105.0
56,F#2,20.0,0.5,95,105.0
57,D2,20.125,0.125,95,105.0
58,D2,20.25,0.125,95,105.0
59,D2,20.375,0.125,95,105.0
60,B-3,20.5,0.5,95,105.0
61,F#3,20.5,0.5,95,105.0
62,C#3,20.5,0.5,95,105.0
63,F#2,20.5,0.5,95,105.0
64,F#3,21.0,0.5,95,105.0
65,C#3,21.5,0.5,95,105.0
66,B3,22.0,0.5,95,105.0
67,B-3,22.5,0.5,95,105.0
68,G#3,23.0,0.5,95,105.0
69,F#3,23.5,0.5,95,105.0
