,note_name,start_time,duration,velocity,tempo
0,B-4,0.0,3.0,86,70.0
1,B-4,0.0,3.0,114,70.0
2,D5,0.0,3.0,114,70.0
3,F5,0.0,3.0,114,70.0
4,B-4,3.0,3.0,86,70.0
5,C5,4.0,2.0,73,70.0
6,C5,4.0,2.0,115,70.0
7,E-5,4.0,2.0,115,70.0
8,G5,4.0,2.0,115,70.0
9,F5,6.0,3.0,73,70.0
10,C5,6.0,2.0,73,70.0
11,B-4,6.0,3.0,114,70.0
12,D5,6.0,3.0,114,70.0
13,F5,6.0,3.0,114,70.0
14,C5,6.0,2.0,115,70.0
15,E-5,6.0,2.0,115,70.0
16,G5,6.0,2.0,115,70.0
17,B-4,8.0,1.0,73,70.0
18,F5,9.0,1/200,114,70.0
19,F5,9.0,2823/1000,73,70.0
20,B-4,9.0,3.0,73,70.0
21,A5,9.0,3.0,114,70.0
22,C6,9.0,3.0,114,70.0
23,F5,11.0,1.0,114,70.0
24,B-4,11.0,1.0,114,70.0
25,D5,11.0,1.0,114,70.0
26,C5,12.0,3.0,73,70.0
27,B-4,12.0,2.0,73,70.0
28,C5,12.0,3.0,115,70.0
29,E-5,12.0,3.0,115,70.0
30,G5,12.0,3.0,115,70.0
31,F5,14.0,1.0,73,70.0
32,F5,14.823,2823/1000,114,70.0
33,B-4,14.823,3.0,114,70.0
34,D5,14.823,3.0,114,70.0
35,A5,14.823,2823/1000,114,70.0
36,C6,14.823,2823/1000,114,70.0
37,C5,15.0,1.0,73,70.0
38,F5,15.0,1.0,73,70.0
39,B-4,16.0,1.5,127,70.0
40,B-4,16.0,1.5,127,70.0
41,B-2,16.0,1.5,127,70.0
42,C5,16.0,1.0,115,70.0
43,E-5,16.0,1.0,115,70.0
44,G5,16.0,1.0,115,70.0
45,F4,17.5,0.5,127,70.0
46,F4,17.5,0.5,127,70.0
47,B-2,17.5,0.5,127,70.0
48,B-4,17.823,2.0,114,70.0
49,D5,17.823,2.0,114,70.0
50,F4,18.0,1.5,127,70.0
51,F4,18.0,1.5,127,70.0
52,B-2,18.0,1/200,127,70.0
53,F4,19.5,0.5,127,70.0
54,F4,19.5,0.5,86,70.0
55,F5,19.823,1/200,114,70.0
56,A5,19.823,1.0,114,70.0
57,C6,19.823,1.0,114,70.0
58,C5,20.0,1.0,127,70.0
59,C5,20.0,1.0,127,70.0
60,B-2,20.0,1/200,127,70.0
61,A5,20.823,1.0,114,70.0
62,C6,20.823,1.0,114,70.0
63,C5,21.0,0.5,127,70.0
64,C5,21.0,0.5,127,70.0
65,C5,21.0,1.0,115,70.0
66,E-5,21.0,1.0,115,70.0
67,G5,21.0,1.0,115,70.0
68,F4,21.5,2.5,127,70.0
69,F4,21.5,2.5,127,70.0
70,B-2,21.5,1/200,127,70.0
71,F5,21.823,1/200,114,70.0
72,B-4,21.823,2.0,114,70.0
73,D5,21.823,2.0,114,70.0
74,B-2,22.0,1/200,127,70.0
75,C5,22.0,3.0,115,70.0
76,E-5,22.0,3.0,115,70.0
77,G5,22.0,3.0,115,70.0
78,B-4,23.823,2.0,114,70.0
79,D5,23.823,2.0,114,70.0
80,A4,24.0,1.5,127,70.0
81,A4,24.0,1.5,127,70.0
82,B-2,24.0,1/200,127,70.0
83,G4,25.5,1.0,127,70.0
84,G4,25.5,1.0,127,70.0
85,B-2,25.5,1/200,127,70.0
86,B-2,26.0,1/200,127,70.0
87,F4,26.5,0.5,127,70.0
88,F4,26.5,0.5,127,70.0
89,F4,27.0,0.5,127,70.0
90,F4,27.0,0.5,127,70.0
91,E-4,27.5,0.25,127,70.0
92,E-4,27.5,0.25,86,70.0
93,F4,27.75,0.25,127,70.0
94,F4,27.75,0.25,86,70.0
95,D4,28.0,2.0,127,70.0
96,D4,28.0,2.0,127,70.0
97,B-2,28.0,1/200,127,70.0
98,B-2,29.5,1/200,127,70.0
99,F4,29.823,3.0,114,70.0
100,A4,29.823,3.0,114,70.0
101,C5,29.823,3.0,114,70.0
102,D4,30.0,2.0,127,70.0
103,D4,30.0,2.0,127,70.0
104,B-2,30.0,1/200,127,70.0
105,A2,31.0,1.0,127,70.0
106,G4,32.0,1.0,127,70.0
107,G4,32.0,1.0,86,70.0
108,G2,32.0,1.0,127,70.0
109,G4,33.0,0.5,127,70.0
110,G4,33.0,0.5,86,70.0
111,G2,33.0,0.5,127,70.0
112,G4,33.0,1.0,115,70.0
113,B-4,33.0,1.0,115,70.0
114,D5,33.0,1.0,115,70.0
115,D4,33.5,2.0,127,70.0
116,D4,33.5,2.0,86,70.0
117,G2,33.5,0.5,127,70.0
118,F4,33.823,1.0,114,70.0
119,A4,33.823,1.0,114,70.0
120,C5,33.823,1.0,114,70.0
121,G2,34.0,2.0,127,70.0
122,G4,34.0,3.0,115,70.0
123,B-4,34.0,3.0,115,70.0
124,D5,34.0,3.0,115,70.0
125,B-4,34.823,2.0,114,70.0
126,D5,34.823,2.0,114,70.0
127,F5,34.823,2.0,114,70.0
128,G4,35.5,0.5,127,70.0
129,G4,35.5,0.5,86,70.0
130,A4,36.0,1.5,127,70.0
131,A4,36.0,1.5,86,70.0
132,D2,36.0,1.5,127,70.0
133,D4,37.5,1.5,127,70.0
134,D4,37.5,1.5,86,70.0
135,D2,37.5,0.5,127,70.0
136,D2,38.0,1.0,127,70.0
137,B-4,38.823,2.0,114,70.0
138,D5,38.823,2.0,114,70.0
139,F5,38.823,2.0,114,70.0
140,D4,39.0,1.0,127,70.0
141,D4,39.0,1.0,86,70.0
142,D2,39.0,1.0,127,70.0
143,B-4,40.0,0.5,127,70.0
144,B-4,40.0,0.5,86,70.0
145,E-2,40.0,2.0,127,70.0
146,A4,40.5,0.5,127,70.0
147,A4,40.5,0.5,86,70.0
148,G4,41.0,1.0,127,70.0
149,G4,41.0,1.0,86,70.0
150,F4,42.0,1.0,127,70.0
151,F4,42.0,1.0,86,70.0
152,E-2,42.0,2.0,127,70.0
153,E-4,43.0,0.25,127,70.0
154,E-4,43.0,0.25,86,70.0
155,D4,43.25,0.25,127,70.0
156,D4,43.25,0.75,86,70.0
157,C4,43.5,1.5,127,70.0
158,C4,44.0,1.0,86,70.0
159,F2,44.0,1.0,127,70.0
160,D4,44.823,3.0,114,70.0
161,F#4,44.823,3.0,114,70.0
162,A4,44.823,3.0,114,70.0
163,C4,45.0,3.0,127,70.0
164,C4,45.0,3.0,86,70.0
165,F2,45.0,0.5,127,70.0
166,F2,45.5,0.5,127,70.0
167,F2,46.0,2.0,127,70.0
168,B-4,48.0,1.5,127,70.0
169,B-2,48.0,1.5,127,70.0
170,B1,48.0,323/1000,84,70.0
171,B-5,48.5,0.156,90,70.0
172,D4,48.823,1.0,114,70.0
173,F#4,48.823,1.0,114,70.0
174,A4,48.823,1.0,114,70.0
175,B-5,49.0,0.156,90,70.0
176,F4,49.5,1.5,127,70.0
177,B-2,49.5,0.5,127,70.0
178,B1,49.5,323/1000,84,70.0
179,E-4,49.823,2.0,114,70.0
180,G4,49.823,2.0,114,70.0
181,B-4,49.823,2.0,114,70.0
182,B-2,50.0,1.0,127,70.0
183,B1,50.0,323/1000,84,70.0
184,B-5,50.5,0.156,90,70.0
185,F4,51.0,0.5,127,70.0
186,B-2,51.0,1.0,127,70.0
187,B-5,51.0,0.156,90,70.0
188,F4,51.5,0.5,127,70.0
189,B1,51.5,323/1000,84,70.0
190,C5,52.0,1.5,127,70.0
191,B-2,52.0,1.5,127,70.0
192,B1,52.0,323/1000,84,70.0
193,B-5,52.5,0.156,90,70.0
194,B-5,53.0,0.156,90,70.0
195,C5,53.0,2.0,115,70.0
196,E-5,53.0,2.0,115,70.0
197,G5,53.0,2.0,115,70.0
198,F4,53.5,0.5,127,70.0
199,B-2,53.5,0.5,127,70.0
200,B1,53.5,323/1000,84,70.0
201,E-4,53.823,2.0,114,70.0
202,G4,53.823,2.0,114,70.0
203,B-4,53.823,2.0,114,70.0
204,F4,54.0,2.0,127,70.0
205,B-2,54.0,1/200,127,70.0
206,B1,54.0,323/1000,84,70.0
207,B-5,54.5,0.156,90,70.0
208,B-5,55.0,0.156,90,70.0
209,C5,55.0,2.0,115,70.0
210,E-5,55.0,2.0,115,70.0
211,G5,55.0,2.0,115,70.0
212,B1,55.5,323/1000,84,70.0
213,F4,55.823,1.0,114,70.0
214,A4,55.823,1.0,114,70.0
215,C5,55.823,1.0,114,70.0
216,A4,56.0,1.0,127,70.0
217,F2,56.0,1.0,127,70.0
218,B1,56.0,323/1000,84,70.0
219,B-5,56.5,0.156,90,70.0
220,B-4,57.0,0.5,127,70.0
221,F2,57.0,0.5,127,70.0
222,B-5,57.0,0.156,90,70.0
223,C5,57.5,1.5,127,70.0
224,F2,57.5,0.5,127,70.0
225,B1,57.5,323/1000,84,70.0
226,F2,58.0,2.0,127,70.0
227,B1,58.0,323/1000,84,70.0
228,B-5,58.5,0.156,90,70.0
229,A4,59.0,1.0,127,70.0
230,B-5,59.0,0.156,90,70.0
231,B1,59.5,323/1000,84,70.0
232,F4,59.823,3.0,114,70.0
233,A4,59.823,3.0,114,70.0
234,C5,59.823,3.0,114,70.0
235,F4,60.0,3.0,127,70.0
236,B-2,60.0,1.5,127,70.0
237,B1,60.0,323/1000,84,70.0
238,B-5,60.5,0.156,90,70.0
239,B-5,61.0,0.156,90,70.0
240,B-2,61.5,0.5,127,70.0
241,B1,61.5,323/1000,84,70.0
242,B-2,62.0,0.25,127,70.0
243,B1,62.0,323/1000,84,70.0
244,B-2,62.25,0.75,127,70.0
245,B-5,62.5,0.156,90,70.0
246,B-4,62.823,3.0,114,70.0
247,D5,62.823,3.0,114,70.0
248,F5,62.823,3.0,114,70.0
249,F4,63.0,1.0,127,70.0
250,A2,63.0,1.0,127,70.0
251,B-5,63.0,0.156,90,70.0
252,B1,63.5,323/1000,84,70.0
253,G4,64.0,1.5,127,70.0
254,G2,64.0,1.5,127,70.0
255,B1,64.0,323/1000,84,70.0
256,B-5,64.5,0.156,90,70.0
257,B-5,65.0,0.156,90,70.0
258,G4,65.0,2.0,115,70.0
259,B-4,65.0,2.0,115,70.0
260,D5,65.0,2.0,115,70.0
261,D4,65.5,0.5,127,70.0
262,G2,65.5,0.5,127,70.0
263,B1,65.5,323/1000,84,70.0
264,D4,66.0,1.5,127,70.0
265,G2,66.0,1/200,127,70.0
266,B1,66.0,323/1000,84,70.0
267,B-5,66.5,0.156,90,70.0
268,B-4,66.823,1.0,114,70.0
269,D5,66.823,1.0,114,70.0
