,note_name,start_time,duration,velocity,tempo
0,G#3,4.0,0.25,100,123.0
1,G#3,4.75,0.25,100,123.0
2,C#2,5.0,0.25,127,123.0
3,G#3,6.0,0.25,100,123.0
4,G#3,6.75,0.25,100,123.0
5,C#2,7.0,0.25,127,123.0
6,G#3,8.25,0.25,100,123.0
7,G#3,8.75,0.25,100,123.0
8,C#2,9.0,0.25,127,123.0
9,G#3,10.0,0.25,100,123.0
10,G#3,10.75,0.25,100,123.0
11,C#2,11.0,0.25,127,123.0
12,G#3,11.25,0.25,100,123.0
13,G#3,12.0,0.25,100,123.0
14,G#3,12.75,0.25,100,123.0
15,F#2,13.0,1.0,80,123.0
16,B1,13.5,0.25,127,123.0
17,B1,13.75,0.25,127,123.0
18,G#3,14.0,0.25,100,123.0
19,F#2,14.0,1.0,80,123.0
20,G#3,14.5,0.25,100,123.0
21,C#2,15.0,0.25,127,123.0
22,F#2,15.0,1.0,80,123.0
23,G#3,15.25,0.25,100,123.0
24,G#3,15.75,0.25,100,123.0
25,F#2,16.0,1.0,80,123.0
26,B1,16.75,0.25,127,123.0
27,F#2,17.0,1.0,80,123.0
28,B2,17.0,0.25,127,123.0
29,F2,17.0,0.25,127,123.0
30,B2,17.75,0.25,127,123.0
31,F2,17.75,0.25,127,123.0
32,F#2,18.0,1.0,80,123.0
33,B1,18.75,0.25,127,123.0
34,G3,19.0,0.25,127,123.0
35,F#2,19.0,1.0,80,123.0
36,C#2,19.5,0.25,127,123.0
37,G#3,20.0,0.25,100,123.0
38,F#2,20.0,1.0,85,123.0
39,G#3,20.75,0.25,100,123.0
40,C#2,21.0,0.25,127,123.0
41,F#2,21.0,1.0,85,123.0
42,G#3,22.0,0.25,100,123.0
43,F#2,22.0,1.0,85,123.0
44,C#2,23.0,0.25,127,123.0
45,F#2,23.0,1.0,85,123.0
46,G#3,23.25,0.25,100,123.0
47,C#2,23.75,0.25,127,123.0
48,F#2,24.0,1.0,85,123.0
49,G#3,24.75,0.25,100,123.0
50,F#2,25.0,1.0,85,123.0
51,C#2,25.0,0.25,114,123.0
52,G#3,25.0,0.25,114,123.0
53,G#3,26.0,0.25,100,123.0
54,F#2,26.0,1.0,85,123.0
55,C#2,27.0,0.25,127,123.0
56,F#2,27.0,1.0,85,123.0
57,G#3,27.25,0.25,100,123.0
58,C#2,27.75,0.25,127,123.0
59,F#2,28.0,1.0,85,123.0
60,G#3,28.75,0.25,100,123.0
61,F#2,29.0,1.0,85,123.0
62,C#2,29.0,0.25,114,123.0
63,G#3,29.0,0.25,114,123.0
64,B1,29.5,0.25,127,123.0
65,G#3,30.0,0.25,100,123.0
66,F#2,30.0,1.0,85,123.0
67,C#2,31.0,0.25,127,123.0
68,F#2,31.0,1.0,85,123.0
69,G#3,31.25,0.25,100,123.0
70,G#3,31.75,0.25,114,123.0
71,C#2,31.75,0.25,114,123.0
72,F#2,32.0,1.0,85,123.0
