,note_name,start_time,duration,velocity,tempo
0,C2,8.0,224/125,112,145.0
1,C4,8.0,1.5,112,145.0
2,C3,8.0,1.5,112,145.0
3,C2,8.0,1.0,102,145.0
4,F#2,8.0,0.5,87,145.0
5,C4,9.0,99/125,112,145.0
6,G4,9.0,99/125,112,145.0
7,E-4,9.0,99/125,112,145.0
8,C4,9.0,99/125,112,145.0
9,F#2,9.0,0.25,94,145.0
10,E-2,9.0,0.25,94,145.0
11,E-4,9.083,177/250,112,145.0
12,G4,9.167,0.625,112,145.0
13,C4,9.5,167/1000,112,145.0
14,C3,9.5,167/1000,112,145.0
15,C#4,9.667,167/1000,112,145.0
16,C#3,9.667,167/1000,112,145.0
17,D4,9.833,167/1000,112,145.0
18,D3,9.833,167/1000,112,145.0
19,E-2,10.0,224/125,112,145.0
20,E-4,10.0,2.0,112,145.0
21,E-3,10.0,2.0,112,145.0
22,C2,10.0,0.25,102,145.0
23,F#2,10.0,0.5,87,145.0
24,C4,11.0,99/125,112,145.0
25,E-4,11.0,99/125,112,145.0
26,C4,11.0,99/125,112,145.0
27,G4,11.0,99/125,112,145.0
28,F#2,11.0,0.25,102,145.0
29,E-2,11.0,0.25,102,145.0
30,E-4,11.083,177/250,112,145.0
31,G4,11.167,0.625,112,145.0
32,E-2,11.667,0.25,102,145.0
33,D2,12.0,224/125,112,145.0
34,D4,12.0,1.5,112,145.0
35,D3,12.0,1.5,112,145.0
36,C2,12.0,1.0,102,145.0
37,F#2,12.0,0.5,87,145.0
38,D4,13.0,99/125,112,145.0
39,G#4,13.0,99/125,112,145.0
40,F4,13.0,99/125,112,145.0
41,D4,13.0,99/125,112,145.0
42,F#2,13.0,0.25,94,145.0
43,E-2,13.0,0.25,94,145.0
44,F4,13.083,177/250,112,145.0
45,G#4,13.167,0.625,112,145.0
46,D4,13.5,167/1000,112,145.0
47,D3,13.5,167/1000,112,145.0
48,E-4,13.667,167/1000,112,145.0
49,E-3,13.667,167/1000,112,145.0
50,E4,13.833,167/1000,112,145.0
51,E3,13.833,167/1000,112,145.0
52,F2,14.0,224/125,112,145.0
53,F4,14.0,2.0,112,145.0
54,F3,14.0,2.0,112,145.0
55,C2,14.0,0.25,102,145.0
56,F#2,14.0,0.5,87,145.0
57,D4,15.0,99/125,112,145.0
58,G#4,15.0,99/125,112,145.0
59,F4,15.0,99/125,112,145.0
60,D4,15.0,99/125,112,145.0
61,F#2,15.0,0.25,102,145.0
62,E-2,15.0,0.25,102,145.0
