,note_name,start_time,duration,velocity,tempo
0,B1,8.0,26/125,92,120.0
1,F#2,8.0,26/125,92,120.0
2,C#3,8.0,26/125,92,120.0
3,D4,8.008,123/250,105,120.0
4,F#4,8.042,67/1000,100,120.0
5,F#2,8.5,26/125,64,120.0
6,D4,8.575,17/40,103,120.0
7,F#2,8.75,26/125,74,120.0
8,D2,9.0,26/125,96,120.0
9,F#2,9.0,26/125,96,120.0
10,D4,9.0,26/125,96,120.0
11,D4,9.308,2/5,108,120.0
12,B1,9.5,26/125,89,120.0
13,F#2,9.5,26/125,89,120.0
14,B1,10.0,26/125,102,120.0
15,F#2,10.0,26/125,102,120.0
16,F#4,10.042,979/500,112,120.0
17,B1,10.5,26/125,92,120.0
18,F#2,10.5,26/125,92,120.0
19,E-4,10.5,26/125,92,120.0
20,D2,11.0,26/125,96,120.0
21,F#2,11.0,26/125,96,120.0
22,B1,11.5,26/125,96,120.0
23,F#2,11.5,26/125,96,120.0
24,E-4,11.5,26/125,96,120.0
25,F#4,12.0,101/40,112,120.0
26,B1,12.0,26/125,99,120.0
27,F#2,12.0,26/125,99,120.0
28,C#3,12.0,26/125,99,120.0
29,D2,12.5,26/125,80,120.0
30,F#2,12.5,26/125,80,120.0
31,D2,12.75,26/125,90,120.0
32,F#2,12.75,26/125,90,120.0
33,D2,13.0,26/125,102,120.0
34,F#2,13.0,26/125,102,120.0
35,D4,13.0,26/125,102,120.0
36,B1,13.5,26/125,93,120.0
37,F#2,13.5,26/125,93,120.0
38,C3,13.5,26/125,93,120.0
39,C3,13.75,26/125,100,120.0
40,B1,14.0,26/125,111,120.0
41,F#2,14.0,26/125,111,120.0
42,C3,14.0,26/125,111,120.0
43,F#2,14.5,26/125,102,120.0
44,A2,14.5,26/125,102,120.0
45,E-4,14.5,26/125,102,120.0
46,E4,14.642,1217/1000,108,120.0
47,A2,14.75,26/125,100,120.0
48,D2,15.0,26/125,107,120.0
49,F#2,15.0,26/125,107,120.0
50,A2,15.0,26/125,107,120.0
51,B1,15.5,26/125,86,120.0
52,D2,15.5,26/125,86,120.0
53,F#2,15.5,26/125,86,120.0
54,E-4,15.5,26/125,86,120.0
55,B1,16.0,1433/1000,115,120.0
56,B1,16.0,1433/1000,80,120.0
57,B2,16.0,3933/1000,84,120.0
58,B1,16.0,26/125,108,120.0
59,F#2,16.0,26/125,108,120.0
60,B3,16.05,0.5,108,120.0
61,B3,16.5,417/1000,59,120.0
62,F#2,16.5,26/125,70,120.0
63,D4,16.5,1917/1000,70,120.0
64,B3,16.5,1917/1000,70,120.0
65,A3,16.5,1917/1000,70,120.0
66,F#4,16.5,1917/1000,70,120.0
67,B3,16.692,483/1000,112,120.0
68,D4,16.75,317/1000,59,120.0
69,B-2,16.75,26/125,72,120.0
