,note_name,start_time,duration,velocity,tempo
0,D2,8.0,26/125,80,120.0
1,G2,8.05,251/125,80,120.0
2,D4,8.075,449/125,122,120.0
3,D2,8.742,26/125,30,120.0
4,B-3,8.992,267/1000,46,120.0
5,F4,8.992,267/1000,46,120.0
6,G4,9.0,317/1000,47,120.0
7,F4,9.0,317/1000,47,120.0
8,D4,9.0,317/1000,47,120.0
9,B-4,9.0,317/1000,47,120.0
10,D2,9.0,26/125,85,120.0
11,F#2,9.0,26/125,85,120.0
12,D2,9.742,26/125,90,120.0
13,D2,10.0,26/125,80,120.0
14,D2,10.083,1917/1000,72,120.0
15,G4,10.7,367/1000,45,120.0
16,F4,10.7,367/1000,45,120.0
17,D4,10.7,367/1000,45,120.0
18,B-4,10.7,367/1000,45,120.0
19,D2,10.742,26/125,20,120.0
20,F4,11.0,267/1000,59,120.0
21,B-3,11.0,267/1000,59,120.0
22,D2,11.0,26/125,90,120.0
23,F#2,11.0,26/125,90,120.0
24,D2,11.742,26/125,70,120.0
25,G3,11.75,0.25,122,120.0
26,C2,12.0,83/40,73,120.0
27,G3,12.0,1279/500,122,120.0
28,D2,12.0,26/125,80,120.0
29,D2,12.717,26/125,20,120.0
30,B-3,12.992,267/1000,46,120.0
31,E-4,12.992,267/1000,46,120.0
32,E-4,13.0,317/1000,46,120.0
33,C4,13.0,317/1000,46,120.0
34,B-3,13.0,317/1000,46,120.0
35,G4,13.0,317/1000,46,120.0
36,D2,13.0,26/125,85,120.0
37,F#2,13.0,26/125,85,120.0
38,D2,13.717,26/125,90,120.0
39,G2,14.0,1667/1000,76,120.0
40,D2,14.0,26/125,80,120.0
41,D2,14.717,26/125,20,120.0
42,E-4,15.0,367/1000,49,120.0
43,C4,15.0,367/1000,49,120.0
44,B-3,15.0,367/1000,49,120.0
45,G4,15.0,367/1000,49,120.0
46,E-4,15.0,267/1000,59,120.0
47,B-3,15.0,267/1000,59,120.0
48,D2,15.0,26/125,80,120.0
49,F#2,15.0,26/125,80,120.0
50,C#2,15.0,26/125,80,120.0
51,A3,15.05,533/1000,118,120.0
52,C2,15.667,183/1000,73,120.0
53,D2,15.717,26/125,70,120.0
54,G2,16.0,2017/1000,77,120.0
55,D2,16.0,26/125,80,120.0
56,B-3,16.075,1917/1000,120,120.0
57,D2,16.742,26/125,30,120.0
58,B-3,16.992,267/1000,46,120.0
59,F4,16.992,267/1000,46,120.0
60,F4,17.0,73/250,55,120.0
61,D4,17.0,73/250,55,120.0
62,B-3,17.0,73/250,55,120.0
63,G4,17.0,73/250,55,120.0
64,D2,17.0,26/125,85,120.0
65,F#2,17.0,26/125,85,120.0
66,D2,17.742,26/125,90,120.0
67,D2,18.0,33/20,73,120.0
68,D2,18.0,26/125,80,120.0
69,A3,18.042,379/500,102,120.0
70,D2,18.742,26/125,20,120.0
71,B-3,18.825,3/10,102,120.0
72,F4,19.0,3/10,46,120.0
73,D4,19.0,3/10,46,120.0
74,B-3,19.0,3/10,46,120.0
75,G4,19.0,3/10,46,120.0
76,F4,19.0,267/1000,59,120.0
77,B-3,19.0,267/1000,59,120.0
78,D2,19.0,26/125,90,120.0
79,F#2,19.0,26/125,90,120.0
80,B-1,19.667,333/1000,73,120.0
81,D2,19.742,26/125,70,120.0
82,E4,19.792,26/125,125,120.0
83,C2,20.0,829/500,77,120.0
84,E4,20.0,2883/1000,125,120.0
85,D2,20.0,26/125,80,120.0
86,E4,20.675,171/500,50,120.0
87,D4,20.675,171/500,50,120.0
88,B-3,20.675,171/500,50,120.0
89,G4,20.675,171/500,50,120.0
90,D2,20.717,26/125,30,120.0
91,B-3,20.992,267/1000,46,120.0
92,E4,20.992,267/1000,46,120.0
93,D2,21.0,26/125,85,120.0
94,F#2,21.0,26/125,85,120.0
95,G2,21.667,13/20,70,120.0
96,D2,21.717,26/125,90,120.0
97,D2,22.0,26/125,80,120.0
98,G2,22.667,1333/1000,75,120.0
99,D2,22.717,26/125,20,120.0
100,E4,22.742,333/1000,49,120.0
101,D4,22.742,333/1000,49,120.0
102,B-3,22.742,333/1000,49,120.0
103,G4,22.742,333/1000,49,120.0
104,E4,23.0,267/1000,59,120.0
105,B-3,23.0,267/1000,59,120.0
106,D2,23.0,26/125,80,120.0
107,F#2,23.0,26/125,80,120.0
108,C#2,23.0,26/125,80,120.0
109,D4,23.1,229/500,111,120.0
110,D2,23.717,26/125,70,120.0
111,F2,24.0,83/40,73,120.0
112,D2,24.0,26/125,80,120.0
113,C4,24.075,81/40,125,120.0
114,D2,24.742,26/125,30,120.0
115,A3,24.992,267/1000,46,120.0
116,E4,24.992,267/1000,46,120.0
117,G4,25.0,317/1000,47,120.0
118,E4,25.0,317/1000,47,120.0
119,C4,25.0,317/1000,47,120.0
120,A4,25.0,317/1000,47,120.0
121,D2,25.0,26/125,85,120.0
122,F#2,25.0,26/125,85,120.0
123,D2,25.742,26/125,90,120.0
124,C3,26.0,1667/1000,76,120.0
125,D2,26.0,26/125,80,120.0
126,B3,26.083,0.625,120,120.0
127,G4,26.7,367/1000,45,120.0
128,E4,26.7,367/1000,45,120.0
129,C4,26.7,367/1000,45,120.0
130,A4,26.7,367/1000,45,120.0
131,D2,26.742,26/125,20,120.0
132,E4,27.0,267/1000,59,120.0
133,A3,27.0,267/1000,59,120.0
134,D2,27.0,26/125,90,120.0
135,F#2,27.0,26/125,90,120.0
136,C4,27.008,74/125,109,120.0
137,F2,27.667,183/1000,73,120.0
138,D2,27.742,26/125,70,120.0
139,B-1,28.0,17/10,71,120.0
140,D2,28.0,26/125,80,120.0
141,G4,28.067,583/1000,118,120.0
142,A4,28.675,171/500,50,120.0
143,F4,28.675,171/500,50,120.0
144,D4,28.675,171/500,50,120.0
145,C5,28.675,171/500,50,120.0
146,D2,28.717,26/125,30,120.0
147,A3,28.992,267/1000,46,120.0
148,D4,28.992,267/1000,46,120.0
149,D2,29.0,26/125,85,120.0
150,F#2,29.0,26/125,85,120.0
151,F#4,29.017,633/1000,113,120.0
152,D2,29.717,26/125,90,120.0
153,F4,29.75,174/125,120,120.0
154,B-1,30.0,2.0,77,120.0
155,D2,30.0,26/125,80,120.0
156,D2,30.717,26/125,20,120.0
157,A4,30.742,333/1000,49,120.0
158,F4,30.742,333/1000,49,120.0
159,D4,30.742,333/1000,49,120.0
160,C5,30.742,333/1000,49,120.0
161,D4,31.0,267/1000,59,120.0
162,A3,31.0,267/1000,59,120.0
163,D2,31.0,26/125,80,120.0
164,F#2,31.0,26/125,80,120.0
165,C#2,31.0,26/125,80,120.0
166,E4,31.075,567/1000,127,120.0
167,D2,31.717,26/125,70,120.0
168,A1,32.0,2033/1000,79,120.0
169,D2,32.0,26/125,80,120.0
170,D4,32.075,87/40,118,120.0
171,D2,32.717,26/125,30,120.0
172,G4,32.733,217/1000,45,120.0
173,E4,32.733,217/1000,45,120.0
174,C4,32.733,217/1000,45,120.0
