,note_name,start_time,duration,velocity,tempo
0,C2,8.0,477/250,64,82.0
1,E4,8.0,4.0,55,82.0
2,C2,8.0,3667/1000,48,82.0
3,E4,8.0,483/1000,52,82.0
4,E5,8.0,3.0,91,82.0
5,B1,8.0,1/125,55,82.0
6,F#2,8.0,1/125,55,82.0
7,F2,8.0,4.0,94,82.0
8,C3,8.0,4.0,94,82.0
9,G4,8.242,51/125,72,82.0
10,E3,8.333,1.0,48,82.0
11,F#2,8.333,1/125,30,82.0
12,D3,8.5,0.5,91,82.0
13,G3,8.667,667/1000,48,82.0
14,F#2,8.667,1/125,30,82.0
15,C4,9.0,667/1000,67,82.0
16,A3,9.0,0.5,94,82.0
17,F#2,9.0,1/125,60,82.0
18,C#2,9.0,1/125,60,82.0
19,E4,9.225,111/40,36,82.0
20,G3,9.333,667/1000,45,82.0
21,F#2,9.333,1/125,30,82.0
22,C4,9.5,0.5,90,82.0
23,E3,9.667,667/1000,50,82.0
24,B1,9.667,1/125,30,82.0
25,F#2,9.667,1/125,30,82.0
26,C2,10.0,201/125,64,82.0
27,C4,10.0,667/1000,68,82.0
28,E4,10.0,2.0,94,82.0
29,B1,10.0,1/125,55,82.0
30,F#2,10.0,1/125,55,82.0
31,G3,10.333,667/1000,51,82.0
32,F#2,10.333,1/125,30,82.0
33,G4,10.6,271/500,49,82.0
34,E3,10.667,667/1000,57,82.0
35,F#2,10.667,1/125,30,82.0
36,C4,11.0,1.0,63,82.0
37,E5,11.0,0.25,88,82.0
38,F#2,11.0,1/125,60,82.0
39,C#2,11.0,1/125,60,82.0
40,C5,11.25,0.25,83,82.0
41,G3,11.333,667/1000,39,82.0
42,F#2,11.333,1/125,30,82.0
43,A4,11.5,0.25,85,82.0
44,G4,11.533,467/1000,45,82.0
45,G2,11.667,333/1000,70,82.0
46,E3,11.667,333/1000,54,82.0
47,F#2,11.667,1/125,30,82.0
48,F4,11.75,0.25,86,82.0
49,C2,12.0,1833/1000,75,82.0
50,E3,12.0,1/125,54,82.0
51,E4,12.0,2.875,36,82.0
52,D5,12.0,3.0,91,82.0
53,E4,12.0,79/20,54,82.0
54,C2,12.0,79/20,54,82.0
55,B1,12.0,1/125,55,82.0
56,F#2,12.0,1/125,55,82.0
57,E2,12.0,4.0,94,82.0
58,B2,12.0,4.0,94,82.0
59,E3,12.333,1.0,48,82.0
60,F#2,12.333,1/125,30,82.0
61,E3,12.5,0.5,89,82.0
62,G3,12.667,667/1000,45,82.0
63,F#2,12.667,1/125,30,82.0
64,C4,13.0,667/1000,62,82.0
65,G3,13.0,0.5,94,82.0
66,F#2,13.0,1/125,60,82.0
67,C#2,13.0,1/125,60,82.0
68,G3,13.333,667/1000,45,82.0
69,F#2,13.333,1/125,30,82.0
70,B3,13.5,0.5,91,82.0
71,E3,13.667,667/1000,51,82.0
72,B1,13.667,1/125,30,82.0
73,F#2,13.667,1/125,30,82.0
74,C2,14.0,1667/1000,74,82.0
75,C4,14.0,667/1000,66,82.0
76,D4,14.0,2.0,93,82.0
77,B1,14.0,1/125,55,82.0
78,F#2,14.0,1/125,55,82.0
79,G3,14.333,667/1000,48,82.0
80,F#2,14.333,1/125,30,82.0
81,E3,14.667,667/1000,47,82.0
82,F#2,14.667,1/125,30,82.0
83,F4,14.858,571/500,38,82.0
84,C4,15.0,1.0,60,82.0
85,D5,15.0,0.25,91,82.0
86,F#2,15.0,1/125,60,82.0
87,C#2,15.0,1/125,60,82.0
88,B4,15.25,0.25,82,82.0
89,G3,15.333,667/1000,34,82.0
90,F#2,15.333,1/125,30,82.0
91,G4,15.5,0.25,84,82.0
92,G2,15.667,77/250,73,82.0
93,E3,15.667,333/1000,54,82.0
94,B-2,15.667,1/125,40,82.0
95,E4,15.75,0.25,84,82.0
96,C2,16.0,477/250,64,82.0
97,C2,16.0,1533/1000,53,82.0
98,E4,16.0,483/1000,52,82.0
99,C5,16.0,1.0,91,82.0
100,B1,16.0,1/125,55,82.0
101,F#2,16.0,1/125,55,82.0
102,D2,16.0,2.0,94,82.0
103,A2,16.0,2.0,94,82.0
104,G4,16.242,51/125,72,82.0
105,E3,16.333,667/1000,53,82.0
106,F#2,16.333,1/125,30,82.0
107,D3,16.5,0.5,91,82.0
108,G3,16.667,179/500,53,82.0
109,F#2,16.667,1/125,30,82.0
110,C4,17.0,533/1000,53,82.0
111,C5,17.0,0.25,89,82.0
112,F3,17.0,0.5,94,82.0
113,F#2,17.0,1/125,60,82.0
114,C#2,17.0,1/125,60,82.0
115,E4,17.225,111/40,36,82.0
116,A4,17.25,0.25,82,82.0
117,G3,17.333,667/1000,52,82.0
118,F#2,17.333,1/125,30,82.0
119,F4,17.5,0.25,85,82.0
120,A3,17.5,0.5,90,82.0
121,E3,17.667,333/1000,53,82.0
122,B1,17.667,1/125,30,82.0
123,F#2,17.667,1/125,30,82.0
124,D4,17.75,0.25,88,82.0
125,C2,18.0,201/125,64,82.0
126,C3,18.0,2.0,53,82.0
127,B4,18.0,1.0,89,82.0
128,B1,18.0,1/125,55,82.0
129,F#2,18.0,1/125,55,82.0
130,C2,18.0,2.0,93,82.0
131,G2,18.0,2.0,93,82.0
132,E3,18.333,683/1000,53,82.0
133,F#2,18.333,1/125,30,82.0
134,C3,18.5,0.5,90,82.0
135,G4,18.6,271/500,49,82.0
136,G3,18.667,7/20,53,82.0
137,F#2,18.667,1/125,30,82.0
138,B4,19.0,0.25,88,82.0
139,E3,19.0,0.5,93,82.0
140,F#2,19.0,1/125,60,82.0
141,C#2,19.0,1/125,60,82.0
142,C4,19.017,13/20,53,82.0
143,G4,19.25,0.25,83,82.0
144,G3,19.333,333/1000,49,82.0
145,F#2,19.333,1/125,30,82.0
146,E4,19.5,0.25,85,82.0
147,G3,19.5,0.5,90,82.0
148,G4,19.533,467/1000,45,82.0
149,G2,19.667,333/1000,70,82.0
150,E3,19.667,333/1000,53,82.0
151,B-2,19.667,1/125,40,82.0
152,C4,19.75,0.25,86,82.0
153,C2,20.0,477/250,64,82.0
