,note_name,start_time,duration,velocity,tempo
0,A3,5.875,2.125,91,97.0
1,F4,5.875,2.125,91,97.0
2,D4,5.875,2.125,91,97.0
3,D3,5.875,2.125,91,97.0
4,A3,6.417,771/1000,89,97.0
5,A3,6.448,771/1000,69,97.0
6,D4,6.917,69/125,95,97.0
7,D4,6.948,271/500,75,97.0
8,A3,7.427,479/1000,71,97.0
9,A3,7.448,479/1000,51,97.0
10,E4,7.917,83/1000,86,97.0
11,E4,7.948,13/250,66,97.0
12,E4,8.0,0.406,86,97.0
13,E4,8.0,0.438,66,97.0
14,A3,8.0,427/500,91,97.0
15,F4,8.0,427/500,91,97.0
16,D4,8.0,427/500,91,97.0
17,D3,8.0,427/500,91,97.0
18,A3,8.417,49/100,65,97.0
19,A3,8.448,49/100,45,97.0
20,D4,8.927,479/1000,95,97.0
21,D4,8.948,49/100,75,97.0
22,A3,9.427,979/1000,69,97.0
23,A3,9.448,99/100,49,97.0
24,C4,9.875,2.125,91,97.0
25,E4,9.875,2.125,91,97.0
26,G3,9.875,2.125,91,97.0
27,C3,9.875,2.125,91,97.0
28,A3,10.417,49/100,92,97.0
29,A3,10.448,49/100,72,97.0
30,D4,10.927,479/1000,104,97.0
31,D4,10.948,479/1000,84,97.0
32,A3,11.417,49/100,86,97.0
33,A3,11.448,49/100,66,97.0
34,E4,11.917,83/1000,101,97.0
35,E4,11.948,13/250,81,97.0
36,E4,12.0,0.406,101,97.0
37,E4,12.0,0.438,81,97.0
38,C4,12.0,573/500,91,97.0
39,E4,12.0,573/500,91,97.0
40,G3,12.0,573/500,91,97.0
41,C3,12.0,573/500,91,97.0
42,A3,12.427,479/1000,86,97.0
43,A3,12.448,49/100,66,97.0
44,D4,12.927,479/1000,104,97.0
45,D4,12.948,49/100,84,97.0
46,A3,13.417,99/100,89,97.0
47,A3,13.448,99/100,69,97.0
48,B-3,13.875,2.125,91,97.0
49,D4,13.875,2.125,91,97.0
50,F3,13.875,237/125,91,97.0
51,B-2,13.875,237/125,91,97.0
52,A3,14.427,479/1000,92,97.0
53,A3,14.448,49/100,72,97.0
54,D4,14.927,479/1000,101,97.0
55,D4,14.948,49/100,81,97.0
56,A3,15.417,49/100,71,97.0
57,A3,15.448,49/100,51,97.0
58,G3,15.875,0.125,91,97.0
59,G2,15.875,0.125,91,97.0
60,E4,15.917,83/1000,83,97.0
61,E4,15.948,13/250,63,97.0
62,B-3,16.0,1.906,91,97.0
63,D4,16.0,444/125,91,97.0
64,E4,16.0,0.406,83,97.0
65,E4,16.0,0.438,63,97.0
66,G3,16.0,1.406,91,97.0
67,G2,16.0,1.406,91,97.0
68,A3,16.427,479/1000,71,97.0
69,A3,16.448,479/1000,51,97.0
70,F4,16.917,49/100,81,97.0
71,F4,16.948,49/100,61,97.0
72,A3,17.427,479/1000,77,97.0
73,A3,17.448,49/100,57,97.0
74,B-2,17.875,823/500,90,97.0
75,A4,17.927,479/1000,104,97.0
76,A4,17.948,49/100,84,97.0
77,B-3,18.125,401/250,90,97.0
78,F3,18.375,0.75,90,97.0
79,A3,18.427,479/1000,80,97.0
80,A3,18.448,49/100,60,97.0
