,note_name,start_time,duration,velocity,tempo
0,G#3,2.5,124/125,100,120.0
1,C4,2.5,124/125,100,120.0
2,E-4,2.5,124/125,100,120.0
3,G#3,2.5,124/125,100,120.0
4,C4,2.5,124/125,100,120.0
5,E-4,2.5,124/125,100,120.0
6,E-4,3.5,0.5,100,120.0
7,C4,3.5,0.5,100,120.0
8,G#3,3.5,0.5,100,120.0
9,G#3,3.5,0.5,100,120.0
10,C4,3.5,0.5,100,120.0
11,E-4,3.5,0.5,100,120.0
12,G#1,4.0,2.0,100,120.0
13,E-4,4.0,373/250,100,120.0
14,C4,4.0,373/250,100,120.0
15,G#3,4.0,373/250,100,120.0
16,G#3,4.0,373/250,100,120.0
17,C4,4.0,373/250,100,120.0
18,E-4,4.0,373/250,100,120.0
19,F#2,4.0,117/1000,100,120.0
20,B1,4.0,117/1000,100,120.0
21,F#2,4.5,117/1000,100,120.0
22,D2,5.0,117/1000,87,120.0
23,F#2,5.0,117/1000,87,120.0
24,E-2,5.0,117/1000,87,120.0
25,B-3,5.5,123/250,100,120.0
26,G#3,5.5,123/250,100,120.0
27,E-4,5.5,123/250,100,120.0
28,B-3,5.5,123/250,100,120.0
29,G#3,5.5,123/250,100,120.0
30,E-4,5.5,123/250,100,120.0
31,F#2,5.5,117/1000,100,120.0
32,B1,5.5,117/1000,100,120.0
33,G#1,6.0,1.5,100,120.0
34,G#3,6.0,373/250,100,120.0
35,B-3,6.0,373/250,100,120.0
36,E-4,6.0,373/250,100,120.0
37,G#3,6.0,373/250,100,120.0
38,B-3,6.0,373/250,100,120.0
39,E-4,6.0,373/250,100,120.0
40,F#2,6.0,117/1000,100,120.0
41,B1,6.0,117/1000,100,120.0
42,F#2,6.5,117/1000,100,120.0
43,D2,7.0,117/1000,87,120.0
44,F#2,7.0,117/1000,87,120.0
45,E-2,7.0,117/1000,87,120.0
46,G#1,7.5,0.5,100,120.0
47,G#3,7.5,123/250,100,120.0
48,C4,7.5,123/250,100,120.0
49,E-4,7.5,123/250,100,120.0
50,G#3,7.5,123/250,100,120.0
51,C4,7.5,123/250,100,120.0
52,E-4,7.5,123/250,100,120.0
53,F#2,7.5,117/1000,100,120.0
54,B1,7.5,117/1000,100,120.0
55,G#1,8.0,1.5,100,120.0
56,E-4,8.0,373/250,100,120.0
57,C4,8.0,373/250,100,120.0
58,G#3,8.0,373/250,100,120.0
59,E-4,8.0,373/250,100,120.0
60,C4,8.0,373/250,100,120.0
61,G#3,8.0,373/250,100,120.0
62,F#2,8.0,117/1000,100,120.0
63,B1,8.0,117/1000,100,120.0
64,F#2,8.5,117/1000,100,120.0
65,D2,9.0,117/1000,87,120.0
66,F#2,9.0,117/1000,87,120.0
67,E-2,9.0,117/1000,87,120.0
68,G#1,9.5,0.5,100,120.0
69,G#3,9.5,123/250,100,120.0
70,B-3,9.5,123/250,100,120.0
71,E-4,9.5,123/250,100,120.0
72,G#3,9.5,123/250,100,120.0
73,B-3,9.5,123/250,100,120.0
74,E-4,9.5,123/250,100,120.0
75,F#2,9.5,117/1000,100,120.0
76,B1,9.5,117/1000,100,120.0
77,G#1,10.0,1.5,100,120.0
78,G#3,10.0,373/250,100,120.0
79,B-3,10.0,373/250,100,120.0
80,E-4,10.0,373/250,100,120.0
81,G#3,10.0,373/250,100,120.0
82,B-3,10.0,373/250,100,120.0
83,E-4,10.0,373/250,100,120.0
84,F#2,10.0,117/1000,100,120.0
85,B1,10.0,117/1000,100,120.0
86,F#2,10.5,117/1000,100,120.0
87,D2,11.0,117/1000,87,120.0
88,F#2,11.0,117/1000,87,120.0
89,E-2,11.0,117/1000,87,120.0
90,B-1,11.5,0.5,100,120.0
91,G#3,11.5,123/250,100,120.0
92,C#4,11.5,123/250,100,120.0
93,E-4,11.5,123/250,100,120.0
94,G#3,11.5,123/250,100,120.0
95,C#4,11.5,123/250,100,120.0
96,E-4,11.5,123/250,100,120.0
97,F#2,11.5,117/1000,100,120.0
98,B1,11.5,117/1000,100,120.0
99,B-1,12.0,1.5,100,120.0
100,G#3,12.0,373/250,100,120.0
101,C#4,12.0,373/250,100,120.0
102,E-4,12.0,373/250,100,120.0
103,G#3,12.0,373/250,100,120.0
104,C#4,12.0,373/250,100,120.0
105,E-4,12.0,373/250,100,120.0
106,F#2,12.0,117/1000,100,120.0
107,B1,12.0,117/1000,100,120.0
108,F#2,12.5,117/1000,100,120.0
109,D2,13.0,117/1000,87,120.0
110,F#2,13.0,117/1000,87,120.0
111,E-2,13.0,117/1000,87,120.0
112,B-1,13.5,0.5,100,120.0
113,G#3,13.5,123/250,100,120.0
114,C4,13.5,123/250,100,120.0
115,E-4,13.5,123/250,100,120.0
116,G#3,13.5,123/250,100,120.0
117,C4,13.5,123/250,100,120.0
118,E-4,13.5,123/250,100,120.0
119,F#2,13.5,117/1000,100,120.0
120,B1,13.5,117/1000,100,120.0
121,B-1,14.0,1.5,100,120.0
122,E-4,14.0,373/250,100,120.0
123,C4,14.0,373/250,100,120.0
124,G#3,14.0,373/250,100,120.0
125,E-4,14.0,373/250,100,120.0
126,C4,14.0,373/250,100,120.0
127,G#3,14.0,373/250,100,120.0
128,F#2,14.0,117/1000,100,120.0
129,B1,14.0,117/1000,100,120.0
130,F#2,14.5,117/1000,100,120.0
131,D2,15.0,117/1000,87,120.0
132,F#2,15.0,117/1000,87,120.0
133,E-2,15.0,117/1000,87,120.0
134,F2,15.5,0.5,100,120.0
135,B-3,15.5,123/250,100,120.0
136,G3,15.5,123/250,100,120.0
137,E-4,15.5,123/250,100,120.0
138,B-3,15.5,123/250,100,120.0
139,G3,15.5,123/250,100,120.0
140,E-4,15.5,123/250,100,120.0
141,F#2,15.5,117/1000,100,120.0
142,B1,15.5,117/1000,100,120.0
143,F2,16.0,1.5,100,120.0
144,G3,16.0,373/250,100,120.0
145,B-3,16.0,373/250,100,120.0
146,E-4,16.0,373/250,100,120.0
147,G3,16.0,373/250,100,120.0
148,B-3,16.0,373/250,100,120.0
149,E-4,16.0,373/250,100,120.0
150,F#2,16.0,117/1000,100,120.0
151,B1,16.0,117/1000,100,120.0
152,F#2,16.5,117/1000,100,120.0
153,D2,17.0,117/1000,87,120.0
154,F#2,17.0,117/1000,87,120.0
155,E-2,17.0,117/1000,87,120.0
156,E-2,17.5,0.5,100,120.0
157,G#3,17.5,123/250,100,120.0
158,F3,17.5,123/250,100,120.0
159,E-4,17.5,123/250,100,120.0
160,G#3,17.5,123/250,100,120.0
161,F3,17.5,123/250,100,120.0
162,E-4,17.5,123/250,100,120.0
163,F#2,17.5,117/1000,100,120.0
164,B1,17.5,117/1000,100,120.0
165,E-2,18.0,1.5,100,120.0
166,E-4,18.0,373/250,100,120.0
167,G#3,18.0,373/250,100,120.0
168,F3,18.0,373/250,100,120.0
169,E-4,18.0,373/250,100,120.0
170,G#3,18.0,373/250,100,120.0
171,F3,18.0,373/250,100,120.0
172,F#2,18.0,117/1000,100,120.0
173,B1,18.0,117/1000,100,120.0
174,F#2,18.5,117/1000,100,120.0
175,D2,19.0,117/1000,87,120.0
176,F#2,19.0,117/1000,87,120.0
177,E-2,19.0,117/1000,87,120.0
178,C#2,19.5,0.5,100,120.0
179,E-3,19.5,123/250,100,120.0
180,G3,19.5,123/250,100,120.0
181,B-3,19.5,123/250,100,120.0
182,E-4,19.5,123/250,100,120.0
183,E-3,19.5,123/250,100,120.0
184,G3,19.5,123/250,100,120.0
185,B-3,19.5,123/250,100,120.0
186,E-4,19.5,123/250,100,120.0
