,note_name,start_time,duration,velocity,tempo
0,F#2,0.0,0.25,111,105.0
1,F#2,0.25,0.25,63,105.0
2,F#2,0.5,0.25,63,105.0
3,F#2,0.75,0.25,63,105.0
4,F#2,1.0,0.25,111,105.0
5,F#2,1.25,0.25,63,105.0
6,F#2,1.5,0.25,63,105.0
7,F#2,1.75,0.25,63,105.0
8,F#2,2.0,0.25,111,105.0
9,F#2,2.25,0.25,63,105.0
10,F#2,2.5,0.25,63,105.0
11,F#2,2.75,0.25,63,105.0
12,F#2,3.0,0.25,111,105.0
13,F#2,3.25,0.25,63,105.0
14,F#2,3.5,0.25,63,105.0
15,F#2,3.75,0.25,63,105.0
16,F#2,4.0,0.25,111,105.0
17,F#2,4.25,0.25,63,105.0
18,F#2,4.5,0.25,63,105.0
19,F#2,4.75,0.25,63,105.0
20,F#2,5.0,0.25,111,105.0
21,F#2,5.25,0.25,63,105.0
22,F#2,5.5,0.25,63,105.0
23,F#2,5.75,0.25,63,105.0
24,F#2,6.0,0.25,111,105.0
25,F#2,6.25,0.25,63,105.0
26,F#2,6.5,0.25,63,105.0
27,F#2,6.75,0.25,63,105.0
28,F#2,7.0,0.25,111,105.0
29,F#2,7.25,0.25,63,105.0
30,F#2,7.5,0.25,63,105.0
31,F#2,7.75,0.25,63,105.0
32,F#2,8.0,0.25,111,105.0
33,F#2,8.25,0.25,63,105.0
34,F#2,8.5,0.25,63,105.0
35,F#2,8.75,0.25,63,105.0
36,F#2,9.0,0.25,111,105.0
37,F#2,9.25,0.25,63,105.0
38,F#2,9.5,0.25,63,105.0
39,F#2,9.75,0.25,63,105.0
40,F#2,10.0,0.25,111,105.0
41,F#2,10.25,0.25,63,105.0
42,F#2,10.5,0.25,63,105.0
43,F#2,10.75,0.25,63,105.0
44,F#2,11.0,0.25,111,105.0
45,F#2,11.25,0.25,63,105.0
46,F#2,11.5,0.25,63,105.0
47,F#2,11.75,0.25,63,105.0
48,F#2,12.0,0.25,111,105.0
49,F#2,12.25,0.25,63,105.0
50,F#2,12.5,0.25,63,105.0
51,F#2,12.75,0.25,63,105.0
