,note_name,start_time,duration,velocity,tempo
0,E5,0.0,0.5,95,150.0
1,F#5,0.5,0.5,95,150.0
2,D5,1.0,0.5,95,150.0
3,B4,1.5,0.5,95,150.0
4,C#5,2.5,0.5,95,150.0
5,A4,3.0,0.5,95,150.0
6,E4,4.0,0.5,95,150.0
7,F#4,4.5,0.5,95,150.0
8,D4,5.0,0.5,95,150.0
9,B3,5.5,0.5,95,150.0
10,C#4,6.5,0.5,95,150.0
11,A3,7.0,0.5,95,150.0
12,E3,8.0,0.5,95,150.0
13,F#3,8.5,0.5,95,150.0
14,D3,9.0,0.5,95,150.0
15,B2,9.5,1.0,95,150.0
16,C#3,10.5,0.5,95,150.0
17,B2,11.0,0.5,95,150.0
18,B-2,11.5,0.5,95,150.0
19,A2,12.0,1.0,95,150.0
20,G3,14.0,1.0,95,150.0
21,C#4,14.125,0.875,95,150.0
22,F#4,14.25,0.75,95,150.0
23,A4,14.375,0.625,95,150.0
24,E3,16.0,0.5,95,150.0
25,C#3,16.0,0.5,95,150.0
26,F3,16.5,0.5,95,150.0
27,F#3,17.0,0.5,95,150.0
28,D2,17.0,0.5,95,150.0
29,D4,17.5,0.5,95,150.0
30,F#3,18.5,0.5,95,150.0
31,D4,19.0,0.5,95,150.0
32,D2,19.0,0.5,95,150.0
33,F#3,19.5,0.5,95,150.0
34,D4,20.0,0.5,95,150.0
35,F#3,20.5,0.5,95,150.0
36,D4,21.0,1.0,95,150.0
37,G2,21.0,1.0,95,150.0
38,G3,22.0,1.0,95,150.0
39,D3,22.0,1.0,95,150.0
40,F#2,23.0,0.5,95,150.0
41,D4,23.5,0.5,95,150.0
42,F#3,23.5,0.5,95,150.0
43,E4,24.0,0.5,95,150.0
44,G3,24.0,0.5,95,150.0
45,F4,24.5,0.5,95,150.0
46,G#3,24.5,0.5,95,150.0
47,F#4,25.0,0.5,95,150.0
48,A3,25.0,0.5,95,150.0
49,A2,25.0,0.5,95,150.0
50,D4,25.5,0.5,95,150.0
51,F#3,25.5,0.5,95,150.0
52,E4,26.0,0.5,95,150.0
53,G3,26.0,0.5,95,150.0
54,F#4,26.5,0.5,95,150.0
55,A3,26.5,0.5,95,150.0
56,A2,27.0,0.5,95,150.0
57,C#4,27.5,0.5,95,150.0
58,E3,27.5,0.5,95,150.0
59,E4,28.0,1.0,95,150.0
60,G3,28.0,1.0,95,150.0
61,D2,29.0,0.969,95,150.0
62,F#3,29.0,0.969,95,150.0
63,D4,29.062,0.938,95,150.0
64,A2,30.0,1.0,95,150.0
65,B2,31.0,1.0,95,150.0
66,C#3,32.0,1.0,95,150.0
67,F#3,33.0,0.5,95,150.0
68,D2,33.0,2.0,95,150.0
69,D4,33.5,0.5,95,150.0
70,F#3,34.0,0.5,95,150.0
71,F#3,34.5,0.5,95,150.0
