,note_name,start_time,duration,velocity,tempo
0,F#3,0.0,121/500,127,95.0
1,B1,0.0,124/125,127,95.0
2,F#2,0.0,123/250,75,95.0
3,F#3,0.283,121/500,54,95.0
4,E-4,0.45,7/40,76,95.0
5,F#3,0.475,121/500,79,95.0
6,F#2,0.5,123/250,85,95.0
7,F#3,0.742,121/500,57,95.0
8,F#3,1.0,121/500,113,95.0
9,E2,1.0,123/250,113,95.0
10,F#2,1.0,123/250,85,95.0
11,F#3,1.3,121/500,47,95.0
12,F#3,1.483,121/500,69,95.0
13,F#2,1.5,123/250,77,95.0
14,F#3,1.792,121/500,103,95.0
15,B1,1.792,371/500,103,95.0
16,E2,1.792,121/500,103,95.0
17,F#2,2.0,123/250,87,95.0
18,F#3,2.008,121/500,113,95.0
19,F#3,2.292,121/500,54,95.0
20,E2,2.292,121/500,54,95.0
21,E-4,2.5,7/40,80,95.0
22,F#3,2.5,121/500,71,95.0
23,B1,2.5,124/125,71,95.0
24,F#2,2.5,123/250,99,95.0
25,F#3,2.75,121/500,74,95.0
26,F#2,3.0,123/250,103,95.0
27,F#3,3.025,121/500,106,95.0
28,E2,3.025,123/250,106,95.0
29,D4,3.308,217/1000,64,95.0
30,F#3,3.308,121/500,56,95.0
31,E4,3.492,1/5,48,95.0
32,F#3,3.492,121/500,72,95.0
33,B1,3.492,123/250,72,95.0
34,B-2,3.5,123/250,89,95.0
35,F#3,3.8,1/5,77,95.0
36,E4,3.842,79/500,64,95.0
37,F#3,4.0,21/500,77,95.0
38,F#2,4.0,123/250,75,95.0
39,F#3,4.008,121/500,124,95.0
40,B1,4.008,124/125,124,95.0
41,F#3,4.3,121/500,48,95.0
42,F#3,4.492,121/500,65,95.0
43,F#2,4.5,123/250,81,95.0
44,E-4,4.517,24/125,68,95.0
45,F#3,4.75,121/500,64,95.0
46,F#2,5.0,123/250,69,95.0
47,F#3,5.017,121/500,115,95.0
48,E2,5.017,123/250,115,95.0
49,F#3,5.308,121/500,47,95.0
50,F#3,5.5,121/500,77,95.0
51,F#2,5.5,123/250,69,95.0
52,F#3,5.808,121/500,100,95.0
53,B1,5.808,371/500,100,95.0
54,E2,5.808,121/500,100,95.0
55,F#2,6.0,123/250,85,95.0
56,F#3,6.008,121/500,104,95.0
57,F#3,6.3,121/500,53,95.0
58,E2,6.3,121/500,53,95.0
59,F#2,6.5,123/250,107,95.0
60,F#3,6.508,121/500,76,95.0
61,B1,6.508,371/500,76,95.0
62,E-4,6.517,233/1000,72,95.0
63,F#3,6.758,121/500,73,95.0
64,F#2,7.0,123/250,119,95.0
65,F#3,7.008,121/500,125,95.0
66,E2,7.008,123/250,125,95.0
67,F#3,7.333,121/500,50,95.0
68,B1,7.333,667/1000,50,95.0
69,D4,7.417,233/1000,84,95.0
70,B-2,7.5,123/250,99,95.0
71,F#3,7.508,121/500,68,95.0
72,E-4,7.558,1/20,42,95.0
73,E4,7.567,217/1000,58,95.0
74,F#3,7.825,7/40,62,95.0
75,E4,7.883,117/1000,48,95.0
76,E4,8.0,0.125,48,95.0
77,F#3,8.0,121/500,127,95.0
78,F#3,8.0,67/1000,62,95.0
79,B1,8.0,124/125,127,95.0
80,B1,8.0,3/40,50,95.0
81,F#2,8.0,123/250,107,95.0
82,F#3,8.283,121/500,54,95.0
83,F#3,8.475,121/500,79,95.0
84,E-4,8.483,24/125,54,95.0
85,F#2,8.5,123/250,89,95.0
86,F#3,8.742,121/500,57,95.0
87,F#3,9.0,121/500,113,95.0
88,E2,9.0,123/250,113,95.0
89,F#2,9.0,123/250,89,95.0
90,F#3,9.3,121/500,47,95.0
91,F#3,9.483,121/500,69,95.0
92,F#2,9.5,123/250,81,95.0
93,F#3,9.792,121/500,103,95.0
94,B1,9.792,371/500,103,95.0
95,E2,9.792,121/500,103,95.0
96,F#2,10.0,123/250,77,95.0
97,F#3,10.008,121/500,113,95.0
98,F#3,10.292,121/500,54,95.0
99,E2,10.292,121/500,54,95.0
100,F#3,10.5,121/500,71,95.0
101,B1,10.5,371/500,71,95.0
102,F#2,10.5,123/250,107,95.0
103,E-4,10.558,267/1000,60,95.0
104,F#3,10.75,121/500,74,95.0
105,F#2,11.0,123/250,111,95.0
106,F#3,11.025,121/500,106,95.0
107,E2,11.025,123/250,106,95.0
108,F#3,11.308,121/500,56,95.0
109,B1,11.308,173/250,56,95.0
110,D4,11.367,9/40,42,95.0
111,F#3,11.492,121/500,72,95.0
112,B-2,11.5,123/250,75,95.0
113,E4,11.517,9/40,50,95.0
114,F#3,11.8,1/5,77,95.0
115,E4,11.858,71/500,54,95.0
116,E4,12.0,83/1000,54,95.0
117,F#3,12.0,21/500,77,95.0
118,B1,12.0,1/20,56,95.0
119,F#2,12.0,123/250,103,95.0
120,F#3,12.008,121/500,124,95.0
121,B1,12.008,124/125,124,95.0
122,F#3,12.3,121/500,48,95.0
123,F#3,12.492,121/500,65,95.0
124,E-4,12.5,283/1000,54,95.0
125,F#2,12.5,123/250,79,95.0
126,F#3,12.75,121/500,64,95.0
127,F#2,13.0,123/250,77,95.0
128,F#3,13.017,121/500,115,95.0
129,E2,13.017,123/250,115,95.0
130,F#3,13.308,121/500,47,95.0
131,F#3,13.5,121/500,77,95.0
132,F#2,13.5,123/250,77,95.0
133,F#3,13.808,121/500,100,95.0
134,B1,13.808,371/500,100,95.0
135,E2,13.808,121/500,100,95.0
136,F#2,14.0,123/250,87,95.0
137,F#3,14.008,121/500,104,95.0
138,F#3,14.3,121/500,53,95.0
139,E2,14.3,121/500,53,95.0
140,F#2,14.5,123/250,77,95.0
141,F#3,14.508,121/500,76,95.0
142,B1,14.508,371/500,76,95.0
143,E-4,14.525,121/500,58,95.0
144,F#3,14.758,121/500,73,95.0
145,F#2,15.0,123/250,111,95.0
146,F#3,15.008,121/500,125,95.0
147,E2,15.008,123/250,125,95.0
148,F#3,15.333,121/500,50,95.0
149,B1,15.333,667/1000,50,95.0
150,D4,15.342,26/125,60,95.0
151,B-2,15.5,123/250,87,95.0
152,F#3,15.508,121/500,68,95.0
153,E4,15.525,26/125,54,95.0
154,B-1,15.75,121/500,93,95.0
155,F#3,15.825,7/40,62,95.0
156,E4,15.85,3/20,52,95.0
157,E4,16.0,33/1000,52,95.0
158,F#3,16.0,121/500,127,95.0
159,F#3,16.0,67/1000,62,95.0
160,B1,16.0,124/125,127,95.0
161,B1,16.0,3/40,50,95.0
162,C#3,16.0,123/250,85,95.0
163,E-2,16.0,124/125,65,95.0
164,B-3,16.0,4.0,62,95.0
165,C4,16.0,4.0,62,95.0
166,G3,16.0,4.0,62,95.0
167,F#3,16.283,121/500,54,95.0
168,E-4,16.475,217/1000,56,95.0
169,F#3,16.475,121/500,79,95.0
170,F#2,16.5,123/250,99,95.0
171,F#3,16.742,121/500,57,95.0
172,F#3,17.0,121/500,113,95.0
173,E2,17.0,124/125,113,95.0
174,F#2,17.0,123/250,93,95.0
175,G2,17.0,124/125,83,95.0
176,E-3,17.05,7/40,96,95.0
177,B-3,17.05,7/40,96,95.0
178,F#3,17.3,121/500,47,95.0
179,F#3,17.483,121/500,69,95.0
180,F#2,17.5,123/250,81,95.0
181,F#3,17.792,121/500,103,95.0
182,B1,17.792,371/500,103,95.0
183,E-3,17.983,76/125,101,95.0
184,B-3,17.983,76/125,101,95.0
185,F#2,18.0,123/250,93,95.0
186,B-2,18.0,371/500,77,95.0
187,F#3,18.008,121/500,113,95.0
188,F#3,18.292,121/500,54,95.0
189,E-4,18.483,7/40,80,95.0
190,F#3,18.5,121/500,71,95.0
191,B1,18.5,371/500,71,95.0
192,F#2,18.5,123/250,99,95.0
193,F#3,18.75,121/500,74,95.0
194,E-2,18.75,123/250,73,95.0
195,E-3,18.808,133/1000,94,95.0
196,B-3,18.808,133/1000,94,95.0
197,F#2,19.0,123/250,107,95.0
198,F#3,19.025,121/500,106,95.0
199,E2,19.025,39/40,106,95.0
200,B-2,19.25,121/500,46,95.0
201,D4,19.292,217/1000,58,95.0
202,F#3,19.308,121/500,56,95.0
203,B1,19.308,173/250,56,95.0
204,E4,19.467,26/125,72,95.0
205,F#3,19.492,121/500,72,95.0
206,F#2,19.5,121/500,95,95.0
207,A2,19.5,123/250,83,95.0
208,F#2,19.75,121/500,99,95.0
209,F#3,19.8,1/5,77,95.0
210,E4,19.808,24/125,60,95.0
211,E4,20.0,17/1000,60,95.0
212,F#3,20.0,21/500,77,95.0
213,B1,20.0,1/20,56,95.0
214,E2,20.0,17/1000,106,95.0
215,F#2,20.0,123/250,75,95.0
216,G#2,20.0,124/125,83,95.0
217,F#3,20.008,121/500,124,95.0
218,B1,20.008,124/125,124,95.0
219,F#3,20.3,121/500,48,95.0
220,E-4,20.467,7/40,72,95.0
221,F#3,20.492,121/500,65,95.0
222,F#2,20.5,123/250,85,95.0
223,F#3,20.75,121/500,64,95.0
224,F#2,21.0,123/250,85,95.0
225,C2,21.0,124/125,77,95.0
226,E-3,21.0,79/500,87,95.0
227,B-3,21.0,79/500,87,95.0
228,F#3,21.017,121/500,115,95.0
229,E2,21.017,124/125,115,95.0
230,F#3,21.308,121/500,47,95.0
231,F#3,21.5,121/500,77,95.0
232,F#2,21.5,123/250,77,95.0
233,F#3,21.808,121/500,100,95.0
234,B1,21.808,371/500,100,95.0
235,F#2,22.0,123/250,87,95.0
236,F2,22.0,371/500,85,95.0
237,F#3,22.008,121/500,104,95.0
238,E-3,22.017,229/500,93,95.0
239,B-3,22.017,229/500,93,95.0
240,F#3,22.3,121/500,53,95.0
241,E-4,22.5,79/500,80,95.0
242,F#2,22.5,123/250,99,95.0
243,F#3,22.508,121/500,76,95.0
244,B1,22.508,124/125,76,95.0
245,E-2,22.75,123/250,69,95.0
246,F#3,22.758,121/500,73,95.0
247,E-3,22.767,71/500,91,95.0
248,B-3,22.767,71/500,91,95.0
249,F#2,23.0,123/250,103,95.0
250,F#3,23.008,121/500,125,95.0
251,E2,23.008,124/125,125,95.0
252,C2,23.25,121/500,73,95.0
253,D4,23.325,183/1000,46,95.0
254,F#3,23.333,121/500,50,95.0
255,C4,23.45,133/1000,42,95.0
256,E4,23.475,1/5,64,95.0
257,B-2,23.5,123/250,89,95.0
258,B-1,23.5,123/250,83,95.0
259,F#3,23.508,121/500,68,95.0
260,B1,23.508,123/250,68,95.0
261,E-3,23.775,3/20,92,95.0
262,B-3,23.775,3/20,92,95.0
263,E4,23.808,24/125,68,95.0
264,F#3,23.825,7/40,62,95.0
265,E4,24.0,1/125,68,95.0
266,F#3,24.0,121/500,127,95.0
267,F#3,24.0,67/1000,62,95.0
268,B1,24.0,124/125,127,95.0
269,F#2,24.0,123/250,75,95.0
270,E-2,24.0,123/250,93,95.0
271,F#3,24.283,121/500,54,95.0
272,F#3,24.475,121/500,79,95.0
273,E-4,24.492,167/1000,76,95.0
274,F#2,24.5,123/250,81,95.0
275,E-2,24.5,123/250,89,95.0
276,F#3,24.742,121/500,57,95.0
277,F#3,25.0,121/500,113,95.0
278,E2,25.0,124/125,113,95.0
279,F#2,25.0,123/250,69,95.0
280,G2,25.0,124/125,91,95.0
281,B-3,25.0,117/1000,83,95.0
282,E-3,25.0,117/1000,83,95.0
283,F#3,25.3,121/500,47,95.0
284,F#3,25.483,121/500,69,95.0
285,F#2,25.5,123/250,69,95.0
286,F#3,25.792,121/500,103,95.0
287,B1,25.792,371/500,103,95.0
288,B-3,25.992,279/500,96,95.0
289,E-3,25.992,279/500,96,95.0
290,F#2,26.0,123/250,85,95.0
291,B-2,26.0,371/500,89,95.0
292,F#3,26.008,121/500,113,95.0
293,F#3,26.292,121/500,54,95.0
294,E-4,26.492,167/1000,84,95.0
295,F#3,26.5,121/500,71,95.0
296,B1,26.5,371/500,71,95.0
297,F#2,26.5,123/250,107,95.0
298,F#3,26.75,121/500,74,95.0
299,E-2,26.75,123/250,85,95.0
300,E-3,26.8,1/10,80,95.0
301,B-3,26.8,1/10,80,95.0
302,F4,26.992,4.0,85,95.0
303,B-3,26.992,4.0,62,95.0
304,C4,26.992,4.0,62,95.0
305,G3,26.992,4.0,62,95.0
306,F#2,27.0,123/250,119,95.0
307,F#3,27.025,121/500,106,95.0
308,E2,27.025,39/40,106,95.0
309,B-2,27.25,121/500,77,95.0
310,D4,27.292,217/1000,50,95.0
311,F#3,27.308,121/500,56,95.0
312,B1,27.308,173/250,56,95.0
313,E4,27.45,26/125,72,95.0
314,F#3,27.492,121/500,72,95.0
315,B-2,27.5,123/250,99,95.0
316,A2,27.5,123/250,81,95.0
317,E4,27.8,24/125,72,95.0
318,F#3,27.8,1/5,77,95.0
319,F#3,28.0,21/500,77,95.0
320,B1,28.0,1/20,56,95.0
321,E2,28.0,17/1000,106,95.0
322,F#2,28.0,123/250,107,95.0
323,G#2,28.0,124/125,99,95.0
324,F#3,28.008,121/500,124,95.0
325,B1,28.008,124/125,124,95.0
326,F#3,28.3,121/500,48,95.0
327,E-4,28.492,24/125,72,95.0
328,F#3,28.492,121/500,65,95.0
329,F#2,28.5,123/250,89,95.0
330,F#3,28.75,121/500,64,95.0
331,E-3,28.992,3/20,88,95.0
332,B-3,28.992,3/20,88,95.0
333,F#2,29.0,123/250,89,95.0
334,C2,29.0,124/125,81,95.0
335,F#3,29.017,121/500,115,95.0
336,E2,29.017,124/125,115,95.0
337,F#3,29.308,121/500,47,95.0
338,F#3,29.5,121/500,77,95.0
339,F#2,29.5,123/250,81,95.0
340,F#3,29.808,121/500,100,95.0
341,B1,29.808,371/500,100,95.0
342,F#2,30.0,123/250,77,95.0
343,F2,30.0,371/500,99,95.0
344,F#3,30.008,121/500,104,95.0
345,E-3,30.008,517/1000,101,95.0
346,B-3,30.008,517/1000,101,95.0
347,F#3,30.3,121/500,53,95.0
348,E-4,30.483,3/20,88,95.0
349,F#2,30.5,123/250,107,95.0
350,F#3,30.508,121/500,76,95.0
351,B1,30.508,371/500,76,95.0
352,E-2,30.75,121/500,73,95.0
353,F#3,30.758,121/500,73,95.0
354,E-3,30.775,0.125,104,95.0
355,B-3,30.775,0.125,104,95.0
356,F4,30.992,374/125,85,95.0
357,B-3,30.992,374/125,62,95.0
358,C4,30.992,374/125,62,95.0
359,G3,30.992,374/125,62,95.0
360,F#2,31.0,123/250,111,95.0
361,G2,31.0,121/500,75,95.0
362,F#3,31.008,121/500,125,95.0
363,E2,31.008,124/125,125,95.0
364,E-2,31.25,121/500,79,95.0
365,D4,31.308,24/125,68,95.0
366,F#3,31.333,121/500,50,95.0
367,B1,31.333,667/1000,50,95.0
368,E4,31.475,183/1000,84,95.0
369,B-2,31.5,123/250,75,95.0
370,G2,31.5,123/250,95,95.0
371,C4,31.5,26/125,68,95.0
372,E-3,31.5,26/125,68,95.0
373,F#3,31.508,121/500,68,95.0
374,E4,31.817,7/40,76,95.0
375,F#3,31.825,7/40,62,95.0
376,E-3,31.858,133/1000,107,95.0
377,B-3,31.858,133/1000,107,95.0
378,F#3,32.0,121/500,127,95.0
379,F#3,32.0,67/1000,62,95.0
380,B1,32.0,124/125,127,95.0
381,B1,32.0,3/40,50,95.0
382,F#2,32.0,123/250,103,95.0
383,E-2,32.0,124/125,81,95.0
384,D4,32.008,349/125,95,95.0
385,F#3,32.283,121/500,54,95.0
386,F#3,32.475,121/500,79,95.0
387,F#2,32.5,123/250,79,95.0
388,E-4,32.508,183/1000,88,95.0
389,F#3,32.742,121/500,57,95.0
390,F#3,33.0,121/500,113,95.0
391,E2,33.0,124/125,113,95.0
392,F#2,33.0,123/250,77,95.0
393,G2,33.0,124/125,93,95.0
394,E-3,33.017,23/250,106,95.0
395,B-3,33.017,23/250,106,95.0
396,F#3,33.3,121/500,47,95.0
397,F#3,33.483,121/500,69,95.0
398,F#2,33.5,123/250,77,95.0
399,F#3,33.792,121/500,103,95.0
400,B1,33.792,371/500,103,95.0
401,C4,33.992,1.0,77,95.0
402,E-3,33.992,533/1000,108,95.0
403,B-3,33.992,533/1000,108,95.0
404,F4,33.992,1.0,78,95.0
405,B-4,33.992,1.0,78,95.0
406,B-3,33.992,1.0,78,95.0
407,F#2,34.0,123/250,87,95.0
408,B-2,34.0,371/500,79,95.0
409,F#3,34.008,121/500,113,95.0
410,F#3,34.292,121/500,54,95.0
411,F#3,34.5,121/500,71,95.0
412,B1,34.5,371/500,71,95.0
413,F#2,34.5,123/250,77,95.0
414,E-4,34.517,71/500,84,95.0
415,F#3,34.75,121/500,74,95.0
416,E-2,34.75,371/500,85,95.0
