,note_name,start_time,duration,velocity,tempo
0,A3,0.0,0.25,95,155.0
1,A3,0.0,0.25,95,155.0
2,B-3,0.25,0.25,95,155.0
3,B-3,0.25,0.25,95,155.0
4,B3,0.5,0.25,95,155.0
5,B3,0.5,0.25,95,155.0
6,C4,0.75,0.25,95,155.0
7,C4,0.75,0.25,95,155.0
8,C#4,1.0,0.25,95,155.0
9,C#4,1.0,0.25,95,155.0
10,D4,1.25,0.25,95,155.0
11,D4,1.25,0.25,95,155.0
12,E-4,1.5,0.25,95,155.0
13,E-4,1.5,0.25,95,155.0
14,E4,1.75,0.25,95,155.0
15,E4,1.75,0.25,95,155.0
16,F4,2.0,0.25,95,155.0
17,F4,2.0,0.25,95,155.0
18,F#4,2.25,0.25,95,155.0
19,F#4,2.25,0.25,95,155.0
20,G4,2.5,0.25,95,155.0
21,G4,2.5,0.25,95,155.0
22,G#4,2.75,0.25,95,155.0
23,G#4,2.75,0.25,95,155.0
24,A4,3.0,0.25,95,155.0
25,A4,3.0,0.25,95,155.0
26,B-4,3.25,0.25,95,155.0
27,B-4,3.25,0.25,95,155.0
28,B4,3.5,0.25,95,155.0
29,B4,3.5,0.25,95,155.0
30,C5,3.75,0.25,95,155.0
31,C5,3.75,0.25,95,155.0
32,C#5,4.0,0.25,95,155.0
33,C#5,4.0,0.25,95,155.0
34,D5,4.25,0.25,95,155.0
35,D5,4.25,0.25,95,155.0
36,E-5,4.5,0.25,95,155.0
37,E-5,4.5,0.25,95,155.0
38,E5,4.75,0.25,95,155.0
39,E5,4.75,0.25,95,155.0
40,F5,5.0,0.25,95,155.0
41,F5,5.0,0.25,95,155.0
42,E5,5.25,0.25,95,155.0
43,E5,5.25,0.25,95,155.0
44,E-5,5.5,0.25,95,155.0
45,E-5,5.5,0.25,95,155.0
46,D5,5.75,0.25,95,155.0
47,D5,5.75,0.25,95,155.0
48,C#5,6.0,0.25,95,155.0
49,C#5,6.0,0.25,95,155.0
50,C5,6.25,0.25,95,155.0
51,C5,6.25,0.25,95,155.0
52,B4,6.5,0.25,95,155.0
53,B4,6.5,0.25,95,155.0
54,B-4,6.75,0.25,95,155.0
55,B-4,6.75,0.25,95,155.0
56,A4,7.0,0.25,95,155.0
57,A4,7.0,0.25,95,155.0
58,G#4,7.25,0.25,95,155.0
59,G#4,7.25,0.25,95,155.0
60,B4,7.5,0.25,95,155.0
61,B4,7.5,0.25,95,155.0
62,A4,7.75,0.25,95,155.0
63,A4,7.75,0.25,95,155.0
64,G#4,8.0,0.25,95,155.0
65,G#4,8.0,0.25,95,155.0
66,G4,8.25,0.25,95,155.0
67,G4,8.25,0.25,95,155.0
68,F#4,8.5,0.25,95,155.0
69,F#4,8.5,0.25,95,155.0
70,F4,8.75,0.25,95,155.0
71,F4,8.75,0.25,95,155.0
72,E4,9.0,0.25,95,155.0
73,E4,9.0,0.25,95,155.0
74,E-4,9.25,0.25,95,155.0
75,E-4,9.25,0.25,95,155.0
76,F4,9.5,0.25,95,155.0
77,F4,9.5,0.25,95,155.0
78,E4,9.75,0.25,95,155.0
79,E4,9.75,0.25,95,155.0
80,E-4,10.0,0.25,95,155.0
81,E-4,10.0,0.25,95,155.0
82,D4,10.25,0.25,95,155.0
83,D4,10.25,0.25,95,155.0
84,C#4,10.5,0.25,95,155.0
85,C#4,10.5,0.25,95,155.0
86,C4,10.75,0.25,95,155.0
87,C4,10.75,0.25,95,155.0
88,B3,11.0,0.25,95,155.0
89,B3,11.0,0.25,95,155.0
90,C4,11.25,0.25,95,155.0
91,C4,11.25,0.25,95,155.0
92,D4,11.5,0.25,95,155.0
93,D4,11.5,0.25,95,155.0
94,C4,11.75,0.25,95,155.0
95,C4,11.75,0.25,95,155.0
96,B3,12.0,0.25,95,155.0
97,B3,12.0,0.25,95,155.0
98,C4,12.25,0.25,95,155.0
99,C4,12.25,0.25,95,155.0
100,B3,12.5,0.25,95,155.0
101,B3,12.5,0.25,95,155.0
102,C4,12.75,0.25,95,155.0
103,C4,12.75,0.25,95,155.0
104,B3,13.0,0.25,95,155.0
105,B3,13.0,0.25,95,155.0
106,C4,13.25,0.25,95,155.0
107,C4,13.25,0.25,95,155.0
108,B3,13.5,0.25,95,155.0
109,B3,13.5,0.25,95,155.0
110,C4,13.75,0.25,95,155.0
111,C4,13.75,0.25,95,155.0
112,B3,14.0,0.25,95,155.0
113,B3,14.0,0.25,95,155.0
114,E4,14.25,0.25,95,155.0
115,E4,14.25,0.25,95,155.0
116,E-4,14.5,0.25,95,155.0
117,E-4,14.5,0.25,95,155.0
118,D4,14.75,0.25,95,155.0
119,D4,14.75,0.25,95,155.0
120,C#4,15.0,0.25,95,155.0
121,C#4,15.0,0.25,95,155.0
122,C4,15.25,0.25,95,155.0
123,C4,15.25,0.25,95,155.0
124,B3,15.5,0.25,95,155.0
125,B3,15.5,0.25,95,155.0
126,B-3,15.75,0.25,95,155.0
127,B-3,15.75,0.25,95,155.0
128,A3,16.0,0.25,95,155.0
129,A3,16.0,0.25,95,155.0
130,B-3,16.25,0.25,95,155.0
131,B-3,16.25,0.25,95,155.0
132,B3,16.5,0.25,95,155.0
133,B3,16.5,0.25,95,155.0
134,C4,16.75,0.25,95,155.0
135,C4,16.75,0.25,95,155.0
136,C#4,17.0,0.25,95,155.0
137,C#4,17.0,0.25,95,155.0
138,D4,17.25,0.25,95,155.0
139,D4,17.25,0.25,95,155.0
140,E-4,17.5,0.25,95,155.0
141,E-4,17.5,0.25,95,155.0
142,E4,17.75,0.25,95,155.0
143,E4,17.75,0.25,95,155.0
144,F4,18.0,0.25,95,155.0
145,F4,18.0,0.25,95,155.0
146,F#4,18.25,0.25,95,155.0
147,F#4,18.25,0.25,95,155.0
148,G4,18.5,0.25,95,155.0
149,G4,18.5,0.25,95,155.0
150,G#4,18.75,0.25,95,155.0
151,G#4,18.75,0.25,95,155.0
152,A4,19.0,0.25,95,155.0
153,A4,19.0,0.25,95,155.0
154,B-4,19.25,0.25,95,155.0
155,B-4,19.25,0.25,95,155.0
156,B4,19.5,0.25,95,155.0
157,B4,19.5,0.25,95,155.0
158,C5,19.75,0.25,95,155.0
159,C5,19.75,0.25,95,155.0
160,C#5,20.0,0.25,95,155.0
161,C#5,20.0,0.25,95,155.0
162,D5,20.25,0.25,95,155.0
163,D5,20.25,0.25,95,155.0
164,E-5,20.5,0.25,95,155.0
165,E-5,20.5,0.25,95,155.0
166,E5,20.75,0.25,95,155.0
167,E5,20.75,0.25,95,155.0
168,F5,21.0,0.25,95,155.0
169,F5,21.0,0.25,95,155.0
170,E5,21.25,0.25,95,155.0
171,E5,21.25,0.25,95,155.0
172,E-5,21.5,0.25,95,155.0
173,E-5,21.5,0.25,95,155.0
174,D5,21.75,0.25,95,155.0
175,D5,21.75,0.25,95,155.0
176,C#5,22.0,0.25,95,155.0
177,C#5,22.0,0.25,95,155.0
178,C5,22.25,0.25,95,155.0
179,C5,22.25,0.25,95,155.0
180,B4,22.5,0.25,95,155.0
181,B4,22.5,0.25,95,155.0
182,B-4,22.75,0.25,95,155.0
183,B-4,22.75,0.25,95,155.0
184,A4,23.0,0.25,95,155.0
185,A4,23.0,0.25,95,155.0
186,G#4,23.25,0.25,95,155.0
187,G#4,23.25,0.25,95,155.0
188,B4,23.5,0.25,95,155.0
189,B4,23.5,0.25,95,155.0
190,A4,23.75,0.25,95,155.0
191,A4,23.75,0.25,95,155.0
192,G4,24.0,0.25,95,155.0
193,G4,24.0,0.25,95,155.0
194,G#4,24.25,0.25,95,155.0
195,G#4,24.25,0.25,95,155.0
196,A4,24.5,0.25,95,155.0
197,A4,24.5,0.25,95,155.0
198,B-4,24.75,0.25,95,155.0
199,B-4,24.75,0.25,95,155.0
200,B4,25.0,0.25,95,155.0
201,B4,25.0,0.25,95,155.0
202,C5,25.25,0.25,95,155.0
203,C5,25.25,0.25,95,155.0
204,B4,25.5,0.25,95,155.0
205,B4,25.5,0.25,95,155.0
206,B-4,25.75,0.25,95,155.0
207,B-4,25.75,0.25,95,155.0
208,A4,26.0,0.25,95,155.0
209,A4,26.0,0.25,95,155.0
210,G#4,26.25,0.25,95,155.0
211,G#4,26.25,0.25,95,155.0
212,G4,26.5,0.25,95,155.0
213,G4,26.5,0.25,95,155.0
214,F#4,26.75,0.25,95,155.0
215,F#4,26.75,0.25,95,155.0
216,F4,27.0,0.25,95,155.0
217,F4,27.0,0.25,95,155.0
218,F#4,27.25,0.25,95,155.0
219,F#4,27.25,0.25,95,155.0
220,G4,27.5,0.25,95,155.0
221,G4,27.5,0.25,95,155.0
222,F#4,27.75,0.25,95,155.0
223,F#4,27.75,0.25,95,155.0
224,E4,28.0,0.25,95,155.0
225,E4,28.0,0.25,95,155.0
226,F4,28.25,0.25,95,155.0
227,F4,28.25,0.25,95,155.0
228,E-4,28.5,0.25,95,155.0
229,E-4,28.5,0.25,95,155.0
230,E4,28.75,0.25,95,155.0
231,E4,28.75,0.25,95,155.0
232,D4,29.0,0.25,95,155.0
233,D4,29.0,0.25,95,155.0
234,E4,29.25,0.25,95,155.0
235,E4,29.25,0.25,95,155.0
236,C#4,29.5,0.25,95,155.0
237,C#4,29.5,0.25,95,155.0
238,D4,29.75,0.25,95,155.0
239,D4,29.75,0.25,95,155.0
240,C4,30.0,0.25,95,155.0
241,C4,30.0,0.25,95,155.0
242,D4,30.25,0.25,95,155.0
243,D4,30.25,0.25,95,155.0
244,B3,30.5,0.25,95,155.0
245,B3,30.5,0.25,95,155.0
