,note_name,start_time,duration,velocity,tempo
0,D6,0.0,0.5,95,93.6
1,F5,0.0,0.5,95,93.6
2,B-4,0.0,0.5,95,93.6
3,D6,0.5,0.5,95,93.6
4,F5,0.5,0.5,95,93.6
5,B-4,0.5,0.5,95,93.6
6,B-4,1.0,0.5,95,93.6
7,D6,1.0,0.5,95,93.6
8,F5,1.0,0.5,95,93.6
9,D5,1.5,1.0,95,93.6
10,G4,1.5,2.5,95,93.6
11,B-5,1.5,2.5,95,93.6
12,E-5,2.5,1.5,85,93.6
13,C4,4.0,0.5,95,93.6
14,E-5,4.0,0.5,95,93.6
15,C6,4.0,0.5,95,93.6
16,E-5,4.5,0.5,95,93.6
17,C4,4.5,0.5,95,93.6
18,C6,4.5,0.5,95,93.6
19,A5,5.0,0.25,95,93.6
20,F4,5.0,1.0,95,93.6
21,C5,5.0,1.0,95,93.6
22,A4,5.0,1.0,95,93.6
23,D6,5.25,0.25,95,93.6
24,C6,5.5,0.25,95,93.6
25,B-5,5.75,2.25,90,93.6
26,E-4,6.0,2.0,85,93.6
27,E-5,6.0,2.0,85,93.6
28,G#3,6.0,2.0,85,93.6
29,G5,7.0,1.0,80,93.6
30,B-5,9.0,1.0,90,93.6
31,G5,9.0,1.0,80,93.6
32,E-4,9.0,1.0,85,93.6
33,E-5,9.0,1.0,85,93.6
34,G#3,9.0,1.0,85,93.6
35,C6,10.0,1.0,95,93.6
36,B-4,10.0,1.0,95,93.6
37,B-5,11.0,1.0,95,93.6
38,C5,11.0,1.0,95,93.6
39,G#4,12.0,1.0,95,93.6
40,G5,12.0,1.0,95,93.6
41,F5,13.0,1.0,95,93.6
42,G4,13.0,1.0,95,93.6
43,E-5,14.0,1.0,95,93.6
44,F4,14.0,1.0,95,93.6
45,G3,15.0,2.0,86,93.6
46,B-4,15.0,1.0,95,93.6
47,F4,15.0,1.0,95,93.6
48,D5,15.0,1.0,95,93.6
49,D5,16.0,1.0,95,93.6
50,F4,16.0,1.0,95,93.6
51,B-4,16.0,1.0,95,93.6
52,B-4,17.0,1.0,95,93.6
53,G3,17.0,1.0,86,93.6
54,D4,18.0,3.0,93,93.6
55,B-4,18.0,3.0,93,93.6
56,F4,18.0,3.0,93,93.6
57,F3,18.0,3.0,93,93.6
58,E-3,21.0,2.0,86,93.6
59,C5,21.0,1.0,95,93.6
60,G4,21.0,1.0,95,93.6
61,C5,22.0,1.0,95,93.6
62,F4,22.0,1.0,95,93.6
63,B-3,23.0,2.0,86,93.6
64,A4,23.0,0.5,95,93.6
65,C4,23.0,0.5,95,93.6
66,F4,23.0,0.5,95,93.6
67,D5,23.5,0.5,95,93.6
68,C5,24.0,0.5,95,93.6
69,B-4,24.5,0.5,95,93.6
70,B-3,25.0,4.0,86,93.6
71,B-4,25.0,1.0,95,93.6
72,E-4,25.0,2.0,95,93.6
73,G4,26.0,1.0,95,93.6
74,G4,27.5,0.5,95,93.6
75,F4,28.0,0.5,95,93.6
76,E-4,28.5,0.5,95,93.6
77,D4,29.0,0.5,95,93.6
78,E-3,29.0,2.0,77,93.6
79,F4,29.0,2.0,77,93.6
80,G4,29.0,2.0,77,93.6
81,B-3,29.0,2.0,77,93.6
82,D4,29.0,2.0,77,93.6
83,F3,29.0,1.0,95,93.6
84,B-3,29.0,1.0,95,93.6
85,E-4,29.5,0.5,95,93.6
86,D4,30.0,0.5,95,93.6
87,B-3,30.0,1.0,95,93.6
88,F3,30.0,1.0,95,93.6
89,C4,30.5,0.5,95,93.6
90,B-3,31.0,0.5,95,93.6
91,D3,31.0,249/125,84,93.6
92,B-3,31.0,249/125,84,93.6
93,F3,31.0,249/125,84,93.6
94,E-4,31.0,249/125,84,93.6
95,F3,31.0,249/125,84,93.6
96,B-3,31.0,249/125,84,93.6
97,F4,31.5,0.5,95,93.6
98,G4,32.0,0.5,95,93.6
99,B-4,32.5,0.5,95,93.6
100,G4,33.0,0.5,95,93.6
101,C5,33.0,0.5,95,93.6
102,F4,33.0,2.0,78,93.6
103,C4,33.0,2.0,78,93.6
104,E-4,33.0,2.0,78,93.6
105,E-2,33.0,2.0,78,93.6
106,B-4,33.5,0.5,95,93.6
107,F4,33.5,0.5,95,93.6
