,note_name,start_time,duration,velocity,tempo
0,D5,5.0,0.5,94,124.0
1,A4,5.0,0.5,94,124.0
2,D5,5.0,0.5,68,124.0
3,A4,5.0,0.5,68,124.0
4,D3,5.0,0.5,68,124.0
5,A4,6.0,0.5,94,124.0
6,D5,6.0,0.5,94,124.0
7,A2,6.0,253/500,68,124.0
8,D5,6.0,253/500,68,124.0
9,A4,6.0,253/500,68,124.0
10,B4,6.5,0.5,107,124.0
11,B4,6.5,0.5,63,124.0
12,B2,6.5,0.5,63,124.0
13,A4,7.5,0.5,94,124.0
14,D5,7.5,0.5,94,124.0
15,D5,7.5,0.5,68,124.0
16,D3,7.5,0.5,68,124.0
17,A4,7.5,0.5,68,124.0
18,A4,8.5,0.5,94,124.0
19,D5,8.5,0.5,94,124.0
20,D5,8.5,0.5,68,124.0
21,A4,8.5,0.5,68,124.0
22,G2,8.5,0.5,68,124.0
23,B4,9.0,0.5,107,124.0
24,B4,9.0,0.5,73,124.0
25,A2,9.0,0.5,73,124.0
26,B4,10.0,399/1000,77,124.0
27,B4,10.0,0.5,94,124.0
28,F#4,10.0,0.5,94,124.0
29,B2,10.0,0.5,63,124.0
30,F#4,10.0,0.5,63,124.0
31,F#4,11.0,569/1000,77,124.0
32,F#4,11.0,0.5,94,124.0
33,B4,11.0,0.5,94,124.0
34,B4,11.0,0.5,63,124.0
35,F#2,11.0,0.5,63,124.0
36,A4,11.5,0.5,107,124.0
37,A4,11.5,0.5,73,124.0
38,A2,11.5,0.5,73,124.0
39,F#4,12.5,0.5,94,124.0
40,B4,12.5,0.5,94,124.0
41,F#4,12.5,0.5,68,124.0
42,F#3,12.5,0.5,68,124.0
43,B4,12.5,0.5,68,124.0
44,B4,13.5,257/500,94,124.0
45,F#4,13.5,257/500,94,124.0
46,F#4,13.5,0.5,68,124.0
47,B4,13.5,0.5,68,124.0
48,D3,13.5,0.5,68,124.0
49,A4,14.0,0.5,107,124.0
50,A4,14.0,0.5,73,124.0
51,A2,14.0,0.5,73,124.0
52,D5,15.0,0.5,94,124.0
53,A4,15.0,0.5,94,124.0
54,A4,15.0,0.5,68,124.0
55,D5,15.0,0.5,68,124.0
56,D3,15.0,0.5,68,124.0
57,A4,16.0,0.5,94,124.0
58,D5,16.0,0.5,94,124.0
59,A2,16.0,253/500,68,124.0
60,D5,16.0,253/500,68,124.0
61,A4,16.0,253/500,68,124.0
62,B4,16.5,0.5,80,124.0
63,B2,16.5,0.5,63,124.0
64,B4,16.5,0.5,63,124.0
65,A4,17.5,0.5,94,124.0
66,D5,17.5,0.5,94,124.0
67,D3,17.5,0.5,68,124.0
68,A4,17.5,0.5,68,124.0
69,D5,17.5,0.5,68,124.0
70,A4,18.5,0.5,94,124.0
71,D5,18.5,0.5,94,124.0
72,D5,18.5,0.5,68,124.0
73,A4,18.5,0.5,68,124.0
74,A2,18.5,0.5,68,124.0
75,B4,19.0,0.5,107,124.0
76,F#2,19.0,0.5,73,124.0
77,B4,19.0,0.5,73,124.0
78,F#4,20.0,0.5,80,124.0
79,B4,20.0,399/1000,107,124.0
