,note_name,start_time,duration,velocity,tempo
0,E3,0.0,0.25,127,140.0
1,E3,0.25,0.25,127,140.0
2,D3,0.5,0.25,127,140.0
3,C#3,0.75,0.25,127,140.0
4,B2,1.0,0.25,127,140.0
5,A2,1.25,0.25,127,140.0
6,G#2,1.5,0.25,127,140.0
7,E2,1.75,0.25,102,140.0
8,E3,2.0,0.25,127,140.0
9,E3,2.25,0.25,127,140.0
10,D3,2.5,0.25,127,140.0
11,C#3,2.75,0.25,127,140.0
12,B2,3.0,0.25,127,140.0
13,A2,3.25,0.25,127,140.0
14,G#2,3.5,0.25,127,140.0
15,E2,3.75,0.25,102,140.0
16,E3,4.0,0.25,127,140.0
17,E3,4.25,0.25,127,140.0
18,D3,4.5,0.25,127,140.0
19,C#3,4.75,0.25,127,140.0
20,B2,5.0,0.25,127,140.0
21,A2,5.25,0.25,127,140.0
22,G#2,5.5,0.25,127,140.0
23,E2,5.75,0.25,102,140.0
24,E3,6.0,0.25,127,140.0
25,E3,6.25,0.25,127,140.0
26,D3,6.5,0.25,127,140.0
27,C#3,6.75,0.25,127,140.0
28,B2,7.0,0.25,127,140.0
29,A2,7.25,0.25,127,140.0
30,G#2,7.5,0.25,127,140.0
31,E2,7.75,0.25,102,140.0
32,E3,8.0,0.25,127,140.0
33,E4,8.25,73/1000,95,140.0
34,E3,8.25,0.25,127,140.0
35,B3,8.5,73/1000,95,140.0
36,D3,8.5,0.25,127,140.0
37,C#3,8.75,0.25,127,140.0
38,G3,8.833,73/1000,95,140.0
39,B2,9.0,0.25,127,140.0
40,B3,9.25,73/1000,95,140.0
41,A2,9.25,0.25,127,140.0
42,G#2,9.5,0.25,127,140.0
43,G3,9.75,73/1000,95,140.0
44,E2,9.75,0.25,102,140.0
45,B3,10.0,73/1000,95,140.0
46,E3,10.0,0.25,127,140.0
47,E3,10.25,0.25,127,140.0
48,G3,10.5,73/1000,95,140.0
49,D3,10.5,0.25,127,140.0
50,C#3,10.75,0.25,127,140.0
51,E4,11.0,73/1000,95,140.0
52,B2,11.0,0.25,127,140.0
53,A2,11.25,0.25,127,140.0
54,B3,11.333,73/1000,95,140.0
55,G#2,11.5,0.25,127,140.0
56,B3,11.667,73/1000,95,140.0
57,E2,11.75,0.25,102,140.0
58,E3,12.0,0.25,127,140.0
59,G3,12.25,73/1000,95,140.0
60,E3,12.25,0.25,127,140.0
