,note_name,start_time,duration,velocity,tempo
0,E5,0.0,1.75,95,75.0
1,C5,0.0,1.75,95,75.0
2,C3,0.0,1.75,95,75.0
3,G2,1.75,0.25,95,75.0
4,C3,2.0,1.75,95,75.0
5,F5,2.0,0.25,95,75.0
6,C5,2.0,0.25,95,75.0
7,G5,2.25,0.25,95,75.0
8,C5,2.25,0.25,95,75.0
9,F5,2.5,0.25,95,75.0
10,C5,2.5,0.25,95,75.0
11,F5,2.75,0.5,95,75.0
12,C5,2.75,0.5,95,75.0
13,C5,3.25,0.25,95,75.0
14,A4,3.5,0.25,95,75.0
15,G4,3.75,0.25,95,75.0
16,G2,3.75,0.25,95,75.0
17,C3,4.0,2.0,95,75.0
18,C5,4.0,0.5,95,75.0
19,G4,4.0,0.5,95,75.0
20,C4,4.5,0.25,95,75.0
21,G4,4.75,0.25,95,75.0
22,C5,5.0,0.25,95,75.0
23,G4,5.25,0.25,95,75.0
24,E4,5.5,0.25,95,75.0
25,A4,6.0,0.25,95,75.0
26,F4,6.0,0.5,95,75.0
27,C3,6.0,0.75,95,75.0
28,F4,6.25,0.25,95,75.0
29,C4,6.5,0.25,95,75.0
30,A4,6.75,0.5,95,75.0
31,F4,6.75,1.25,95,75.0
32,C3,6.75,1.25,95,75.0
33,G4,7.25,0.25,95,75.0
34,F4,7.5,0.5,95,75.0
35,C3,8.0,1.25,95,75.0
36,E4,8.0,1.0,95,75.0
37,C4,8.0,1.0,95,75.0
38,G3,9.0,0.25,95,75.0
39,C4,9.0,0.25,95,75.0
40,C3,9.25,0.75,95,75.0
41,C4,9.25,0.25,95,75.0
42,E4,9.25,0.5,95,75.0
43,C4,9.25,0.5,95,75.0
44,C4,9.5,0.25,95,75.0
45,G3,9.75,0.25,95,75.0
46,C4,9.75,0.5,95,75.0
47,C3,10.0,1.25,95,75.0
48,E4,10.0,1.0,95,75.0
49,C4,10.0,1.0,95,75.0
50,C4,10.5,0.25,95,75.0
51,C4,10.75,0.25,95,75.0
52,G3,11.0,0.25,95,75.0
53,C4,11.0,0.25,95,75.0
54,C3,11.25,0.75,95,75.0
55,C4,11.25,0.25,95,75.0
56,E4,11.25,0.5,95,75.0
57,C4,11.25,0.5,95,75.0
58,C4,11.5,0.25,95,75.0
59,G3,11.75,0.25,95,75.0
60,C4,11.75,0.25,95,75.0
61,G2,12.0,1.25,95,75.0
62,C4,12.0,0.5,95,75.0
63,D4,12.0,0.75,95,75.0
64,B3,12.0,0.75,95,75.0
65,G3,12.75,0.25,95,75.0
66,G3,13.0,0.25,95,75.0
67,E4,13.25,0.75,95,75.0
68,C4,13.25,0.75,95,75.0
69,G2,13.25,0.75,95,75.0
70,G2,14.0,0.75,95,75.0
71,E4,14.0,0.25,95,75.0
72,C4,14.0,0.25,95,75.0
73,D4,14.25,0.5,95,75.0
74,B3,14.25,0.5,95,75.0
75,D4,14.75,0.5,95,75.0
76,B3,14.75,0.5,95,75.0
77,G2,14.75,0.5,95,75.0
78,G2,15.25,0.75,95,75.0
79,E4,15.25,0.25,95,75.0
80,C4,15.25,0.25,95,75.0
81,D4,15.5,0.5,95,75.0
82,B3,15.5,0.5,95,75.0
83,C3,16.0,1.25,95,75.0
84,E4,16.0,1.0,95,75.0
85,C4,16.0,1.0,95,75.0
86,G3,17.0,0.25,95,75.0
87,C4,17.0,0.5,95,75.0
88,C3,17.25,0.75,95,75.0
89,E4,17.25,0.5,95,75.0
90,C4,17.25,0.5,95,75.0
91,C4,17.5,0.25,95,75.0
92,G3,17.75,0.25,95,75.0
93,C4,17.75,0.5,95,75.0
94,C3,18.0,1.25,95,75.0
95,E4,18.0,1.0,95,75.0
96,C4,18.0,1.0,95,75.0
97,G3,18.25,0.5,95,75.0
98,G3,19.0,0.25,95,75.0
99,C3,19.25,0.75,95,75.0
100,C4,19.25,0.25,95,75.0
101,E4,19.25,0.5,95,75.0
102,C4,19.25,0.5,95,75.0
103,G3,19.5,0.5,95,75.0
104,G3,19.75,0.25,95,75.0
105,G2,20.0,2.0,95,75.0
106,C4,20.0,1.25,95,75.0
107,C4,20.0,0.75,95,75.0
108,F3,20.0,0.75,95,75.0
109,G3,20.75,0.25,95,75.0
110,G3,21.0,0.75,95,75.0
111,C4,21.25,0.75,95,75.0
112,D4,21.25,0.25,95,75.0
113,E4,21.5,0.5,95,75.0
114,G3,21.75,0.25,95,75.0
115,D4,22.0,1.0,95,75.0
116,D4,22.0,1.25,95,75.0
117,B3,22.0,1.25,95,75.0
118,G2,22.0,1.25,95,75.0
119,C4,23.25,0.25,95,75.0
120,C4,23.25,0.25,95,75.0
121,F2,23.25,0.25,95,75.0
122,D4,23.5,0.5,95,75.0
123,D4,23.5,0.5,95,75.0
124,G2,23.5,0.5,95,75.0
125,B-3,24.0,0.75,95,75.0
126,C4,24.0,1.0,95,75.0
127,F3,24.0,1.0,95,75.0
128,B-2,24.0,1.0,95,75.0
129,B-3,24.75,0.5,95,75.0
130,B-2,25.0,1.0,95,75.0
131,F4,25.25,0.25,95,75.0
132,C4,25.25,0.25,95,75.0
133,D4,25.5,0.25,95,75.0
134,D4,25.5,0.25,95,75.0
135,B-3,25.75,0.25,95,75.0
136,C4,25.75,1.0,95,75.0
137,A3,26.0,0.75,95,75.0
138,E3,26.0,1.0,95,75.0
139,A2,26.0,1.0,95,75.0
140,A3,26.75,0.5,95,75.0
141,A3,26.75,1.25,95,75.0
142,A2,27.0,1.0,95,75.0
143,F4,27.25,0.25,95,75.0
144,D4,27.5,0.25,95,75.0
145,B-3,27.75,0.25,95,75.0
146,C4,28.0,1.0,95,75.0
147,G#2,28.0,1.0,95,75.0
148,G#3,28.0,0.75,95,75.0
149,E-3,28.0,0.75,95,75.0
150,G#3,28.75,0.5,95,75.0
151,G#2,29.0,1.0,95,75.0
152,F4,29.25,0.25,95,75.0
153,D4,29.5,0.25,95,75.0
154,B-3,29.75,0.25,95,75.0
155,B-3,29.75,0.25,95,75.0
156,E-4,30.0,0.75,95,75.0
157,E-4,30.0,0.25,95,75.0
158,F4,30.0,1.0,95,75.0
159,B-3,30.0,1.0,95,75.0
160,E-3,30.0,1.0,95,75.0
161,E-4,30.25,0.5,95,75.0
162,E-4,30.75,0.5,95,75.0
163,E-4,30.75,0.5,95,75.0
164,E-3,31.0,1.0,95,75.0
165,G4,31.25,0.25,95,75.0
166,F4,31.25,0.5,95,75.0
167,E-4,31.5,0.25,95,75.0
168,B-3,31.75,0.25,95,75.0
169,F4,31.75,0.25,95,75.0
170,B-3,32.0,0.75,95,75.0
171,F4,32.0,0.25,95,75.0
172,D4,32.0,1.0,95,75.0
173,F3,32.0,1.0,95,75.0
