,note_name,start_time,duration,velocity,tempo
0,G#2,0.0,0.047,127,80.0
1,G#2,1.0,0.047,127,80.0
2,G#2,2.0,0.047,127,80.0
3,G#2,3.0,0.047,127,80.0
4,G2,4.0,51/100,127,80.0
5,D3,4.5,51/100,127,80.0
6,C4,5.0,51/100,127,80.0
7,C5,5.0,51/100,127,80.0
8,D3,5.5,51/100,127,80.0
9,G2,6.0,51/100,127,80.0
10,B4,6.0,51/100,127,80.0
11,D3,6.5,51/100,127,80.0
12,A4,6.99,51/100,127,80.0
13,B3,6.99,51/100,127,80.0
14,G4,7.469,51/100,127,80.0
15,D3,7.469,51/100,127,80.0
16,F#2,8.0,51/100,127,80.0
17,A4,8.01,1927/1000,127,80.0
18,E3,8.5,51/100,127,80.0
19,B3,9.0,51/100,127,80.0
20,E3,9.5,51/100,127,80.0
21,B4,9.99,51/100,127,80.0
22,B2,9.99,51/100,127,80.0
23,E-3,10.25,51/100,127,80.0
24,A3,10.5,51/100,127,80.0
25,B3,10.75,51/100,127,80.0
26,F#4,11.0,917/1000,127,80.0
27,B4,12.0,0.594,127,80.0
28,B4,12.0,0.594,127,80.0
29,E3,12.0,1.75,127,80.0
30,G3,12.5,521/1000,127,80.0
31,E4,12.552,2.906,127,80.0
32,E4,12.552,2.906,127,80.0
33,B3,13.0,69/125,127,80.0
34,G3,13.5,0.719,127,80.0
35,E3,14.0,1479/1000,127,80.0
36,G3,14.5,521/1000,127,80.0
37,B3,15.0,51/100,127,80.0
38,G3,15.5,0.5,127,80.0
39,E-3,16.0,401/250,127,80.0
40,G3,16.0,0.125,127,80.0
41,G3,16.5,51/100,127,80.0
42,B3,17.0,69/125,127,80.0
43,G3,17.5,0.688,127,80.0
44,E4,17.979,427/1000,127,80.0
45,E4,17.979,427/1000,127,80.0
46,E-3,18.0,1573/1000,127,80.0
47,F#4,18.333,0.406,127,80.0
48,F#4,18.333,0.406,127,80.0
49,G3,18.5,51/100,127,80.0
50,G4,18.729,583/1000,127,80.0
51,G4,18.729,583/1000,127,80.0
52,B3,19.0,51/100,127,80.0
53,E4,19.333,667/1000,127,80.0
54,E4,19.333,667/1000,127,80.0
55,G3,19.5,0.5,127,80.0
56,B4,19.979,21/1000,127,80.0
57,B4,19.979,21/1000,127,80.0
58,E4,20.0,1/100,127,80.0
59,B4,20.0,0.625,127,80.0
60,E4,20.0,1/100,127,80.0
61,B4,20.0,0.625,127,80.0
