,note_name,start_time,duration,velocity,tempo
0,F#2,4.0,0.031,65,120.0
1,F#2,5.0,0.031,65,120.0
2,F#2,6.0,0.031,65,120.0
3,F#2,7.0,0.031,65,120.0
4,F#2,8.0,0.031,65,120.0
5,F#2,9.0,0.031,65,120.0
6,F#2,10.0,0.031,65,120.0
7,F#2,11.0,0.031,65,120.0
8,B2,11.625,0.375,79,120.0
9,A3,11.75,0.25,59,120.0
10,D4,11.875,0.125,59,120.0
11,B1,12.0,1.25,123,120.0
12,F#5,12.0,4.0,99,120.0
13,B2,12.0,4.0,79,120.0
14,A3,12.0,4.0,59,120.0
15,D4,12.0,4.0,59,120.0
16,E8,12.0,0.031,85,120.0
17,B2,12.0,4.0,74,120.0
18,A3,12.0,4.0,74,120.0
19,D4,12.0,4.0,74,120.0
20,B1,12.0,0.031,52,120.0
21,G#2,12.0,0.031,52,120.0
22,G#2,12.5,0.031,30,120.0
23,C#2,13.0,0.031,70,120.0
24,G#2,13.0,0.031,70,120.0
25,B1,13.5,1.312,122,120.0
26,E8,13.5,0.031,85,120.0
27,B1,13.5,0.031,42,120.0
28,G#2,13.5,0.031,42,120.0
29,G#2,14.0,0.031,50,120.0
30,E8,14.0,0.031,85,120.0
31,G#2,14.5,0.031,30,120.0
32,B1,15.0,427/1000,124,120.0
33,B1,15.0,0.031,61,120.0
34,C#2,15.0,0.031,61,120.0
35,G#2,15.0,0.031,61,120.0
36,A1,15.5,56/125,123,120.0
37,E8,15.5,0.031,85,120.0
38,B1,15.5,0.031,25,120.0
39,G#2,15.5,0.031,25,120.0
40,B1,16.0,1.188,125,120.0
41,F#5,16.0,3979/1000,99,120.0
42,B2,16.0,3729/1000,79,120.0
43,A3,16.0,1927/500,59,120.0
44,D4,16.0,3979/1000,59,120.0
45,E8,16.0,0.031,85,120.0
46,B1,16.0,0.031,47,120.0
47,G#2,16.0,0.031,47,120.0
48,G#2,16.5,0.031,30,120.0
49,C#2,17.0,0.031,70,120.0
50,G#2,17.0,0.031,70,120.0
51,B1,17.5,323/250,124,120.0
52,E8,17.5,0.031,85,120.0
53,B1,17.5,0.031,42,120.0
54,G#2,17.5,0.031,42,120.0
55,G#2,18.0,0.031,50,120.0
56,E8,18.0,0.031,85,120.0
57,G#2,18.5,0.031,30,120.0
58,B1,19.0,229/500,124,120.0
59,C#2,19.0,0.031,70,120.0
60,G#2,19.0,0.031,70,120.0
61,A1,19.5,0.438,123,120.0
62,G#2,19.5,0.031,30,120.0
63,E8,19.5,0.031,85,120.0
64,B1,20.0,151/125,124,120.0
65,E8,20.0,0.031,85,120.0
66,B1,20.0,0.031,52,120.0
67,G#2,20.0,0.031,52,120.0
68,G#2,20.5,0.031,30,120.0
69,E4,20.5,729/1000,113,120.0
70,D4,20.75,729/1000,83,120.0
71,A3,21.0,729/1000,63,120.0
72,C#2,21.0,0.031,70,120.0
73,G#2,21.0,0.031,70,120.0
74,E4,21.25,729/1000,113,120.0
75,B1,21.5,1.312,123,120.0
76,D4,21.5,729/1000,83,120.0
77,E8,21.5,0.031,85,120.0
78,B1,21.5,0.031,42,120.0
